Ar+ 0        18         1    127118.1070(1s)
   106 522563514555526     (3)3( 2.0)    541113.8047    {X}
   107 522563514555526     (3)5( 6.0)    541174.9954    {X}
   108 522563514555526     (5)2( 3.0)    541191.7110    {X}
   109 522563514555526     (5)2( 2.0)    541361.2442    {X}
   110 522563514555526     (3)2( 1.0)    541431.5956    {X}
   111 522563514555526     (3)2( 3.0)    541451.2993    {X}
   112 522563514555526     (3)5( 5.0)    541474.4970    {X}
   113 522563514555526     (3)2( 2.0)    541527.9402    {X}
   114 522563514555526     (5)2( 1.0)    541575.9688    {X}
   115 522563514555526     (5)2( 0.0)    541651.8226    {X}
   116 522563514555526     (3)2( 3.0)    541710.8260    {X}
   117 522563514555526     (1)2( 2.0)    541714.7698    {X}
   118 522563514555526     (3)5( 4.0)    541773.7352    {X}
   119 522563514555526     (3)2( 1.0)    541886.8798    {X}
   120 522563514555526     (3)3( 2.0)    541951.6062    {X}
   121 522563514555526     (3)3( 3.0)    541970.0440    {X}
   122 522563514555526     (3)1( 0.0)    542046.1618    {X}
   123 522563514555526     (3)2( 2.0)    542074.5663    {X}
   124 522563514555526     (3)1( 1.0)    542164.3763    {X}
   125 522563514555526     (3)3( 4.0)    542175.3494    {X}
   126 522563514555526     (5)0( 2.0)    542204.6157    {X}
   127 522563514555526     (3)0( 1.0)    542302.9734    {X}
   128 522563514555526     (3)1( 2.0)    542481.8774    {X}
   129 522563514555526     (3)4( 5.0)    542694.0160    {X}
   130 522563514555526     (1)0( 0.0)    542742.9623    {X}
   131 522563514555526     (1)1( 1.0)    542751.2858    {X}
   132 522563514555526     (3)4( 3.0)    542859.8040    {X}
   133 522563514555526     (3)4( 4.0)    542953.4843    {X}
   134 522563514555526     (3)1( 2.0)    545693.0549    {X}
   135 522563514555526     (3)1( 1.0)    546323.5508    {X}
   136 522563514555526     (3)1( 0.0)    546647.0901    {X}
   137 522563514555526     (3)4( 3.0)    588503.0275    {X}
   138 522563514555526     (3)4( 4.0)    588503.9571    {X}
   139 522563514555526     (3)4( 5.0)    588505.1178    {X}
   140 522563514555526     (3)2( 3.0)    588801.3434    {X}
   141 522563514555526     (3)2( 2.0)    588806.3709    {X}
   142 522563514555526     (3)2( 1.0)    588809.7791    {X}
   143 522563514555526     (3)3( 2.0)    589002.0492    {X}
   144 522563514555526     (3)3( 3.0)    589003.3147    {X}
   145 522563514555526     (3)3( 4.0)    589004.8194    {X}
   146 522563514555526     (1)3( 3.0)    590274.4638    {X}
   147 522563514555526     (1)2( 2.0)    590388.0850    {X}
   148 522563514555526     (3)1( 0.0)    590450.6421    {X}
   149 522563514555526     (3)1( 1.0)    590453.8930    {X}
   150 522563514555526     (3)1( 2.0)    590460.5197    {X}
   151 522563514555526     (1)1( 1.0)    590779.3571    {X}
   152 522563514555526     (3)2( 1.0)    590889.6538    {X}
   153 522563514555526     (3)2( 2.0)    590890.1360    {X}
   154 522563514555526     (3)2( 3.0)    590890.9512    {X}
   155 522563514555526     (1)5( 5.0)    590903.4756    {X}
   156 522563514555526     (1)3( 3.0)    591422.1070    {X}
   157 522563514555526     (3)0( 1.0)    591666.5783    {X}
   158 522563514555526     (1)4( 4.0)    592072.8111    {X}
   159 522563514555526     (1)1( 1.0)    595403.5759    {X}
   160 522563565526        (3)3( 2.0)    742045.3112    {X}
   161 522563565526        (3)3( 3.0)    742046.1049    {X}
   162 522563565526        (3)3( 4.0)    742047.1625    {X}
   163 522563565526        (1)2( 2.0)    743749.7546    {X}
   164 522563565526        (3)1( 0.0)    744038.5467    {X}
   165 522563565526        (3)1( 1.0)    744038.8115    {X}
   166 522563565526        (3)1( 2.0)    744039.3424    {X}
   167 522563565526        (1)4( 4.0)    744679.5642    {X}
   168 522563565526        (1)0( 0.0)    748606.2900    {X}
   169 522553524565516     (3)1( 0.0)   2269023.4346    {X}
   170 522553524565516     (3)1( 1.0)   2269033.9736    {X}
   171 522553524565516     (3)3( 4.0)   2269053.9660    {X}
   172 522553524565516     (1)3( 3.0)   2269056.6794    {X}
   173 522553524565516     (3)1( 2.0)   2269065.3788    {X}
   174 522553524565516     (1)1( 1.0)   2269084.1804    {X}
   175 522553524565516     (1)2( 2.0)   2269093.8055    {X}
   176 522553524565516     (3)2( 3.0)   2269095.5880    {X}
   177 522553524565516     (3)3( 2.0)   2284987.2010    {X}
   178 522553524565516     (3)2( 2.0)   2284988.6250    {X}
   179 522553524565516     (3)3( 3.0)   2284990.8720    {X}
   180 522553524565516     (3)2( 1.0)   2285001.8034    {X}
    -1     221.262 20.6149 15.8284 1.70150 0.78433 0.11422 0.26083 0.17173 0.06440 0.06251
 1.00    3         1.00+02 2.00+02 5.00+02 1.00+03 2.00+03 5.00+03 1.00+04 2.00+04 5.00+04 1.00+05 2.00+05 5.00+05 1.00+06 2.00+06
    2    1 1.00-30 5.24-10 1.47-06 1.91-04 1.11-03 3.28-03 9.20-03 1.77-02 3.09-02 5.27-02 6.02-02 5.32-02 3.36-02 2.02-02 1.11-02 0.00+00
    3    1 4.76+07 3.07-10 8.65-07 1.13-04 6.60-04 1.95-03 5.51-03 1.07-02 1.91-02 3.49-02 4.47-02 5.01-02 5.84-02 6.89-02 8.25-02-3.32-02
    3    2 3.50-03 9.86-08 2.76-04 3.56-02 2.05-01 5.97-01 1.64+00 2.97+00 4.35+00 5.21+00 4.89+00 3.96+00 2.65+00 1.97+00 1.55+00 1.06+00
    4    1 1.00-30 1.03-10 2.89-07 3.76-05 2.20-04 6.50-04 1.83-03 3.53-03 6.17-03 1.05-02 1.20-02 1.06-02 6.72-03 4.03-03 2.21-03 0.00+00
    4    2 2.19-10 1.41-09 4.59-06 7.99-04 6.11-03 2.33-02 8.40-02 1.74-01 3.02-01 5.46-01 6.92-01 7.08-01 6.27-01 5.69-01 5.33-01 4.92-01
    4    3 3.94-03 5.65-08 1.56-04 1.94-02 1.07-01 2.93-01 7.38-01 1.28+00 1.82+00 2.16+00 2.00+00 1.55+00 8.80-01 5.17-01 2.89-01 0.00+00
    5    1 1.06+09 2.25-10 6.47-07 8.87-05 5.51-04 1.75-03 5.40-03 1.19-02 2.88-02 9.65-02 2.08-01 4.00-01 8.05-01 1.17+00 1.56+00-7.05-01
    5    2 2.13-02 1.22-07 3.34-04 4.06-02 2.16-01 5.62-01 1.31+00 2.11+00 2.77+00 3.17+00 3.11+00 2.57+00 1.58+00 9.77-01 5.82-01 5.10-02
    5    3 6.24-03 2.48-07 6.72-04 7.94-02 4.08-01 9.96-01 2.06+00 3.05+00 3.73+00 3.63+00 3.04+00 2.26+00 1.31+00 8.32-01 5.38-01 1.74-01
    5    4 4.56-03 5.72-08 1.57-04 1.93-02 1.04-01 2.77-01 6.66-01 1.10+00 1.46+00 1.49+00 1.24+00 8.98-01 4.88-01 2.76-01 1.47-01 0.00+00
    6    1 2.89-04 3.19-10 8.93-07 1.14-04 6.55-04 1.88-03 5.15-03 1.00-02 1.90-02 3.72-02 4.43-02 3.93-02 2.46-02 1.47-02 8.00-03 0.00+00
    6    2 2.68+07 8.43-07 2.31-03 2.80-01 1.50+00 3.90+00 9.16+00 1.59+01 2.61+01 4.49+01 6.38+01 8.72+01 1.23+02 1.52+02 1.80+02-3.87+01
    6    3 9.86+06 7.07-07 1.92-03 2.27-01 1.16+00 2.84+00 5.91+00 9.27+00 1.39+01 2.19+01 2.98+01 3.97+01 5.50+01 6.73+01 7.94+01-1.66+01
