Ar+ 7        18         8   1157142.1748(1s)
    1 522563514           (2)0(  0.5)         0.0000    {X}
    2 522563515           (2)1(  2.5)    142731.8420    {X}
    3 522563516           (2)2(  4.5)    334952.7968    {X}
    4 522563517           (2)0(  0.5)    576253.1232    {X}
    5 522563518           (2)1(  2.5)    629299.0933    {X}
    6 522563519           (2)2(  4.5)    698216.0899    {X}
    7 52256351A           (2)3(  6.5)    717219.4426    {X}
    8 522553524           (2)1(  2.5)   2024474.1845    {X}
    9 522553514515        (4)0(  1.5)   2103179.1471    {X}
   10 522553514515        (4)2(  9.5)   2120505.5071    {X}
   11 522553514515        (4)1(  5.5)   2132056.4138    {X}
   12 522553514515        (2)2(  4.5)   2138240.5107    {X}
   13 522553514515        (2)1(  2.5)   2141835.8512    {X}
   14 522553514515        (2)0(  0.5)   2161243.9119    {X}
   15 522553514515        (2)2(  4.5)   2201204.2035    {X}
   16 522553514515        (2)1(  2.5)   2210709.6052    {X}
   17 522553514515        (2)0(  0.5)   2254530.3603    {X}
   18 522553514516        (4)1(  5.5)   2332020.8752    {X}
   19 522553514516        (4)3( 13.5)   2338864.7202    {X}
   20 522553514516        (4)2(  9.5)   2351183.6413    {X}
   21 522553514516        (2)3(  6.5)   2354641.1520    {X}
   22 522553514516        (2)2(  4.5)   2360107.2594    {X}
   23 522553514516        (2)1(  2.5)   2363813.2312    {X}
   24 522553514516        (2)3(  6.5)   2375792.9826    {X}
   25 522553514516        (2)2(  4.5)   2387222.2306    {X}
   26 522553514516        (2)1(  2.5)   2395299.7209    {X}
   -1    234.845 32.2771 27.6152 10.4647 9.23524 7.49897 5.27979 4.81776 4.19280 4.00813
 8.00    3       6.40+03 1.28+04 3.20+04 6.40+04 1.28+05 3.20+05 6.40+05 1.28+06 3.20+06 6.40+06 1.28+07 3.20+07 6.40+07 1.28+08
   2   1 2.67+09 8.72+00 8.74+00 8.81+00 8.94+00 9.20+00 9.91+00 1.07+01 1.17+01 1.35+01 1.52+01 1.72+01 2.02+01 2.25+01 2.49+01-3.62+00
   3   1 2.27+05 8.68-01 8.70-01 8.74-01 8.81-01 8.94-01 9.28-01 9.69-01 1.02+00 1.10+00 1.16+00 1.20+00 1.23+00 1.24+00 1.25+00 1.25+00
   3   2 7.77+09 1.45+01 1.45+01 1.47+01 1.49+01 1.53+01 1.65+01 1.80+01 1.99+01 2.32+01 2.64+01 3.02+01 3.57+01 4.03+01 4.50+01-7.20+00
   4   1 1.00-30 2.76-01 2.76-01 2.77-01 2.79-01 2.82-01 2.88-01 2.96-01 3.05-01 3.17-01 3.23-01 3.27-01 3.29-01 3.30-01 3.30-01 3.30-01
   4   2 3.26+10 1.44-01 1.45-01 1.49-01 1.55-01 1.68-01 2.05-01 2.64-01 3.63-01 5.77-01 8.24-01 1.12+00 1.55+00 1.89+00 2.23+00-5.27-01
   4   3 2.06+05 2.82-01 2.82-01 2.83-01 2.85-01 2.89-01 3.02-01 3.17-01 3.37-01 3.66-01 3.86-01 3.99-01 4.10-01 4.14-01 4.16-01 4.19-01
   5   1 1.04+10 4.96-02 4.96-02 4.97-02 4.98-02 5.02-02 5.25-02 5.86-02 7.47-02 1.32-01 2.17-01 3.23-01 4.69-01 5.79-01 6.89-01-1.64-01
   5   2 1.49+06 1.28+00 1.28+00 1.28+00 1.29+00 1.30+00 1.32+00 1.35+00 1.39+00 1.44+00 1.47+00 1.50+00 1.51+00 1.51+00 1.51+00 1.51+00
