         200     = number of Te values
Te [keV]
  8.22e-37  8.29e-37  8.35e-37  8.42e-37  8.49e-37  8.55e-37  8.62e-37  8.69e-37
  8.76e-37  8.81e-37  8.86e-37  8.91e-37  8.96e-37  9.01e-37  9.07e-37  9.12e-37
He Lz[W m^3]
  1.41e-42  1.91e-42  2.49e-42  3.22e-42  4.16e-42  5.37e-42  6.93e-42  8.95e-42
  1.16e-41  1.49e-41  1.89e-41  2.34e-41  2.90e-41  3.60e-41  4.46e-41  5.54e-41
  6.87e-41  8.51e-41  1.05e-40  1.26e-40  1.51e-40  1.81e-40  2.17e-40  2.60e-40
  3.12e-40  3.74e-40  4.48e-40  5.24e-40  6.11e-40  7.12e-40  8.30e-40  9.68e-40
  1.13e-39  1.32e-39  1.54e-39  1.77e-39  2.01e-39  2.29e-39  2.61e-39  2.98e-39
  3.40e-39  3.87e-39  4.41e-39  5.00e-39  5.59e-39  6.26e-39  7.01e-39  7.85e-39
  8.79e-39  9.83e-39  1.10e-38  1.23e-38  1.36e-38  1.50e-38  1.65e-38  1.82e-38
  2.01e-38  2.21e-38  2.44e-38  2.69e-38  2.93e-38  3.19e-38  3.47e-38  3.78e-38
  4.11e-38  4.47e-38  4.87e-38  5.29e-38  5.73e-38  6.18e-38  6.66e-38  7.17e-38
  7.72e-38  8.32e-38  8.96e-38  9.66e-38  1.04e-37  1.11e-37  1.18e-37  1.26e-37
  1.34e-37  1.43e-37  1.53e-37  1.63e-37  1.74e-37  1.85e-37  1.96e-37  2.07e-37
  2.20e-37  2.33e-37  2.47e-37  2.61e-37  2.77e-37  2.92e-37  3.07e-37  3.23e-37
  3.40e-37  3.58e-37  3.76e-37  3.95e-37  4.16e-37  4.37e-37  4.57e-37  4.78e-37
  4.99e-37  5.22e-37  5.46e-37  5.71e-37  5.97e-37  6.24e-37  6.49e-37  6.75e-37
  7.02e-37  7.30e-37  7.59e-37  7.89e-37  8.21e-37  8.54e-37  8.84e-37  9.15e-37
  9.46e-37  9.79e-37  1.01e-36  1.05e-36  1.08e-36  1.12e-36  1.16e-36  1.19e-36
  1.23e-36  1.26e-36  1.30e-36  1.34e-36  1.38e-36  1.42e-36  1.46e-36  1.50e-36
  1.54e-36  1.58e-36  1.62e-36  1.66e-36  1.71e-36  1.75e-36  1.80e-36  1.84e-36
  1.88e-36  1.92e-36  1.96e-36  2.00e-36  2.05e-36  2.09e-36  2.14e-36  2.18e-36
  2.22e-36  2.26e-36  2.30e-36  2.34e-36  2.38e-36  2.43e-36  2.47e-36  2.52e-36
  2.55e-36  2.59e-36  2.63e-36  2.67e-36  2.71e-36  2.75e-36  2.79e-36  2.84e-36
  2.87e-36  2.90e-36  2.94e-36  2.98e-36  3.01e-36  3.05e-36  3.09e-36  3.12e-36
  3.16e-36  3.19e-36  3.22e-36  3.25e-36  3.28e-36  3.31e-36  3.34e-36  3.37e-36
  3.40e-36  3.43e-36  3.45e-36  3.48e-36  3.50e-36  3.53e-36  3.55e-36  3.58e-36
  3.60e-36  3.62e-36  3.64e-36  3.66e-36  3.68e-36  3.70e-36  3.71e-36  3.73e-36
Be Lz[W m^3]
  8.83e-41  1.13e-40  1.41e-40  1.74e-40  2.15e-40  2.66e-40  3.29e-40  4.06e-40
  5.01e-40  6.19e-40  7.51e-40  8.96e-40  1.07e-39  1.28e-39  1.52e-39  1.82e-39
  2.17e-39  2.59e-39  3.07e-39  3.57e-39  4.14e-39  4.80e-39  5.57e-39  6.47e-39
  7.51e-39  8.71e-39  1.01e-38  1.15e-38  1.30e-38  1.47e-38  1.67e-38  1.90e-38
  2.15e-38  2.44e-38  2.76e-38  3.09e-38  3.44e-38  3.82e-38  4.25e-38  4.73e-38
  5.26e-38  5.85e-38  6.50e-38  7.20e-38  7.89e-38  8.66e-38  9.49e-38  1.04e-37
  1.14e-37  1.25e-37  1.37e-37  1.51e-37  1.63e-37  1.77e-37  1.91e-37  2.07e-37
  2.24e-37  2.43e-37  2.63e-37  2.85e-37  3.05e-37  3.27e-37  3.50e-37  3.75e-37
  4.01e-37  4.29e-37  4.59e-37  4.92e-37  5.25e-37  5.58e-37  5.93e-37  6.30e-37
  6.70e-37  7.12e-37  7.57e-37  8.05e-37  8.54e-37  8.99e-37  9.46e-37  9.96e-37
  1.05e-36  1.10e-36  1.16e-36  1.22e-36  1.28e-36  1.35e-36  1.42e-36  1.49e-36
  1.56e-36  1.64e-36  1.72e-36  1.81e-36  1.90e-36  1.98e-36  2.06e-36  2.15e-36
  2.24e-36  2.33e-36  2.43e-36  2.53e-36  2.64e-36  2.74e-36  2.85e-36  2.95e-36
  3.07e-36  3.18e-36  3.30e-36  3.43e-36  3.56e-36  3.69e-36  3.81e-36  3.94e-36
  4.07e-36  4.20e-36  4.34e-36  4.49e-36  4.63e-36  4.79e-36  4.92e-36  5.06e-36
  5.19e-36  5.33e-36  5.47e-36  5.62e-36  5.77e-36  5.93e-36  6.08e-36  6.23e-36
  6.39e-36  6.55e-36  6.71e-36  6.88e-36  7.05e-36  7.22e-36  7.40e-36  7.56e-36
  7.72e-36  7.88e-36  8.05e-36  8.22e-36  8.40e-36  8.58e-36  8.76e-36  8.92e-36
  9.08e-36  9.24e-36  9.41e-36  9.58e-36  9.75e-36  9.93e-36  1.01e-35  1.03e-35
  1.04e-35  1.06e-35  1.07e-35  1.09e-35  1.11e-35  1.12e-35  1.14e-35  1.16e-35
  1.17e-35  1.18e-35  1.20e-35  1.21e-35  1.23e-35  1.24e-35  1.26e-35  1.27e-35
