#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=12.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:16
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(12)' coupled to the particle 'H(1)'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   3.11120137e-025    
   5.5000        5.6761e+017   2.86037662e-025    
   5.5000        6.4437e+017   2.62992068e-025    
   5.5000        7.3150e+017   2.41817793e-025    
   5.5000        8.3041e+017   2.22361755e-025    
   5.5000        9.4270e+017   2.04482659e-025    
   5.5000        1.0702e+018   1.88050395e-025    
   5.5000        1.2149e+018   1.72945495e-025    
   5.5000        1.3792e+018   1.59058573e-025    
   5.5000        1.5657e+018   1.46289732e-025    
   5.5000        1.7774e+018   1.34547911e-025    
   5.5000        2.0177e+018   1.23750162e-025    
   5.5000        2.2906e+018   1.13820880e-025    
   5.5000        2.6003e+018   1.04691013e-025    
   5.5000        2.9519e+018   9.62972887e-026    
   5.5000        3.3511e+018   8.85814878e-026    
   5.5000        3.8042e+018   8.14898002e-026    
   5.5000        4.3186e+018   7.49722865e-026    
   5.5000        4.9026e+018   6.89824541e-026    
   5.5000        5.5656e+018   6.34769480e-026    
   5.5000        6.3182e+018   5.84153453e-026    
   5.5000        7.1725e+018   5.37600340e-026    
   5.5000        8.1424e+018   4.94761525e-026    
   5.5000        9.2434e+018   4.55315633e-026    
   5.5000        1.0493e+019   4.18968354e-026    
   5.5000        1.1912e+019   3.85452141e-026    
   5.5000        1.3523e+019   3.54525601e-026    
   5.5000        1.5352e+019   3.25972483e-026    
   5.5000        1.7428e+019   2.99600208e-026    
   5.5000        1.9784e+019   2.75237965e-026    
   5.5000        2.2460e+019   2.52734451e-026    
   5.5000        2.5497e+019   2.31955366e-026    
   5.5000        2.8944e+019   2.12780806e-026    
   5.5000        3.2858e+019   1.95102696e-026    
   5.5000        3.7301e+019   1.78822404e-026    
   5.5000        4.2345e+019   1.63848629e-026    
   5.5000        4.8071e+019   1.50095652e-026    
   5.5000        5.4572e+019   1.37481972e-026    
   5.5000        6.1951e+019   1.25929333e-026    
   5.5000        7.0328e+019   1.15362112e-026    
   5.5000        7.9838e+019   1.05707013e-026    
   5.5000        9.0634e+019   9.68930104e-027    
   5.5000        1.0289e+020   8.88514719e-027    
   5.5000        1.1680e+020   8.15164059e-027    
   5.5000        1.3260e+020   7.48247690e-027    
   5.5000        1.5053e+020   6.87167970e-027    
   5.5000        1.7088e+020   6.31363207e-027    
   5.5000        1.9399e+020   5.80310422e-027    
   5.5000        2.2022e+020   5.33527522e-027    
   5.5000        2.5000e+020   4.90574784e-027    
   5.6726        5.0000e+017   3.36621332e-025    
   5.6726        5.6761e+017   3.09442880e-025    
   5.6726        6.4437e+017   2.84473462e-025    
   5.6726        7.3150e+017   2.61533472e-025    
   5.6726        8.3041e+017   2.40456845e-025    
   5.6726        9.4270e+017   2.21090308e-025    
   5.6726        1.0702e+018   2.03292729e-025    
   5.6726        1.2149e+018   1.86934517e-025    
   5.6726        1.3792e+018   1.71897020e-025    
   5.6726        1.5657e+018   1.58071878e-025    
   5.6726        1.7774e+018   1.45360306e-025    
   5.6726        2.0177e+018   1.33672312e-025    
   5.6726        2.2906e+018   1.22925861e-025    
   5.6726        2.6003e+018   1.13046020e-025    
   5.6726        2.9519e+018   1.03964117e-025    
   5.6726        3.3511e+018   9.56169602e-026    
   5.6726        3.8042e+018   8.79461421e-026    
   5.6726        4.3186e+018   8.08974590e-026    
   5.6726        4.9026e+018   7.44204546e-026    
   5.6726        5.5656e+018   6.84680876e-026    
   5.6726        6.3182e+018   6.29965095e-026    
   5.6726        7.1725e+018   5.79649341e-026    
   5.6726        8.1424e+018   5.33355705e-026    
   5.6726        9.2434e+018   4.90735924e-026    
   5.6726        1.0493e+019   4.51471160e-026    
   5.6726        1.1912e+019   4.15271638e-026    
   5.6726        1.3523e+019   3.81875946e-026    
   5.6726        1.5352e+019   3.51049903e-026    
   5.6726        1.7428e+019   3.22584931e-026    
   5.6726        1.9784e+019   2.96295972e-026    
   5.6726        2.2460e+019   2.72019021e-026    
   5.6726        2.5497e+019   2.49608405e-026    
   5.6726        2.8944e+019   2.28933968e-026    
   5.6726        3.2858e+019   2.09878305e-026    
   5.6726        3.7301e+019   1.92334189e-026    
   5.6726        4.2345e+019   1.76202315e-026    
   5.6726        4.8071e+019   1.61389430e-026    
   5.6726        5.4572e+019   1.47806874e-026    
   5.6726        6.1951e+019   1.35369554e-026    
   5.6726        7.0328e+019   1.23995290e-026    
   5.6726        7.9838e+019   1.13604501e-026    
   5.6726        9.0634e+019   1.04120145e-026    
   5.6726        1.0289e+020   9.54678573e-027    
   5.6726        1.1680e+020   8.75762112e-027    
   5.6726        1.3260e+020   8.03770495e-027    
   5.6726        1.5053e+020   7.38058331e-027    
   5.6726        1.7088e+020   6.78019742e-027    
   5.6726        1.9399e+020   6.23091246e-027    
   5.6726        2.2022e+020   5.72754000e-027    
   5.6726        2.5000e+020   5.26535294e-027    
   5.8506        5.0000e+017   3.63460650e-025    
   5.8506        5.6761e+017   3.34072564e-025    
   5.8506        6.4437e+017   3.07075193e-025    
   5.8506        7.3150e+017   2.82274103e-025    
   5.8506        8.3041e+017   2.59489529e-025    
   5.8506        9.4270e+017   2.38555553e-025    
   5.8506        1.0702e+018   2.19319405e-025    
   5.8506        1.2149e+018   2.01640811e-025    
   5.8506        1.3792e+018   1.85391338e-025    
   5.8506        1.5657e+018   1.70453686e-025    
   5.8506        1.7774e+018   1.56720916e-025    
   5.8506        2.0177e+018   1.44095596e-025    
   5.8506        2.2906e+018   1.32488901e-025    
   5.8506        2.6003e+018   1.21819682e-025    
   5.8506        2.9519e+018   1.12013567e-025    
   5.8506        3.3511e+018   1.03002111e-025    
   5.8506        3.8042e+018   9.47220510e-026    
   5.8506        4.3186e+018   8.71146809e-026    
   5.8506        4.9026e+018   8.01253599e-026    
   5.8506        5.5656e+018   7.37031559e-026    
   5.8506        6.3182e+018   6.78006063e-026    
   5.8506        7.1725e+018   6.23735768e-026    
   5.8506        8.1424e+018   5.73811874e-026    
   5.8506        9.2434e+018   5.27857769e-026    
   5.8506        1.0493e+019   4.85528759e-026    
   5.8506        1.1912e+019   4.46511634e-026    
   5.8506        1.3523e+019   4.10523880e-026    
   5.8506        1.5352e+019   3.77312405e-026    
   5.8506        1.7428e+019   3.46651758e-026    
   5.8506        1.9784e+019   3.18341842e-026    
   5.8506        2.2460e+019   2.92205238e-026    
   5.8506        2.5497e+019   2.68084262e-026    
   5.8506        2.8944e+019   2.45837921e-026    
   5.8506        3.2858e+019   2.25338938e-026    
   5.8506        3.7301e+019   2.06471000e-026    
   5.8506        4.2345e+019   1.89126338e-026    
   5.8506        4.8071e+019   1.73203729e-026    
   5.8506        5.4572e+019   1.58606951e-026    
   5.8506        6.1951e+019   1.45243691e-026    
   5.8506        7.0328e+019   1.33024853e-026    
   5.8506        7.9838e+019   1.21864231e-026    
   5.8506        9.0634e+019   1.11678449e-026    
   5.8506        1.0289e+020   1.02387114e-026    
   5.8506        1.1680e+020   9.39130915e-027    
   5.8506        1.3260e+020   8.61828562e-027    
   5.8506        1.5053e+020   7.91268646e-027    
   5.8506        1.7088e+020   7.26799019e-027    
   5.8506        1.9399e+020   6.67813831e-027    
   5.8506        2.2022e+020   6.13755845e-027    
   5.8506        2.5000e+020   5.64117917e-027    
   6.0342        5.0000e+017   3.91675471e-025    
   6.0342        5.6761e+017   3.59960580e-025    
   6.0342        6.4437e+017   3.30827926e-025    
   6.0342        7.3150e+017   3.04067443e-025    
   6.0342        8.3041e+017   2.79484916e-025    
   6.0342        9.4270e+017   2.56901097e-025    
   6.0342        1.0702e+018   2.36150945e-025    
   6.0342        1.2149e+018   2.17082920e-025    
   6.0342        1.3792e+018   1.99558272e-025    
   6.0342        1.5657e+018   1.83450273e-025    
   6.0342        1.7774e+018   1.68643381e-025    
   6.0342        2.0177e+018   1.55032317e-025    
   6.0342        2.2906e+018   1.42521088e-025    
   6.0342        2.6003e+018   1.31021993e-025    
   6.0342        2.9519e+018   1.20454642e-025    
   6.0342        3.3511e+018   1.10745048e-025    
   6.0342        3.8042e+018   1.01824826e-025    
   6.0342        4.3186e+018   9.36305203e-026    
   6.0342        4.9026e+018   8.61030793e-026    
   6.0342        5.5656e+018   7.91874688e-026    
   6.0342        6.3182e+018   7.28324177e-026    
   6.0342        7.1725e+018   6.69902641e-026    
   6.0342        8.1424e+018   6.16168742e-026    
   6.0342        9.2434e+018   5.66716012e-026    
   6.0342        1.0493e+019   5.21172529e-026    
   6.0342        1.1912e+019   4.79200407e-026    
   6.0342        1.3523e+019   4.40494901e-026    
   6.0342        1.5352e+019   4.04783003e-026    
   6.0342        1.7428e+019   3.71821476e-026    
   6.0342        1.9784e+019   3.41394372e-026    
