#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=10.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:16
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(10)' coupled to the particle 'H(1)'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   5.90552245e-025    
   5.5000        5.6761e+017   5.43988863e-025    
   5.5000        6.4437e+017   5.01074375e-025    
   5.5000        7.3150e+017   4.61528947e-025    
   5.5000        8.3041e+017   4.25091463e-025    
   5.5000        9.4270e+017   3.91518889e-025    
   5.5000        1.0702e+018   3.60585741e-025    
   5.5000        1.2149e+018   3.32083570e-025    
   5.5000        1.3792e+018   3.05820368e-025    
   5.5000        1.5657e+018   2.81619837e-025    
   5.5000        1.7774e+018   2.59320472e-025    
   5.5000        2.0177e+018   2.38774478e-025    
   5.5000        2.2906e+018   2.19846544e-025    
   5.5000        2.6003e+018   2.02412537e-025    
   5.5000        2.9519e+018   1.86358196e-025    
   5.5000        3.3511e+018   1.71577891e-025    
   5.5000        3.8042e+018   1.57973520e-025    
   5.5000        4.3186e+018   1.45453599e-025    
   5.5000        4.9026e+018   1.33932546e-025    
   5.5000        5.5656e+018   1.23330187e-025    
   5.5000        6.3182e+018   1.13571448e-025    
   5.5000        7.1725e+018   1.04586203e-025    
   5.5000        8.1424e+018   9.63092275e-026    
   5.5000        9.2434e+018   8.86802160e-026    
   5.5000        1.0493e+019   8.16438040e-026    
   5.5000        1.1912e+019   7.51495596e-026    
   5.5000        1.3523e+019   6.91519084e-026    
   5.5000        1.5352e+019   6.36099728e-026    
   5.5000        1.7428e+019   5.84873161e-026    
   5.5000        1.9784e+019   5.37515968e-026    
   5.5000        2.2460e+019   4.93741492e-026    
   5.5000        2.5497e+019   4.53295113e-026    
   5.5000        2.8944e+019   4.15949307e-026    
   5.5000        3.2858e+019   3.81498755e-026    
   5.5000        3.7301e+019   3.49755777e-026    
   5.5000        4.2345e+019   3.20546303e-026    
   5.5000        4.8071e+019   2.93706530e-026    
   5.5000        5.4572e+019   2.69080329e-026    
   5.5000        6.1951e+019   2.46517409e-026    
   5.5000        7.0328e+019   2.25872179e-026    
   5.5000        7.9838e+019   2.07003208e-026    
   5.5000        9.0634e+019   1.89773169e-026    
   5.5000        1.0289e+020   1.74049126e-026    
   5.5000        1.1680e+020   1.59703060e-026    
   5.5000        1.3260e+020   1.46612510e-026    
   5.5000        1.5053e+020   1.34661261e-026    
   5.5000        1.7088e+020   1.23739984e-026    
   5.5000        1.9399e+020   1.13746811e-026    
   5.5000        2.2022e+020   1.04587780e-026    
   5.5000        2.5000e+020   9.61771461e-027    
   5.6726        5.0000e+017   6.38296873e-025    
   5.6726        5.6761e+017   5.87893685e-025    
   5.6726        6.4437e+017   5.41443903e-025    
   5.6726        7.3150e+017   4.98644244e-025    
   5.6726        8.3041e+017   4.59211721e-025    
   5.6726        9.4270e+017   4.22882955e-025    
   5.6726        1.0702e+018   3.89413595e-025    
   5.6726        1.2149e+018   3.58577756e-025    
   5.6726        1.3792e+018   3.30167369e-025    
   5.6726        1.5657e+018   3.03991381e-025    
   5.6726        1.7774e+018   2.79874758e-025    
   5.6726        2.0177e+018   2.57657308e-025    
   5.6726        2.2906e+018   2.37192352e-025    
   5.6726        2.6003e+018   2.18345305e-025    
   5.6726        2.9519e+018   2.00992270e-025    
   5.6726        3.3511e+018   1.85018700e-025    
   5.6726        3.8042e+018   1.70318209e-025    
   5.6726        4.3186e+018   1.56791588e-025    
   5.6726        4.9026e+018   1.44346046e-025    
   5.6726        5.5656e+018   1.32894673e-025    
   5.6726        6.3182e+018   1.22356110e-025    
   5.6726        7.1725e+018   1.12654385e-025    
   5.6726        8.1424e+018   1.03718862e-025    
   5.6726        9.2434e+018   9.54842562e-026    
   5.6726        1.0493e+019   8.78906484e-026    
   5.6726        1.1912e+019   8.08834718e-026    
   5.6726        1.3523e+019   7.44134232e-026    
   5.6726        1.5352e+019   6.84362803e-026    
   5.6726        1.7428e+019   6.29126194e-026    
   5.6726        1.9784e+019   5.78074367e-026    
   5.6726        2.2460e+019   5.30896901e-026    
   5.6726        2.5497e+019   4.87317882e-026    
   5.6726        2.8944e+019   4.47090563e-026    
   5.6726        3.2858e+019   4.09992094e-026    
   5.6726        3.7301e+019   3.75818624e-026    
   5.6726        4.2345e+019   3.44380988e-026    
   5.6726        4.8071e+019   3.15501134e-026    
   5.6726        5.4572e+019   2.89009370e-026    
   5.6726        6.1951e+019   2.64742415e-026    
   5.6726        7.0328e+019   2.42542199e-026    
   5.6726        7.9838e+019   2.22255303e-026    
   5.6726        9.0634e+019   2.03732905e-026    
   5.6726        1.0289e+020   1.86831101e-026    
   5.6726        1.1680e+020   1.71411463e-026    
   5.6726        1.3260e+020   1.57341724e-026    
   5.6726        1.5053e+020   1.44496504e-026    
   5.6726        1.7088e+020   1.32757993e-026    
   5.6726        1.9399e+020   1.22016540e-026    
   5.6726        2.2022e+020   1.12171122e-026    
   5.6726        2.5000e+020   1.03129653e-026    
   5.8506        5.0000e+017   6.88483016e-025    
   5.8506        5.6761e+017   6.34036944e-025    
   5.8506        6.4437e+017   5.83865230e-025    
   5.8506        7.3150e+017   5.37639874e-025    
   5.8506        8.3041e+017   4.95054838e-025    
   5.8506        9.4270e+017   4.55825294e-025    
   5.8506        1.0702e+018   4.19687001e-025    
   5.8506        1.2149e+018   3.86395689e-025    
   5.8506        1.3792e+018   3.55726354e-025    
   5.8506        1.5657e+018   3.27472385e-025    
   5.8506        1.7774e+018   3.01444479e-025    
   5.8506        2.0177e+018   2.77469368e-025    
   5.8506        2.2906e+018   2.55388375e-025    
   5.8506        2.6003e+018   2.35055892e-025    
   5.8506        2.9519e+018   2.16337856e-025    
   5.8506        3.3511e+018   1.99110310e-025    
   5.8506        3.8042e+018   1.83258129e-025    
   5.8506        4.3186e+018   1.68673961e-025    
   5.8506        4.9026e+018   1.55257410e-025    
   5.8506        5.5656e+018   1.42914465e-025    
   5.8506        6.3182e+018   1.31557145e-025    
   5.8506        7.1725e+018   1.21103319e-025    
   5.8506        8.1424e+018   1.11476654e-025    
   5.8506        9.2434e+018   1.02606618e-025    
   5.8506        1.0493e+019   9.44284974e-026    
   5.8506        1.1912e+019   8.68833727e-026    
   5.8506        1.3523e+019   7.99180134e-026    
   5.8506        1.5352e+019   7.34846749e-026    
