#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=15.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:16
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(15)' coupled to the particle 'H(1)'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   1.42258654e-025    
   5.5000        5.6761e+017   1.30603129e-025    
   5.5000        6.4437e+017   1.19917690e-025    
   5.5000        7.3150e+017   1.10120494e-025    
   5.5000        8.3041e+017   1.01136295e-025    
   5.5000        9.4270e+017   9.28960054e-026    
   5.5000        1.0702e+018   8.53363090e-026    
   5.5000        1.2149e+018   7.83993190e-026    
   5.5000        1.3792e+018   7.20322404e-026    
   5.5000        1.5657e+018   6.61870278e-026    
   5.5000        1.7774e+018   6.08200260e-026    
   5.5000        2.0177e+018   5.58915899e-026    
   5.5000        2.2906e+018   5.13656908e-026    
   5.5000        2.6003e+018   4.72095214e-026    
   5.5000        2.9519e+018   4.33931109e-026    
   5.5000        3.3511e+018   3.98889699e-026    
   5.5000        3.8042e+018   3.66717744e-026    
   5.5000        4.3186e+018   3.37181006e-026    
   5.5000        4.9026e+018   3.10062140e-026    
   5.5000        5.5656e+018   2.85159124e-026    
   5.5000        6.3182e+018   2.62284169e-026    
   5.5000        7.1725e+018   2.41263029e-026    
   5.5000        8.1424e+018   2.21934603e-026    
   5.5000        9.2434e+018   2.04150689e-026    
   5.5000        1.0493e+019   1.87775816e-026    
   5.5000        1.1912e+019   1.72687007e-026    
   5.5000        1.3523e+019   1.58773436e-026    
   5.5000        1.5352e+019   1.45935908e-026    
   5.5000        1.7428e+019   1.34086143e-026    
   5.5000        1.9784e+019   1.23145880e-026    
   5.5000        2.2460e+019   1.13045830e-026    
   5.5000        2.5497e+019   1.03724516e-026    
   5.5000        2.8944e+019   9.51270891e-027    
   5.5000        3.2858e+019   8.72041536e-027    
   5.5000        3.7301e+019   7.99106822e-027    
   5.5000        4.2345e+019   7.32050568e-027    
   5.5000        4.8071e+019   6.70482707e-027    
   5.5000        5.4572e+019   6.14033069e-027    
   5.5000        6.1951e+019   5.62346912e-027    
   5.5000        7.0328e+019   5.15082065e-027    
   5.5000        7.9838e+019   4.71907473e-027    
   5.5000        9.0634e+019   4.32502838e-027    
   5.5000        1.0289e+020   3.96559094e-027    
   5.5000        1.1680e+020   3.63779415e-027    
   5.5000        1.3260e+020   3.33880531e-027    
   5.5000        1.5053e+020   3.06594137e-027    
   5.5000        1.7088e+020   2.81668251e-027    
   5.5000        1.9399e+020   2.58868397e-027    
   5.5000        2.2022e+020   2.37978533e-027    
   5.5000        2.5000e+020   2.18801681e-027    
   5.6726        5.0000e+017   1.54080616e-025    
   5.6726        5.6761e+017   1.41438101e-025    
   5.6726        6.4437e+017   1.29848718e-025    
   5.6726        7.3150e+017   1.19223592e-025    
   5.6726        8.3041e+017   1.09481016e-025    
   5.6726        9.4270e+017   1.00545970e-025    
   5.6726        1.0702e+018   9.23497059e-026    
   5.6726        1.2149e+018   8.48293696e-026    
   5.6726        1.3792e+018   7.79276372e-026    
   5.6726        1.5657e+018   7.15923405e-026    
   5.6726        1.7774e+018   6.57760748e-026    
   5.6726        2.0177e+018   6.04357865e-026    
   5.6726        2.2906e+018   5.55323449e-026    
   5.6726        2.6003e+018   5.10301133e-026    
   5.6726        2.9519e+018   4.68965331e-026    
   5.6726        3.3511e+018   4.31017385e-026    
   5.6726        3.8042e+018   3.96182157e-026    
   5.6726        4.3186e+018   3.64205166e-026    
   5.6726        4.9026e+018   3.34850311e-026    
   5.6726        5.5656e+018   3.07898180e-026    
   5.6726        6.3182e+018   2.83144872e-026    
   5.6726        7.1725e+018   2.60401248e-026    
   5.6726        8.1424e+018   2.39492493e-026    
   5.6726        9.2434e+018   2.20257847e-026    
   5.6726        1.0493e+019   2.02550393e-026    
   5.6726        1.1912e+019   1.86236803e-026    
   5.6726        1.3523e+019   1.71196936e-026    
   5.6726        1.5352e+019   1.57323259e-026    
   5.6726        1.7428e+019   1.44520062e-026    
   5.6726        1.9784e+019   1.32702469e-026    
   5.6726        2.2460e+019   1.21795295e-026    
   5.6726        2.5497e+019   1.11731796e-026    
   5.6726        2.8944e+019   1.02452374e-026    
   5.6726        3.2858e+019   9.39033161e-027    
   5.6726        3.7301e+019   8.60356280e-027    
   5.6726        4.2345e+019   7.88040012e-027    
   5.6726        4.8071e+019   7.21659610e-027    
   5.6726        5.4572e+019   6.60812026e-027    
   5.6726        6.1951e+019   6.05111154e-027    
   5.6726        7.0328e+019   5.54184815e-027    
   5.6726        7.9838e+019   5.07673214e-027    
   5.6726        9.0634e+019   4.65228586e-027    
   5.6726        1.0289e+020   4.26515714e-027    
   5.6726        1.1680e+020   3.91213011e-027    
   5.6726        1.3260e+020   3.59013920e-027    
   5.6726        1.5053e+020   3.29628406e-027    
   5.6726        1.7088e+020   3.02784387e-027    
   5.6726        1.9399e+020   2.78228967e-027    
   5.6726        2.2022e+020   2.55729400e-027    
   5.6726        2.5000e+020   2.35073708e-027    
   5.8506        5.0000e+017   1.66538538e-025    
   5.8506        5.6761e+017   1.52854219e-025    
   5.8506        6.4437e+017   1.40310781e-025    
   5.8506        7.3150e+017   1.28811918e-025    
   5.8506        8.3041e+017   1.18269092e-025    
   5.8506        9.4270e+017   1.08601016e-025    
