#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=18.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:17
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(18)' coupled to the particle 'H(1)'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   7.49421985e-026    
   5.5000        5.6761e+017   6.87530982e-026    
   5.5000        6.4437e+017   6.30851736e-026    
   5.5000        7.3150e+017   5.78937058e-026    
   5.5000        8.3041e+017   5.31376846e-026    
   5.5000        9.4270e+017   4.87795431e-026    
   5.5000        1.0702e+018   4.47849280e-026    
   5.5000        1.2149e+018   4.11224923e-026    
   5.5000        1.3792e+018   3.77636971e-026    
   5.5000        1.5657e+018   3.46826125e-026    
   5.5000        1.7774e+018   3.18557129e-026    
   5.5000        2.0177e+018   2.92616635e-026    
   5.5000        2.2906e+018   2.68811023e-026    
   5.5000        2.6003e+018   2.46964228e-026    
   5.5000        2.9519e+018   2.26915637e-026    
   5.5000        3.3511e+018   2.08518156e-026    
   5.5000        3.8042e+018   1.91636486e-026    
   5.5000        4.3186e+018   1.76145684e-026    
   5.5000        4.9026e+018   1.61929998e-026    
   5.5000        5.5656e+018   1.48882008e-026    
   5.5000        6.3182e+018   1.36902007e-026    
   5.5000        7.1725e+018   1.25897605e-026    
   5.5000        8.1424e+018   1.15783481e-026    
   5.5000        9.2434e+018   1.06481234e-026    
   5.5000        1.0493e+019   9.79192552e-027    
   5.5000        1.1912e+019   9.00325891e-027    
   5.5000        1.3523e+019   8.27627311e-027    
   5.5000        1.5352e+019   7.60573385e-027    
   5.5000        1.7428e+019   6.98698439e-027    
   5.5000        1.9784e+019   6.41589749e-027    
   5.5000        2.2460e+019   5.88881974e-027    
   5.5000        2.5497e+019   5.40251059e-027    
   5.5000        2.8944e+019   4.95407962e-027    
   5.5000        3.2858e+019   4.54092501e-027    
   5.5000        3.7301e+019   4.16067637e-027    
   5.5000        4.2345e+019   3.81114445e-027    
   5.5000        4.8071e+019   3.49027916e-027    
   5.5000        5.4572e+019   3.19613685e-027    
   5.5000        6.1951e+019   2.92685672e-027    
   5.5000        7.0328e+019   2.68064564e-027    
