SEQ='BE'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  76039261.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   257223.7 

   LS RESOLVED TERM INDEXING            BWNR=  82908802.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    96     1    2S1 6D1             (1)2( 2.0)  6182413.8 
    97     1    2S1 6F1             (3)3(10.0)  6182760.7 
    98     1    2S1 6G1             (3)4(13.0)  6183339.0 
    99     1    2S1 6G1             (1)4( 4.0)  6183339.0 
   100     1    2S1 6H1             (3)5(16.0)  6183505.3 
   101     1    2S1 6H1             (1)5( 5.0)  6183505.3 
   102     1    2S1 6F1             (1)3( 3.0)  6183817.2 
   103     1    2S1 7S1             (3)0( 1.0)  6351237.6 
   104     1    2S1 7S1             (1)0( 0.0)  6353817.8 
   105     1    2S1 7P1             (3)1( 4.0)  6358555.0 
   106     1    2S1 7P1             (1)1( 1.0)  6359528.3 
   107     1    2S1 7D1             (3)2( 7.0)  6362719.7 
   108     1    2S1 7D1             (1)2( 2.0)  6364789.3 
   109     1    2S1 7F1             (3)3(10.0)  6365032.5 
   110     1    2S1 7G1             (3)4(13.0)  6365428.7 
   111     1    2S1 7G1             (1)4( 4.0)  6365428.7 
   112     1    2S1 7H1             (3)5(16.0)  6365533.4 
   113     1    2S1 7H1             (1)5( 5.0)  6365533.4 
   114     1    2S1 7I1             (3)6(19.0)  6365580.2 
   115     1    2S1 7I1             (1)6( 6.0)  6365580.2 
   116     1    2S1 7F1             (1)3( 3.0)  6365722.2 
   117     2    2P1 6S1             (3)1( 4.0)  6419825.7 
   118     2    2P1 6S1             (1)1( 1.0)  6421746.7 
   119     2    2P1 6P1             (1)1( 1.0)  6427717.6 
   120     2    2P1 6P1             (3)2( 7.0)  6428947.7 
   121     2    2P1 6P1             (3)0( 1.0)  6430792.8 
   122     2    2P1 6P1             (3)1( 4.0)  6431955.9 
   123     2    2P1 6P1             (1)2( 2.0)  6434883.8 
   124     2    2P1 6D1             (1)2( 2.0)  6435153.4 
   125     2    2P1 6D1             (3)3(10.0)  6435388.8 
   126     2    2P1 6D1             (3)2( 7.0)  6438036.8 
   127     2    2P1 6D1             (3)1( 4.0)  6438723.3 
   128     2    2P1 6F1             (1)3( 3.0)  6438897.3 
   129     2    2P1 6F1             (3)3(10.0)  6439235.3 
   130     2    2P1 6P1             (1)0( 0.0)  6439275.5 
   131     2    2P1 6F1             (3)4(13.0)  6440377.0 
   132     2    2P1 6G1             (3)3(10.0)  6440562.7 
   133     2    2P1 6G1             (1)3( 3.0)  6440562.7 
   134     2    2P1 6G1             (3)4(13.0)  6440562.7 
   135     2    2P1 6G1             (1)4( 4.0)  6440562.7 
   136     2    2P1 6G1             (3)5(16.0)  6440562.7 
   137     2    2P1 6G1             (1)5( 5.0)  6440562.7 
   138     2    2P1 6H1             (3)4(13.0)  6440729.0 
   139     2    2P1 6H1             (1)4( 4.0)  6440729.0 
   140     2    2P1 6H1             (3)5(16.0)  6440729.0 
