SEQ='N '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94468457.0   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    79     1    2S2 2P2 4F1         (4)3(13.5)  3998145.0 
    80     1    2S2 2P2 4F1         (2)3( 6.5)  4000250.0 
    81    11    2P4 3P1             (2)2( 4.5)  4015919.3 
    82    12    2P4 3S1             (2)0( 0.5)  4024713.6 
    83     2    2S2 2P2 4D1         (2)4( 8.5)  4034656.7 
    84     2    2S2 2P2 4D1         (2)3( 6.5)  4037400.7 
    85     4    2S1 2P3 4S1         (6)0( 2.5)  4039262.7 
    86     2    2S2 2P2 4D1         (2)2( 4.5)  4039500.8 
    87     2    2S2 2P2 4D1         (2)1( 2.5)  4045984.7 
    88     2    2S2 2P2 4D1         (2)0( 0.5)  4048713.8 
    89     3    2S2 2P2 4P1         (2)1( 2.5)  4049778.2 
    90    10    2P4 3D1             (4)2( 9.5)  4058145.0 
    91     4    2S1 2P3 4S1         (4)0( 1.5)  4060089.7 
    92     2    2S2 2P2 4F1         (2)4( 8.5)  4060378.4 
    93     2    2S2 2P2 4F1         (2)3( 6.5)  4061099.2 
    94     2    2S2 2P2 4F1         (2)2( 4.5)  4065294.4 
    95     2    2S2 2P2 4F1         (2)5(10.5)  4065555.1 
    96     2    2S2 2P2 4F1         (2)1( 2.5)  4069307.5 
    97    10    2P4 3D1             (4)3(13.5)  4079615.9 
    98    11    2P4 3P1             (2)1( 2.5)  4083475.8 
    99     4    2S1 2P3 4P1         (6)1( 8.5)  4090782.8 
   100    10    2P4 3D1             (2)3( 6.5)  4095484.2 
   101    10    2P4 3D1             (2)1( 2.5)  4105206.0 
   102     3    2S2 2P2 4D1         (2)2( 4.5)  4105930.9 
   103     4    2S1 2P3 4P1         (4)1( 5.5)  4110071.4 
   104    10    2P4 3D1             (2)2( 4.5)  4114656.6 
   105     3    2S2 2P2 4F1         (2)3( 6.5)  4131751.6 
   106     4    2S1 2P3 4D1         (6)2(14.5)  4144155.3 
   107    12    2P4 3P1             (2)1( 2.5)  4150682.7 
   108    11    2P4 3D1             (2)0( 0.5)  4159932.9 
   109    11    2P4 3D1             (2)3( 6.5)  4165762.6 
   110     4    2S1 2P3 4D1         (4)2( 9.5)  4169364.6 
   111     4    2S1 2P3 4F1         (6)3(20.5)  4178503.5 
   112     4    2S1 2P3 4F1         (4)3(13.5)  4180986.4 
   113    11    2P4 3D1             (2)1( 2.5)  4188291.8 
   114    11    2P4 3D1             (2)2( 4.5)  4188563.4 
   115     1    2S2 2P2 5S1         (4)1( 5.5)  4283418.4 
   116     1    2S2 2P2 5S1         (2)1( 2.5)  4287742.6 
   117    12    2P4 3D1             (2)2( 4.5)  4296303.2 
   118     1    2S2 2P2 5P1         (2)0( 0.5)  4305430.7 
   119     1    2S2 2P2 5P1         (4)2( 9.5)  4307838.6 
   120     1    2S2 2P2 5P1         (4)1( 5.5)  4309443.1 
   121     5    2S1 2P3 4P1         (4)1( 5.5)  4314840.6 
   122     1    2S2 2P2 5P1         (2)2( 4.5)  4315062.6 
   123     1    2S2 2P2 5P1         (4)0( 1.5)  4315453.8 
   124     1    2S2 2P2 5P1         (2)1( 2.5)  4318550.1 
