SEQ='N '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94468457.0   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   203       2.45E-13  1.73E-13  1.08E-13  7.54E-14  5.17E-14  3.01E-14  1.88E-14  1.09E-14  4.61E-15  2.13E-15
             9.02E-16  2.61E-16  9.74E-17  3.55E-17  9.13E-18  3.25E-18  1.15E-18  2.92E-19  1.03E-19
   204       6.31E-13  4.45E-13  2.79E-13  1.94E-13  1.33E-13  7.74E-14  4.85E-14  2.81E-14  1.19E-14  5.48E-15
             2.32E-15  6.72E-16  2.51E-16  9.12E-17  2.35E-17  8.36E-18  2.96E-18  7.51E-19  2.66E-19
   205       3.16E-13  2.22E-13  1.39E-13  9.69E-14  6.65E-14  3.87E-14  2.42E-14  1.41E-14  5.93E-15  2.74E-15
             1.16E-15  3.36E-16  1.25E-16  4.56E-17  1.17E-17  4.18E-18  1.48E-18  3.76E-19  1.33E-19
   206       7.71E-13  5.43E-13  3.40E-13  2.37E-13  1.63E-13  9.46E-14  5.92E-14  3.44E-14  1.45E-14  6.70E-15
             2.83E-15  8.21E-16  3.06E-16  1.11E-16  2.87E-17  1.02E-17  3.62E-18  9.18E-19  3.25E-19
   207       3.86E-13  2.72E-13  1.70E-13  1.18E-13  8.13E-14  4.73E-14  2.96E-14  1.72E-14  7.24E-15  3.35E-15
             1.42E-15  4.11E-16  1.53E-16  5.57E-17  1.44E-17  5.11E-18  1.81E-18  4.59E-19  1.62E-19
   208       7.70E-13  5.43E-13  3.42E-13  2.40E-13  1.67E-13  1.01E-13  6.62E-14  4.14E-14  1.97E-14  1.01E-14
             4.70E-15  1.50E-15  5.89E-16  2.21E-16  5.84E-17  2.10E-17  7.47E-18  1.90E-18  6.72E-19
   209       2.23E-13  1.57E-13  9.77E-14  6.74E-14  4.53E-14  2.52E-14  1.49E-14  8.04E-15  3.04E-15  1.30E-15
             5.18E-16  1.42E-16  5.19E-17  1.87E-17  4.76E-18  1.69E-18  5.99E-19  1.52E-19  5.36E-20
   210       1.12E-13  7.85E-14  4.89E-14  3.37E-14  2.27E-14  1.26E-14  7.45E-15  4.02E-15  1.52E-15  6.50E-16
             2.59E-16  7.12E-17  2.60E-17  9.33E-18  2.38E-18  8.45E-19  2.99E-19  7.58E-20  2.68E-20
   211       2.73E-13  1.92E-13  1.19E-13  8.23E-14  5.54E-14  3.08E-14  1.82E-14  9.83E-15  3.71E-15  1.59E-15
             6.33E-16  1.74E-16  6.35E-17  2.28E-17  5.82E-18  2.07E-18  7.32E-19  1.85E-19  6.55E-20
   212       1.36E-13  9.60E-14  5.97E-14  4.12E-14  2.77E-14  1.54E-14  9.11E-15  4.92E-15  1.86E-15  7.95E-16
             3.17E-16  8.70E-17  3.17E-17  1.14E-17  2.91E-18  1.03E-18  3.66E-19  9.26E-20  3.28E-20
   213       3.23E-13  2.27E-13  1.41E-13  9.73E-14  6.55E-14  3.64E-14  2.15E-14  1.16E-14  4.38E-15  1.88E-15
             7.48E-16  2.06E-16  7.50E-17  2.69E-17  6.88E-18  2.44E-18  8.65E-19  2.19E-19  7.74E-20
   214       1.61E-13  1.13E-13  7.06E-14  4.86E-14  3.28E-14  1.82E-14  1.08E-14  5.81E-15  2.19E-15  9.39E-16
             3.74E-16  1.03E-16  3.75E-17  1.35E-17  3.44E-18  1.22E-18  4.32E-19  1.09E-19  3.87E-20
   215       3.82E-13  2.70E-13  1.70E-13  1.19E-13  8.29E-14  5.00E-14  3.29E-14  2.06E-14  9.82E-15  5.03E-15
             2.34E-15  7.49E-16  2.94E-16  1.10E-16  2.91E-17  1.05E-17  3.73E-18  9.47E-19  3.35E-19
   218       4.45E-16  3.15E-16  2.00E-16  1.42E-16  1.01E-16  6.56E-17  4.78E-17  3.51E-17  2.32E-17  1.64E-17
             1.09E-17  5.66E-18  3.10E-18  1.55E-18  5.42E-19  2.26E-19  8.96E-20  2.48E-20  9.12E-21
   219       2.67E-16  1.89E-16  1.20E-16  8.50E-17  6.07E-17  3.94E-17  2.87E-17  2.11E-17  1.40E-17  9.89E-18
             6.60E-18  3.43E-18  1.88E-18  9.36E-19  3.29E-19  1.37E-19  5.43E-20  1.50E-20  5.53E-21
   221       8.02E-16  5.67E-16  3.59E-16  2.55E-16  1.81E-16  1.15E-16  8.13E-17  5.67E-17  3.31E-17  2.03E-17
             1.13E-17  4.49E-18  2.01E-18  8.33E-19  2.39E-19  8.90E-20  3.24E-20  8.36E-21  2.98E-21
   222       2.60E-17  1.84E-17  1.17E-17  8.26E-18  5.86E-18  3.73E-18  2.64E-18  1.84E-18  1.08E-18  6.60E-19
             3.69E-19  1.47E-19  6.56E-20  2.72E-20  7.81E-21  2.91E-21  1.06E-21  2.73E-22  9.73E-23
   223       1.12E-16  7.90E-17  5.00E-17  3.54E-17  2.52E-17  1.60E-17  1.14E-17  7.94E-18  4.64E-18  2.85E-18
             1.59E-18  6.34E-19  2.84E-19  1.18E-19  3.38E-20  1.26E-20  4.59E-21  1.18E-21  4.21E-22
   225       1.21E-17  8.55E-18  5.40E-18  3.81E-18  2.67E-18  1.66E-18  1.12E-18  7.30E-19  3.69E-19  1.96E-19
             9.41E-20  3.09E-20  1.23E-20  4.65E-21  1.23E-21  4.44E-22  1.58E-22  4.02E-23  1.43E-23
   233       2.40E-18  1.70E-18  1.07E-18  7.56E-19  5.31E-19  3.29E-19  2.23E-19  1.45E-19  7.35E-20  3.92E-20
             1.88E-20  6.18E-21  2.45E-21  9.30E-22  2.47E-22  8.87E-23  3.16E-23  8.05E-24  2.85E-24
   240       1.87E-13  1.32E-13  8.37E-14  5.92E-14  4.18E-14  2.65E-14  1.87E-14  1.32E-14  8.25E-15  5.74E-15
             3.94E-15  2.33E-15  1.51E-15  9.29E-16  4.45E-16  2.35E-16  1.16E-16  4.12E-17  1.77E-17
   241       9.24E-14  6.53E-14  4.13E-14  2.92E-14  2.07E-14  1.31E-14  9.26E-15  6.54E-15  4.10E-15  2.85E-15
             1.96E-15  1.16E-15  7.53E-16  4.64E-16  2.22E-16  1.17E-16  5.78E-17  2.06E-17  8.84E-18
   243       4.02E-14  2.84E-14  1.80E-14  1.27E-14  8.97E-15  5.65E-15  3.97E-15  2.77E-15  1.67E-15  1.11E-15
             6.96E-16  3.41E-16  1.81E-16  8.85E-17  3.06E-17  1.27E-17  4.99E-18  1.38E-18  5.05E-19
   244       3.99E-13  2.82E-13  1.79E-13  1.26E-13  8.91E-14  5.62E-14  3.95E-14  2.75E-14  1.67E-14  1.10E-14
             6.94E-15  3.40E-15  1.81E-15  8.84E-16  3.05E-16  1.27E-16  4.99E-17  1.38E-17  5.05E-18
   245       2.39E-13  1.69E-13  1.07E-13  7.54E-14  5.32E-14  3.36E-14  2.36E-14  1.65E-14  9.98E-15  6.60E-15
             4.16E-15  2.04E-15  1.08E-15  5.30E-16  1.83E-16  7.59E-17  2.99E-17  8.25E-18  3.03E-18
   246       7.82E-14  5.53E-14  3.49E-14  2.47E-14  1.75E-14  1.10E-14  7.76E-15  5.42E-15  3.30E-15  2.19E-15
             1.38E-15  6.77E-16  3.60E-16  1.76E-16  6.09E-17  2.53E-17  9.96E-18  2.75E-18  1.01E-18
   247       1.95E-13  1.38E-13  8.72E-14  6.17E-14  4.36E-14  2.75E-14  1.94E-14  1.35E-14  8.23E-15  5.46E-15
             3.44E-15  1.69E-15  9.00E-16  4.41E-16  1.52E-16  6.31E-17  2.49E-17  6.86E-18  2.52E-18
   248       1.16E-13  8.19E-14  5.18E-14  3.66E-14  2.59E-14  1.64E-14  1.15E-14  8.06E-15  4.91E-15  3.26E-15
             2.06E-15  1.01E-15  5.39E-16  2.64E-16  9.12E-17  3.78E-17  1.49E-17  4.11E-18  1.51E-18
   249       6.52E-13  4.61E-13  2.91E-13  2.05E-13  1.44E-13  8.89E-14  6.07E-14  4.03E-14  2.18E-14  1.26E-14
             6.73E-15  2.56E-15  1.12E-15  4.58E-16  1.30E-16  4.81E-17  1.75E-17  4.50E-18  1.60E-18
   250       4.63E-13  3.27E-13  2.06E-13  1.45E-13  1.02E-13  6.31E-14  4.31E-14  2.86E-14  1.55E-14  8.99E-15
             4.80E-15  1.82E-15  7.98E-16  3.26E-16  9.26E-17  3.43E-17  1.25E-17  3.21E-18  1.14E-18
   251       1.38E-13  9.77E-14  6.16E-14  4.34E-14  3.05E-14  1.89E-14  1.29E-14  8.57E-15  4.64E-15  2.69E-15
             1.44E-15  5.47E-16  2.39E-16  9.78E-17  2.77E-17  1.03E-17  3.73E-18  9.62E-19  3.42E-19
   252       2.75E-13  1.94E-13  1.22E-13  8.63E-14  6.06E-14  3.75E-14  2.57E-14  1.71E-14  9.24E-15  5.37E-15
             2.87E-15  1.09E-15  4.78E-16  1.95E-16  5.54E-17  2.05E-17  7.46E-18  1.92E-18  6.84E-19
   253       1.20E-17  8.48E-18  5.40E-18  3.87E-18  2.80E-18  1.88E-18  1.44E-18  1.13E-18  8.23E-19  6.24E-19
             4.40E-19  2.40E-19  1.35E-19  6.85E-20  2.44E-20  1.02E-20  4.06E-21  1.13E-21  4.15E-22
   254       3.17E-13  2.24E-13  1.41E-13  9.95E-14  6.99E-14  4.33E-14  2.97E-14  1.97E-14  1.07E-14  6.23E-15
             3.33E-15  1.27E-15  5.55E-16  2.27E-16  6.44E-17  2.39E-17  8.68E-18  2.23E-18  7.95E-19
   255       2.23E-13  1.58E-13  9.95E-14  7.01E-14  4.93E-14  3.06E-14  2.09E-14  1.40E-14  7.59E-15  4.42E-15
             2.37E-15  9.02E-16  3.95E-16  1.62E-16  4.59E-17  1.70E-17  6.18E-18  1.59E-18  5.67E-19
   256       4.06E-13  2.86E-13  1.80E-13  1.26E-13  8.78E-14  5.29E-14  3.48E-14  2.17E-14  1.03E-14  5.26E-15
             2.44E-15  7.80E-16  3.06E-16  1.15E-16  3.03E-17  1.09E-17  3.87E-18  9.84E-19  3.49E-19
   257       7.30E-13  5.15E-13  3.24E-13  2.27E-13  1.58E-13  9.53E-14  6.26E-14  3.90E-14  1.85E-14  9.48E-15
             4.40E-15  1.40E-15  5.50E-16  2.07E-16  5.45E-17  1.96E-17  6.97E-18  1.77E-18  6.27E-19
   258       2.03E-13  1.43E-13  9.00E-14  6.31E-14  4.39E-14  2.65E-14  1.74E-14  1.08E-14  5.15E-15  2.63E-15
             1.22E-15  3.90E-16  1.53E-16  5.74E-17  1.51E-17  5.43E-18  1.94E-18  4.92E-19  1.74E-19
   259       3.63E-13  2.56E-13  1.61E-13  1.13E-13  7.87E-14  4.74E-14  3.12E-14  1.94E-14  9.25E-15  4.73E-15
             2.20E-15  7.01E-16  2.75E-16  1.03E-16  2.72E-17  9.77E-18  3.48E-18  8.85E-19  3.13E-19
   260       4.32E-13  3.04E-13  1.91E-13  1.33E-13  9.10E-14  5.29E-14  3.31E-14  1.92E-14  8.09E-15  3.74E-15
             1.58E-15  4.58E-16  1.71E-16  6.21E-17  1.60E-17  5.69E-18  2.02E-18  5.12E-19  1.81E-19
   261       2.16E-13  1.52E-13  9.53E-14  6.63E-14  4.55E-14  2.65E-14  1.66E-14  9.62E-15  4.04E-15  1.87E-15
             7.90E-16  2.29E-16  8.53E-17  3.10E-17  8.00E-18  2.85E-18  1.01E-18  2.56E-19  9.05E-20
   262       5.55E-13  3.91E-13  2.45E-13  1.71E-13  1.17E-13  6.80E-14  4.26E-14  2.47E-14  1.04E-14  4.80E-15
             2.03E-15  5.89E-16  2.19E-16  7.98E-17  2.06E-17  7.32E-18  2.60E-18  6.58E-19  2.33E-19
   263       2.78E-13  1.96E-13  1.23E-13  8.53E-14  5.85E-14  3.40E-14  2.13E-14  1.24E-14  5.20E-15  2.40E-15
             1.02E-15  2.94E-16  1.10E-16  3.99E-17  1.03E-17  3.66E-18  1.30E-18  3.29E-19  1.16E-19
   264       6.78E-13  4.78E-13  2.99E-13  2.08E-13  1.43E-13  8.32E-14  5.21E-14  3.02E-14  1.27E-14  5.87E-15
             2.48E-15  7.19E-16  2.68E-16  9.76E-17  2.51E-17  8.94E-18  3.17E-18  8.04E-19  2.84E-19
   265       3.39E-13  2.39E-13  1.50E-13  1.04E-13  7.15E-14  4.16E-14  2.60E-14  1.51E-14  6.35E-15  2.94E-15
             1.24E-15  3.60E-16  1.34E-16  4.88E-17  1.26E-17  4.47E-18  1.59E-18  4.02E-19  1.42E-19
   266       5.64E-13  3.98E-13  2.50E-13  1.76E-13  1.22E-13  7.36E-14  4.84E-14  3.02E-14  1.44E-14  7.34E-15
             3.41E-15  1.09E-15  4.27E-16  1.60E-16  4.23E-17  1.52E-17  5.41E-18  1.37E-18  4.87E-19
   267       3.13E-13  2.20E-13  1.37E-13  9.44E-14  6.36E-14  3.53E-14  2.09E-14  1.13E-14  4.25E-15  1.82E-15
             7.25E-16  1.99E-16  7.27E-17  2.61E-17  6.67E-18  2.37E-18  8.38E-19  2.12E-19  7.51E-20
   268       1.56E-13  1.10E-13  6.85E-14  4.72E-14  3.18E-14  1.77E-14  1.05E-14  5.64E-15  2.13E-15  9.11E-16
             3.63E-16  9.97E-17  3.63E-17  1.31E-17  3.34E-18  1.18E-18  4.19E-19  1.06E-19  3.75E-20
   269       3.83E-13  2.69E-13  1.67E-13  1.15E-13  7.77E-14  4.32E-14  2.56E-14  1.38E-14  5.20E-15  2.23E-15
             8.87E-16  2.44E-16  8.88E-17  3.19E-17  8.15E-18  2.89E-18  1.02E-18  2.59E-19  9.17E-20
   270       1.91E-13  1.34E-13  8.37E-14  5.77E-14  3.89E-14  2.16E-14  1.28E-14  6.89E-15  2.60E-15  1.11E-15
             4.43E-16  1.22E-16  4.44E-17  1.60E-17  4.08E-18  1.45E-18  5.12E-19  1.30E-19  4.59E-20
   271       4.52E-13  3.18E-13  1.98E-13  1.36E-13  9.18E-14  5.10E-14  3.02E-14  1.63E-14  6.14E-15  2.63E-15
             1.05E-15  2.88E-16  1.05E-16  3.77E-17  9.64E-18  3.42E-18  1.21E-18  3.07E-19  1.08E-19
   272       2.26E-13  1.59E-13  9.89E-14  6.82E-14  4.59E-14  2.55E-14  1.51E-14  8.14E-15  3.07E-15  1.32E-15
             5.24E-16  1.44E-16  5.25E-17  1.89E-17  4.82E-18  1.71E-18  6.05E-19  1.53E-19  5.42E-20
   273       1.15E-13  8.09E-14  4.99E-14  3.40E-14  2.23E-14  1.18E-14  6.55E-15  3.30E-15  1.14E-15  4.60E-16
             1.76E-16  4.70E-17  1.69E-17  6.04E-18  1.54E-18  5.45E-19  1.93E-19  4.88E-20  1.73E-20
   274       5.77E-14  4.04E-14  2.50E-14  1.70E-14  1.12E-14  5.88E-15  3.28E-15  1.65E-15  5.68E-16  2.30E-16
             8.81E-17  2.35E-17  8.46E-18  3.02E-18  7.69E-19  2.72E-19  9.64E-20  2.44E-20  8.63E-21
   275       1.36E-13  9.56E-14  5.90E-14  4.01E-14  2.64E-14  1.39E-14  7.75E-15  3.89E-15  1.34E-15  5.44E-16
             2.08E-16  5.55E-17  2.00E-17  7.14E-18  1.82E-18  6.44E-19  2.28E-19  5.77E-20  2.04E-20
   276       6.82E-14  4.78E-14  2.95E-14  2.01E-14  1.32E-14  6.95E-15  3.87E-15  1.95E-15  6.71E-16  2.72E-16
             1.04E-16  2.78E-17  1.00E-17  3.57E-18  9.09E-19  3.22E-19  1.14E-19  2.88E-20  1.02E-20
   277       1.57E-13  1.10E-13  6.81E-14  4.63E-14  3.05E-14  1.60E-14  8.94E-15  4.49E-15  1.55E-15  6.27E-16
             2.40E-16  6.41E-17  2.31E-17  8.24E-18  2.10E-18  7.43E-19  2.63E-19  6.65E-20  2.35E-20
   278       7.87E-14  5.51E-14  3.40E-14  2.32E-14  1.52E-14  8.02E-15  4.47E-15  2.25E-15  7.74E-16  3.14E-16
             1.20E-16  3.20E-17  1.15E-17  4.12E-18  1.05E-18  3.71E-19  1.31E-19  3.33E-20  1.18E-20
   279       2.80E-13  1.98E-13  1.25E-13  8.73E-14  6.07E-14  3.66E-14  2.41E-14  1.50E-14  7.15E-15  3.66E-15
             1.70E-15  5.43E-16  2.13E-16  8.00E-17  2.11E-17  7.57E-18  2.70E-18  6.86E-19  2.43E-19
   280       2.49E-17  1.77E-17  1.12E-17  8.03E-18  5.78E-18  3.82E-18  2.84E-18  2.11E-18  1.35E-18  8.82E-19
             5.17E-19  2.15E-19  9.83E-20  4.14E-20  1.20E-20  4.49E-21  1.64E-21  4.24E-22  1.51E-22
   281       3.27E-19  2.32E-19  1.47E-19  1.04E-19  7.45E-20  4.79E-20  3.40E-20  2.34E-20  1.28E-20  7.18E-21
             3.58E-21  1.22E-21  4.90E-22  1.87E-22  5.00E-23  1.80E-23  6.44E-24  1.64E-24  5.81E-25
   291       8.51E-17  6.03E-17  3.84E-17  2.74E-17  1.97E-17  1.30E-17  9.74E-18  7.36E-18  5.02E-18  3.61E-18
             2.43E-18  1.27E-18  6.95E-19  3.47E-19  1.22E-19  5.08E-20  2.01E-20  5.57E-21  2.05E-21
   292       5.11E-17  3.62E-17  2.30E-17  1.64E-17  1.18E-17  7.84E-18  5.86E-18  4.43E-18  3.03E-18  2.18E-18
             1.47E-18  7.68E-19  4.21E-19  2.10E-19  7.38E-20  3.08E-20  1.22E-20  3.38E-21  1.24E-21
   294       1.30E-13  9.20E-14  5.81E-14  4.11E-14  2.91E-14  1.83E-14  1.29E-14  9.07E-15  5.63E-15  3.89E-15
             2.65E-15  1.56E-15  1.00E-15  6.18E-16  2.95E-16  1.56E-16  7.66E-17  2.73E-17  1.17E-17
   295       6.43E-14  4.55E-14  2.88E-14  2.03E-14  1.44E-14  9.08E-15  6.41E-15  4.50E-15  2.80E-15  1.94E-15
             1.32E-15  7.78E-16  5.02E-16  3.09E-16  1.48E-16  7.78E-17  3.83E-17  1.36E-17  5.85E-18
   297       1.61E-16  1.14E-16  7.26E-17  5.17E-17  3.70E-17  2.41E-17  1.74E-17  1.25E-17  7.51E-18  4.68E-18
             2.64E-18  1.06E-18  4.75E-19  1.97E-19  5.67E-20  2.11E-20  7.70E-21  1.99E-21  7.07E-22
   298       5.02E-18  3.56E-18  2.26E-18  1.61E-18  1.15E-18  7.49E-19  5.43E-19  3.89E-19  2.35E-19  1.46E-19
             8.27E-20  3.32E-20  1.49E-20  6.18E-21  1.78E-21  6.62E-22  2.41E-22  6.22E-23  2.21E-23
   300       2.41E-17  1.71E-17  1.08E-17  7.72E-18  5.53E-18  3.60E-18  2.61E-18  1.87E-18  1.13E-18  7.07E-19
             4.00E-19  1.60E-19  7.20E-20  2.99E-20  8.60E-21  3.20E-21  1.17E-21  3.01E-22  1.07E-22
   301       2.78E-14  1.97E-14  1.24E-14  8.78E-15  6.20E-15  3.90E-15  2.73E-15  1.90E-15  1.14E-15  7.50E-16
             4.70E-16  2.29E-16  1.21E-16  5.93E-17  2.05E-17  8.48E-18  3.34E-18  9.21E-19  3.38E-19
   303       2.76E-13  1.95E-13  1.24E-13  8.73E-14  6.16E-14  3.88E-14  2.72E-14  1.89E-14  1.14E-14  7.48E-15
             4.69E-15  2.29E-15  1.21E-15  5.93E-16  2.05E-16  8.48E-17  3.34E-17  9.21E-18  3.38E-18
   304       1.65E-13  1.17E-13  7.38E-14  5.22E-14  3.68E-14  2.32E-14  1.62E-14  1.13E-14  6.81E-15  4.48E-15
             2.81E-15  1.37E-15  7.28E-16  3.56E-16  1.23E-16  5.08E-17  2.00E-17  5.52E-18  2.03E-18
   307       5.43E-14  3.84E-14  2.43E-14  1.71E-14  1.21E-14  7.63E-15  5.36E-15  3.73E-15  2.25E-15  1.49E-15
             9.33E-16  4.56E-16  2.42E-16  1.18E-16  4.08E-17  1.69E-17  6.67E-18  1.84E-18  6.75E-19
   308       1.36E-13  9.58E-14  6.06E-14  4.28E-14  3.02E-14  1.91E-14  1.34E-14  9.32E-15  5.63E-15  3.71E-15
             2.33E-15  1.14E-15  6.05E-16  2.96E-16  1.02E-16  4.23E-17  1.67E-17  4.60E-18  1.69E-18
   311       3.16E-18  2.23E-18  1.42E-18  1.00E-18  7.11E-19  4.49E-19  3.12E-19  2.08E-19  1.08E-19  5.84E-20
             2.83E-20  9.37E-21  3.73E-21  1.42E-21  3.76E-22  1.35E-22  4.83E-23  1.23E-23  4.35E-24
   316       8.06E-14  5.70E-14  3.60E-14  2.55E-14  1.80E-14  1.13E-14  7.97E-15  5.56E-15  3.36E-15  2.22E-15
             1.40E-15  6.82E-16  3.63E-16  1.77E-16  6.12E-17  2.54E-17  9.99E-18  2.76E-18  1.01E-18
   323       6.43E-19  4.55E-19  2.88E-19  2.04E-19  1.45E-19  9.17E-20  6.37E-20  4.25E-20  2.21E-20  1.20E-20
             5.80E-21  1.92E-21  7.66E-22  2.91E-22  7.71E-23  2.78E-23  9.90E-24  2.52E-24  8.92E-25
   335       4.60E-13  3.25E-13  2.05E-13  1.44E-13  1.01E-13  6.25E-14  4.26E-14  2.82E-14  1.52E-14  8.78E-15
             4.67E-15  1.77E-15  7.73E-16  3.16E-16  8.95E-17  3.32E-17  1.20E-17  3.10E-18  1.10E-18
   336       3.27E-13  2.31E-13  1.46E-13  1.03E-13  7.19E-14  4.44E-14  3.03E-14  2.01E-14  1.08E-14  6.25E-15
             3.33E-15  1.26E-15  5.51E-16  2.25E-16  6.38E-17  2.37E-17  8.59E-18  2.21E-18  7.87E-19
   337       9.77E-14  6.90E-14  4.35E-14  3.07E-14  2.15E-14  1.33E-14  9.07E-15  6.01E-15  3.24E-15  1.87E-15
             9.97E-16  3.78E-16  1.65E-16  6.75E-17  1.91E-17  7.09E-18  2.58E-18  6.63E-19  2.36E-19
   338       1.94E-13  1.37E-13  8.66E-14  6.10E-14  4.28E-14  2.65E-14  1.81E-14  1.20E-14  6.46E-15  3.74E-15
             1.99E-15  7.55E-16  3.30E-16  1.35E-16  3.82E-17  1.42E-17  5.15E-18  1.33E-18  4.71E-19
   339       2.24E-13  1.59E-13  1.00E-13  7.05E-14  4.95E-14  3.06E-14  2.09E-14  1.39E-14  7.49E-15  4.34E-15
             2.31E-15  8.79E-16  3.84E-16  1.57E-16  4.45E-17  1.65E-17  5.99E-18  1.54E-18  5.49E-19
   340       1.58E-13  1.12E-13  7.06E-14  4.98E-14  3.49E-14  2.16E-14  1.48E-14  9.83E-15  5.32E-15  3.09E-15
             1.65E-15  6.26E-16  2.74E-16  1.12E-16  3.17E-17  1.18E-17  4.27E-18  1.10E-18  3.91E-19
   341       5.42E-13  3.82E-13  2.41E-13  1.69E-13  1.17E-13  7.06E-14  4.63E-14  2.88E-14  1.37E-14  6.96E-15
             3.23E-15  1.03E-15  4.03E-16  1.51E-16  3.99E-17  1.43E-17  5.10E-18  1.30E-18  4.59E-19
   342       3.01E-13  2.12E-13  1.34E-13  9.37E-14  6.51E-14  3.92E-14  2.57E-14  1.60E-14  7.58E-15  3.87E-15
             1.79E-15  5.72E-16  2.24E-16  8.40E-17  2.22E-17  7.95E-18  2.83E-18  7.20E-19  2.55E-19
   343       1.50E-13  1.06E-13  6.68E-14  4.68E-14  3.25E-14  1.96E-14  1.29E-14  8.00E-15  3.79E-15  1.93E-15
             8.97E-16  2.86E-16  1.12E-16  4.20E-17  1.11E-17  3.97E-18  1.42E-18  3.60E-19  1.27E-19
   344       2.70E-13  1.90E-13  1.20E-13  8.40E-14  5.84E-14  3.52E-14  2.31E-14  1.44E-14  6.81E-15  3.48E-15
             1.61E-15  5.14E-16  2.01E-16  7.55E-17  1.99E-17  7.15E-18  2.55E-18  6.47E-19  2.29E-19
   345       3.54E-13  2.49E-13  1.56E-13  1.09E-13  7.46E-14  4.33E-14  2.71E-14  1.57E-14  6.61E-15  3.05E-15
             1.29E-15  3.73E-16  1.39E-16  5.06E-17  1.30E-17  4.64E-18  1.64E-18  4.17E-19  1.47E-19
   346       1.77E-13  1.25E-13  7.81E-14  5.44E-14  3.73E-14  2.17E-14  1.36E-14  7.86E-15  3.30E-15  1.53E-15
             6.44E-16  1.87E-16  6.95E-17  2.53E-17  6.52E-18  2.32E-18  8.22E-19  2.08E-19  7.37E-20
   347       4.55E-13  3.21E-13  2.01E-13  1.40E-13  9.59E-14  5.57E-14  3.49E-14  2.02E-14  8.49E-15  3.92E-15
             1.66E-15  4.80E-16  1.79E-16  6.51E-17  1.68E-17  5.96E-18  2.11E-18  5.36E-19  1.90E-19
   348       2.28E-13  1.60E-13  1.00E-13  6.99E-14  4.80E-14  2.79E-14  1.74E-14  1.01E-14  4.25E-15  1.96E-15
             8.29E-16  2.40E-16  8.94E-17  3.25E-17  8.38E-18  2.98E-18  1.06E-18  2.68E-19  9.48E-20
   349       5.56E-13  3.92E-13  2.46E-13  1.71E-13  1.17E-13  6.81E-14  4.26E-14  2.47E-14  1.04E-14  4.79E-15
             2.03E-15  5.86E-16  2.19E-16  7.95E-17  2.05E-17  7.29E-18  2.58E-18  6.55E-19  2.32E-19
   350       2.78E-13  1.96E-13  1.23E-13  8.55E-14  5.86E-14  3.41E-14  2.13E-14  1.24E-14  5.19E-15  2.40E-15
             1.01E-15  2.93E-16  1.09E-16  3.98E-17  1.02E-17  3.64E-18  1.29E-18  3.28E-19  1.16E-19
   351       4.19E-13  2.96E-13  1.86E-13  1.30E-13  9.07E-14  5.46E-14  3.58E-14  2.23E-14  1.06E-14  5.40E-15
             2.50E-15  7.99E-16  3.13E-16  1.17E-16  3.10E-17  1.11E-17  3.96E-18  1.01E-18  3.56E-19
   352       3.17E-13  2.23E-13  1.39E-13  9.58E-14  6.45E-14  3.58E-14  2.12E-14  1.14E-14  4.31E-15  1.84E-15
             7.34E-16  2.02E-16  7.36E-17  2.64E-17  6.75E-18  2.39E-18  8.48E-19  2.15E-19  7.60E-20
   353       1.59E-13  1.12E-13  6.95E-14  4.79E-14  3.22E-14  1.79E-14  1.06E-14  5.71E-15  2.15E-15  9.22E-16
             3.67E-16  1.01E-16  3.68E-17  1.32E-17  3.38E-18  1.20E-18  4.24E-19  1.07E-19  3.80E-20
   354       3.88E-13  2.73E-13  1.70E-13  1.17E-13  7.88E-14  4.38E-14  2.59E-14  1.40E-14  5.26E-15  2.25E-15
             8.97E-16  2.47E-16  8.99E-17  3.23E-17  8.25E-18  2.93E-18  1.04E-18  2.62E-19  9.28E-20
   355       1.94E-13  1.36E-13  8.49E-14  5.85E-14  3.94E-14  2.19E-14  1.29E-14  6.98E-15  2.63E-15  1.13E-15
             4.49E-16  1.23E-16  4.50E-17  1.61E-17  4.13E-18  1.46E-18  5.18E-19  1.31E-19  4.64E-20
   356       4.58E-13  3.22E-13  2.01E-13  1.38E-13  9.31E-14  5.17E-14  3.06E-14  1.65E-14  6.22E-15  2.66E-15
             1.06E-15  2.92E-16  1.06E-16  3.82E-17  9.75E-18  3.46E-18  1.22E-18  3.10E-19  1.10E-19
   357       2.29E-13  1.61E-13  1.00E-13  6.92E-14  4.66E-14  2.59E-14  1.53E-14  8.25E-15  3.11E-15  1.33E-15
             5.30E-16  1.46E-16  5.31E-17  1.91E-17  4.88E-18  1.73E-18  6.12E-19  1.55E-19  5.49E-20
   358       1.92E-13  1.35E-13  8.32E-14  5.66E-14  3.72E-14  1.96E-14  1.09E-14  5.49E-15  1.89E-15  7.66E-16
             2.93E-16  7.83E-17  2.82E-17  1.01E-17  2.56E-18  9.07E-19  3.21E-19  8.13E-20  2.87E-20
   359       9.61E-14  6.74E-14  4.16E-14  2.83E-14  1.86E-14  9.79E-15  5.46E-15  2.74E-15  9.45E-16  3.83E-16
             1.47E-16  3.91E-17  1.41E-17  5.03E-18  1.28E-18  4.54E-19  1.61E-19  4.06E-20  1.44E-20
