SEQ='NE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 108033272.5   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    17922.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 111432848.8   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    84     1    2S2 2P5 5D1         (3)3( 3.0)  3031005.5 
    85     1    2S2 2P5 5D1         (1)2( 2.0)  3032047.3 
    86     1    2S2 2P5 5D1         (3)2( 3.0)  3032535.2 
    87     1    2S2 2P5 5D1         (3)2( 1.0)  3036673.8 
    88     1    2S2 2P5 5F1         (3)2( 1.0)  3042374.7 
    89     1    2S2 2P5 5F1         (3)2( 2.0)  3042607.6 
    90     1    2S2 2P5 5G1         (1)*( 2.0)  3042757.1 
    91     1    2S2 2P5 5G1         (1)*( 3.0)  3042757.1 
    92     1    2S2 2P5 5G1         (1)*( 4.0)  3042757.1 
    93     1    2S2 2P5 5G1         (1)*( 5.0)  3042757.1 
    94     1    2S2 2P5 5G1         (1)*( 3.0)  3042757.1 
    95     1    2S2 2P5 5G1         (1)*( 4.0)  3042757.1 
    96     1    2S2 2P5 5G1         (1)*( 5.0)  3042757.1 
    97     1    2S2 2P5 5G1         (1)*( 6.0)  3042757.1 
    98     1    2S2 2P5 5F1         (3)4( 5.0)  3042862.4 
    99     1    2S2 2P5 5F1         (1)4( 4.0)  3042908.8 
   100     1    2S2 2P5 5F1         (3)3( 3.0)  3043322.2 
   101     1    2S2 2P5 5F1         (3)3( 2.0)  3043529.8 
   102     1    2S2 2P5 5F1         (1)3( 3.0)  3043748.4 
   103     1    2S2 2P5 5F1         (3)3( 4.0)  3043812.6 
   104     2    2S2 2P5 5D1         (3)3( 2.0)  3048697.5 
   105     2    2S2 2P5 5D1         (3)2( 2.0)  3048955.6 
   106     2    2S2 2P5 5D1         (1)3( 3.0)  3049433.5 
   107     2    2S2 2P5 5D1         (1)1( 1.0)  3053497.3 
   108     2    2S2 2P5 5G1         (1)*( 3.0)  3060679.4 
   109     2    2S2 2P5 5G1         (1)*( 4.0)  3060679.4 
   110     2    2S2 2P5 5G1         (1)*( 4.0)  3060679.4 
   111     2    2S2 2P5 5G1         (1)*( 5.0)  3060679.4 
   112     2    2S2 2P5 5F1         (3)4( 3.0)  3061070.9 
   113     2    2S2 2P5 5F1         (3)2( 3.0)  3061139.7 
   114     2    2S2 2P5 5F1         (3)4( 4.0)  3061171.7 
   115     2    2S2 2P5 5F1         (1)2( 2.0)  3061291.7 
   116     1    2S2 2P5 6S1         (3)1( 2.0)  3111523.8 
   117     1    2S2 2P5 6S1         (1)1( 1.0)  3112298.0 
   118     1    2S2 2P5 6P1         (3)0( 1.0)  3125246.8 
   119     1    2S2 2P5 6P1         (3)2( 3.0)  3126245.3 
   120     1    2S2 2P5 6P1         (3)2( 2.0)  3126419.9 
   121     1    2S2 2P5 6P1         (1)1( 1.0)  3127002.3 
   122     1    2S2 2P5 6P1         (3)1( 2.0)  3127324.9 
   123     2    2S2 2P5 6S1         (3)1( 0.0)  3129446.1 
   124     2    2S2 2P5 6S1         (3)1( 1.0)  3129859.9 
   125     1    2S2 2P5 6P1         (3)1( 0.0)  3132044.5 
   126     1    2S2 2P5 6D1         (3)1( 0.0)  3143787.7 
   127     2    2S2 2P5 6P1         (3)2( 1.0)  3144045.6 
   128     1    2S2 2P5 6D1         (3)1( 1.0)  3144222.9 
