SEQ='B '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83257501.5   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    83     1    2S2 4S1             (2)0( 0.5)  4620985.7 
    84     1    2S2 4P1             (2)1( 0.5)  4667796.6 
    85     1    2S2 4P1             (2)1( 1.5)  4670256.2 
    86     1    2S2 4D1             (2)2( 1.5)  4707739.2 
    87     1    2S2 4D1             (2)2( 2.5)  4708479.5 
    88     1    2S2 4F1             (2)3( 2.5)  4728149.7 
    89     1    2S2 4F1             (2)3( 3.5)  4728488.4 
    90     2    2S1 2P1 4S1         (4)1( 0.5)  4853743.6 
    91     3    2S1 2P1 4S1         (4)1( 1.5)  4860460.7 
    92     4    2S1 2P1 4S1         (4)1( 2.5)  4874923.3 
    93     3    2S1 2P1 4S1         (2)1( 0.5)  4875072.0 
    94     4    2S1 2P1 4S1         (2)1( 1.5)  4890852.2 
    95     2    2S1 2P1 4P1         (4)2( 0.5)  4895493.8 
    96     2    2S1 2P1 4P1         (4)2( 1.5)  4899959.7 
    97     3    2S1 2P1 4P1         (4)2( 2.5)  4906698.9 
    98     3    2S1 2P1 4P1         (4)0( 1.5)  4906848.7 
    99     3    2S1 2P1 4P1         (2)1( 0.5)  4909648.2 
   100     3    2S1 2P1 4P1         (4)1( 0.5)  4914912.8 
   101     3    2S1 2P1 4P1         (2)1( 1.5)  4917137.1 
   102     4    2S1 2P1 4P1         (4)2( 3.5)  4919062.1 
   103     4    2S1 2P1 4P1         (4)1( 1.5)  4926229.6 
   104     4    2S1 2P1 4P1         (4)1( 2.5)  4927945.6 
   105     4    2S1 2P1 4P1         (2)2( 1.5)  4928422.2 
   106     2    2S1 2P1 4D1         (4)3( 1.5)  4933064.2 
   107     2    2S1 2P1 4D1         (4)3( 2.5)  4936488.1 
   108     4    2S1 2P1 4P1         (2)2( 2.5)  4937994.2 
   109     3    2S1 2P1 4D1         (4)3( 3.5)  4942273.1 
   110     3    2S1 2P1 4D1         (4)1( 2.5)  4945531.1 
   111     4    2S1 2P1 4P1         (2)0( 0.5)  4946902.3 
   112     3    2S1 2P1 4D1         (4)2( 1.5)  4947775.0 
   113     3    2S1 2P1 4D1         (4)2( 0.5)  4948833.3 
   114     3    2S1 2P1 4D1         (2)2( 1.5)  4953369.0 
   115     4    2S1 2P1 4D1         (4)3( 4.5)  4953787.2 
   116     3    2S1 2P1 4D1         (2)2( 2.5)  4957466.6 
   117     2    2S1 2P1 4F1         (4)3( 2.5)  4959951.9 
   118     2    2S1 2P1 4F1         (4)3( 3.5)  4960575.3 
   119     4    2S1 2P1 4D1         (4)2( 3.5)  4960653.8 
   120     4    2S1 2P1 4D1         (4)2( 2.5)  4963145.9 
   121     4    2S1 2P1 4D1         (4)1( 1.5)  4964283.5 
   122     4    2S1 2P1 4D1         (4)1( 0.5)  4964840.4 
   123     3    2S1 2P1 4F1         (4)3( 1.5)  4965240.9 
   124     3    2S1 2P1 4F1         (2)3( 2.5)  4965886.0 
   125     3    2S1 2P1 4F1         (4)3( 4.5)  4966507.4 
   126     3    2S1 2P1 4F1         (2)3( 3.5)  4966775.6 
   127     3    2S1 2P1 4F1         (4)4( 2.5)  4969824.7 
   128     3    2S1 2P1 4F1         (2)4( 3.5)  4970660.0 
   129     4    2S1 2P1 4D1         (2)3( 2.5)  4973061.2 
   130     4    2S1 2P1 4D1         (2)1( 1.5)  4979627.1 
