SEQ='B '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  82908802.3   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   229492.2 
     3          2S1 2P1             (1)1( 1.0)   445183.5*
     4          2P2                 (3)1( 4.0)   589717.3*
     5          2P2                 (1)2( 2.0)   662055.2*
     6          2P2                 (1)0( 0.0)   815843.3*

   LS RESOLVED TERM INDEXING            BWNR=  88960077.3   NTRM= 278
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    85     2    2S1 2P1 5P1         (2)2( 4.5)  5397685.5 
    86     2    2S1 2P1 5P1         (2)0( 0.5)  5403849.3 
    87     2    2S1 2P1 5D1         (4)3(13.5)  5404633.6 
    88     2    2S1 2P1 5D1         (4)2( 9.5)  5409148.7 
    89     2    2S1 2P1 5D1         (2)2( 4.5)  5409805.8 
    90     2    2S1 2P1 5D1         (4)1( 5.5)  5410232.4 
    91     2    2S1 2P1 5F1         (4)3(13.5)  5416756.9 
    92     2    2S1 2P1 5F1         (2)3( 6.5)  5417443.5 
    93     2    2S1 2P1 5F1         (4)4(17.5)  5418773.3 
    94     2    2S1 2P1 5D1         (2)3( 6.5)  5419083.6 
    95     2    2S1 2P1 5G1         (4)3(13.5)  5419632.2 
    96     2    2S1 2P1 5G1         (2)3( 6.5)  5419632.2 
    97     2    2S1 2P1 5G1         (4)4(17.5)  5419632.2 
    98     2    2S1 2P1 5G1         (2)4( 8.5)  5419632.2 
    99     2    2S1 2P1 5G1         (4)5(21.5)  5419632.2 
   100     2    2S1 2P1 5G1         (2)5(10.5)  5419632.2 
   101     2    2S1 2P1 5D1         (2)1( 2.5)  5420207.9 
   102     2    2S1 2P1 5F1         (4)2( 9.5)  5420408.2 
   103     2    2S1 2P1 5F1         (2)4( 8.5)  5421381.8 
   104     2    2S1 2P1 5F1         (2)2( 4.5)  5422295.2 
   105     1    2S2 6S1             (2)0( 0.5)  5423780.8 
   106     6    2P2 4S1             (2)0( 0.5)  5426193.9 
   107     1    2S2 6P1             (2)1( 2.5)  5436902.6 
   108     1    2S2 6D1             (2)2( 4.5)  5447346.8 
   109     1    2S2 6F1             (2)3( 6.5)  5452800.1 
