SEQ='O '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  99453731.9   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    81     2    2S2 2P3 4F1         (3)3(10.0)  3599035.3 
    82     2    2S2 2P3 4F1         (3)5(16.0)  3599078.6 
    83     2    2S2 2P3 4F1         (1)1( 1.0)  3599142.9 
    84     2    2S2 2P3 4F1         (1)5( 5.0)  3599207.8 
    85     2    2S2 2P3 4F1         (1)2( 2.0)  3599271.3 
    86     2    2S2 2P3 4F1         (3)1( 4.0)  3599788.3 
    87     2    2S2 2P3 4F1         (1)4( 4.0)  3600206.8 
    88     2    2S2 2P3 4F1         (1)3( 3.0)  3600260.5 
    89     3    2S2 2P3 4D1         (3)3(10.0)  3613067.3 
    90     3    2S2 2P3 4D1         (3)1( 4.0)  3614796.3 
    91     3    2S2 2P3 4D1         (1)2( 2.0)  3618692.9 
    92     3    2S2 2P3 4D1         (3)2( 7.0)  3619727.1 
    93     3    2S2 2P3 4D1         (1)3( 3.0)  3625752.4 
    94     3    2S2 2P3 4D1         (1)1( 1.0)  3637930.0 
    95     3    2S2 2P3 4F1         (3)4(13.0)  3643971.0 
    96     3    2S2 2P3 4F1         (1)3( 3.0)  3644171.5 
    97     3    2S2 2P3 4F1         (3)3(10.0)  3644255.2 
    98     3    2S2 2P3 4F1         (3)2( 7.0)  3644263.1 
    99     3    2S2 2P3 4F1         (1)4( 4.0)  3644837.9 
   100     3    2S2 2P3 4F1         (1)2( 2.0)  3645697.0 
   101     8    2P5 3S1             (3)1( 4.0)  3654462.2 
   102     8    2P5 3S1             (1)1( 1.0)  3672287.6 
   103     1    2S2 2P3 5S1         (5)0( 2.0)  3726643.3 
   104     1    2S2 2P3 5S1         (3)0( 1.0)  3731978.5 
   105     1    2S2 2P3 5P1         (5)1( 7.0)  3752780.8 
   106     1    2S2 2P3 5P1         (3)1( 4.0)  3760259.6 
   107     8    2P5 3P1             (3)2( 7.0)  3774811.6 
   108     1    2S2 2P3 5D1         (5)2(12.0)  3782609.3 
   109     8    2P5 3P1             (1)2( 2.0)  3789097.1 
   110     8    2P5 3P1             (1)1( 1.0)  3789859.4 
   111     8    2P5 3P1             (3)1( 4.0)  3790343.9 
   112     1    2S2 2P3 5D1         (3)2( 7.0)  3791161.6 
   113     1    2S2 2P3 5F1         (5)3(17.0)  3799017.2 
   114     1    2S2 2P3 5G1         (5)4(22.0)  3799478.3 
   115     1    2S2 2P3 5G1         (3)4(13.0)  3799478.3 
   116     1    2S2 2P3 5F1         (3)3(10.0)  3799966.5 
   117     2    2S2 2P3 5S1         (3)2( 7.0)  3827180.3 
   118     2    2S2 2P3 5S1         (1)2( 2.0)  3829847.9 
   119     2    2S2 2P3 5P1         (3)2( 7.0)  3852196.3 
   120     2    2S2 2P3 5P1         (1)1( 1.0)  3852487.3 
   121     2    2S2 2P3 5P1         (3)3(10.0)  3853105.4 
   122     2    2S2 2P3 5P1         (1)3( 3.0)  3854226.9 
   123     2    2S2 2P3 5P1         (3)1( 4.0)  3859305.2 
   124     2    2S2 2P3 5P1         (1)2( 2.0)  3865947.8 
   125     3    2S2 2P3 5S1         (3)1( 4.0)  3871951.9 
   126     3    2S2 2P3 5S1         (1)1( 1.0)  3874619.5 
   127     2    2S2 2P3 5D1         (1)0( 0.0)  3881812.5 
   128     2    2S2 2P3 5D1         (3)3(10.0)  3882112.9 
   129     2    2S2 2P3 5D1         (3)4(13.0)  3883137.3 
   130     2    2S2 2P3 5D1         (1)4( 4.0)  3884020.5 
   131     2    2S2 2P3 5D1         (3)2( 7.0)  3884939.5 
   132     2    2S2 2P3 5D1         (1)1( 1.0)  3885716.1 
   133     2    2S2 2P3 5D1         (3)1( 4.0)  3887789.7 
   134     2    2S2 2P3 5D1         (3)0( 1.0)  3889819.3 
   135     2    2S2 2P3 5D1         (1)2( 2.0)  3891224.6 
   136     2    2S2 2P3 5D1         (1)3( 3.0)  3893653.2 
   137     3    2S2 2P3 5P1         (3)0( 1.0)  3896666.9 
   138     3    2S2 2P3 5P1         (3)2( 7.0)  3897641.0 
   139     2    2S2 2P3 5F1         (3)4(13.0)  3898213.7 
   140     2    2S2 2P3 5F1         (3)5(16.0)  3898401.2 
   141     2    2S2 2P3 5F1         (3)3(10.0)  3898411.3 
   142     2    2S2 2P3 5F1         (1)1( 1.0)  3898445.0 
   143     2    2S2 2P3 5F1         (1)5( 5.0)  3898491.6 
   144     3    2S2 2P3 5P1         (1)1( 1.0)  3898514.4 
   145     2    2S2 2P3 5F1         (3)2( 7.0)  3898560.9 
   146     2    2S2 2P3 5G1         (3)2( 7.0)  3898681.5 
   147     2    2S2 2P3 5G1         (1)2( 2.0)  3898681.5 
   148     2    2S2 2P3 5G1         (3)3(10.0)  3898681.5 
   149     2    2S2 2P3 5G1         (1)3( 3.0)  3898681.5 
   150     2    2S2 2P3 5G1         (3)4(13.0)  3898681.5 
   151     2    2S2 2P3 5G1         (1)4( 4.0)  3898681.5 
   152     2    2S2 2P3 5G1         (3)5(16.0)  3898681.5 
   153     2    2S2 2P3 5G1         (1)5( 5.0)  3898681.5 
   154     2    2S2 2P3 5G1         (3)6(19.0)  3898681.5 
   155     2    2S2 2P3 5G1         (1)6( 6.0)  3898681.5 
   156     2    2S2 2P3 5F1         (1)2( 2.0)  3898777.6 
   157     2    2S2 2P3 5F1         (3)1( 4.0)  3898894.2 
   158     2    2S2 2P3 5F1         (1)3( 3.0)  3899288.5 
   159     2    2S2 2P3 5F1         (1)4( 4.0)  3899295.8 
   160     3    2S2 2P3 5P1         (3)1( 4.0)  3901396.5 
   161     3    2S2 2P3 5P1         (1)2( 2.0)  3903310.6 
   162     3    2S2 2P3 5P1         (1)0( 0.0)  3915169.0 
   163     1    2S2 2P3 6S1         (5)0( 2.0)  3921121.1 
   164     1    2S2 2P3 6S1         (3)0( 1.0)  3924019.6 
   165     8    2P5 3P1             (1)0( 0.0)  3924997.4 
   166     3    2S2 2P3 5D1         (3)3(10.0)  3927572.3 
   167     3    2S2 2P3 5D1         (3)1( 4.0)  3928514.1 
   168     3    2S2 2P3 5D1         (1)2( 2.0)  3929608.3 
   169     3    2S2 2P3 5D1         (3)2( 7.0)  3930859.6 
   170     3    2S2 2P3 5D1         (1)3( 3.0)  3933724.7 
   171     1    2S2 2P3 6P1         (5)1( 7.0)  3935872.0 
   172     3    2S2 2P3 5D1         (1)1( 1.0)  3939579.1 
   173     1    2S2 2P3 6P1         (3)1( 4.0)  3940078.8 
   174     8    2P5 3D1             (3)3(10.0)  3941991.3 
   175     3    2S2 2P3 5F1         (3)4(13.0)  3943100.3 
   176     3    2S2 2P3 5F1         (3)2( 7.0)  3943228.9 
   177     3    2S2 2P3 5F1         (1)3( 3.0)  3943297.2 
   178     3    2S2 2P3 5F1         (3)3(10.0)  3943377.2 
   179     3    2S2 2P3 5G1         (3)3(10.0)  3943379.0 
   180     3    2S2 2P3 5G1         (1)3( 3.0)  3943379.0 
   181     3    2S2 2P3 5G1         (3)4(13.0)  3943379.0 
   182     3    2S2 2P3 5G1         (1)4( 4.0)  3943379.0 
   183     3    2S2 2P3 5G1         (3)5(16.0)  3943379.0 
   184     3    2S2 2P3 5G1         (1)5( 5.0)  3943379.0 
   185     3    2S2 2P3 5F1         (1)4( 4.0)  3943734.3 
   186     3    2S2 2P3 5F1         (1)2( 2.0)  3944203.8 
   187     1    2S2 2P3 6D1         (5)2(12.0)  3952528.1 
   188     1    2S2 2P3 6D1         (3)2( 7.0)  3957422.9 
   189     8    2P5 3D1             (1)2( 2.0)  3960920.0 
