SEQ='AL'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 113193148.8   NPRNTI= 2   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
    84     1    3S2 7P1             (2)1( 2.5)   637897.3 
    85     2    3S1 3P1 5P1         (4)2( 9.5)   640192.4 
    86     2    3S1 3P1 5P1         (2)1( 2.5)   640615.7 
    87     2    3S1 3P1 5P1         (4)1( 5.5)   642419.0 
    88     2    3S1 3P1 5P1         (4)0( 1.5)   643152.1 
    89  9999    3P1 3D2             (2)3( 6.5)   643992.2 
    90     4    3P2 4P1             (2)2( 4.5)   645237.7 
    91  9999    3P1 3D2             (2)2( 4.5)   645986.6 
    92     2    3S1 3P1 5P1         (2)2( 4.5)   646149.2 
    93     1    3S2 7D1             (2)2( 4.5)   647502.2 
    94     3    3S1 3P1 4F1         (2)3( 6.5)   649636.8 
    95     4    3P2 4P1             (2)3( 6.5)   649928.8 
    96     2    3S1 3P1 5P1         (2)0( 0.5)   651115.9 
    97     1    3S2 7F1             (2)3( 6.5)   651665.3 
    98     1    3S2 7G1             (2)4( 8.5)   652377.0 
    99     1    3S2 7H1             (2)5(10.5)   652555.3 
   100     1    3S2 7I1             (2)6(12.5)   652634.8 
   101     3    3S1 3P1 4F1         (2)4( 8.5)   652669.7 
   102  9999    3P1 3D2             (4)2( 9.5)   653055.1 
   103     4    3P2 4P1             (2)1( 2.5)   653315.3 
   104     3    3S1 3P1 4F1         (2)2( 4.5)   655475.1 
   105     1    3S2 8S1             (2)0( 0.5)   657502.1 
   106  9999    3P1 3D2             (4)3(13.5)   659503.8 
   107     1    3S2 8P1             (2)1( 2.5)   661899.4 
   108  9999    3P1 3D2             (4)1( 5.5)   662128.6 
   109  9999    3P1 3D2             (2)4( 8.5)   662222.2 
   110     6    3P2 4S1             (2)0( 0.5)   662460.3 
   111     1    3S2 8D1             (2)2( 4.5)   668153.5 
   112     2    3S1 3P1 5D1         (4)2( 9.5)   669934.3 
   113     2    3S1 3P1 5D1         (2)2( 4.5)   670236.8 
   114     5    3P2 4P1             (2)2( 4.5)   670586.2 
   115     1    3S2 8F1             (2)3( 6.5)   670901.7 
   116     2    3S1 3P1 5D1         (4)3(13.5)   671159.6 
   117     1    3S2 8G1             (2)4( 8.5)   671394.6 
   118     1    3S2 8H1             (2)5(10.5)   671514.0 
   119     1    3S2 8I1             (2)6(12.5)   671567.2 
   120     1    3S2 8J1             (2)7(14.5)   671594.4 
   121  9999    3P1 3D2             (2)5(10.5)   672638.1 
   122     2    3S1 3P1 5D1         (4)1( 5.5)   672969.2 
   123     2    3S1 3P1 5D1         (2)3( 6.5)   673931.6 
   124     2    3S1 3P1 5D1         (2)1( 2.5)   675425.9 
   125     5    3P2 4P1             (2)1( 2.5)   677193.6 
   126  9999    3P1 3D2             (4)2( 9.5)   678933.8 
   127     3    3S1 3P1 5S1         (2)1( 2.5)   680835.4 
   128     7    3S1 3D1 4S1         (2)2( 4.5)   681148.4 
   129     2    3S1 3P1 5F1         (4)3(13.5)   681844.3 
   130     2    3S1 3P1 5F1         (2)3( 6.5)   682341.3 
   131     2    3S1 3P1 5F1         (4)4(17.5)   682720.9 
   132     2    3S1 3P1 5F1         (4)2( 9.5)   684864.3 
   133  9999    3P1 3D2             (2)1( 2.5)   685435.0 
   134     2    3S1 3P1 5G1         (4)3(13.5)   685773.9 
   135     2    3S1 3P1 5G1         (2)3( 6.5)   685773.9 
   136     2    3S1 3P1 5G1         (4)4(17.5)   685773.9 
   137     2    3S1 3P1 5G1         (2)4( 8.5)   685773.9 
   138     2    3S1 3P1 5G1         (4)5(21.5)   685773.9 
   139     2    3S1 3P1 5G1         (2)5(10.5)   685773.9 
   140     2    3S1 3P1 5F1         (2)4( 8.5)   687245.4 
   141     2    3S1 3P1 5F1         (2)2( 4.5)   688069.7 
   142     2    3S1 3P1 6S1         (4)1( 5.5)   698668.8 
