SEQ='AL'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 113591722.5   NPRNTI= 4   NPRNTF=24
   ---------------------
   INDP         CODE                 S L   WI        WNP
    73     2    3S1 3P1 4P1         (4)2( 1.5)   499862.9 
    74     3    3S1 3P1 4P1         (4)2( 2.5)   500791.8 
    75     4    3S1 3P1 4P1         (4)2( 3.5)   502015.6 
    76     3    3S1 3P1 4P1         (2)1( 0.5)   502706.6 
    77     3    3S1 3P1 4P1         (2)1( 1.5)   503020.8 
    78     3    3S1 3P1 4P1         (4)0( 1.5)   507503.7 
    79     3    3S1 3P1 4P1         (4)1( 0.5)   508796.9 
    80     4    3S1 3P1 4P1         (4)1( 1.5)   509530.7 
    81  9999    3P2 3D1             (2)1( 0.5)   509571.8 
    82  9999    3P2 3D1             (2)1( 1.5)   510132.3 
    83     4    3S1 3P1 4P1         (4)1( 2.5)   510180.1 
    84  9999    3P2 3D1             (2)0( 0.5)   511098.7 
    85     1    3S2 5S1             (2)0( 0.5)   511816.0 
    86  9999    3P2 3D1             (2)2( 1.5)   514930.4 
    87  9999    3P2 3D1             (2)2( 2.5)   516369.7 
    88     4    3S1 3P1 4P1         (2)2( 1.5)   517277.1 
    89     4    3S1 3P1 4P1         (2)2( 2.5)   518639.4 
    90     5    3S1 3P1 4S1         (2)1( 0.5)   520689.5 
    91     5    3S1 3P1 4S1         (2)1( 1.5)   520915.3 
    92  9999    3P2 3D1             (2)3( 2.5)   525445.7 
    93  9999    3P2 3D1             (2)3( 3.5)   525957.1 
    94  9999    3S1 3D2             (4)3( 1.5)   527069.5 
    95  9999    3S1 3D2             (4)3( 2.5)   527119.2 
    96  9999    3S1 3D2             (4)3( 3.5)   527188.5 
    97  9999    3S1 3D2             (4)3( 4.5)   527277.1 
    98     4    3S1 3P1 4P1         (2)0( 0.5)   529420.9 
    99     1    3S2 5P1             (2)1( 0.5)   533451.1 
   100     1    3S2 5P1             (2)1( 1.5)   533761.8 
   101  9999    3S1 3D2             (4)1( 0.5)   543315.7 
   102  9999    3S1 3D2             (4)1( 1.5)   543348.5 
   103  9999    3S1 3D2             (4)1( 2.5)   543402.8 
   104  9999    3P2 3D1             (2)2( 2.5)   554893.2 
   105  9999    3P2 3D1             (2)2( 1.5)   555529.5 
   106     1    3S2 5D1             (2)2( 1.5)   563034.9 
   107     1    3S2 5D1             (2)2( 2.5)   563062.1 
   108     5    3S1 3P1 4P1         (2)2( 1.5)   566128.0 
   109     5    3S1 3P1 4P1         (2)2( 2.5)   566487.7 
   110     2    3S1 3P1 4D1         (4)2( 1.5)   568137.3 
   111     3    3S1 3P1 4D1         (4)2( 0.5)   568205.4 
   112     2    3S1 3P1 4D1         (4)2( 2.5)   568248.3 
   113     3    3S1 3P1 4D1         (2)2( 1.5)   568642.5 
   114     3    3S1 3P1 4D1         (4)2( 3.5)   568682.8 
   115     5    3S1 3P1 4P1         (2)1( 0.5)   568857.6 
