SEQ='F '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 103785549.2   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    64193.9 
     3          2S2 2P4             (1)0( 0.0)   131593.9 
     4          2S1 2P5             (3)1( 4.0)   516230.0*
     5          2S1 2P5             (1)1( 1.0)   718771.6*
     6          2P6                 (1)0( 0.0)  1225436.6*

   LS RESOLVED TERM INDEXING            BWNR= 107642136.0   NTRM= 340
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    82     1    2S2 2P4 5F1         (4)3(13.5)  3415209.3 
    83     1    2S2 2P4 5F1         (2)3( 6.5)  3416074.5 
    84     1    2S2 2P4 5G1         (4)3(13.5)  3416373.2 
    85     1    2S2 2P4 5G1         (2)3( 6.5)  3416373.2 
    86     1    2S2 2P4 5G1         (4)4(17.5)  3416373.2 
    87     1    2S2 2P4 5G1         (2)4( 8.5)  3416373.2 
    88     1    2S2 2P4 5G1         (4)5(21.5)  3416373.2 
    89     1    2S2 2P4 5G1         (2)5(10.5)  3416373.2 
    90     1    2S2 2P4 5F1         (4)4(17.5)  3416821.6 
    91     1    2S2 2P4 5F1         (2)4( 8.5)  3417061.0 
    92     1    2S2 2P4 5F1         (4)2( 9.5)  3417385.9 
    93     1    2S2 2P4 5F1         (2)2( 4.5)  3417860.6 
    94     2    2S2 2P4 5P1         (2)3( 6.5)  3434157.8 
    95     2    2S2 2P4 5P1         (2)2( 4.5)  3436900.2 
    96     2    2S2 2P4 5P1         (2)1( 2.5)  3438810.2 
    97     2    2S2 2P4 5D1         (2)4( 8.5)  3465806.9 
    98     2    2S2 2P4 5D1         (2)0( 0.5)  3468304.2 
    99     2    2S2 2P4 5D1         (2)3( 6.5)  3468980.7 
   100     2    2S2 2P4 5D1         (2)1( 2.5)  3469309.4 
   101     2    2S2 2P4 5D1         (2)2( 4.5)  3469748.5 
   102     3    2S2 2P4 5S1         (2)0( 0.5)  3476202.4 
   103     2    2S2 2P4 5F1         (2)1( 2.5)  3479154.8 
   104     2    2S2 2P4 5F1         (2)5(10.5)  3479934.0 
   105     2    2S2 2P4 5F1         (2)2( 4.5)  3480449.2 
   106     2    2S2 2P4 5G1         (2)2( 4.5)  3480567.0 
   107     2    2S2 2P4 5G1         (2)3( 6.5)  3480567.0 
   108     2    2S2 2P4 5G1         (2)4( 8.5)  3480567.0 
   109     2    2S2 2P4 5G1         (2)5(10.5)  3480567.0 
   110     2    2S2 2P4 5G1         (2)6(12.5)  3480567.0 
   111     2    2S2 2P4 5F1         (2)3( 6.5)  3481609.6 
   112     2    2S2 2P4 5F1         (2)4( 8.5)  3481869.6 
   113     6    2P6 3S1             (2)0( 0.5)  3497599.0 
   114     3    2S2 2P4 5P1         (2)1( 2.5)  3503266.8 
   115     1    2S2 2P4 6S1         (4)1( 5.5)  3509866.3 
   116     1    2S2 2P4 6S1         (2)1( 2.5)  3511848.0 
   117     1    2S2 2P4 6P1         (4)1( 5.5)  3523628.2 
   118     1    2S2 2P4 6P1         (4)2( 9.5)  3524907.8 
   119     1    2S2 2P4 6P1         (2)2( 4.5)  3526161.8 
   120     1    2S2 2P4 6P1         (2)0( 0.5)  3526827.3 
   121     1    2S2 2P4 6P1         (4)0( 1.5)  3526827.3 
   122     1    2S2 2P4 6P1         (2)1( 2.5)  3530181.0 
   123     3    2S2 2P4 5D1         (2)2( 4.5)  3535392.1 
   124     1    2S2 2P4 6D1         (4)2( 9.5)  3541271.7 
   125     1    2S2 2P4 6D1         (4)3(13.5)  3542912.9 
   126     1    2S2 2P4 6D1         (4)1( 5.5)  3543824.6 
   127     1    2S2 2P4 6D1         (2)3( 6.5)  3544193.6 
   128     1    2S2 2P4 6D1         (2)1( 2.5)  3546607.8 
   129     1    2S2 2P4 6D1         (2)2( 4.5)  3547311.2 
   130     3    2S2 2P4 5G1         (2)4( 8.5)  3547967.0 
   131     3    2S2 2P4 5F1         (2)3( 6.5)  3548221.4 
   132     1    2S2 2P4 6F1         (4)3(13.5)  3550251.8 
   133     1    2S2 2P4 6F1         (2)3( 6.5)  3550821.4 
   134     1    2S2 2P4 6G1         (4)3(13.5)  3551029.4 
   135     1    2S2 2P4 6G1         (2)3( 6.5)  3551029.4 
   136     1    2S2 2P4 6G1         (4)4(17.5)  3551029.4 
   137     1    2S2 2P4 6G1         (2)4( 8.5)  3551029.4 
   138     1    2S2 2P4 6G1         (4)5(21.5)  3551029.4 
   139     1    2S2 2P4 6G1         (2)5(10.5)  3551029.4 
   140     1    2S2 2P4 6F1         (4)4(17.5)  3551173.7 
   141     1    2S2 2P4 6F1         (2)4( 8.5)  3551331.6 
   142     1    2S2 2P4 6H1         (4)4(17.5)  3551383.8 
   143     1    2S2 2P4 6H1         (2)4( 8.5)  3551383.8 
   144     1    2S2 2P4 6H1         (4)5(21.5)  3551383.8 
   145     1    2S2 2P4 6H1         (2)5(10.5)  3551383.8 
   146     1    2S2 2P4 6H1         (4)6(25.5)  3551383.8 
   147     1    2S2 2P4 6H1         (2)6(12.5)  3551383.8 
   148     1    2S2 2P4 6F1         (4)2( 9.5)  3551496.4 
   149     1    2S2 2P4 6F1         (2)2( 4.5)  3551809.1 
   150     2    2S2 2P4 6S1         (2)2( 4.5)  3574720.7 
   151     2    2S2 2P4 6P1         (2)3( 6.5)  3589020.4 
   152     2    2S2 2P4 6P1         (2)2( 4.5)  3590523.7 
   153     2    2S2 2P4 6P1         (2)1( 2.5)  3591199.8 
   154     2    2S2 2P4 6D1         (2)4( 8.5)  3606655.1 
   155     1    2S2 2P4 7S1         (4)1( 5.5)  3606712.0 
   156     1    2S2 2P4 7S1         (2)1( 2.5)  3607906.7 
   157     2    2S2 2P4 6D1         (2)0( 0.5)  3608084.2 
   158     2    2S2 2P4 6D1         (2)3( 6.5)  3608419.3 
   159     2    2S2 2P4 6D1         (2)1( 2.5)  3608525.0 
   160     2    2S2 2P4 6D1         (2)2( 4.5)  3608787.8 
   161     2    2S2 2P4 6F1         (2)1( 2.5)  3614344.6 
   162     2    2S2 2P4 6F1         (2)5(10.5)  3614760.4 
   163     2    2S2 2P4 6F1         (2)2( 4.5)  3615070.7 
   164     1    2S2 2P4 7P1         (4)1( 5.5)  3615199.5 
   165     2    2S2 2P4 6G1         (2)2( 4.5)  3615223.3 
   166     2    2S2 2P4 6G1         (2)3( 6.5)  3615223.3 
   167     2    2S2 2P4 6G1         (2)4( 8.5)  3615223.3 
   168     2    2S2 2P4 6G1         (2)5(10.5)  3615223.3 
   169     2    2S2 2P4 6G1         (2)6(12.5)  3615223.3 
   170     2    2S2 2P4 6H1         (2)3( 6.5)  3615577.6 
   171     2    2S2 2P4 6H1         (2)4( 8.5)  3615577.6 
   172     2    2S2 2P4 6H1         (2)5(10.5)  3615577.6 
   173     2    2S2 2P4 6H1         (2)6(12.5)  3615577.6 
   174     2    2S2 2P4 6H1         (2)7(14.5)  3615577.6 
   175     2    2S2 2P4 6F1         (2)3( 6.5)  3615729.6 
   176     2    2S2 2P4 6F1         (2)4( 8.5)  3615860.2 
   177     1    2S2 2P4 7P1         (4)2( 9.5)  3615978.5 
   178     1    2S2 2P4 7P1         (2)2( 4.5)  3616744.2 
   179     1    2S2 2P4 7P1         (2)0( 0.5)  3617147.0 
   180     1    2S2 2P4 7P1         (4)0( 1.5)  3617147.0 
   181     1    2S2 2P4 7P1         (2)1( 2.5)  3619251.2 
   182     6    2P6 3P1             (2)1( 2.5)  3625772.3 
   183     1    2S2 2P4 7D1         (4)2( 9.5)  3626035.7 
   184     1    2S2 2P4 7D1         (4)3(13.5)  3627047.3 
   185     1    2S2 2P4 7D1         (4)1( 5.5)  3627609.3 
   186     1    2S2 2P4 7D1         (2)3( 6.5)  3627845.5 
   187     1    2S2 2P4 7D1         (2)1( 2.5)  3629368.9 
   188     1    2S2 2P4 7D1         (2)2( 4.5)  3629812.6 
   189     1    2S2 2P4 7F1         (4)3(13.5)  3631644.4 
   190     1    2S2 2P4 7F1         (2)3( 6.5)  3632027.7 
   191     1    2S2 2P4 7G1         (4)3(13.5)  3632172.5 
   192     1    2S2 2P4 7G1         (2)3( 6.5)  3632172.5 
   193     1    2S2 2P4 7G1         (4)4(17.5)  3632172.5 
   194     1    2S2 2P4 7G1         (2)4( 8.5)  3632172.5 
   195     1    2S2 2P4 7G1         (4)5(21.5)  3632172.5 
   196     1    2S2 2P4 7G1         (2)5(10.5)  3632172.5 
   197     1    2S2 2P4 7F1         (4)4(17.5)  3632220.6 
