SEQ='BE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  76358438.3   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   262317.2 
     3          2P1                 (2)1( 1.5)   286598.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  83257501.5   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    95     3    2P1 4F1             (3)2( 1.0)  5644837.2 
    96     3    2P1 4F1             (1)2( 2.0)  5646284.2 
    97     3    2P1 4D1             (1)1( 1.0)  5647927.3 
    98     3    2P1 4D1             (1)3( 3.0)  5648016.5 
    99     1    2S1 5S1             (3)0( 1.0)  5868421.9 
   100     1    2S1 5S1             (1)0( 0.0)  5876232.9 
   101     1    2S1 5P1             (3)1( 0.0)  5889274.2 
   102     1    2S1 5P1             (3)1( 1.0)  5889613.6 
   103     1    2S1 5P1             (3)1( 2.0)  5890669.8 
   104     1    2S1 5P1             (1)1( 1.0)  5893178.0 
   105     1    2S1 5D1             (3)2( 1.0)  5902356.4 
   106     1    2S1 5D1             (3)2( 2.0)  5902523.0 
   107     1    2S1 5D1             (3)2( 3.0)  5902790.7 
   108     1    2S1 5D1             (1)2( 2.0)  5908899.1 
   109     1    2S1 5F1             (3)3( 2.0)  5909549.0 
   110     1    2S1 5F1             (3)3( 3.0)  5909633.3 
   111     1    2S1 5F1             (3)3( 4.0)  5909760.6 
   112     1    2S1 5G1             (1)*( 3.0)  5910833.1 
   113     1    2S1 5G1             (1)*( 4.0)  5910833.1 
   114     1    2S1 5G1             (1)*( 4.0)  5910833.1 
   115     1    2S1 5G1             (1)*( 5.0)  5910833.1 
   116     1    2S1 5F1             (1)3( 3.0)  5911367.8 
   117     2    2P1 5S1             (3)1( 0.0)  6134352.2 
   118     2    2P1 5S1             (3)1( 1.0)  6135408.1 
   119     2    2P1 5P1             (3)2( 1.0)  6149904.4 
   120     2    2P1 5P1             (3)1( 1.0)  6154929.7 
   121     2    2P1 5P1             (3)2( 2.0)  6155337.3 
   122     3    2P1 5S1             (3)1( 2.0)  6158633.3 
   123     2    2P1 5P1             (3)1( 0.0)  6159102.1 
   124     3    2P1 5S1             (1)1( 1.0)  6161062.0 
   125     2    2P1 5D1             (3)3( 2.0)  6163260.6 
   126     2    2P1 5D1             (3)2( 2.0)  6167878.9 
   127     2    2P1 5D1             (3)3( 3.0)  6168017.6 
   128     2    2P1 5D1             (3)2( 1.0)  6170609.2 
   129     2    2P1 5F1             (3)4( 3.0)  6171879.8 
   130     2    2P1 5F1             (3)3( 3.0)  6172594.6 
   131     2    2P1 5F1             (3)3( 2.0)  6172867.5 
   132     2    2P1 5F1             (3)4( 4.0)  6172964.0 
   133     2    2P1 5G1             (1)*( 3.0)  6173150.3 
   134     2    2P1 5G1             (1)*( 4.0)  6173150.3 
   135     2    2P1 5G1             (1)*( 4.0)  6173150.3 
   136     2    2P1 5G1             (1)*( 5.0)  6173150.3 
   137     3    2P1 5P1             (1)1( 1.0)  6175446.2 
   138     3    2P1 5P1             (3)2( 3.0)  6176000.6 
   139     3    2P1 5P1             (3)1( 2.0)  6179085.7 
   140     3    2P1 5P1             (3)0( 1.0)  6179096.0 
   141     3    2P1 5P1             (1)2( 2.0)  6184406.2 
   142     3    2P1 5D1             (3)3( 4.0)  6187826.0 
   143     3    2P1 5D1             (1)2( 2.0)  6188463.1 
   144     1    2S1 6S1             (3)0( 1.0)  6188600.3 
   145     3    2P1 5D1             (3)2( 3.0)  6190927.7 
   146     3    2P1 5P1             (1)0( 0.0)  6191599.8 
   147     3    2P1 5D1             (3)1( 2.0)  6192766.9 
   148     1    2S1 6S1             (1)0( 0.0)  6192850.7 
   149     3    2P1 5D1             (3)1( 1.0)  6193178.7 
   150     3    2P1 5D1             (3)1( 0.0)  6193448.9 
   151     3    2P1 5F1             (1)3( 3.0)  6195041.7 
   152     3    2P1 5F1             (3)3( 4.0)  6195583.4 
   153     3    2P1 5F1             (3)2( 3.0)  6196748.9 
   154     3    2P1 5F1             (3)2( 2.0)  6197001.4 
   155     3    2P1 5F1             (3)4( 5.0)  6197074.9 
   156     3    2P1 5G1             (1)*( 2.0)  6197431.4 
   157     3    2P1 5G1             (1)*( 3.0)  6197431.4 
   158     3    2P1 5G1             (1)*( 4.0)  6197431.4 
   159     3    2P1 5G1             (1)*( 5.0)  6197431.4 
   160     3    2P1 5G1             (1)*( 3.0)  6197431.4 
   161     3    2P1 5G1             (1)*( 4.0)  6197431.4 
