SEQ='C '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  89332695.2   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    77     5    2S1 2P2 3D1         (5)3( 5.0)  3608682.9 
    78     4    2S1 2P2 3D1         (5)2( 0.0)  3611581.5 
    79     4    2S1 2P2 3D1         (5)2( 1.0)  3612064.2 
    80     3    2S1 2P2 3D1         (5)2( 2.0)  3613106.0 
    81     4    2S1 2P2 3D1         (5)2( 3.0)  3615150.7 
    82     5    2S1 2P2 3D1         (5)2( 4.0)  3620264.8 
    83     4    2S1 2P2 3D1         (5)1( 3.0)  3635556.3 
    84     4    2S1 2P2 3D1         (3)1( 2.0)  3636323.8 
    85     4    2S1 2P2 3D1         (5)1( 2.0)  3639836.0 
    86     4    2S1 2P2 3D1         (5)1( 1.0)  3641751.7 
    87     5    2S1 2P2 3D1         (3)1( 1.0)  3644701.3 
    88     5    2S1 2P2 3D1         (3)1( 0.0)  3648991.6 
    89     8    2S1 2P2 3S1         (3)0( 1.0)  3652638.1 
    90     5    2S1 2P2 3D1         (3)3( 2.0)  3655404.8 
    91     5    2S1 2P2 3D1         (3)3( 3.0)  3661945.6 
    92     6    2S1 2P2 3P1         (3)3( 2.0)  3666675.2 
    93     6    2S1 2P2 3P1         (3)3( 3.0)  3669203.0 
    94     5    2S1 2P2 3D1         (3)3( 4.0)  3671145.1 
    95     7    2S1 2P2 3P1         (3)3( 4.0)  3672250.1 
    96     8    2S1 2P2 3S1         (3)1( 0.0)  3684728.0 
    97     7    2S1 2P2 3P1         (1)3( 3.0)  3685493.3 
    98     6    2S1 2P2 3P1         (1)2( 2.0)  3691011.6 
    99     6    2S1 2P2 3P1         (3)2( 1.0)  3694042.6 
   100     7    2S1 2P2 3P1         (3)2( 2.0)  3695750.1 
   101     5    2S1 2P2 3D1         (3)2( 1.0)  3697460.8 
   102     9    2S1 2P2 3S1         (3)1( 1.0)  3697592.2 
   103     7    2S1 2P2 3P1         (3)2( 3.0)  3698077.3 
   104     5    2S1 2P2 3D1         (3)2( 2.0)  3699736.6 
   105     5    2S1 2P2 3D1         (3)2( 3.0)  3702376.9 
   106     6    2S1 2P2 3P1         (1)1( 1.0)  3707218.2 
   107    10    2S1 2P2 3S1         (3)1( 2.0)  3708026.9 
   108     6    2S1 2P2 3P1         (3)1( 0.0)  3710878.6 
   109     7    2S1 2P2 3P1         (3)1( 1.0)  3711169.8 
   110     7    2S1 2P2 3P1         (3)1( 2.0)  3712024.7 
   111     9    2S1 2P2 3S1         (1)0( 0.0)  3712857.4 
   112    10    2S1 2P2 3S1         (1)1( 1.0)  3714942.7 
   113     8    2S1 2P2 3P1         (3)1( 0.0)  3771555.1 
   114     8    2S1 2P2 3P1         (3)1( 1.0)  3781672.7 
   115     8    2S1 2P2 3P1         (3)1( 2.0)  3788143.1 
   116     8    2S1 2P2 3P1         (1)1( 1.0)  3791394.5 
   117     9    2S1 2P2 3P1         (1)0( 0.0)  3791740.8 
   118     6    2S1 2P2 3D1         (3)4( 3.0)  3796269.6 
   119     6    2S1 2P2 3D1         (3)4( 4.0)  3797355.3 
   120     7    2S1 2P2 3D1         (3)4( 5.0)  3798599.3 
   121     6    2S1 2P2 3D1         (3)3( 2.0)  3805657.2 
   122     6    2S1 2P2 3D1         (3)3( 3.0)  3806631.4 
   123     7    2S1 2P2 3D1         (3)3( 4.0)  3807222.1 
   124     6    2S1 2P2 3D1         (3)2( 1.0)  3811168.4 
   125     9    2S1 2P2 3P1         (3)2( 1.0)  3811903.0 
   126     6    2S1 2P2 3D1         (3)2( 2.0)  3811904.5 
   127     9    2S1 2P2 3P1         (3)2( 2.0)  3812454.8 
   128     7    2S1 2P2 3D1         (3)2( 3.0)  3812929.5 
   129    10    2S1 2P2 3P1         (3)2( 3.0)  3819768.8 
   130     7    2S1 2P2 3D1         (1)3( 3.0)  3821105.8 
   131    10    2S1 2P2 3P1         (3)1( 0.0)  3828354.3 
   132     9    2S1 2P2 3P1         (3)1( 1.0)  3829186.0 
   133    10    2S1 2P2 3P1         (3)1( 2.0)  3831068.2 
   134     7    2S1 2P2 3D1         (1)4( 4.0)  3831166.2 
   135     6    2S1 2P2 3D1         (3)1( 0.0)  3832149.3 
   136     6    2S1 2P2 3D1         (3)1( 1.0)  3832708.9 
   137     7    2S1 2P2 3D1         (3)1( 2.0)  3833528.7 
   138     7    2S1 2P2 3D1         (3)0( 1.0)  3841698.9 
   139     7    2S1 2P2 3D1         (1)2( 2.0)  3844562.6 
   140     7    2S1 2P2 3D1         (1)1( 1.0)  3856940.7 
   141    10    2S1 2P2 3P1         (3)0( 1.0)  3860941.2 
   142    10    2S1 2P2 3P1         (1)2( 2.0)  3869763.8 
   143     7    2S1 2P2 3D1         (1)0( 0.0)  3874933.2 
   144    10    2S1 2P2 3P1         (1)1( 1.0)  3897491.6 
   145     8    2S1 2P2 3D1         (3)2( 1.0)  3907705.6 
   146     8    2S1 2P2 3D1         (3)2( 2.0)  3910242.3 
   147     8    2S1 2P2 3D1         (3)2( 3.0)  3912568.5 
   148     8    2S1 2P2 3D1         (3)3( 2.0)  3925891.5 
   149     9    2S1 2P2 3D1         (3)3( 3.0)  3938517.4 
   150    10    2S1 2P2 3D1         (3)3( 4.0)  3944672.0 
   151     9    2S1 2P2 3D1         (1)2( 2.0)  3945783.6 
   152     9    2S1 2P2 3D1         (1)1( 1.0)  3947339.8 
   153     9    2S1 2P2 3D1         (3)2( 2.0)  3958588.4 
   154    10    2S1 2P2 3D1         (3)2( 3.0)  3959062.3 
   155    10    2S1 2P2 3D1         (3)2( 1.0)  3959518.0 
   156    10    2S1 2P2 3D1         (3)1( 2.0)  3967588.4 
   157    10    2S1 2P2 3D1         (3)1( 1.0)  3970861.2 
   158    10    2S1 2P2 3D1         (3)1( 0.0)  3971244.4 
   159    10    2S1 2P2 3D1         (1)3( 3.0)  3990482.4 
