SEQ='C '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  88960077.4   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    84     8    2P3 3D1             (1)3( 3.0)  4294504.5 
    85     1    2S2 2P1 4P1         (1)0( 0.0)  4304292.4 
    86     1    2S2 2P1 4D1         (1)2( 2.0)  4314565.0 
    87     1    2S2 2P1 4D1         (3)3(10.0)  4315088.2 
    88     1    2S2 2P1 4D1         (3)2( 7.0)  4323857.3 
    89     1    2S2 2P1 4D1         (3)1( 4.0)  4325697.2 
    90     8    2P3 3D1             (1)1( 1.0)  4334679.8 
    91     1    2S2 2P1 4D1         (1)1( 1.0)  4340185.1 
    92     1    2S2 2P1 4D1         (1)3( 3.0)  4340679.5 
    93     1    2S2 2P1 4F1         (1)3( 3.0)  4342859.8 
    94     1    2S2 2P1 4F1         (3)3(10.0)  4343381.9 
    95     1    2S2 2P1 4F1         (3)4(13.0)  4347458.7 
    96     1    2S2 2P1 4F1         (1)4( 4.0)  4349956.6 
    97     1    2S2 2P1 4F1         (3)2( 7.0)  4349980.4 
    98     1    2S2 2P1 4F1         (1)2( 2.0)  4351377.9 
    99     2    2S1 2P2 4S1         (5)1( 7.0)  4427660.8 
   100     2    2S1 2P2 4S1         (3)1( 4.0)  4446823.4 
   101     2    2S1 2P2 4P1         (5)2(12.0)  4473780.9 
   102     2    2S1 2P2 4P1         (3)0( 1.0)  4473896.4 
   103     2    2S1 2P2 4P1         (5)1( 7.0)  4477612.8 
   104     2    2S1 2P2 4P1         (5)0( 2.0)  4491860.1 
   105     2    2S1 2P2 4P1         (3)2( 7.0)  4492418.6 
   106     2    2S1 2P2 4P1         (3)1( 4.0)  4499801.9 
   107     2    2S1 2P2 4D1         (5)3(17.0)  4517441.1 
   108     2    2S1 2P2 4D1         (5)2(12.0)  4522823.1 
   109     2    2S1 2P2 4D1         (5)1( 7.0)  4530174.9 
   110     2    2S1 2P2 4D1         (3)1( 4.0)  4532621.1 
   111     2    2S1 2P2 4D1         (3)3(10.0)  4542829.0 
   112     2    2S1 2P2 4F1         (5)2(12.0)  4549616.4 
   113     2    2S1 2P2 4F1         (5)4(22.0)  4550355.8 
   114     2    2S1 2P2 4F1         (3)2( 7.0)  4550809.6 
   115     2    2S1 2P2 4F1         (3)4(13.0)  4553246.3 
   116     2    2S1 2P2 4D1         (3)2( 7.0)  4553755.0 
   117     2    2S1 2P2 4F1         (5)3(17.0)  4555647.8 
   118     2    2S1 2P2 4F1         (3)3(10.0)  4559167.0 
   119     3    2S1 2P2 4P1         (3)2( 7.0)  4659915.2 
   120     3    2S1 2P2 4P1         (3)1( 4.0)  4666755.2 
   121     3    2S1 2P2 4D1         (3)3(10.0)  4701935.0 
   122     1    2S2 2P1 5S1         (3)1( 4.0)  4703889.8 
   123     3    2S1 2P2 4D1         (3)2( 7.0)  4706344.5 
   124     1    2S2 2P1 5S1         (1)1( 1.0)  4706980.0 
   125     3    2S1 2P2 4D1         (3)1( 4.0)  4713163.9 
   126     1    2S2 2P1 5P1         (1)1( 1.0)  4724856.7 
   127     3    2S1 2P2 4F1         (3)4(13.0)  4725034.1 
   128     1    2S2 2P1 5P1         (3)2( 7.0)  4726622.0 
   129     1    2S2 2P1 5P1         (3)0( 1.0)  4729268.1 
   130     3    2S1 2P2 4F1         (3)2( 7.0)  4731016.2 
   131     1    2S2 2P1 5P1         (3)1( 4.0)  4731885.8 
   132     1    2S2 2P1 5P1         (1)2( 2.0)  4736304.3 
   133     1    2S2 2P1 5P1         (1)0( 0.0)  4743263.4 
   134     1    2S2 2P1 5D1         (1)2( 2.0)  4749070.4 
   135     1    2S2 2P1 5D1         (3)3(10.0)  4749308.0 
   136     5    2S1 2P2 4S1         (3)1( 4.0)  4752766.5 
   137     1    2S2 2P1 5D1         (3)2( 7.0)  4753460.2 
   138     1    2S2 2P1 5D1         (3)1( 4.0)  4754315.9 
   139     1    2S2 2P1 5D1         (1)1( 1.0)  4761274.9 
   140     1    2S2 2P1 5D1         (1)3( 3.0)  4761471.7 
   141     1    2S2 2P1 5F1         (1)3( 3.0)  4762901.8 
   142     1    2S2 2P1 5F1         (3)3(10.0)  4763250.6 
   143     4    2S1 2P2 4P1         (3)1( 4.0)  4763902.2 
   144     1    2S2 2P1 5F1         (3)4(13.0)  4764997.1 
   145     1    2S2 2P1 5G1         (3)3(10.0)  4765585.6 
   146     1    2S2 2P1 5G1         (1)3( 3.0)  4765585.6 
   147     1    2S2 2P1 5G1         (3)4(13.0)  4765585.6 
   148     1    2S2 2P1 5G1         (1)4( 4.0)  4765585.6 
   149     1    2S2 2P1 5G1         (3)5(16.0)  4765585.6 
   150     1    2S2 2P1 5G1         (1)5( 5.0)  4765585.6 
   151     1    2S2 2P1 5F1         (3)2( 7.0)  4766340.6 
   152     1    2S2 2P1 5F1         (1)4( 4.0)  4766673.4 
   153     1    2S2 2P1 5F1         (1)2( 2.0)  4767283.9 
   154     5    2S1 2P2 4P1         (3)2( 7.0)  4796545.3 
   155     5    2S1 2P2 4P1         (3)1( 4.0)  4801074.1 
   156     4    2S1 2P2 4D1         (3)2( 7.0)  4809666.0 
   157     5    2S1 2P2 4P1         (3)0( 1.0)  4810044.0 
   158     4    2S1 2P2 4F1         (3)3(10.0)  4834675.0 
   159     5    2S1 2P2 4D1         (3)3(10.0)  4842616.2 
   160     5    2S1 2P2 4D1         (3)2( 7.0)  4848641.5 
   161     5    2S1 2P2 4D1         (3)1( 4.0)  4852447.1 
   162     5    2S1 2P2 4F1         (3)2( 7.0)  4868945.8 
   163     2    2S1 2P2 5S1         (5)1( 7.0)  4909098.1 
   164     2    2S1 2P2 5S1         (3)1( 4.0)  4917859.4 
   165     2    2S1 2P2 5P1         (5)2(12.0)  4932229.2 
   166     2    2S1 2P2 5P1         (3)0( 1.0)  4932244.8 
   167     2    2S1 2P2 5P1         (5)1( 7.0)  4934070.8 
   168     2    2S1 2P2 5P1         (5)0( 2.0)  4940175.2 
   169     2    2S1 2P2 5P1         (3)2( 7.0)  4941078.9 
   170     2    2S1 2P2 5P1         (3)1( 4.0)  4944649.5 
   171     6    2P3 4P1             (3)1( 4.0)  4953447.1 
   172     2    2S1 2P2 5D1         (5)3(17.0)  4953510.8 
   173     2    2S1 2P2 5D1         (5)2(12.0)  4956046.1 
   174     1    2S2 2P1 6S1         (3)1( 4.0)  4957575.7 
   175     1    2S2 2P1 6S1         (1)1( 1.0)  4959268.0 
   176     2    2S1 2P2 5D1         (5)1( 7.0)  4959532.1 
   177     2    2S1 2P2 5D1         (3)1( 4.0)  4960819.1 
   178     2    2S1 2P2 5D1         (3)3(10.0)  4965832.8 
   179     2    2S1 2P2 5F1         (5)2(12.0)  4969195.6 
   180     2    2S1 2P2 5F1         (5)4(22.0)  4969336.3 
   181     1    2S2 2P1 6P1         (1)1( 1.0)  4969577.3 
   182     2    2S1 2P2 5F1         (3)2( 7.0)  4969998.0 
   183     1    2S2 2P1 6P1         (3)2( 7.0)  4970557.6 
   184     2    2S1 2P2 5D1         (3)2( 7.0)  4970810.1 
   185     2    2S1 2P2 5F1         (3)4(13.0)  4971275.8 
   186     2    2S1 2P2 5G1         (5)3(17.0)  4971308.7 
   187     2    2S1 2P2 5G1         (3)3(10.0)  4971308.7 
   188     2    2S1 2P2 5G1         (5)4(22.0)  4971308.7 
   189     2    2S1 2P2 5G1         (3)4(13.0)  4971308.7 
   190     2    2S1 2P2 5G1         (5)5(27.0)  4971308.7 
   191     2    2S1 2P2 5G1         (3)5(16.0)  4971308.7 
   192     2    2S1 2P2 5F1         (5)3(17.0)  4971863.7 
   193     1    2S2 2P1 6P1         (3)0( 1.0)  4972027.5 
   194     1    2S2 2P1 6P1         (3)1( 4.0)  4973376.4 
   195     2    2S1 2P2 5F1         (3)3(10.0)  4974226.4 
   196     1    2S2 2P1 6P1         (1)2( 2.0)  4975828.6 
   197     1    2S2 2P1 6P1         (1)0( 0.0)  4979686.2 
   198     1    2S2 2P1 6D1         (1)2( 2.0)  4983200.4 
