SEQ='N '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94851161.9   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    72     6    2S1 2P3 3P1         (4)1( 1.5)  3249526.5 
    73     6    2S1 2P3 3P1         (4)1( 0.5)  3250246.5 
    74     4    2S2 2P2 3D1         (2)3( 3.5)  3253909.3 
    75     4    2S2 2P2 3D1         (2)3( 2.5)  3258619.8 
    76     4    2S2 2P2 3D1         (2)1( 0.5)  3264166.5 
    77     4    2S2 2P2 3D1         (2)1( 1.5)  3268961.6 
    78     4    2S2 2P2 3D1         (2)0( 0.5)  3272803.9 
    79     7    2S1 2P3 3S1         (4)2( 1.5)  3281493.6 
    80     5    2S2 2P2 3D1         (2)2( 2.5)  3316290.3 
    81     5    2S2 2P2 3D1         (2)2( 1.5)  3319677.9 
    82     6    2S1 2P3 3D1         (6)2( 0.5)  3348161.6 
    83     6    2S1 2P3 3D1         (6)2( 1.5)  3348296.1 
    84     6    2S1 2P3 3D1         (6)2( 2.5)  3348520.1 
    85     6    2S1 2P3 3D1         (6)2( 3.5)  3348836.6 
    86     6    2S1 2P3 3D1         (6)2( 4.5)  3349257.1 
    87    11    2S1 2P3 3S1         (4)1( 1.5)  3352630.9 
    88    12    2S1 2P3 3S1         (4)1( 2.5)  3354755.7 
    89     7    2S1 2P3 3P1         (4)2( 0.5)  3402132.2 
    90     7    2S1 2P3 3P1         (4)2( 1.5)  3402799.9 
    91     7    2S1 2P3 3P1         (4)2( 2.5)  3404635.6 
    92     7    2S1 2P3 3P1         (4)2( 3.5)  3407370.9 
    93     6    2S1 2P3 3D1         (4)2( 1.5)  3411251.4 
    94     6    2S1 2P3 3D1         (4)2( 2.5)  3411287.0 
    95     6    2S1 2P3 3D1         (4)2( 0.5)  3411334.5 
    96     6    2S1 2P3 3D1         (4)2( 3.5)  3411707.9 
    97     7    2S1 2P3 3P1         (4)3( 2.5)  3412047.6 
    98     9    2S1 2P3 3P1         (4)3( 3.5)  3413678.8 
    99     8    2S1 2P3 3P1         (2)1( 0.5)  3425773.2 
   100     8    2S1 2P3 3P1         (2)3( 2.5)  3429646.1 
   101     8    2S1 2P3 3P1         (4)1( 1.5)  3458745.3 
   102     8    2S1 2P3 3P1         (4)1( 0.5)  3460318.9 
   103     9    2S1 2P3 3P1         (4)1( 2.5)  3465363.6 
   104     9    2S1 2P3 3P1         (2)2( 2.5)  3477419.1 
   105     9    2S1 2P3 3P1         (2)2( 1.5)  3478502.5 
   106    10    2S1 2P3 3P1         (4)0( 1.5)  3479749.1 
   107    10    2S1 2P3 3P1         (4)2( 0.5)  3481350.2 
   108    11    2S1 2P3 3P1         (4)2( 1.5)  3483405.8 
   109    11    2S1 2P3 3P1         (4)2( 2.5)  3484018.9 
   110    12    2S1 2P3 3P1         (4)2( 3.5)  3484675.3 
   111    11    2S1 2P3 3P1         (2)1( 0.5)  3502327.4 
   112    13    2S1 2P3 3S1         (4)0( 1.5)  3504641.7 
   113    11    2S1 2P3 3P1         (2)1( 1.5)  3508511.7 
   114    12    2S1 2P3 3P1         (4)1( 2.5)  3513390.1 
   115    12    2S1 2P3 3P1         (4)1( 1.5)  3515244.8 
   116    11    2S1 2P3 3P1         (4)1( 0.5)  3516028.0 
   117    12    2S1 2P3 3P1         (2)2( 1.5)  3520068.8 
   118    12    2S1 2P3 3P1         (2)2( 2.5)  3525781.9 
   119     7    2S1 2P3 3D1         (4)3( 1.5)  3550628.2 
   120     7    2S1 2P3 3D1         (4)3( 2.5)  3551939.9 
   121     7    2S1 2P3 3D1         (4)3( 3.5)  3553968.8 
   122     7    2S1 2P3 3D1         (4)3( 4.5)  3556902.8 
   123     7    2S1 2P3 3D1         (4)4( 2.5)  3562638.5 
   124     7    2S1 2P3 3D1         (4)4( 3.5)  3563012.5 
   125     9    2S1 2P3 3D1         (4)4( 4.5)  3563669.1 
   126    12    2S1 2P3 3P1         (2)0( 0.5)  3569641.6 
   127     7    2S1 2P3 3D1         (4)2( 0.5)  3576246.7 
   128     7    2S1 2P3 3D1         (4)2( 1.5)  3577005.3 
