MO+41        42        42     192696740.0
    1 11                (2)0( 0.5)             0.0
    2 12                (2)0( 0.5)     148309100.0
    3 13                (2)1( 0.5)     148318340.0
    4 13                (2)1( 1.5)     149489480.0
    5 14                (2)0( 0.5)     176141700.0
    6 15                (2)1( 0.5)     176143640.0
    7 15                (2)1( 1.5)     176492030.0
    8 16                (2)2( 1.5)     176495300.0
    9 16                (2)2( 2.5)     176604800.0
   10 17                (2)0( 0.5)     185835200.0
   11 18                (2)1( 0.5)     185835910.0
   12 18                (2)1( 1.5)     185982745.0
   13 19                (2)2( 1.5)     185984120.0
   14 19                (2)2( 2.5)     186030420.0
  14   2 3.66+10 1.26-03 1.26-03 1.26-03 1.26-03 1.26-03 1.27-03 1.28-03 1.30-03 1.32-03 1.34-03 1.36-03 1.37-03 1.37-03 1.38-03
   4   3 1.45+07 1.38-03 1.48-03 1.66-03 1.99-03 2.71-03 3.36-03 3.95-03 4.49-03 4.73-03 4.87-03 4.96-03 4.99-03 5.01-03 5.02-03
   5   3 8.94+12 4.06-04 4.06-04 4.07-04 4.08-04 4.13-04 4.24-04 4.51-04 5.36-04 6.58-04 8.40-04 1.17-03 1.46-03 1.79-03 1.84-03
   6   3 1.00-30 4.23-03 4.23-03 4.23-03 4.24-03 4.27-03 4.32-03 4.41-03 4.62-03 4.81-03 5.00-03 5.20-03 5.30-03 5.38-03 5.39-03
   7   3 8.05+10 7.60-04 7.60-04 7.61-04 7.64-04 7.73-04 7.88-04 8.18-04 8.80-04 9.39-04 9.97-04 1.06-03 1.09-03 1.12-03 1.12-03
   8   3 1.86+14 2.10-02 2.11-02 2.11-02 2.12-02 2.17-02 2.25-02 2.44-02 2.96-02 3.62-02 4.52-02 6.01-02 7.31-02 8.70-02 8.90-02
  10   3 3.53+12 1.02-04 1.02-04 1.02-04 1.02-04 1.03-04 1.04-04 1.08-04 1.20-04 1.38-04 1.65-04 2.16-04 2.63-04 3.16-04 3.23-04
  11   3 1.00-30 8.65-04 8.65-04 8.65-04 8.66-04 8.69-04 8.75-04 8.86-04 9.13-04 9.39-04 9.66-04 9.97-04 1.01-03 1.03-03 1.03-03
  12   3 3.20+10 1.83-04 1.84-04 1.84-04 1.84-04 1.85-04 1.87-04 1.91-04 1.99-04 2.08-04 2.17-04 2.27-04 2.32-04 2.36-04 2.36-04
  13   3 5.80+13 4.15-03 4.15-03 4.16-03 4.17-03 4.22-03 4.32-03 4.54-03 5.16-03 5.99-03 7.14-03 9.09-03 1.08-02 1.26-02 1.29-02
   5   4 1.57+13 8.28-04 8.28-04 8.30-04 8.33-04 8.45-04 8.69-04 9.27-04 1.11-03 1.36-03 1.74-03 2.41-03 3.01-03 3.68-03 3.77-03
   6   4 1.22+11 7.74-04 7.75-04 7.76-04 7.79-04 7.88-04 8.04-04 8.34-04 8.96-04 9.53-04 1.01-03 1.07-03 1.10-03 1.12-03 1.12-03
   7   4 6.51+10 9.29-03 9.29-03 9.30-03 9.32-03 9.39-03 9.50-03 9.72-03 1.02-02 1.06-02 1.10-02 1.15-02 1.17-02 1.19-02 1.19-02
   8   4 3.27+13 4.34-03 4.35-03 4.36-03 4.39-03 4.48-03 4.67-03 5.06-03 6.14-03 7.50-03 9.33-03 1.24-02 1.50-02 1.78-02 1.82-02
   9   4 1.99+14 3.90-02 3.90-02 3.91-02 3.94-02 4.02-02 4.19-02 4.54-02 5.51-02 6.72-02 8.37-02 1.11-01 1.34-01 1.60-01 1.63-01
  10   4 6.43+12 2.06-04 2.06-04 2.06-04 2.07-04 2.08-04 2.11-04 2.19-04 2.44-04 2.81-04 3.38-04 4.41-04 5.36-04 6.42-04 6.57-04
  11   4 5.35+10 1.85-04 1.85-04 1.85-04 1.86-04 1.87-04 1.89-04 1.93-04 2.01-04 2.09-04 2.18-04 2.27-04 2.32-04 2.36-04 2.37-04
  12   4 2.73+10 1.92-03 1.92-03 1.92-03 1.92-03 1.93-03 1.95-03 1.97-03 2.03-03 2.09-03 2.15-03 2.22-03 2.26-03 2.28-03 2.29-03
  13   4 1.06+13 8.46-04 8.47-04 8.48-04 8.51-04 8.62-04 8.83-04 9.28-04 1.06-03 1.23-03 1.46-03 1.85-03 2.19-03 2.56-03 2.61-03
  14   4 6.36+13 7.61-03 7.62-03 7.63-03 7.66-03 7.75-03 7.94-03 8.34-03 9.50-03 1.10-02 1.31-02 1.66-02 1.97-02 2.30-02 2.35-02
   6   5 4.39+02 8.87-01 1.02+00 1.13+00 1.23+00 1.37+00 1.48+00 1.58+00 1.72+00 1.82+00 1.93+00 2.07+00 2.17+00 2.28+00 2.29+00
   7   5 2.58+09 6.00-01 6.50-01 7.10-01 7.86-01 9.04-01 1.00+00 1.11+00 1.25+00 1.36+00 1.47+00 1.62+00 1.73+00 1.85+00 1.86+00
   8   5 7.82+02 9.86-03 1.17-02 1.38-02 1.62-02 1.89-02 2.01-02 2.09-02 2.14-02 2.16-02 2.18-02 2.19-02 2.20-02 2.21-02 2.21-02
   9   5 3.01+03 1.72-02 1.95-02 2.22-02 2.53-02 2.88-02 3.04-02 3.14-02 3.21-02 3.23-02 3.24-02 3.25-02 3.25-02 3.25-02 3.25-02
  10   5 1.00-30 1.61-02 1.62-02 1.63-02 1.65-02 1.70-02 1.79-02 1.91-02 2.09-02 2.22-02 2.32-02 2.42-02 2.46-02 2.50-02 2.50-02
  11   5 9.23+12 3.61-03 3.64-03 3.71-03 3.86-03 4.45-03 5.54-03 7.64-03 1.25-02 1.79-02 2.45-02 3.46-02 4.31-02 5.19-02 5.31-02
  12   5 9.65+12 7.06-03 7.13-03 7.25-03 7.55-03 8.68-03 1.08-02 1.49-02 2.46-02 3.52-02 4.83-02 6.86-02 8.54-02 1.03-01 1.05-01
  13   5 2.26+10 1.18-02 1.18-02 1.19-02 1.20-02 1.25-02 1.31-02 1.41-02 1.55-02 1.65-02 1.73-02 1.80-02 1.84-02 1.87-02 1.87-02
  14   5 2.32+10 1.76-02 1.77-02 1.78-02 1.80-02 1.87-02 1.96-02 2.11-02 2.32-02 2.47-02 2.59-02 2.70-02 2.76-02 2.80-02 2.81-02
   7   6 3.83+05 1.52-02 1.80-02 2.13-02 2.51-02 2.92-02 3.11-02 3.23-02 3.31-02 3.34-02 3.36-02 3.37-02 3.38-02 3.38-02 3.38-02
   8   6 1.68+09 3.92-01 4.25-01 4.64-01 5.14-01 5.91-01 6.55-01 7.22-01 8.13-01 8.84-01 9.56-01 1.05+00 1.12+00 1.20+00 1.21+00
  10   6 2.46+12 1.86-03 1.87-03 1.87-03 1.90-03 2.00-03 2.20-03 2.63-03 3.73-03 5.01-03 6.64-03 9.24-03 1.14-02 1.37-02 1.41-02
  11   6 1.00-30 1.66-02 1.67-02 1.67-02 1.69-02 1.75-02 1.83-02 1.94-02 2.10-02 2.22-02 2.31-02 2.40-02 2.44-02 2.48-02 2.48-02
  12   6 8.43+09 3.05-03 3.06-03 3.08-03 3.13-03 3.28-03 3.50-03 3.82-03 4.32-03 4.67-03 4.96-03 5.23-03 5.36-03 5.44-03 5.45-03
  13   6 1.96+13 2.24-02 2.26-02 2.30-02 2.38-02 2.67-02 3.20-02 4.18-02 6.35-02 8.67-02 1.15-01 1.57-01 1.92-01 2.28-01 2.33-01
   8   7 2.70+02 2.07-01 2.41-01 2.66-01 2.92-01 3.27-01 3.53-01 3.79-01 4.13-01 4.39-01 4.65-01 5.00-01 5.26-01 5.52-01 5.56-01
   9   7 6.64+07 8.74-01 1.01+00 1.14+00 1.27+00 1.45+00 1.58+00 1.71+00 1.88+00 2.01+00 2.14+00 2.31+00 2.44+00 2.57+00 2.59+00
  10   7 4.40+12 3.78-03 3.79-03 3.81-03 3.86-03 4.08-03 4.52-03 5.44-03 7.72-03 1.04-02 1.37-02 1.89-02 2.33-02 2.79-02 2.86-02
