#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=5.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:02:53
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(5)' coupled to the particle 'H2+'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   1.36024280e-022    
   5.5000        5.6761e+017   1.28833089e-022    
   5.5000        6.4437e+017   1.21761878e-022    
   5.5000        7.3150e+017   1.14837885e-022    
   5.5000        8.3041e+017   1.08084402e-022    
   5.5000        9.4270e+017   1.01521022e-022    
   5.5000        1.0702e+018   9.51640118e-023    
   5.5000        1.2149e+018   8.90267481e-023    
   5.5000        1.3792e+018   8.31201349e-023    
   5.5000        1.5657e+018   7.74529662e-023    
   5.5000        1.7774e+018   7.20321935e-023    
   5.5000        2.0177e+018   6.68630897e-023    
   5.5000        2.2906e+018   6.19493182e-023    
   5.5000        2.6003e+018   5.72929294e-023    
   5.5000        2.9519e+018   5.28943156e-023    
   5.5000        3.3511e+018   4.87521606e-023    
   5.5000        3.8042e+018   4.48634117e-023    
   5.5000        4.3186e+018   4.12233004e-023    
   5.5000        4.9026e+018   3.78254231e-023    
   5.5000        5.5656e+018   3.46618863e-023    
   5.5000        6.3182e+018   3.17235090e-023    
   5.5000        7.1725e+018   2.90000705e-023    
   5.5000        8.1424e+018   2.64805850e-023    
   5.5000        9.2434e+018   2.41535853e-023    
   5.5000        1.0493e+019   2.20073964e-023    
   5.5000        1.1912e+019   2.00303842e-023    
   5.5000        1.3523e+019   1.82111673e-023    
   5.5000        1.5352e+019   1.65387840e-023    
   5.5000        1.7428e+019   1.50028128e-023    
   5.5000        1.9784e+019   1.35934462e-023    
   5.5000        2.2460e+019   1.23015230e-023    
   5.5000        2.5497e+019   1.11185259e-023    
   5.5000        2.8944e+019   1.00365531e-023    
   5.5000        3.2858e+019   9.04827169e-024    
   5.5000        3.7301e+019   8.14686315e-024    
   5.5000        4.2345e+019   7.32596577e-024    
   5.5000        4.8071e+019   6.57962118e-024    
   5.5000        5.4572e+019   5.90222773e-024    
   5.5000        6.1951e+019   5.28850296e-024    
   5.5000        7.0328e+019   4.73345526e-024    
   5.5000        7.9838e+019   4.23236424e-024    
   5.5000        9.0634e+019   3.78076809e-024    
   5.5000        1.0289e+020   3.37445627e-024    
   5.5000        1.1680e+020   3.00946561e-024    
   5.5000        1.3260e+020   2.68207817e-024    
   5.5000        1.5053e+020   2.38881952e-024    
   5.5000        1.7088e+020   2.12645639e-024    
   5.5000        1.9399e+020   1.89199311e-024    
   5.5000        2.2022e+020   1.68266645e-024    
   5.5000        2.5000e+020   1.49593873e-024    
   5.6726        5.0000e+017   1.32848491e-022    
   5.6726        5.6761e+017   1.25820752e-022    
   5.6726        6.4437e+017   1.18910594e-022    
   5.6726        7.3150e+017   1.12144593e-022    
   5.6726        8.3041e+017   1.05545476e-022    
   5.6726        9.4270e+017   9.91323663e-023    
   5.6726        1.0702e+018   9.29211482e-023    
   5.6726        1.2149e+018   8.69248891e-023    
   5.6726        1.3792e+018   8.11542474e-023    
   5.6726        1.5657e+018   7.56178211e-023    
   5.6726        1.7774e+018   7.03224060e-023    
   5.6726        2.0177e+018   6.52731526e-023    
   5.6726        2.2906e+018   6.04736311e-023    
   5.6726        2.6003e+018   5.59258259e-023    
   5.6726        2.9519e+018   5.16300928e-023    
   5.6726        3.3511e+018   4.75851092e-023    
   5.6726        3.8042e+018   4.37878500e-023    
   5.6726        4.3186e+018   4.02336102e-023    
   5.6726        4.9026e+018   3.69160866e-023    
   5.6726        5.5656e+018   3.38275226e-023    
   5.6726        6.3182e+018   3.09589086e-023    
   5.6726        7.1725e+018   2.83002260e-023    
   5.6726        8.1424e+018   2.58407170e-023    
   5.6726        9.2434e+018   2.35691616e-023    
   5.6726        1.0493e+019   2.14741453e-023    
   5.6726        1.1912e+019   1.95443009e-023    
   5.6726        1.3523e+019   1.77685139e-023    
   5.6726        1.5352e+019   1.61360847e-023    
   5.6726        1.7428e+019   1.46368438e-023    
   5.6726        1.9784e+019   1.32612228e-023    
   5.6726        2.2460e+019   1.20002842e-023    
   5.6726        2.5497e+019   1.08457180e-023    
   5.6726        2.8944e+019   9.78981299e-024    
   5.6726        3.2858e+019   8.82541133e-024    
   5.6726        3.7301e+019   7.94585449e-024    
   5.6726        4.2345e+019   7.14492778e-024    
   5.6726        4.8071e+019   6.41680833e-024    
   5.6726        5.4572e+019   5.75602017e-024    
   5.6726        6.1951e+019   5.15739813e-024    
   5.6726        7.0328e+019   4.61606079e-024    
   5.6726        7.9838e+019   4.12739172e-024    
   5.6726        9.0634e+019   3.68702760e-024    
   5.6726        1.0289e+020   3.29085134e-024    
   5.6726        1.1680e+020   2.93498845e-024    
   5.6726        1.3260e+020   2.61580502e-024    
   5.6726        1.5053e+020   2.32990606e-024    
   5.6726        1.7088e+020   2.07413318e-024    
   5.6726        1.9399e+020   1.84556098e-024    
   5.6726        2.2022e+020   1.64149188e-024    
   5.6726        2.5000e+020   1.45944932e-024    
   5.8506        5.0000e+017   1.29664438e-022    
   5.8506        5.6761e+017   1.22801217e-022    
   5.8506        6.4437e+017   1.16053099e-022    
   5.8506        7.3150e+017   1.09446000e-022    
   5.8506        8.3041e+017   1.03002090e-022    
   5.8506        9.4270e+017   9.67400266e-023    
   5.8506        1.0702e+018   9.06753140e-023    
   5.8506        1.2149e+018   8.48207134e-023    
   5.8506        1.3792e+018   7.91866378e-023    
   5.8506        1.5657e+018   7.37814897e-023    
   5.8506        1.7774e+018   6.86119092e-023    
   5.8506        2.0177e+018   6.36829248e-023    
   5.8506        2.2906e+018   5.89980141e-023    
   5.8506        2.6003e+018   5.45590977e-023    
   5.8506        2.9519e+018   5.03664972e-023    
   5.8506        3.3511e+018   4.64188877e-023    
   5.8506        3.8042e+018   4.27132766e-023    
   5.8506        4.3186e+018   3.92450275e-023    
   5.8506        4.9026e+018   3.60079435e-023    
   5.8506        5.5656e+018   3.29944107e-023    
   5.8506        6.3182e+018   3.01955967e-023    
   5.8506        7.1725e+018   2.76016902e-023    
   5.8506        8.1424e+018   2.52021653e-023    
   5.8506        9.2434e+018   2.29860533e-023    
   5.8506        1.0493e+019   2.09422026e-023    
   5.8506        1.1912e+019   1.90595148e-023    
   5.8506        1.3523e+019   1.73271436e-023    
   5.8506        1.5352e+019   1.57346518e-023    
   5.8506        1.7428e+019   1.42721221e-023    
   5.8506        1.9784e+019   1.29302248e-023    
   5.8506        2.2460e+019   1.17002458e-023    
   5.8506        2.5497e+019   1.05740821e-023    
   5.8506        2.8944e+019   9.54421272e-024    
   5.8506        3.2858e+019   8.60365459e-024    
   5.8506        3.7301e+019   7.74590937e-024    
   5.8506        4.2345e+019   6.96490963e-024    
   5.8506        4.8071e+019   6.25496844e-024    
   5.8506        5.4572e+019   5.61073610e-024    
   5.8506        6.1951e+019   5.02716544e-024    
   5.8506        7.0328e+019   4.49948592e-024    
   5.8506        7.9838e+019   4.02318584e-024    
   5.8506        9.0634e+019   3.59400107e-024    
   5.8506        1.0289e+020   3.20790858e-024    
   5.8506        1.1680e+020   2.86112310e-024    
   5.8506        1.3260e+020   2.55009521e-024    
   5.8506        1.5053e+020   2.27150972e-024    
   5.8506        1.7088e+020   2.02228334e-024    
   5.8506        1.9399e+020   1.79956109e-024    
   5.8506        2.2022e+020   1.60071115e-024    
   5.8506        2.5000e+020   1.42331809e-024    
   6.0342        5.0000e+017   1.26698998e-022    
   6.0342        5.6761e+017   1.19989459e-022    
   6.0342        6.4437e+017   1.13392671e-022    
   6.0342        7.3150e+017   1.06933942e-022    
   6.0342        8.3041e+017   1.00634925e-022    
   6.0342        9.4270e+017   9.45138493e-023    
   6.0342        1.0702e+018   8.85858680e-023    
   6.0342        1.2149e+018   8.28634589e-023    
   6.0342        1.3792e+018   7.73568079e-023    
   6.0342        1.5657e+018   7.20741355e-023    
   6.0342        1.7774e+018   6.70219370e-023    
   6.0342        2.0177e+018   6.22051265e-023    
   6.0342        2.2906e+018   5.76270951e-023    
   6.0342        2.6003e+018   5.32897037e-023    
   6.0342        2.9519e+018   4.91932419e-023    
   6.0342        3.3511e+018   4.53363832e-023    
   6.0342        3.8042e+018   4.17161657e-023    
   6.0342        4.3186e+018   3.83280185e-023    
   6.0342        4.9026e+018   3.51658449e-023    
   6.0342        5.5656e+018   3.22221661e-023    
   6.0342        6.3182e+018   2.94883163e-023    
   6.0342        7.1725e+018   2.69546794e-023    
   6.0342        8.1424e+018   2.46109479e-023    
   6.0342        9.2434e+018   2.24463885e-023    
   6.0342        1.0493e+019   2.04500968e-023    
   6.0342        1.1912e+019   1.86112261e-023    
   6.0342        1.3523e+019   1.69191816e-023    
   6.0342        1.5352e+019   1.53637717e-023    
   6.0342        1.7428e+019   1.39353153e-023    
   6.0342        1.9784e+019   1.26247062e-023    
   6.0342        2.2460e+019   1.14234394e-023    
   6.0342        2.5497e+019   1.03236054e-023    
