#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=18.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:02:53
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(18)' coupled to the particle 'H2+'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   2.12341644e-024    
   5.5000        5.6761e+017   1.93497968e-024    
   5.5000        6.4437e+017   1.76314957e-024    
   5.5000        7.3150e+017   1.60642896e-024    
   5.5000        8.3041e+017   1.46345254e-024    
   5.5000        9.4270e+017   1.33297738e-024    
   5.5000        1.0702e+018   1.21387445e-024    
   5.5000        1.2149e+018   1.10512073e-024    
   5.5000        1.3792e+018   1.00579151e-024    
   5.5000        1.5657e+018   9.15052754e-025    
   5.5000        1.7774e+018   8.32153344e-025    
   5.5000        2.0177e+018   7.56417198e-025    
   5.5000        2.2906e+018   6.87235358e-025    
   5.5000        2.6003e+018   6.24058208e-025    
   5.5000        2.9519e+018   5.66388044e-025    
   5.5000        3.3511e+018   5.13772197e-025    
   5.5000        3.8042e+018   4.65796906e-025    
   5.5000        4.3186e+018   4.22082047e-025    
   5.5000        4.9026e+018   3.82276792e-025    
   5.5000        5.5656e+018   3.46056171e-025    
   5.5000        6.3182e+018   3.13118464e-025    
   5.5000        7.1725e+018   2.83183294e-025    
   5.5000        8.1424e+018   2.55990283e-025    
   5.5000        9.2434e+018   2.31298085e-025    
   5.5000        1.0493e+019   2.08883674e-025    
   5.5000        1.1912e+019   1.88541728e-025    
   5.5000        1.3523e+019   1.70084012e-025    
   5.5000        1.5352e+019   1.53338686e-025    
   5.5000        1.7428e+019   1.38149497e-025    
   5.5000        1.9784e+019   1.24374831e-025    
   5.5000        2.2460e+019   1.11886654e-025    
   5.5000        2.5497e+019   1.00569356e-025    
   5.5000        2.8944e+019   9.03185539e-026    
   5.5000        3.2858e+019   8.10398952e-026    
   5.5000        3.7301e+019   7.26479042e-026    
   5.5000        4.2345e+019   6.50649132e-026    
   5.5000        4.8071e+019   5.82201034e-026    
   5.5000        5.4572e+019   5.20486710e-026    
   5.5000        6.1951e+019   4.64911222e-026    
   5.5000        7.0328e+019   4.14926918e-026    
   5.5000        7.9838e+019   3.70028716e-026    
   5.5000        9.0634e+019   3.29750329e-026    
   5.5000        1.0289e+020   2.93661228e-026    
   5.5000        1.1680e+020   2.61364179e-026    
   5.5000        1.3260e+020   2.32493180e-026    
   5.5000        1.5053e+020   2.06711673e-026    
   5.5000        1.7088e+020   1.83710910e-026    
   5.5000        1.9399e+020   1.63208429e-026    
   5.5000        2.2022e+020   1.44946562e-026    
   5.5000        2.5000e+020   1.28690960e-026    
   5.6726        5.0000e+017   2.08754177e-024    
   5.6726        5.6761e+017   1.90229697e-024    
   5.6726        6.4437e+017   1.73337353e-024    
   5.6726        7.3150e+017   1.57930039e-024    
   5.6726        8.3041e+017   1.43873600e-024    
   5.6726        9.4270e+017   1.31045918e-024    
   5.6726        1.0702e+018   1.19336065e-024    
   5.6726        1.2149e+018   1.08643534e-024    
   5.6726        1.3792e+018   9.88774780e-025    
   5.6726        1.5657e+018   8.99559586e-025    
   5.6726        1.7774e+018   8.18051806e-025    
   5.6726        2.0177e+018   7.43587162e-025    
   5.6726        2.2906e+018   6.75567257e-025    
   5.6726        2.6003e+018   6.13451921e-025    
