SEQ='AL'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 143750963.6   NPRNTI= 2   NPRNTF=14
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2                 (1)0( 0.0)        0.0 
    82     3    3S1 3P1 4D1         (2)2( 4.5)   908227.3 
    83  9999    3P1 3D2             (2)2( 4.5)   908764.2 
    84  9999    3P1 3D2             (2)1( 2.5)   911256.3 
    85     3    3S1 3P1 4D1         (2)3( 6.5)   912020.2 
    86     3    3S1 3P1 4D1         (2)1( 2.5)   915924.6 
    87  9999    3P1 3D2             (2)3( 6.5)   927518.2 
    88     4    3P2 4P1             (2)2( 4.5)   932546.1 
    89  9999    3P1 3D2             (2)4( 8.5)   933644.9 
    90     4    3P2 4P1             (2)3( 6.5)   939073.8 
    91     1    3S2 6S1             (2)0( 0.5)   940478.7 
    92     4    3P2 4P1             (2)1( 2.5)   942836.9 
    93     6    3P2 4S1             (2)0( 0.5)   946334.7 
    94     3    3S1 3P1 4F1         (2)3( 6.5)   947564.3 
    95     3    3S1 3P1 4F1         (2)4( 8.5)   951805.7 
    96     2    3S1 3P1 5S1         (4)1( 5.5)   952231.4 
    97     3    3S1 3P1 4F1         (2)2( 4.5)   956066.5 
    98     1    3S2 6P1             (2)1( 2.5)   956506.0 
    99     2    3S1 3P1 5S1         (2)1( 2.5)   958938.0 
   100  9999    3P1 3D2             (2)2( 4.5)   959410.5 
   101     5    3P2 4P1             (2)2( 4.5)   963346.9 
   102     5    3P2 4P1             (2)1( 2.5)   972009.2 
   103  9999    3P1 3D2             (2)1( 2.5)   973643.0 
   104     7    3S1 3D1 4S1         (2)2( 4.5)   975664.2 
   105     1    3S2 6D1             (2)2( 4.5)   978239.5 
   106     2    3S1 3P1 5P1         (4)2( 9.5)   980278.5 
   107     2    3S1 3P1 5P1         (2)1( 2.5)   980584.9 
   108     2    3S1 3P1 5P1         (4)1( 5.5)   982923.4 
   109     2    3S1 3P1 5P1         (4)0( 1.5)   984226.4 
   110     2    3S1 3P1 5P1         (2)2( 4.5)   987708.6 
   111     1    3S2 6F1             (2)3( 6.5)   988746.8 
   112     1    3S2 6G1             (2)4( 8.5)   990991.1 
   113     1    3S2 6H1             (2)5(10.5)   991417.5 
