SEQ='BE'     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94355335.6   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   288366.5 

   LS RESOLVED TERM INDEXING            BWNR= 103074250.9   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    96     1    2S1 6D1             (1)2( 2.0)  7836437.8 
    97     1    2S1 6F1             (3)3(10.0)  7836882.1 
    98     1    2S1 6G1             (3)4(13.0)  7837573.5 
    99     1    2S1 6G1             (1)4( 4.0)  7837573.5 
   100     1    2S1 6H1             (3)5(16.0)  7837764.5 
   101     1    2S1 6H1             (1)5( 5.0)  7837764.5 
   102     1    2S1 6F1             (1)3( 3.0)  7838118.7 
   103     1    2S1 7S1             (3)0( 1.0)  8055255.2 
   104     1    2S1 7S1             (1)0( 0.0)  8058157.1 
   105     1    2S1 7P1             (3)1( 4.0)  8063556.2 
   106     1    2S1 7P1             (1)1( 1.0)  8064665.6 
   107     1    2S1 7D1             (3)2( 7.0)  8068322.9 
   108     1    2S1 7D1             (1)2( 2.0)  8070659.8 
   109     1    2S1 7F1             (3)3(10.0)  8070967.9 
   110     1    2S1 7G1             (3)4(13.0)  8071440.3 
   111     1    2S1 7G1             (1)4( 4.0)  8071440.3 
   112     1    2S1 7H1             (3)5(16.0)  8071560.5 
   113     1    2S1 7H1             (1)5( 5.0)  8071560.5 
   114     1    2S1 7I1             (3)6(19.0)  8071614.3 
   115     1    2S1 7I1             (1)6( 6.0)  8071614.3 
   116     1    2S1 7F1             (1)3( 3.0)  8071774.0 
   117     2    2P1 6S1             (3)1( 4.0)  8102289.7 
   118     2    2P1 6S1             (1)1( 1.0)  8104459.3 
   119     2    2P1 6P1             (1)1( 1.0)  8111289.7 
   120     2    2P1 6P1             (3)2( 7.0)  8112690.3 
   121     2    2P1 6P1             (3)0( 1.0)  8114791.1 
   122     2    2P1 6P1             (3)1( 4.0)  8116034.0 
   123     2    2P1 6P1             (1)2( 2.0)  8119356.2 
   124     2    2P1 6D1             (1)2( 2.0)  8119754.0 
   125     2    2P1 6D1             (3)3(10.0)  8120027.6 
   126     2    2P1 6D1             (3)2( 7.0)  8123023.8 
   127     2    2P1 6D1             (3)1( 4.0)  8123812.7 
   128     2    2P1 6F1             (1)3( 3.0)  8124021.7 
   129     2    2P1 6P1             (1)0( 0.0)  8124339.6 
   130     2    2P1 6F1             (3)3(10.0)  8124414.1 
   131     2    2P1 6F1             (3)4(13.0)  8125709.2 
   132     2    2P1 6G1             (3)3(10.0)  8125940.0 
   133     2    2P1 6G1             (1)3( 3.0)  8125940.0 
