SEQ='BE'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94846886.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   295528.9 
     3          2P1                 (2)1( 1.5)   334397.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 103612964.0   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    95     3    2P1 4F1             (3)2( 1.0)  7120673.0 
    96     3    2P1 4F1             (1)2( 2.0)  7122527.8 
    97     3    2P1 4D1             (1)3( 3.0)  7123053.8 
    98     3    2P1 4D1             (1)1( 1.0)  7123443.1 
    99     1    2S1 5S1             (3)0( 1.0)  7447297.9 
   100     1    2S1 5S1             (1)0( 0.0)  7456072.9 
   101     1    2S1 5P1             (3)1( 0.0)  7470993.6 
   102     1    2S1 5P1             (3)1( 1.0)  7471481.1 
   103     1    2S1 5P1             (3)1( 2.0)  7473255.9 
   104     1    2S1 5P1             (1)1( 1.0)  7476013.2 
   105     1    2S1 5D1             (3)2( 1.0)  7486641.2 
   106     1    2S1 5D1             (3)2( 2.0)  7486908.1 
   107     1    2S1 5D1             (3)2( 3.0)  7487349.9 
   108     1    2S1 5D1             (1)2( 2.0)  7494187.9 
   109     1    2S1 5F1             (3)3( 2.0)  7495090.2 
   110     1    2S1 5F1             (3)3( 3.0)  7495224.3 
   111     1    2S1 5F1             (3)3( 4.0)  7495436.5 
   112     1    2S1 5G1             (1)*( 3.0)  7496831.3 
   113     1    2S1 5G1             (1)*( 4.0)  7496831.3 
   114     1    2S1 5G1             (1)*( 4.0)  7496831.3 
   115     1    2S1 5G1             (1)*( 5.0)  7496831.3 
   116     1    2S1 5F1             (1)3( 3.0)  7497287.7 
   117     2    2P1 5S1             (3)1( 0.0)  7746925.4 
   118     2    2P1 5S1             (3)1( 1.0)  7748151.0 
   119     2    2P1 5P1             (3)2( 1.0)  7764738.5 
   120     2    2P1 5P1             (3)1( 1.0)  7771169.3 
   121     2    2P1 5P1             (3)2( 2.0)  7771805.3 
   122     2    2P1 5P1             (3)1( 0.0)  7775372.1 
   123     2    2P1 5D1             (3)3( 2.0)  7780629.3 
   124     3    2P1 5S1             (3)1( 2.0)  7785794.1 
   125     2    2P1 5D1             (3)2( 2.0)  7786160.4 
   126     2    2P1 5D1             (3)3( 3.0)  7786653.6 
   127     3    2P1 5S1             (1)1( 1.0)  7788501.5 
   128     2    2P1 5D1             (3)2( 1.0)  7789150.2 
   129     2    2P1 5F1             (3)4( 3.0)  7790677.4 
   130     2    2P1 5F1             (3)3( 3.0)  7791650.3 
   131     2    2P1 5F1             (3)3( 2.0)  7791892.3 
   132     2    2P1 5F1             (3)4( 4.0)  7792062.2 
   133     2    2P1 5G1             (1)*( 3.0)  7792360.2 
   134     2    2P1 5G1             (1)*( 4.0)  7792360.2 
   135     2    2P1 5G1             (1)*( 4.0)  7792360.2 
   136     2    2P1 5G1             (1)*( 5.0)  7792360.2 
   137     3    2P1 5P1             (1)1( 1.0)  7805391.0 
   138     3    2P1 5P1             (3)2( 3.0)  7806329.2 
   139     3    2P1 5P1             (3)1( 2.0)  7808996.2 
   140     3    2P1 5P1             (3)0( 1.0)  7809264.3 
   141     3    2P1 5P1             (1)2( 2.0)  7815522.6 
   142     3    2P1 5D1             (3)3( 4.0)  7820023.3 
   143     3    2P1 5D1             (1)2( 2.0)  7820543.8 
   144     3    2P1 5D1             (3)2( 3.0)  7823307.1 
   145     3    2P1 5P1             (1)0( 0.0)  7823554.7 
   146     3    2P1 5D1             (3)1( 2.0)  7825508.3 
   147     3    2P1 5D1             (3)1( 1.0)  7825892.0 
   148     3    2P1 5D1             (3)1( 0.0)  7826195.1 
   149     3    2P1 5F1             (1)3( 3.0)  7828242.8 
   150     3    2P1 5F1             (3)3( 4.0)  7828936.5 
   151     3    2P1 5F1             (3)2( 3.0)  7830239.1 
   152     3    2P1 5F1             (3)2( 2.0)  7830432.9 
   153     3    2P1 5F1             (3)4( 5.0)  7830672.1 
   154     3    2P1 5G1             (1)*( 2.0)  7831228.9 
   155     3    2P1 5G1             (1)*( 3.0)  7831228.9 
   156     3    2P1 5G1             (1)*( 4.0)  7831228.9 
