SEQ='C '     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 111450792.5   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
    77     4    2S1 2P2 3D1         (5)2( 0.0)  4638441.0 
    78     4    2S1 2P2 3D1         (5)2( 1.0)  4639143.8 
    79     3    2S1 2P2 3D1         (5)2( 2.0)  4640610.4 
    80     5    2S1 2P2 3D1         (5)3( 5.0)  4640807.2 
    81     4    2S1 2P2 3D1         (5)2( 3.0)  4643673.2 
    82     5    2S1 2P2 3D1         (5)2( 4.0)  4652989.0 
    83     4    2S1 2P2 3D1         (3)1( 2.0)  4668232.0 
    84     4    2S1 2P2 3D1         (5)1( 3.0)  4670227.1 
    85     4    2S1 2P2 3D1         (5)1( 2.0)  4676308.0 
    86     8    2S1 2P2 3S1         (3)0( 1.0)  4676817.2 
    87     4    2S1 2P2 3D1         (5)1( 1.0)  4679210.0 
    88     5    2S1 2P2 3D1         (3)1( 1.0)  4681901.4 
    89     5    2S1 2P2 3D1         (3)3( 2.0)  4688301.8 
    90     5    2S1 2P2 3D1         (3)1( 0.0)  4689297.2 
    91     6    2S1 2P2 3P1         (3)3( 2.0)  4697910.4 
    92     5    2S1 2P2 3D1         (3)3( 3.0)  4698917.7 
    93     6    2S1 2P2 3P1         (3)3( 3.0)  4702758.4 
    94     8    2S1 2P2 3S1         (3)1( 0.0)  4705936.6 
    95     7    2S1 2P2 3P1         (3)3( 4.0)  4708182.0 
    96     5    2S1 2P2 3D1         (3)3( 4.0)  4714005.4 
    97     7    2S1 2P2 3P1         (1)3( 3.0)  4722049.3 
    98     6    2S1 2P2 3P1         (1)2( 2.0)  4727287.7 
    99     9    2S1 2P2 3S1         (3)1( 1.0)  4728108.4 
   100     6    2S1 2P2 3P1         (3)2( 1.0)  4728698.5 
   101     7    2S1 2P2 3P1         (3)2( 2.0)  4732160.5 
   102     7    2S1 2P2 3P1         (3)2( 3.0)  4736391.8 
   103     5    2S1 2P2 3D1         (3)2( 1.0)  4741716.9 
   104    10    2S1 2P2 3S1         (3)1( 2.0)  4743585.1 
   105     5    2S1 2P2 3D1         (3)2( 2.0)  4745197.0 
   106     6    2S1 2P2 3P1         (1)1( 1.0)  4746272.4 
   107     5    2S1 2P2 3D1         (3)2( 3.0)  4749032.7 
   108     6    2S1 2P2 3P1         (3)1( 0.0)  4750192.0 
   109    10    2S1 2P2 3S1         (1)1( 1.0)  4750972.4 
   110     7    2S1 2P2 3P1         (3)1( 1.0)  4751261.3 
   111     9    2S1 2P2 3S1         (1)0( 0.0)  4752029.1 
   112     7    2S1 2P2 3P1         (3)1( 2.0)  4753675.6 
   113     8    2S1 2P2 3P1         (3)1( 0.0)  4809598.9 
   114     8    2S1 2P2 3P1         (3)1( 1.0)  4825165.9 
   115     8    2S1 2P2 3P1         (3)1( 2.0)  4834613.6 
   116     8    2S1 2P2 3P1         (1)1( 1.0)  4835935.4 
   117     9    2S1 2P2 3P1         (1)0( 0.0)  4843414.8 
   118     6    2S1 2P2 3D1         (3)4( 3.0)  4848665.1 
   119     6    2S1 2P2 3D1         (3)4( 4.0)  4850854.8 
   120     7    2S1 2P2 3D1         (3)4( 5.0)  4853335.2 
   121     6    2S1 2P2 3D1         (3)3( 2.0)  4861131.1 
   122     6    2S1 2P2 3D1         (3)3( 3.0)  4863146.3 
   123     7    2S1 2P2 3D1         (3)3( 4.0)  4864238.5 
   124     9    2S1 2P2 3P1         (3)2( 2.0)  4865464.2 
   125     9    2S1 2P2 3P1         (3)2( 1.0)  4865979.0 
   126     6    2S1 2P2 3D1         (3)2( 1.0)  4867105.3 
   127     6    2S1 2P2 3D1         (3)2( 2.0)  4868500.6 
   128     7    2S1 2P2 3D1         (3)2( 3.0)  4870307.9 
   129    10    2S1 2P2 3P1         (3)2( 3.0)  4874979.3 
   130     7    2S1 2P2 3D1         (1)3( 3.0)  4880173.0 
   131    10    2S1 2P2 3P1         (3)1( 0.0)  4883375.0 
   132     9    2S1 2P2 3P1         (3)1( 1.0)  4884726.5 
