SEQ='C '     NUCCHG=20                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 110872714.2   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)   233022.6 
     3          2S1 2P2             (2)2( 4.5)   431713.7*
     4          2S1 2P2             (2)0( 0.5)   550933.6*
     5          2S1 2P2             (2)1( 2.5)   590656.1*
     6          2P3                 (4)0( 1.5)   749903.8*
     7          2P3                 (2)2( 4.5)   869123.7*
     8          2P3                 (2)1( 2.5)   978566.2*

   LS RESOLVED TERM INDEXING            BWNR= 118056189.4   NTRM= 493
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    84     1    2S2 2P1 4P1         (1)2( 2.0)  5569883.9 
    85     1    2S2 2P1 4P1         (1)0( 0.0)  5586794.8 
    86     1    2S2 2P1 4D1         (1)2( 2.0)  5598870.8 
    87     1    2S2 2P1 4D1         (3)3(10.0)  5599460.0 
    88     1    2S2 2P1 4D1         (3)2( 7.0)  5609727.4 
    89     1    2S2 2P1 4D1         (3)1( 4.0)  5611842.7 
    90     1    2S2 2P1 4D1         (1)1( 1.0)  5628801.5 
    91     1    2S2 2P1 4D1         (1)3( 3.0)  5629385.5 
    92     1    2S2 2P1 4F1         (1)3( 3.0)  5632449.6 
    93     1    2S2 2P1 4F1         (3)3(10.0)  5633098.7 
    94     1    2S2 2P1 4F1         (3)4(13.0)  5637896.0 
    95     1    2S2 2P1 4F1         (3)2( 7.0)  5640936.2 
    96     1    2S2 2P1 4F1         (1)4( 4.0)  5641002.1 
    97     1    2S2 2P1 4F1         (1)2( 2.0)  5642673.7 
    98     2    2S1 2P2 4S1         (5)1( 7.0)  5725084.3 
    99     2    2S1 2P2 4S1         (3)1( 4.0)  5746930.4 
   100     2    2S1 2P2 4P1         (5)2(12.0)  5778486.6 
   101     2    2S1 2P2 4P1         (3)0( 1.0)  5778518.4 
   102     2    2S1 2P2 4P1         (5)1( 7.0)  5782939.8 
   103     2    2S1 2P2 4P1         (5)0( 2.0)  5798756.1 
   104     2    2S1 2P2 4P1         (3)2( 7.0)  5799751.7 
   105     2    2S1 2P2 4P1         (3)1( 4.0)  5808287.8 
   106     2    2S1 2P2 4D1         (5)3(17.0)  5828691.2 
   107     2    2S1 2P2 4D1         (5)2(12.0)  5834952.8 
   108     2    2S1 2P2 4D1         (5)1( 7.0)  5843579.3 
   109     2    2S1 2P2 4D1         (3)1( 4.0)  5846423.4 
   110     2    2S1 2P2 4D1         (3)3(10.0)  5858310.3 
   111     2    2S1 2P2 4F1         (5)2(12.0)  5866737.8 
   112     2    2S1 2P2 4F1         (5)4(22.0)  5867558.2 
   113     2    2S1 2P2 4F1         (3)2( 7.0)  5868245.3 
   114     2    2S1 2P2 4D1         (3)2( 7.0)  5871110.2 
   115     2    2S1 2P2 4F1         (3)4(13.0)  5871175.3 
   116     2    2S1 2P2 4F1         (5)3(17.0)  5873854.7 
   117     2    2S1 2P2 4F1         (3)3(10.0)  5878254.7 
