SEQ='AL'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 144375973.8   NPRNTI= 4   NPRNTF=26
   ---------------------
   INDP         CODE                 S L   WI        WNP
    72  9999    3S1 3D2             (4)3( 3.5)   681148.9 
    73  9999    3S1 3D2             (4)3( 4.5)   681377.3 
    74     2    3S1 3P1 4S1         (4)1( 0.5)   689730.6 
    75     3    3S1 3P1 4S1         (4)1( 1.5)   691152.3 
    76     4    3S1 3P1 4S1         (4)1( 2.5)   693760.9 
    77  9999    3S1 3D2             (4)1( 0.5)   701441.2 
    78  9999    3S1 3D2             (4)1( 1.5)   701523.3 
    79  9999    3S1 3D2             (4)1( 2.5)   701657.8 
    80     1    3S2 4D1             (2)2( 1.5)   704205.5 
    81     1    3S2 4D1             (2)2( 2.5)   704353.1 
    82  9999    3P2 3D1             (2)2( 2.5)   707241.8 
    83  9999    3P2 3D1             (2)2( 1.5)   708489.6 
    84     3    3S1 3P1 4S1         (2)1( 0.5)   710322.1 
    85     4    3S1 3P1 4S1         (2)1( 1.5)   712951.0 
    86  9999    3S1 3D2             (2)2( 2.5)   735453.9 
    87  9999    3S1 3D2             (2)2( 1.5)   735516.3 
    88  9999    3S1 3D2             (2)4( 3.5)   735882.9 
    89  9999    3S1 3D2             (2)4( 4.5)   735920.1 
    90     1    3S2 4F1             (2)3( 2.5)   744227.6 
    91     1    3S2 4F1             (2)3( 3.5)   744273.5 
    92     2    3S1 3P1 4P1         (4)2( 0.5)   750331.8 
    93     2    3S1 3P1 4P1         (4)2( 1.5)   751468.9 
    94     3    3S1 3P1 4P1         (4)2( 2.5)   753315.0 
    95     3    3S1 3P1 4P1         (2)1( 0.5)   755409.0 
    96     4    3S1 3P1 4P1         (4)2( 3.5)   755691.4 
    97     3    3S1 3P1 4P1         (2)1( 1.5)   755831.7 
    98     3    3S1 3P1 4P1         (4)0( 1.5)   761944.2 
    99     3    3S1 3P1 4P1         (4)1( 0.5)   762576.5 
   100     4    3S1 3P1 4P1         (4)1( 1.5)   764267.5 
   101     4    3S1 3P1 4P1         (4)1( 2.5)   765250.5 
   102     5    3S1 3P1 4S1         (2)1( 0.5)   770681.9 
   103     5    3S1 3P1 4S1         (2)1( 1.5)   771112.1 
   104  9999    3S1 3D2             (2)3( 2.5)   771562.1 
   105  9999    3S1 3D2             (2)3( 3.5)   771699.5 
   106     4    3S1 3P1 4P1         (2)2( 1.5)   773302.5 
   107     4    3S1 3P1 4P1         (2)2( 2.5)   775863.8 
   108  9999    3S1 3D2             (2)0( 0.5)   785004.0 
   109     4    3S1 3P1 4P1         (2)0( 0.5)   789259.8 
   110  9999    3S1 3D2             (2)1( 0.5)   791651.1 
   111  9999    3S1 3D2             (2)1( 1.5)   792042.7 
   112     1    3S2 5S1             (2)0( 0.5)   816394.9 
   113  9999    3P1 3D2             (4)4( 2.5)   820415.1 
   114  9999    3P1 3D2             (4)4( 3.5)   821383.0 
   115  9999    3P1 3D2             (4)4( 4.5)   822640.5 
   116  9999    3P1 3D2             (4)4( 5.5)   824204.1 
   117     5    3S1 3P1 4P1         (2)2( 1.5)   832415.9 
   118     5    3S1 3P1 4P1         (2)2( 2.5)   833191.1 
   119     5    3S1 3P1 4P1         (2)1( 0.5)   835369.8 
   120     5    3S1 3P1 4P1         (2)1( 1.5)   836543.6 
   121  9999    3P1 3D2             (2)3( 2.5)   841031.4 
   122     5    3S1 3P1 4P1         (2)0( 0.5)   842231.2 
   123     2    3S1 3P1 4D1         (4)2( 1.5)   842962.6 
   124     3    3S1 3P1 4D1         (4)2( 0.5)   843023.5 
   125  9999    3P1 3D2             (2)3( 3.5)   843061.5 
   126     2    3S1 3P1 4D1         (4)2( 2.5)   843168.9 
   127     3    3S1 3P1 4D1         (2)2( 1.5)   843679.1 
   128     3    3S1 3P1 4D1         (4)2( 3.5)   844034.9 
   129  9999    3P1 3D2             (2)2( 1.5)   844467.0 
   130     3    3S1 3P1 4D1         (2)2( 2.5)   844549.2 
   131  9999    3P1 3D2             (2)2( 2.5)   845275.1 
   132     3    3S1 3P1 4D1         (4)3( 1.5)   846169.1 
   133     1    3S2 5P1             (2)1( 0.5)   846234.0 
   134     1    3S2 5P1             (2)1( 1.5)   846884.7 
   135     3    3S1 3P1 4D1         (4)3( 2.5)   846954.9 
   136     4    3S1 3P1 4D1         (4)3( 3.5)   847986.5 
   137     4    3S1 3P1 4D1         (4)3( 4.5)   849168.3 
   138  9999    3P1 3D2             (4)2( 0.5)   852536.7 
   139     4    3S1 3P1 4D1         (4)1( 2.5)   852750.7 
   140  9999    3P1 3D2             (4)2( 1.5)   853167.4 
   141     4    3S1 3P1 4D1         (4)1( 1.5)   853731.6 
   142  9999    3P1 3D2             (4)2( 2.5)   854084.7 
   143  9999    3P1 3D2             (2)0( 0.5)   854260.2 
   144     4    3S1 3P1 4D1         (4)1( 0.5)   854347.8 
   145     4    3S1 3P1 4D1         (2)3( 2.5)   854738.2 
   146  9999    3P1 3D2             (4)2( 3.5)   855134.7 
   147     4    3S1 3P1 4D1         (2)3( 3.5)   857005.7 
   148  9999    3P1 3D2             (4)3( 1.5)   859940.1 
