SEQ='NE'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 136387983.4   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)    29532.1 

   IC RESOLVED LEVEL INDEXING           BWNR= 141151225.6   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    84     1    2S2 2P5 5D1         (3)3( 3.0)  4213750.0 
    85     1    2S2 2P5 5D1         (1)2( 2.0)  4215088.2 
    86     1    2S2 2P5 5D1         (3)2( 3.0)  4215790.6 
    87     1    2S2 2P5 5D1         (3)2( 1.0)  4221483.4 
    88     1    2S2 2P5 5F1         (3)2( 1.0)  4229563.1 
    89     1    2S2 2P5 5F1         (3)2( 2.0)  4229934.8 
    90     1    2S2 2P5 5F1         (3)4( 5.0)  4230265.6 
    91     1    2S2 2P5 5F1         (1)4( 4.0)  4230317.2 
    92     1    2S2 2P5 5G1         (1)*( 2.0)  4230459.7 
    93     1    2S2 2P5 5G1         (1)*( 3.0)  4230459.7 
    94     1    2S2 2P5 5G1         (1)*( 4.0)  4230459.7 
    95     1    2S2 2P5 5G1         (1)*( 5.0)  4230459.7 
    96     1    2S2 2P5 5G1         (1)*( 3.0)  4230459.7 
    97     1    2S2 2P5 5G1         (1)*( 4.0)  4230459.7 
    98     1    2S2 2P5 5G1         (1)*( 5.0)  4230459.7 
    99     1    2S2 2P5 5G1         (1)*( 6.0)  4230459.7 
   100     1    2S2 2P5 5F1         (3)3( 3.0)  4230904.2 
   101     1    2S2 2P5 5F1         (3)3( 2.0)  4231227.8 
   102     1    2S2 2P5 5F1         (1)3( 3.0)  4231460.4 
   103     1    2S2 2P5 5F1         (3)3( 4.0)  4231581.3 
   104     2    2S2 2P5 5D1         (3)3( 2.0)  4242928.4 
   105     2    2S2 2P5 5D1         (3)2( 2.0)  4243307.9 
   106     2    2S2 2P5 5D1         (1)3( 3.0)  4243987.2 
   107     2    2S2 2P5 5D1         (1)1( 1.0)  4248986.1 
   108     2    2S2 2P5 5G1         (1)*( 3.0)  4259991.8 
   109     2    2S2 2P5 5G1         (1)*( 4.0)  4259991.8 
   110     2    2S2 2P5 5G1         (1)*( 4.0)  4259991.8 
   111     2    2S2 2P5 5G1         (1)*( 5.0)  4259991.8 
   112     2    2S2 2P5 5F1         (3)4( 3.0)  4260156.0 
   113     2    2S2 2P5 5F1         (3)2( 3.0)  4260277.1 
   114     2    2S2 2P5 5F1         (3)4( 4.0)  4260338.4 
   115     2    2S2 2P5 5F1         (1)2( 2.0)  4260500.4 
   116     1    2S2 2P5 6S1         (3)1( 2.0)  4341801.3 
   117     1    2S2 2P5 6S1         (1)1( 1.0)  4342752.3 
   118     1    2S2 2P5 6P1         (3)0( 1.0)  4359170.7 
   119     1    2S2 2P5 6P1         (3)2( 3.0)  4360502.6 
   120     1    2S2 2P5 6P1         (3)2( 2.0)  4360524.9 
   121     1    2S2 2P5 6P1         (1)1( 1.0)  4361367.2 
   122     1    2S2 2P5 6P1         (3)1( 2.0)  4361847.3 
   123     1    2S2 2P5 6P1         (3)1( 0.0)  4367768.3 
   124     2    2S2 2P5 6S1         (3)1( 0.0)  4371333.4 
   125     2    2S2 2P5 6S1         (3)1( 1.0)  4371833.0 
   126     1    2S2 2P5 6D1         (3)1( 0.0)  4382055.6 
   127     1    2S2 2P5 6D1         (3)1( 1.0)  4382638.9 
   128     1    2S2 2P5 6D1         (3)3( 4.0)  4383191.7 
   129     1    2S2 2P5 6D1         (3)1( 2.0)  4383499.1 
   130     1    2S2 2P5 6D1         (3)3( 3.0)  4383707.9 
   131     1    2S2 2P5 6D1         (1)2( 2.0)  4384451.3 
   132     1    2S2 2P5 6D1         (3)2( 3.0)  4384841.2 
   133     1    2S2 2P5 6D1         (1)1( 1.0)  4388316.1 
   134     2    2S2 2P5 6P1         (3)2( 1.0)  4389682.9 
   135     2    2S2 2P5 6P1         (3)1( 1.0)  4390348.1 
   136     2    2S2 2P5 6P1         (1)2( 2.0)  4390690.1 
   137     1    2S2 2P5 6F1         (3)2( 1.0)  4392796.0 
   138     1    2S2 2P5 6F1         (3)2( 2.0)  4393028.6 
   139     1    2S2 2P5 6F1         (3)4( 5.0)  4393198.8 
   140     1    2S2 2P5 6F1         (1)4( 4.0)  4393239.9 
   141     1    2S2 2P5 6G1         (1)*( 2.0)  4393446.1 
   142     1    2S2 2P5 6G1         (1)*( 3.0)  4393446.1 
   143     1    2S2 2P5 6G1         (1)*( 4.0)  4393446.1 
   144     1    2S2 2P5 6G1         (1)*( 5.0)  4393446.1 
   145     1    2S2 2P5 6G1         (1)*( 3.0)  4393446.1 
   146     1    2S2 2P5 6G1         (1)*( 4.0)  4393446.1 
   147     1    2S2 2P5 6G1         (1)*( 5.0)  4393446.1 
   148     1    2S2 2P5 6G1         (1)*( 6.0)  4393446.1 
   149     1    2S2 2P5 6F1         (3)3( 3.0)  4393575.4 
   150     1    2S2 2P5 6F1         (1)2( 2.0)  4393794.8 
   151     1    2S2 2P5 6F1         (1)3( 3.0)  4393886.5 
   152     1    2S2 2P5 6H1         (1)*( 3.0)  4393909.7 
   153     1    2S2 2P5 6H1         (1)*( 4.0)  4393909.7 
   154     1    2S2 2P5 6H1         (1)*( 5.0)  4393909.7 
   155     1    2S2 2P5 6H1         (1)*( 6.0)  4393909.7 
   156     1    2S2 2P5 6H1         (1)*( 4.0)  4393909.7 
   157     1    2S2 2P5 6H1         (1)*( 5.0)  4393909.7 
   158     1    2S2 2P5 6H1         (1)*( 6.0)  4393909.7 
   159     1    2S2 2P5 6H1         (1)*( 7.0)  4393909.7 
   160     1    2S2 2P5 6F1         (3)3( 4.0)  4393959.2 
   161     2    2S2 2P5 6P1         (1)0( 0.0)  4395046.3 
   162     2    2S2 2P5 6D1         (3)3( 2.0)  4413002.8 
   163     2    2S2 2P5 6D1         (3)2( 2.0)  4413186.3 
   164     2    2S2 2P5 6D1         (1)3( 3.0)  4413609.2 
   165     2    2S2 2P5 6D1         (3)2( 1.0)  4416169.2 
   166     2    2S2 2P5 6F1         (3)4( 3.0)  4422930.1 
   167     2    2S2 2P5 6G1         (1)*( 3.0)  4422978.2 
   168     2    2S2 2P5 6G1         (1)*( 4.0)  4422978.2 
   169     2    2S2 2P5 6G1         (1)*( 4.0)  4422978.2 
   170     2    2S2 2P5 6G1         (1)*( 5.0)  4422978.2 
   171     2    2S2 2P5 6F1         (3)2( 3.0)  4422993.9 
   172     2    2S2 2P5 6F1         (3)4( 4.0)  4423043.7 
   173     2    2S2 2P5 6F1         (3)3( 2.0)  4423153.4 
   174     2    2S2 2P5 6H1         (1)*( 4.0)  4423441.8 
   175     2    2S2 2P5 6H1         (1)*( 5.0)  4423441.8 
   176     2    2S2 2P5 6H1         (1)*( 5.0)  4423441.8 
   177     2    2S2 2P5 6H1         (1)*( 6.0)  4423441.8 
   178     1    2S2 2P5 7S1         (3)1( 2.0)  4459714.8 
   179     1    2S2 2P5 7S1         (1)1( 1.0)  4460291.7 
   180     1    2S2 2P5 7P1         (3)0( 1.0)  4470437.9 
   181     1    2S2 2P5 7P1         (3)2( 3.0)  4471231.7 
   182     1    2S2 2P5 7P1         (3)2( 2.0)  4471243.1 
   183     1    2S2 2P5 7P1         (1)1( 1.0)  4471758.0 
   184     1    2S2 2P5 7P1         (3)1( 2.0)  4472050.4 
   185     1    2S2 2P5 7P1         (1)0( 0.0)  4475833.5 
   186     1    2S2 2P5 7D1         (3)1( 0.0)  4484477.2 
   187     1    2S2 2P5 7D1         (3)1( 1.0)  4484849.7 
   188     1    2S2 2P5 7D1         (3)3( 4.0)  4485179.4 
   189     1    2S2 2P5 7D1         (3)1( 2.0)  4485384.0 
   190     1    2S2 2P5 7D1         (3)3( 3.0)  4485503.3 
   191     1    2S2 2P5 7D1         (1)2( 2.0)  4485959.3 
   192     1    2S2 2P5 7D1         (3)2( 3.0)  4486199.6 
   193     1    2S2 2P5 7D1         (1)1( 1.0)  4488432.5 
   194     2    2S2 2P5 7S1         (3)1( 0.0)  4489246.9 
   195     2    2S2 2P5 7S1         (3)1( 1.0)  4489544.1 
   196     1    2S2 2P5 7F1         (3)2( 1.0)  4491197.1 
   197     1    2S2 2P5 7F1         (3)2( 2.0)  4491349.4 
   198     1    2S2 2P5 7F1         (3)4( 5.0)  4491449.2 
   199     1    2S2 2P5 7F1         (1)4( 4.0)  4491479.1 
   200     1    2S2 2P5 7G1         (1)*( 2.0)  4491655.8 
   201     1    2S2 2P5 7G1         (1)*( 3.0)  4491655.8 
   202     1    2S2 2P5 7G1         (1)*( 4.0)  4491655.8 
   203     1    2S2 2P5 7G1         (1)*( 5.0)  4491655.8 
   204     1    2S2 2P5 7G1         (1)*( 3.0)  4491655.8 
   205     1    2S2 2P5 7G1         (1)*( 4.0)  4491655.8 
   206     1    2S2 2P5 7G1         (1)*( 5.0)  4491655.8 
   207     1    2S2 2P5 7G1         (1)*( 6.0)  4491655.8 
   208     1    2S2 2P5 7F1         (3)3( 3.0)  4491688.1 
   209     1    2S2 2P5 7F1         (1)2( 2.0)  4491838.2 
   210     1    2S2 2P5 7F1         (1)3( 3.0)  4491880.3 
   211     1    2S2 2P5 7F1         (3)3( 4.0)  4491927.2 
   212     1    2S2 2P5 7H1         (1)*( 3.0)  4491947.6 
   213     1    2S2 2P5 7H1         (1)*( 4.0)  4491947.6 
   214     1    2S2 2P5 7H1         (1)*( 5.0)  4491947.6 
   215     1    2S2 2P5 7H1         (1)*( 6.0)  4491947.6 
   216     1    2S2 2P5 7H1         (1)*( 4.0)  4491947.6 
   217     1    2S2 2P5 7H1         (1)*( 5.0)  4491947.6 
   218     1    2S2 2P5 7H1         (1)*( 6.0)  4491947.6 
   219     1    2S2 2P5 7H1         (1)*( 7.0)  4491947.6 
   220     1    2S2 2P5 7I1         (1)*( 4.0)  4492077.9 
   221     1    2S2 2P5 7I1         (1)*( 5.0)  4492077.9 
   222     1    2S2 2P5 7I1         (1)*( 6.0)  4492077.9 
   223     1    2S2 2P5 7I1         (1)*( 7.0)  4492077.9 
   224     1    2S2 2P5 7I1         (1)*( 5.0)  4492077.9 
   225     1    2S2 2P5 7I1         (1)*( 6.0)  4492077.9 
   226     1    2S2 2P5 7I1         (1)*( 7.0)  4492077.9 
   227     1    2S2 2P5 7I1         (1)*( 8.0)  4492077.9 
   228     2    2S2 2P5 7P1         (3)2( 1.0)  4500539.7 
   229     2    2S2 2P5 7P1         (3)1( 1.0)  4500936.0 
   230     2    2S2 2P5 7P1         (1)2( 2.0)  4501159.9 
   231     2    2S2 2P5 7P1         (3)1( 0.0)  4503566.0 
   232     2    2S2 2P5 7D1         (3)3( 2.0)  4514876.8 
   233     2    2S2 2P5 7D1         (3)2( 2.0)  4514981.5 
   234     2    2S2 2P5 7D1         (1)3( 3.0)  4515255.5 
   235     2    2S2 2P5 7D1         (3)2( 1.0)  4516762.0 
   236     2    2S2 2P5 7F1         (3)4( 3.0)  4521103.9 
   237     2    2S2 2P5 7F1         (3)2( 3.0)  4521142.2 
   238     2    2S2 2P5 7F1         (3)4( 4.0)  4521178.4 
   239     2    2S2 2P5 7G1         (1)*( 3.0)  4521188.0 
   240     2    2S2 2P5 7G1         (1)*( 4.0)  4521188.0 
   241     2    2S2 2P5 7G1         (1)*( 4.0)  4521188.0 
   242     2    2S2 2P5 7G1         (1)*( 5.0)  4521188.0 
   243     2    2S2 2P5 7F1         (3)3( 2.0)  4521253.4 
   244     2    2S2 2P5 7H1         (1)*( 4.0)  4521479.8 
   245     2    2S2 2P5 7H1         (1)*( 5.0)  4521479.8 
   246     2    2S2 2P5 7H1         (1)*( 5.0)  4521479.8 
   247     2    2S2 2P5 7H1         (1)*( 6.0)  4521479.8 
   248     2    2S2 2P5 7I1         (1)*( 5.0)  4521610.0 
   249     2    2S2 2P5 7I1         (1)*( 6.0)  4521610.0 
   250     2    2S2 2P5 7I1         (1)*( 6.0)  4521610.0 
   251     2    2S2 2P5 7I1         (1)*( 7.0)  4521610.0 
   252     1    2S2 2P5 8S1         (3)1( 2.0)  4534244.3 
   253     1    2S2 2P5 8S1         (1)1( 1.0)  4534620.4 
   254     1    2S2 2P5 8P1         (3)0( 1.0)  4541318.3 
   255     1    2S2 2P5 8P1         (3)2( 3.0)  4541831.8 
   256     1    2S2 2P5 8P1         (3)2( 2.0)  4541838.1 
   257     1    2S2 2P5 8P1         (1)1( 1.0)  4542175.9 
   258     1    2S2 2P5 8P1         (3)1( 2.0)  4542367.5 
   259     1    2S2 2P5 8P1         (1)0( 0.0)  4544898.9 
   260     1    2S2 2P5 8D1         (3)1( 0.0)  4550557.4 
   261     1    2S2 2P5 8D1         (3)1( 1.0)  4550808.3 
   262     1    2S2 2P5 8D1         (3)3( 4.0)  4551021.9 
   263     1    2S2 2P5 8D1         (3)1( 2.0)  4551162.5 
   264     1    2S2 2P5 8D1         (3)3( 3.0)  4551238.0 
   265     1    2S2 2P5 8D1         (1)2( 2.0)  4551538.1 
   266     1    2S2 2P5 8D1         (3)2( 3.0)  4551697.1 
   267     1    2S2 2P5 8D1         (1)1( 1.0)  4553205.5 
   268     1    2S2 2P5 8F1         (3)2( 1.0)  4555037.8 
   269     1    2S2 2P5 8F1         (3)2( 2.0)  4555142.2 
   270     1    2S2 2P5 8F1         (3)4( 5.0)  4555206.0 
   271     1    2S2 2P5 8F1         (1)4( 4.0)  4555227.7 
   272     1    2S2 2P5 8F1         (3)3( 3.0)  4555366.6 
   273     1    2S2 2P5 8G1         (1)*( 2.0)  4555366.6 
   274     1    2S2 2P5 8G1         (1)*( 3.0)  4555366.6 
   275     1    2S2 2P5 8G1         (1)*( 4.0)  4555366.6 
   276     1    2S2 2P5 8G1         (1)*( 5.0)  4555366.6 
   277     1    2S2 2P5 8G1         (1)*( 3.0)  4555366.6 
   278     1    2S2 2P5 8G1         (1)*( 4.0)  4555366.6 
   279     1    2S2 2P5 8G1         (1)*( 5.0)  4555366.6 
   280     1    2S2 2P5 8G1         (1)*( 6.0)  4555366.6 
   281     1    2S2 2P5 8F1         (1)2( 2.0)  4555472.3 
   282     1    2S2 2P5 8F1         (1)3( 3.0)  4555493.9 
   283     1    2S2 2P5 8F1         (3)3( 4.0)  4555525.7 
   284     1    2S2 2P5 8H1         (1)*( 3.0)  4555562.0 
   285     1    2S2 2P5 8H1         (1)*( 4.0)  4555562.0 
   286     1    2S2 2P5 8H1         (1)*( 5.0)  4555562.0 
   287     1    2S2 2P5 8H1         (1)*( 6.0)  4555562.0 
   288     1    2S2 2P5 8H1         (1)*( 4.0)  4555562.0 
   289     1    2S2 2P5 8H1         (1)*( 5.0)  4555562.0 
   290     1    2S2 2P5 8H1         (1)*( 6.0)  4555562.0 
   291     1    2S2 2P5 8H1         (1)*( 7.0)  4555562.0 
   292     1    2S2 2P5 8I1         (1)*( 4.0)  4555649.3 
   293     1    2S2 2P5 8I1         (1)*( 5.0)  4555649.3 
   294     1    2S2 2P5 8I1         (1)*( 6.0)  4555649.3 
   295     1    2S2 2P5 8I1         (1)*( 7.0)  4555649.3 
   296     1    2S2 2P5 8I1         (1)*( 5.0)  4555649.3 
   297     1    2S2 2P5 8I1         (1)*( 6.0)  4555649.3 
   298     1    2S2 2P5 8I1         (1)*( 7.0)  4555649.3 
   299     1    2S2 2P5 8I1         (1)*( 8.0)  4555649.3 
   300     1    2S2 2P5 8J1         (1)*( 5.0)  4555693.8 
   301     1    2S2 2P5 8J1         (1)*( 6.0)  4555693.8 
   302     1    2S2 2P5 8J1         (1)*( 7.0)  4555693.8 
   303     1    2S2 2P5 8J1         (1)*( 8.0)  4555693.8 
   304     1    2S2 2P5 8J1         (1)*( 6.0)  4555693.8 
