#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=11.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:16
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(11)' coupled to the particle 'H2'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   3.82764766e-027    
   5.5000        5.6761e+017   3.63839400e-027    
   5.5000        6.4437e+017   3.45866371e-027    
   5.5000        7.3150e+017   3.28795106e-027    
   5.5000        8.3041e+017   3.12576559e-027    
   5.5000        9.4270e+017   2.97163746e-027    
   5.5000        1.0702e+018   2.82512241e-027    
   5.5000        1.2149e+018   2.68580557e-027    
   5.5000        1.3792e+018   2.55330363e-027    
   5.5000        1.5657e+018   2.42726495e-027    
   5.5000        1.7774e+018   2.30736756e-027    
   5.5000        2.0177e+018   2.19331532e-027    
   5.5000        2.2906e+018   2.08483268e-027    
   5.5000        2.6003e+018   1.98165875e-027    
   5.5000        2.9519e+018   1.88354149e-027    
   5.5000        3.3511e+018   1.79023265e-027    
   5.5000        3.8042e+018   1.70148411e-027    
   5.5000        4.3186e+018   1.61704608e-027    
   5.5000        4.9026e+018   1.53666719e-027    
   5.5000        5.5656e+018   1.46009652e-027    
   5.5000        6.3182e+018   1.38708714e-027    
   5.5000        7.1725e+018   1.31740085e-027    
   5.5000        8.1424e+018   1.25081334e-027    
   5.5000        9.2434e+018   1.18711940e-027    
   5.5000        1.0493e+019   1.12613727e-027    
   5.5000        1.1912e+019   1.06771203e-027    
   5.5000        1.3523e+019   1.01171721e-027    
   5.5000        1.5352e+019   9.58054754e-028    
   5.5000        1.7428e+019   9.06653105e-028    
   5.5000        1.9784e+019   8.57463694e-028    
   5.5000        2.2460e+019   8.10456027e-028    
   5.5000        2.5497e+019   7.65611918e-028    
   5.5000        2.8944e+019   7.22919299e-028    
   5.5000        3.2858e+019   6.82366171e-028    
   5.5000        3.7301e+019   6.43935130e-028    
   5.5000        4.2345e+019   6.07598856e-028    
   5.5000        4.8071e+019   5.73316817e-028    
   5.5000        5.4572e+019   5.41033285e-028    
   5.5000        6.1951e+019   5.10676670e-028    
   5.5000        7.0328e+019   4.82160058e-028    
   5.5000        7.9838e+019   4.55382759e-028    
   5.5000        9.0634e+019   4.30232661e-028    
   5.5000        1.0289e+020   4.06589134e-028    
   5.5000        1.1680e+020   3.84326285e-028    
   5.5000        1.3260e+020   3.63316345e-028    
   5.5000        1.5053e+020   3.43433041e-028    
   5.5000        1.7088e+020   3.24554788e-028    
   5.5000        1.9399e+020   3.06567614e-028    
   5.5000        2.2022e+020   2.89367708e-028    
   5.5000        2.5000e+020   2.72863512e-028    
   5.6726        5.0000e+017   4.27163634e-027    
   5.6726        5.6761e+017   4.05984712e-027    
   5.6726        6.4437e+017   3.85873132e-027    
   5.6726        7.3150e+017   3.66772129e-027    
   5.6726        8.3041e+017   3.48626679e-027    
   5.6726        9.4270e+017   3.31384101e-027    
   5.6726        1.0702e+018   3.14994603e-027    
   5.6726        1.2149e+018   2.99411710e-027    
   5.6726        1.3792e+018   2.84592496e-027    
   5.6726        1.5657e+018   2.70497589e-027    
   5.6726        1.7774e+018   2.57090939e-027    
   5.6726        2.0177e+018   2.44339382e-027    
   5.6726        2.2906e+018   2.32212051e-027    
   5.6726        2.6003e+018   2.20679712e-027    
   5.6726        2.9519e+018   2.09714109e-027    
   5.6726        3.3511e+018   1.99287409e-027    
   5.6726        3.8042e+018   1.89371795e-027    
   5.6726        4.3186e+018   1.79939269e-027    
   5.6726        4.9026e+018   1.70961668e-027    
   5.6726        5.5656e+018   1.62410896e-027    
   5.6726        6.3182e+018   1.54259326e-027    
   5.6726        7.1725e+018   1.46480318e-027    
   5.6726        8.1424e+018   1.39048809e-027    
   5.6726        9.2434e+018   1.31941874e-027    
   5.6726        1.0493e+019   1.25139222e-027    
   5.6726        1.1912e+019   1.18623549e-027    
   5.6726        1.3523e+019   1.12380723e-027    
   5.6726        1.5352e+019   1.06399759e-027    
   5.6726        1.7428e+019   1.00672611e-027    
   5.6726        1.9784e+019   9.51937596e-028    
   5.6726        2.2460e+019   8.99596719e-028    
   5.6726        2.5497e+019   8.49681526e-028    
   5.6726        2.8944e+019   8.02176584e-028    
   5.6726        3.2858e+019   7.57066286e-028    
   5.6726        3.7301e+019   7.14328825e-028    
   5.6726        4.2345e+019   6.73931263e-028    
   5.6726        4.8071e+019   6.35825947e-028    
   5.6726        5.4572e+019   5.99948398e-028    
   5.6726        6.1951e+019   5.66216655e-028    
   5.6726        7.0328e+019   5.34531945e-028    
   5.6726        7.9838e+019   5.04780469e-028    
   5.6726        9.0634e+019   4.76836058e-028    
   5.6726        1.0289e+020   4.50563441e-028    
   5.6726        1.1680e+020   4.25821872e-028    
   5.6726        1.3260e+020   4.02468907e-028    
   5.6726        1.5053e+020   3.80364134e-028    
   5.6726        1.7088e+020   3.59372713e-028    
   5.6726        1.9399e+020   3.39368591e-028    
   5.6726        2.2022e+020   3.20237293e-028    
   5.6726        2.5000e+020   3.01878199e-028    
   5.8506        5.0000e+017   4.77187405e-027    
   5.8506        5.6761e+017   4.53443152e-027    
   5.8506        6.4437e+017   4.30897916e-027    
   5.8506        7.3150e+017   4.09487841e-027    
   5.8506        8.3041e+017   3.89151057e-027    
   5.8506        9.4270e+017   3.69828355e-027    
   5.8506        1.0702e+018   3.51463802e-027    
   5.8506        1.2149e+018   3.34005210e-027    
   5.8506        1.3792e+018   3.17404391e-027    
   5.8506        1.5657e+018   3.01617155e-027    
   5.8506        1.7774e+018   2.86603043e-027    
   5.8506        2.0177e+018   2.72324826e-027    
   5.8506        2.2906e+018   2.58747849e-027    
   5.8506        2.6003e+018   2.45839277e-027    
   5.8506        2.9519e+018   2.33567372e-027    
   5.8506        3.3511e+018   2.21900864e-027    
   5.8506        3.8042e+018   2.10808510e-027    
   5.8506        4.3186e+018   2.00258868e-027    
   5.8506        4.9026e+018   1.90220329e-027    
   5.8506        5.5656e+018   1.80661374e-027    
   5.8506        6.3182e+018   1.71551023e-027    
   5.8506        7.1725e+018   1.62859424e-027    
   5.8506        8.1424e+018   1.54558497e-027    
   5.8506        9.2434e+018   1.46622565e-027    
   5.8506        1.0493e+019   1.39028897e-027    
   5.8506        1.1912e+019   1.31758092e-027    
   5.8506        1.3523e+019   1.24794279e-027    
   5.8506        1.5352e+019   1.18125084e-027    
   5.8506        1.7428e+019   1.11741380e-027    
   5.8506        1.9784e+019   1.05636834e-027    
   5.8506        2.2460e+019   9.98072915e-028    
   5.8506        2.5497e+019   9.42500619e-028    
   5.8506        2.8944e+019   8.89631524e-028    
   5.8506        3.2858e+019   8.39445300e-028    
   5.8506        3.7301e+019   7.91914588e-028    
   5.8506        4.2345e+019   7.46999599e-028    
   5.8506        4.8071e+019   7.04644222e-028    
   5.8506        5.4572e+019   6.64773776e-028    
   5.8506        6.1951e+019   6.27294364e-028    
   5.8506        7.0328e+019   5.92093695e-028    
   5.8506        7.9838e+019   5.59043124e-028    
   5.8506        9.0634e+019   5.28000654e-028    
   5.8506        1.0289e+020   4.98814586e-028    
   5.8506        1.1680e+020   4.71327573e-028    
   5.8506        1.3260e+020   4.45380806e-028    
   5.8506        1.5053e+020   4.20818148e-028    
   5.8506        1.7088e+020   3.97490043e-028    
   5.8506        1.9399e+020   3.75257050e-028    
   5.8506        2.2022e+020   3.53992894e-028    
   5.8506        2.5000e+020   3.33586937e-028    
   6.0342        5.0000e+017   5.30759056e-027    
   6.0342        5.6761e+017   5.04262452e-027    
   6.0342        6.4437e+017   4.79106192e-027    
   6.0342        7.3150e+017   4.55218816e-027    
   6.0342        8.3041e+017   4.32531115e-027    
   6.0342        9.4270e+017   4.10976883e-027    
   6.0342        1.0702e+018   3.90493605e-027    
