#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=6.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:15
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(6)' coupled to the particle 'H2'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   3.92506774e-026    
   5.5000        5.6761e+017   3.74990885e-026    
   5.5000        6.4437e+017   3.58093350e-026    
   5.5000        7.3150e+017   3.41811400e-026    
   5.5000        8.3041e+017   3.26138200e-026    
   5.5000        9.4270e+017   3.11063907e-026    
   5.5000        1.0702e+018   2.96576695e-026    
   5.5000        1.2149e+018   2.82663639e-026    
   5.5000        1.3792e+018   2.69311392e-026    
   5.5000        1.5657e+018   2.56506619e-026    
   5.5000        1.7774e+018   2.44236157e-026    
   5.5000        2.0177e+018   2.32486943e-026    
   5.5000        2.2906e+018   2.21245748e-026    
   5.5000        2.6003e+018   2.10498815e-026    
   5.5000        2.9519e+018   2.00231454e-026    
   5.5000        3.3511e+018   1.90427712e-026    
   5.5000        3.8042e+018   1.81070162e-026    
   5.5000        4.3186e+018   1.72139868e-026    
   5.5000        4.9026e+018   1.63616550e-026    
   5.5000        5.5656e+018   1.55478931e-026    
   5.5000        6.3182e+018   1.47705250e-026    
   5.5000        7.1725e+018   1.40273878e-026    
   5.5000        8.1424e+018   1.33163985e-026    
   5.5000        9.2434e+018   1.26356188e-026    
   5.5000        1.0493e+019   1.19833117e-026    
   5.5000        1.1912e+019   1.13579846e-026    
   5.5000        1.3523e+019   1.07584145e-026    
   5.5000        1.5352e+019   1.01836534e-026    
   5.5000        1.7428e+019   9.63301375e-027    
   5.5000        1.9784e+019   9.10603467e-027    
   5.5000        2.2460e+019   8.60243406e-027    
   5.5000        2.5497e+019   8.12204977e-027    
   5.5000        2.8944e+019   7.66477628e-027    
   5.5000        3.2858e+019   7.23050203e-027    
   5.5000        3.7301e+019   6.81905275e-027    
   5.5000        4.2345e+019   6.43014461e-027    
   5.5000        4.8071e+019   6.06334992e-027    
   5.5000        5.4572e+019   5.71807688e-027    
   5.5000        6.1951e+019   5.39356296e-027    
   5.5000        7.0328e+019   5.08888107e-027    
   5.5000        7.9838e+019   4.80295637e-027    
   5.5000        9.0634e+019   4.53459154e-027    
   5.5000        1.0289e+020   4.28249786e-027    
   5.5000        1.1680e+020   4.04532986e-027    
   5.5000        1.3260e+020   3.82172145e-027    
   5.5000        1.5053e+020   3.61032162e-027    
   5.5000        1.7088e+020   3.40982844e-027    
   5.5000        1.9399e+020   3.21901989e-027    
   5.5000        2.2022e+020   3.03678092e-027    
   5.5000        2.5000e+020   2.86212548e-027    
   5.6726        5.0000e+017   4.36321803e-026    
   5.6726        5.6761e+017   4.16796168e-026    
   5.6726        6.4437e+017   3.97961591e-026    
   5.6726        7.3150e+017   3.79814766e-026    
   5.6726        8.3041e+017   3.62347896e-026    
   5.6726        9.4270e+017   3.45549875e-026    
   5.6726        1.0702e+018   3.29407428e-026    
   5.6726        1.2149e+018   3.13906084e-026    
   5.6726        1.3792e+018   2.99030934e-026    
   5.6726        1.5657e+018   2.84767090e-026    
   5.6726        1.7774e+018   2.71099863e-026    
   5.6726        2.0177e+018   2.58014673e-026    
   5.6726        2.2906e+018   2.45496750e-026    
   5.6726        2.6003e+018   2.33530721e-026    
   5.6726        2.9519e+018   2.22100166e-026    
   5.6726        3.3511e+018   2.11187251e-026    
   5.6726        3.8042e+018   2.00772499e-026    
   5.6726        4.3186e+018   1.90834758e-026    
   5.6726        4.9026e+018   1.81351387e-026    
   5.6726        5.5656e+018   1.72298655e-026    
   5.6726        6.3182e+018   1.63652305e-026    
   5.6726        7.1725e+018   1.55388249e-026    
   5.6726        8.1424e+018   1.47483306e-026    
   5.6726        9.2434e+018   1.39915916e-026    
   5.6726        1.0493e+019   1.32666765e-026    
   5.6726        1.1912e+019   1.25719255e-026    
   5.6726        1.3523e+019   1.19059776e-026    
   5.6726        1.5352e+019   1.12677755e-026    
   5.6726        1.7428e+019   1.06565486e-026    
   5.6726        1.9784e+019   1.00717751e-026    
   5.6726        2.2460e+019   9.51312801e-027    
   5.6726        2.5497e+019   8.98041019e-027    
   5.6726        2.8944e+019   8.47348396e-027    
   5.6726        3.2858e+019   7.99220229e-027    
   5.6726        3.7301e+019   7.53634655e-027    
   5.6726        4.2345e+019   7.10557553e-027    
   5.6726        4.8071e+019   6.69938837e-027    
   5.6726        5.4572e+019   6.31710305e-027    
   5.6726        6.1951e+019   5.95785002e-027    
   5.6726        7.0328e+019   5.62057979e-027    
   5.6726        7.9838e+019   5.30408223e-027    
   5.6726        9.0634e+019   5.00701499e-027    
   5.6726        1.0289e+020   4.72793830e-027    
   5.6726        1.1680e+020   4.46535352e-027    
   5.6726        1.3260e+020   4.21774318e-027    
   5.6726        1.5053e+020   3.98361043e-027    
   5.6726        1.7088e+020   3.76151649e-027    
   5.6726        1.9399e+020   3.55011453e-027    
   5.6726        2.2022e+020   3.34817913e-027    
   5.6726        2.5000e+020   3.15463019e-027    
   5.8506        5.0000e+017   4.85501224e-026    
   5.8506        5.6761e+017   4.63696136e-026    
   5.8506        6.4437e+017   4.42665263e-026    
   5.8506        7.3150e+017   4.22404657e-026    
   5.8506        8.3041e+017   4.02905396e-026    
   5.8506        9.4270e+017   3.84154912e-026    
   5.8506        1.0702e+018   3.66138257e-026    
   5.8506        1.2149e+018   3.48839186e-026    
   5.8506        1.3792e+018   3.32240985e-026    
   5.8506        1.5657e+018   3.16326988e-026    
   5.8506        1.7774e+018   3.01080756e-026    
   5.8506        2.0177e+018   2.86485972e-026    
   5.8506        2.2906e+018   2.72526099e-026    
   5.8506        2.6003e+018   2.59183921e-026    
   5.8506        2.9519e+018   2.46441046e-026    
   5.8506        3.3511e+018   2.34277502e-026    
   5.8506        3.8042e+018   2.22671481e-026    
   5.8506        4.3186e+018   2.11599312e-026    
   5.8506        4.9026e+018   2.01035679e-026    
   5.8506        5.5656e+018   1.90954057e-026    
   5.8506        6.3182e+018   1.81327358e-026    
   5.8506        7.1725e+018   1.72128695e-026    
   5.8506        8.1424e+018   1.63332203e-026    
   5.8506        9.2434e+018   1.54913831e-026    
   5.8506        1.0493e+019   1.46852032e-026    
   5.8506        1.1912e+019   1.39128273e-026    
   5.8506        1.3523e+019   1.31727330e-026    
   5.8506        1.5352e+019   1.24637337e-026    
   5.8506        1.7428e+019   1.17849582e-026    
   5.8506        1.9784e+019   1.11358090e-026    
   5.8506        2.2460e+019   1.05159012e-026    
   5.8506        2.5497e+019   9.92499081e-027    
   5.8506        2.8944e+019   9.36289692e-027    
   5.8506        3.2858e+019   8.82942591e-027    
   5.8506        3.7301e+019   8.32430328e-027    
   5.8506        4.2345e+019   7.84711801e-027    
   5.8506        4.8071e+019   7.39728266e-027    
   5.8506        5.4572e+019   6.97401038e-027    
   5.8506        6.1951e+019   6.57630889e-027    
   5.8506        7.0328e+019   6.20298964e-027    
   5.8506        7.9838e+019   5.85268980e-027    
   5.8506        9.0634e+019   5.52390423e-027    
   5.8506        1.0289e+020   5.21502429e-027    
   5.8506        1.1680e+020   4.92438064e-027    
   5.8506        1.3260e+020   4.65028756e-027    
   5.8506        1.5053e+020   4.39108651e-027    
   5.8506        1.7088e+020   4.14518725e-027    
   5.8506        1.9399e+020   3.91110504e-027    
   5.8506        2.2022e+020   3.68749266e-027    
   5.8506        2.5000e+020   3.47316631e-027    
   6.0342        5.0000e+017   5.37915165e-026    
   6.0342        5.6761e+017   5.13676576e-026    
   6.0342        6.4437e+017   4.90300998e-026    
   6.0342        7.3150e+017   4.67783802e-026    
   6.0342        8.3041e+017   4.46114871e-026    
   6.0342        9.4270e+017   4.25280086e-026    
   6.0342        1.0702e+018   4.05262720e-026    
   6.0342        1.2149e+018   3.86044641e-026    
   6.0342        1.3792e+018   3.67607224e-026    
   6.0342        1.5657e+018   3.49931909e-026    
   6.0342        1.7774e+018   3.33000397e-026    
   6.0342        2.0177e+018   3.16794520e-026    
   6.0342        2.2906e+018   3.01295861e-026    
   6.0342        2.6003e+018   2.86485237e-026    
   6.0342        2.9519e+018   2.72342154e-026    
   6.0342        3.3511e+018   2.58844352e-026    
   6.0342        3.8042e+018   2.45967536e-026    
   6.0342        4.3186e+018   2.33685350e-026    
   6.0342        4.9026e+018   2.21969615e-026    
   6.0342        5.5656e+018   2.10790832e-026    
   6.0342        6.3182e+018   2.00118890e-026    
   6.0342        7.1725e+018   1.89923916e-026    
   6.0342        8.1424e+018   1.80177186e-026    
   6.0342        9.2434e+018   1.70851995e-026    
   6.0342        1.0493e+019   1.61924412e-026    
   6.0342        1.1912e+019   1.53373839e-026    
   6.0342        1.3523e+019   1.45183330e-026    
   6.0342        1.5352e+019   1.37339630e-026    
   6.0342        1.7428e+019   1.29832947e-026    
   6.0342        1.9784e+019   1.22656481e-026    
   6.0342        2.2460e+019   1.15805749e-026    
   6.0342        2.5497e+019   1.09277789e-026    
   6.0342        2.8944e+019   1.03070307e-026    
   6.0342        3.2858e+019   9.71808422e-027    
   6.0342        3.7301e+019   9.16060272e-027    
   6.0342        4.2345e+019   8.63409809e-027    
   6.0342        4.8071e+019   8.13788793e-027    
   6.0342        5.4572e+019   7.67107137e-027    
   6.0342        6.1951e+019   7.23252324e-027    
   6.0342        7.0328e+019   6.82090511e-027    
   6.0342        7.9838e+019   6.43469020e-027    
   6.0342        9.0634e+019   6.07219908e-027    
   6.0342        1.0289e+020   5.73164280e-027    
   6.0342        1.1680e+020   5.41117024e-027    
   6.0342        1.3260e+020   5.10891695e-027    
   6.0342        1.5053e+020   4.82305301e-027    
   6.0342        1.7088e+020   4.55182813e-027    
   6.0342        1.9399e+020   4.29361222e-027    
   6.0342        2.2022e+020   4.04693012e-027    
   6.0342        2.5000e+020   3.81048954e-027    
