#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=8.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:15
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(8)' coupled to the particle 'H2'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   1.29109266e-026    
   5.5000        5.6761e+017   1.22789340e-026    
   5.5000        6.4437e+017   1.16772777e-026    
   5.5000        7.3150e+017   1.11045730e-026    
   5.5000        8.3041e+017   1.05594386e-026    
   5.5000        9.4270e+017   1.00405210e-026    
   5.5000        1.0702e+018   9.54651653e-027    
   5.5000        1.2149e+018   9.07619009e-027    
   5.5000        1.3792e+018   8.62838637e-027    
   5.5000        1.5657e+018   8.20203443e-027    
   5.5000        1.7774e+018   7.79614443e-027    
   5.5000        2.0177e+018   7.40979742e-027    
   5.5000        2.2906e+018   7.04213024e-027    
   5.5000        2.6003e+018   6.69231751e-027    
   5.5000        2.9519e+018   6.35955366e-027    
   5.5000        3.3511e+018   6.04303728e-027    
   5.5000        3.8042e+018   5.74196003e-027    
   5.5000        4.3186e+018   5.45550142e-027    
   5.5000        4.9026e+018   5.18283013e-027    
   5.5000        5.5656e+018   4.92311147e-027    
   5.5000        6.3182e+018   4.67552019e-027    
   5.5000        7.1725e+018   4.43925688e-027    
   5.5000        8.1424e+018   4.21356611e-027    
   5.5000        9.2434e+018   3.99775433e-027    
   5.5000        1.0493e+019   3.79120530e-027    
   5.5000        1.1912e+019   3.59339156e-027    
   5.5000        1.3523e+019   3.40388057e-027    
   5.5000        1.5352e+019   3.22233472e-027    
   5.5000        1.7428e+019   3.04850532e-027    
   5.5000        1.9784e+019   2.88222088e-027    
   5.5000        2.2460e+019   2.72337088e-027    
