#
# Output file generated by Yacora 0.8.0
# =====================================
#   Filename: 'PopKoeff_n=4.txt'
#   Date of creation: 23. January 2009
#   Time of creation: 15:03:13
#   Used input file: 'H_6_12_2004.txt'
#   Performed calculation: Population Coefficient for state 'H(4)' coupled to the particle 'H2'
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 50 calculated values between 5.5000 and 25.0000
#              T_i: Fixed value 0.0000
#              T_n: Fixed value 0.0000
#              n_e: 50 calculated values between 5.0000e+017 and 2.5000e+020
#              n_i: Fixed value 0.0000
#              n_n: Fixed value 1.0000

#   Pressure: 
#              Not defined (set to zero)

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   5.5000        5.0000e+017   1.49964890e-025    
   5.5000        5.6761e+017   1.47389880e-025    
   5.5000        6.4437e+017   1.44639086e-025    
   5.5000        7.3150e+017   1.41715304e-025    
   5.5000        8.3041e+017   1.38624276e-025    
   5.5000        9.4270e+017   1.35374813e-025    
   5.5000        1.0702e+018   1.31978776e-025    
   5.5000        1.2149e+018   1.28450898e-025    
   5.5000        1.3792e+018   1.24808446e-025    
   5.5000        1.5657e+018   1.21070728e-025    
   5.5000        1.7774e+018   1.17258467e-025    
   5.5000        2.0177e+018   1.13393088e-025    
   5.5000        2.2906e+018   1.09495960e-025    
   5.5000        2.6003e+018   1.05587660e-025    
   5.5000        2.9519e+018   1.01687305e-025    
   5.5000        3.3511e+018   9.78120215e-026    
   5.5000        3.8042e+018   9.39765635e-026    
   5.5000        4.3186e+018   9.01931263e-026    
   5.5000        4.9026e+018   8.64713433e-026    
   5.5000        5.5656e+018   8.28184580e-026    
   5.5000        6.3182e+018   7.92396406e-026    
   5.5000        7.1725e+018   7.57384092e-026    
   5.5000        8.1424e+018   7.23171087e-026    
   5.5000        9.2434e+018   6.89773989e-026    
   5.5000        1.0493e+019   6.57207067e-026    
   5.5000        1.1912e+019   6.25486025e-026    
   5.5000        1.3523e+019   5.94630722e-026    
   5.5000        1.5352e+019   5.64666677e-026    
   5.5000        1.7428e+019   5.35625312e-026    
   5.5000        1.9784e+019   5.07543018e-026    
   5.5000        2.2460e+019   4.80459247e-026    
   5.5000        2.5497e+019   4.54413896e-026    
   5.5000        2.8944e+019   4.29444330e-026    
   5.5000        3.2858e+019   4.05582355e-026    
   5.5000        3.7301e+019   3.82851475e-026    
   5.5000        4.2345e+019   3.61264653e-026    
   5.5000        4.8071e+019   3.40822764e-026    
   5.5000        5.4572e+019   3.21513814e-026    
   5.5000        6.1951e+019   3.03312920e-026    
   5.5000        7.0328e+019   2.86183002e-026    
   5.5000        7.9838e+019   2.70076067e-026    
   5.5000        9.0634e+019   2.54934942e-026    
   5.5000        1.0289e+020   2.40695338e-026    
   5.5000        1.1680e+020   2.27288074e-026    
   5.5000        1.3260e+020   2.14641372e-026    
   5.5000        1.5053e+020   2.02683092e-026    
   5.5000        1.7088e+020   1.91342850e-026    
   5.5000        1.9399e+020   1.80553931e-026    
   5.5000        2.2022e+020   1.70254957e-026    
   5.5000        2.5000e+020   1.60391258e-026    
   5.6726        5.0000e+017   1.65961923e-025    
   5.6726        5.6761e+017   1.63096428e-025    
   5.6726        6.4437e+017   1.60035893e-025    
   5.6726        7.3150e+017   1.56783538e-025    
   5.6726        8.3041e+017   1.53345864e-025    
   5.6726        9.4270e+017   1.49732783e-025    
   5.6726        1.0702e+018   1.45957591e-025    
