Ne+ 9        10        10      10986873.0(1S)
    1 1S1               (2)0(  .5)               .0     {1}1.000
    2 2S1               (2)0(  .5)        8239096.5     {1}1.000
    3 2P1               (2)1( 2.5)        8241381.9     {1}1.000
    4 3S1               (2)0(  .5)        9766023.4     {1}1.000
    5 3P1               (2)1( 2.5)        9766700.1     {1}1.000
    6 3D1               (2)2( 4.5)        9767278.2     {1}1.000
    7 4S1               (2)0(  .5)       10300310.3     {1}1.000
    8 4P1               (2)1( 2.5)       10300595.7     {1}1.000
    9 4D1               (2)2( 4.5)       10300839.5     {1}1.000
   10 4F1               (2)3( 6.5)       10300943.9     {1}1.000
   11 5S1               (2)0(  .5)       10547547.9     {1}1.000
   12 5P1               (2)1( 2.5)       10547694.0     {1}1.000
   13 5D1               (2)2( 4.5)       10547818.9     {1}1.000
   14 5F1               (2)3( 6.5)       10547872.3     {1}1.000
   15 5G1               (2)4( 8.5)       10547902.0     {1}1.000
   -1
 10.0    3       5.00+04 1.00+05 2.00+05 3.00+05 5.00+05 1.00+06 1.50+06 2.00+06 3.00+06 5.00+06 1.00+07 1.50+07 2.00+07 5.00+07
   4   3 6.31+10 1.83-02 1.82-02 1.80-02 1.79-02 1.78-02 1.79-02 1.82-02 1.87-02 1.99-02 2.26-02 2.88-02 3.39-02 3.81-02 5.44-02
   5   3 2.39+07 3.44-01 3.44-01 3.42-01 3.41-01 3.40-01 3.37-01 3.36-01 3.35-01 3.35-01 3.35-01 3.37-01 3.39-01 3.41-01 3.47-01
   6   3 6.46+11 1.09+00 1.10+00 1.11+00 1.13+00 1.16+00 1.23+00 1.30+00 1.37+00 1.49+00 1.70+00 2.10+00 2.40+00 2.64+00 3.51+00
   7   3 2.58+10 6.16-03 6.09-03 5.98-03 5.88-03 5.71-03 5.45-03 5.31-03 5.24-03 5.24-03 5.44-03 6.21-03 6.94-03 7.59-03 1.02-02
   8   3 1.03+07 7.96-02 7.92-02 7.84-02 7.77-02 7.65-02 7.44-02 7.30-02 7.19-02 7.06-02 6.92-02 6.81-02 6.78-02 6.77-02 6.80-02
   9   3 2.06+11 2.18-01 2.19-01 2.19-01 2.20-01 2.22-01 2.28-01 2.35-01 2.42-01 2.55-01 2.80-01 3.31-01 3.69-01 3.99-01 5.13-01
  10   3 4.11+07 5.14-02 5.10-02 5.04-02 4.99-02 4.93-02 4.89-02 4.92-02 4.99-02 5.16-02 5.54-02 6.30-02 6.83-02 7.22-02 8.41-02
  11   3 1.29+10 2.91-03 2.88-03 2.81-03 2.76-03 2.67-03 2.51-03 2.41-03 2.35-03 2.29-03 2.30-03 2.51-03 2.75-03 2.96-03 3.87-03
  12   3 5.27+06 3.31-02 3.28-02 3.24-02 3.20-02 3.14-02 3.02-02 2.94-02 2.88-02 2.81-02 2.72-02 2.64-02 2.61-02 2.60-02 2.60-02
  13   3 9.42+10 8.58-02 8.57-02 8.56-02 8.56-02 8.57-02 8.68-02 8.84-02 9.01-02 9.40-02 1.01-01 1.17-01 1.29-01 1.39-01 1.76-01
  14   3 2.80+07 2.85-02 2.82-02 2.77-02 2.73-02 2.67-02 2.60-02 2.58-02 2.59-02 2.64-02 2.78-02 3.10-02 3.34-02 3.52-02 4.06-02
  15   3 1.00-30 3.38-03 3.30-03 3.15-03 3.04-03 2.85-03 2.57-03 2.41-03 2.31-03 2.20-03 2.10-03 2.08-03 2.10-03 2.12-03 2.23-03
   5   4 8.93+02 2.38+01 2.66+01 2.94+01 3.09+01 3.28+01 3.54+01 3.69+01 3.79+01 3.94+01 4.12+01 4.37+01 4.52+01 4.62+01 4.95+01
   6   4 1.97-07 3.09-01 4.74-01 6.66-01 7.88-01 9.45-01 1.17+00 1.30+00 1.39+00 1.52+00 1.69+00 1.92+00 2.05+00 2.14+00 2.44+00
   7   4 1.00-30 3.98-01 4.01-01 4.05-01 4.08-01 4.13-01 4.22-01 4.28-01 4.32-01 4.38-01 4.44-01 4.50-01 4.53-01 4.54-01 4.57-01
   8   4 3.06+10 2.02-01 2.14-01 2.35-01 2.54-01 2.92-01 3.79-01 4.57-01 5.28-01 6.52-01 8.50-01 1.19+00 1.43+00 1.60+00 2.23+00
   9   4 3.78+06 4.58-01 4.65-01 4.79-01 4.91-01 5.14-01 5.60-01 5.96-01 6.26-01 6.74-01 7.39-01 8.31-01 8.81-01 9.15-01 1.00+00
  10   4 1.00-30 4.15-01 4.15-01 4.14-01 4.14-01 4.14-01 4.16-01 4.18-01 4.20-01 4.23-01 4.30-01 4.42-01 4.49-01 4.55-01 4.70-01
  11   4 1.00-30 7.42-02 7.46-02 7.52-02 7.57-02 7.66-02 7.81-02 7.92-02 7.99-02 8.10-02 8.22-02 8.34-02 8.39-02 8.41-02 8.46-02
  12   4 1.64+10 4.48-02 4.66-02 5.01-02 5.33-02 5.95-02 7.38-02 8.66-02 9.83-02 1.19-01 1.53-01 2.11-01 2.52-01 2.83-01 3.92-01
  13   4 1.10+06 9.09-02 9.16-02 9.30-02 9.43-02 9.67-02 1.02-01 1.06-01 1.09-01 1.15-01 1.23-01 1.34-01 1.40-01 1.44-01 1.55-01
  14   4 1.00-30 4.69-02 4.58-02 4.42-02 4.28-02 4.09-02 3.82-02 3.69-02 3.62-02 3.56-02 3.55-02 3.63-02 3.71-02 3.77-02 3.97-02
  15   4 1.00-30 7.70-02 7.62-02 7.49-02 7.40-02 7.29-02 7.21-02 7.24-02 7.30-02 7.45-02 7.72-02 8.20-02 8.49-02 8.69-02 9.24-02
   6   5 3.52+02 4.87+01 5.48+01 6.08+01 6.43+01 6.88+01 7.49+01 7.84+01 8.10+01 8.45+01 8.90+01 9.51+01 9.86+01 1.01+02 1.09+02
   7   5 1.84+10 5.96-02 6.08-02 6.33-02 6.58-02 7.13-02 8.55-02 9.95-02 1.13-01 1.37-01 1.76-01 2.45-01 2.93-01 3.30-01 4.57-01
   8   5 2.56+06 1.39+00 1.39+00 1.40+00 1.41+00 1.43+00 1.46+00 1.48+00 1.49+00 1.52+00 1.55+00 1.59+00 1.61+00 1.62+00 1.65+00
   9   5 7.04+10 1.73+00 1.79+00 1.88+00 1.96+00 2.12+00 2.48+00 2.79+00 3.08+00 3.57+00 4.37+00 5.74+00 6.67+00 7.38+00 9.85+00
  10   5 3.86+06 1.85+00 1.87+00 1.90+00 1.93+00 1.99+00 2.12+00 2.22+00 2.30+00 2.43+00 2.61+00 2.87+00 3.01+00 3.10+00 3.35+00
  11   5 9.05+09 1.74-02 1.74-02 1.74-02 1.75-02 1.79-02 1.95-02 2.13-02 2.32-02 2.66-02 3.26-02 4.32-02 5.07-02 5.64-02 7.65-02
  12   5 1.43+06 2.78-01 2.78-01 2.79-01 2.79-01 2.80-01 2.83-01 2.85-01 2.87-01 2.90-01 2.94-01 2.99-01 3.03-01 3.05-01 3.10-01
  13   5 3.39+10 3.91-01 3.98-01 4.10-01 4.22-01 4.44-01 4.95-01 5.40-01 5.82-01 6.54-01 7.72-01 9.79-01 1.12+00 1.23+00 1.61+00
  14   5 2.71+04 2.37-01 2.34-01 2.30-01 2.27-01 2.24-01 2.22-01 2.22-01 2.23-01 2.26-01 2.31-01 2.39-01 2.45-01 2.48-01 2.58-01
  15   5 1.00-30 2.94-01 2.93-01 2.92-01 2.93-01 2.94-01 2.99-01 3.04-01 3.08-01 3.15-01 3.24-01 3.37-01 3.43-01 3.48-01 3.58-01
   7   6 1.03+06 5.25-02 5.18-02 5.06-02 4.97-02 4.84-02 4.67-02 4.61-02 4.59-02 4.61-02 4.73-02 5.01-02 5.22-02 5.37-02 5.81-02
   8   6 3.47+09 2.19-01 2.15-01 2.09-01 2.04-01 1.99-01 1.94-01 1.95-01 1.98-01 2.06-01 2.24-01 2.60-01 2.87-01 3.08-01 3.82-01
   9   6 1.19+06 2.28+00 2.27+00 2.25+00 2.24+00 2.23+00 2.21+00 2.20+00 2.19+00 2.19+00 2.19+00 2.19+00 2.20+00 2.20+00 2.22+00
  10   6 1.38+11 8.61+00 8.75+00 9.01+00 9.25+00 9.71+00 1.07+01 1.16+01 1.25+01 1.39+01 1.61+01 2.00+01 2.26+01 2.46+01 3.14+01
  11   6 6.42+05 1.87-02 1.82-02 1.74-02 1.68-02 1.59-02 1.45-02 1.38-02 1.33-02 1.28-02 1.25-02 1.25-02 1.26-02 1.28-02 1.35-02
  12   6 1.49+09 8.01-02 7.77-02 7.39-02 7.09-02 6.65-02 6.03-02 5.73-02 5.57-02 5.44-02 5.45-02 5.78-02 6.11-02 6.38-02 7.41-02
  13   6 5.73+05 4.96-01 4.90-01 4.80-01 4.72-01 4.60-01 4.42-01 4.32-01 4.26-01 4.18-01 4.11-01 4.05-01 4.04-01 4.03-01 4.03-01
  14   6 4.54+10 1.50+00 1.51+00 1.53+00 1.54+00 1.58+00 1.67+00 1.75+00 1.83+00 1.97+00 2.20+00 2.61+00 2.89+00 3.10+00 3.84+00
  15   6 1.16+07 4.51-01 4.52-01 4.56-01 4.61-01 4.72-01 5.01-01 5.29-01 5.55-01 5.99-01 6.66-01 7.67-01 8.26-01 8.67-01 9.75-01
