   50    /Mo+32 EMISSIVITY COEFFTS./
 1.00E+02 1.15E+02 1.31E+02 1.50E+02 1.72E+02 1.97E+02 2.25E+02 2.58E+02
 2.96E+02 3.38E+02 3.87E+02 4.44E+02 5.08E+02 5.82E+02 6.66E+02 7.63E+02
 8.73E+02 1.00E+03 1.15E+03 1.31E+03 1.50E+03 1.72E+03 1.97E+03 2.25E+03
 2.58E+03 2.96E+03 3.38E+03 3.87E+03 4.44E+03 5.08E+03 5.82E+03 6.66E+03
 7.63E+03 8.73E+03 1.00E+04
 1.98E-21 4.33E-20 6.41E-19 6.76E-18 5.27E-17 3.17E-16 1.51E-15 5.88E-15
 1.92E-14 5.37E-14 1.31E-13 2.84E-13 5.55E-13 9.91E-13 1.63E-12 2.51E-12
 3.63E-12 4.97E-12 6.50E-12 8.15E-12 9.87E-12 1.16E-11 1.32E-11 1.47E-11
 1.61E-11 1.73E-11 1.82E-11 1.90E-11 1.96E-11 1.99E-11 2.01E-11 2.01E-11
 2.00E-11 1.97E-11 1.93E-11
 1.98E-21 4.33E-20 6.42E-19 6.76E-18 5.27E-17 3.17E-16 1.51E-15 5.88E-15
 1.92E-14 5.37E-14 1.31E-13 2.84E-13 5.56E-13 9.91E-13 1.63E-12 2.51E-12
 3.63E-12 4.97E-12 6.50E-12 8.15E-12 9.87E-12 1.16E-11 1.32E-11 1.47E-11
 1.61E-11 1.73E-11 1.82E-11 1.90E-11 1.96E-11 1.99E-11 2.01E-11 2.01E-11
 2.00E-11 1.97E-11 1.93E-11
 1.98E-21 4.33E-20 6.42E-19 6.76E-18 5.28E-17 3.17E-16 1.51E-15 5.88E-15
 1.92E-14 5.37E-14 1.31E-13 2.84E-13 5.56E-13 9.92E-13 1.63E-12 2.51E-12
 3.63E-12 4.97E-12 6.50E-12 8.15E-12 9.87E-12 1.16E-11 1.32E-11 1.47E-11
 1.61E-11 1.73E-11 1.82E-11 1.90E-11 1.96E-11 1.99E-11 2.01E-11 2.01E-11
 2.00E-11 1.97E-11 1.93E-11
 1.99E-21 4.35E-20 6.45E-19 6.79E-18 5.30E-17 3.18E-16 1.52E-15 5.90E-15
 1.93E-14 5.39E-14 1.31E-13 2.85E-13 5.57E-13 9.94E-13 1.64E-12 2.52E-12
 3.64E-12 4.98E-12 6.51E-12 8.16E-12 9.88E-12 1.16E-11 1.32E-11 1.48E-11
