
Ne+10     H + 0 (2) / receiver, donor (donor state n=2)       /        /
    9               / number of energies
    6               / nmin
   15               / nmax
               0.01     0.02     0.05     0.10     0.20     0.50     1.00     2.00     4.20 / energies
              29.12    29.19    29.12    28.56    27.03    22.75    18.92    15.53    10.95 / alphas
           7.66E-14 7.72E-14 7.78E-14 7.91E-14 7.99E-14 8.16E-14 8.20E-14 8.22E-14 8.04E-14 / tot. xsect.(cm2)
  n  l  m                                                                                   / partial xsects.
 12 11     5.76E-15 5.15E-15 4.41E-15 3.90E-15 3.27E-15 3.18E-15 2.40E-15 1.41E-15 8.57E-16         
 13        7.92E-15 1.08E-14 1.30E-14 1.24E-14 1.07E-14 9.96E-15 7.75E-15 4.43E-15 2.58E-15         
 13  0     2.55E-18 5.11E-18 2.55E-18 1.70E-18 6.81E-18 6.81E-18 5.86E-18 5.64E-18 3.73E-18         
 13  1     1.45E-17 8.52E-18 1.11E-17 2.55E-17 2.79E-17 3.07E-17 2.47E-17 2.37E-17 1.45E-17         
 13  2     3.41E-17 2.13E-17 6.56E-17 9.88E-17 9.67E-17 7.66E-17 7.81E-17 3.78E-17 2.48E-17         
 13  3     4.60E-17 6.30E-17 1.78E-16 2.08E-16 2.02E-16 1.92E-16 1.51E-16 7.00E-17 4.64E-17         
 13  4     6.64E-17 1.56E-16 3.24E-16 3.66E-16 3.05E-16 2.80E-16 2.24E-16 1.12E-16 7.24E-17         
 13  5     1.47E-16 2.60E-16 5.29E-16 5.66E-16 4.39E-16 4.14E-16 2.94E-16 1.65E-16 8.82E-17         
 13  6     2.73E-16 4.19E-16 6.46E-16 6.29E-16 5.22E-16 5.01E-16 3.88E-16 2.04E-16 1.08E-16         
 13  7     4.10E-16 5.22E-16 7.59E-16 7.35E-16 6.35E-16 5.71E-16 4.42E-16 2.50E-16 1.52E-16         
 13  8     4.65E-16 6.68E-16 9.30E-16 8.86E-16 7.19E-16 7.29E-16 5.42E-16 3.15E-16 2.05E-16         
 13  9     6.47E-16 8.34E-16 1.12E-15 1.03E-15 9.23E-16 8.66E-16 7.18E-16 4.16E-16 2.60E-16         
 13 10     9.07E-16 1.29E-15 1.53E-15 1.49E-15 1.29E-15 1.17E-15 9.56E-16 5.36E-16 3.42E-16         
 13 11     1.57E-15 2.17E-15 2.38E-15 2.17E-15 1.88E-15 1.76E-15 1.36E-15 8.09E-16 5.05E-16        
 13 12     3.34E-15 4.41E-15 4.50E-15 4.23E-15 3.64E-15 3.36E-15 2.57E-15 1.49E-15 7.60E-16         
 14        2.70E-15 3.75E-15 6.74E-15 8.60E-15 8.67E-15 8.43E-15 7.21E-15 4.36E-15 2.53E-15         
 14  0     6.81E-18 1.70E-18 8.52E-19 8.52E-19 2.73E-18 1.70E-18 5.86E-18 2.26E-18 3.31E-18         
 14  1     1.87E-17 9.37E-18 5.96E-18 1.11E-17 2.04E-17 2.38E-17 2.34E-17 1.24E-17 7.04E-18         
 14  2     2.30E-17 1.62E-17 1.36E-17 4.94E-17 6.68E-17 7.58E-17 6.05E-17 4.18E-17 2.32E-17         
 14  3     2.81E-17 3.49E-17 4.51E-17 1.18E-16 1.20E-16 1.36E-16 1.17E-16 6.94E-17 3.60E-17         
 14  4     5.54E-17 3.83E-17 8.69E-17 2.24E-16 2.36E-16 2.17E-16 1.91E-16 9.37E-17 5.42E-17         
 14  5     7.83E-17 7.66E-17 1.49E-16 3.40E-16 2.96E-16 3.07E-16 2.47E-16 1.48E-16 7.82E-17         
 14  6     9.54E-17 1.12E-16 1.58E-16 3.53E-16 3.56E-16 3.18E-16 3.25E-16 1.70E-16 9.27E-17         
 14  7     1.22E-16 1.37E-16 2.07E-16 4.07E-16 4.29E-16 4.28E-16 3.78E-16 2.40E-16 1.20E-16         
 14  8     1.82E-16 2.08E-16 2.55E-16 4.48E-16 5.16E-16 4.88E-16 4.42E-16 2.58E-16 1.67E-16         
 14  9     2.59E-16 2.13E-16 4.26E-16 6.14E-16 6.12E-16 5.96E-16 5.11E-16 3.32E-16 2.25E-16         
 14 10     2.98E-16 3.24E-16 5.75E-16 7.70E-16 7.66E-16 7.49E-16 6.87E-16 4.33E-16 2.94E-16         
 14 11     4.18E-16 4.73E-16 8.69E-16 1.02E-15 1.02E-15 1.04E-15 9.00E-16 5.62E-16 3.42E-16         
 14 12     5.65E-16 8.11E-16 1.36E-15 1.47E-15 1.52E-15 1.40E-15 1.24E-15 7.82E-16 4.92E-16         
 14 13     5.55E-16 1.29E-15 2.59E-15 2.77E-15 2.71E-15 2.65E-15 2.08E-15 1.22E-15 5.97E-16         
 15        1.25E-15 1.80E-15 3.36E-15 4.81E-15 6.23E-15 6.30E-15 6.09E-15 4.01E-15 2.51E-15         
 15  0     1.70E-18 3.41E-18 8.52E-19 0.00E+00 2.73E-18 2.55E-18 2.60E-18 1.69E-18 2.48E-18         
 15  1     8.52E-18 6.81E-18 6.81E-18 2.55E-18 1.43E-17 1.70E-17 1.76E-17 1.41E-17 1.12E-17         
 15  2     2.47E-17 9.37E-18 8.52E-18 8.52E-18 3.95E-17 4.26E-17 5.34E-17 3.61E-17 1.86E-17         
 15  3     2.13E-17 1.87E-17 2.04E-17 3.75E-17 9.74E-17 9.88E-17 8.52E-17 7.34E-17 3.19E-17         
 15  4     4.77E-17 2.55E-17 2.38E-17 6.22E-17 1.45E-16 1.73E-16 1.69E-16 7.96E-17 5.38E-17         
 15  5     5.11E-17 4.60E-17 2.55E-17 8.43E-17 2.04E-16 2.04E-16 1.93E-16 1.15E-16 7.58E-17         
 15  6     5.19E-17 5.88E-17 4.17E-17 1.12E-16 2.21E-16 2.29E-16 2.43E-16 1.36E-16 9.07E-17         
 15  7     7.92E-17 8.60E-17 7.49E-17 1.41E-16 2.38E-16 2.57E-16 2.82E-16 1.72E-16 1.08E-16         
 15  8     1.00E-16 9.28E-17 1.14E-16 1.98E-16 2.86E-16 3.34E-16 3.45E-16 2.17E-16 1.41E-16         
 15  9     1.35E-16 1.43E-16 1.59E-16 2.49E-16 3.73E-16 3.68E-16 3.88E-16 2.66E-16 1.93E-16         
 15 10     1.55E-16 1.87E-16 2.37E-16 3.64E-16 5.17E-16 4.99E-16 4.96E-16 3.33E-16 2.30E-16         
 15 11     1.84E-16 2.66E-16 3.96E-16 4.98E-16 6.25E-16 6.32E-16 6.50E-16 4.70E-16 3.02E-16         
 15 12     1.94E-16 3.09E-16 5.26E-16 7.49E-16 8.73E-16 8.85E-16 8.22E-16 5.95E-16 3.99E-16         
 15 13     1.61E-16 3.70E-16 8.52E-16 1.05E-15 1.16E-15 1.16E-15 1.10E-15 7.58E-16 4.80E-16         
 15 14     3.41E-17 1.74E-16 8.72E-16 1.25E-15 1.43E-15 1.40E-15 1.24E-15 7.45E-16 3.68E-16         
    9               / number of energies
    6               / nmin
   15               / nmax
              30.00    35.00    40.00    45.00    50.00    60.00    70.00    75.00   100.00 / energies
               1.68     1.68     1.68     1.72     1.81     1.88     1.94     1.94     2.02 / alphas 
           2.13E-14 1.33E-14 8.66E-15 5.87E-15 4.06E-15 2.01E-15 1.08E-15 8.28E-16 7.62E-16 / tot. xsects.(cm2)
  n  l  m
  6        5.76E-17 6.37E-17 5.26E-17 4.97E-17 4.21E-17 3.34E-17 2.61E-17 2.12E-17 1.26E-17
  6  0     1.89E-18 1.22E-18 8.45E-19 5.36E-19 6.05E-19 3.31E-19 1.40E-19 1.69E-19 1.48E-19
  6  1     3.23E-18 5.23E-18 2.90E-18 2.53E-18 1.59E-18 1.18E-18 1.08E-18 8.57E-19 4.17E-19
  6  2     1.02E-17 1.15E-17 8.82E-18 5.82E-18 4.67E-18 3.10E-18 2.20E-18 1.84E-18 1.01E-18
  6  3     1.19E-17 1.11E-17 1.12E-17 1.03E-17 8.52E-18 6.77E-18 4.62E-18 3.33E-18 1.59E-18
  6  4     1.56E-17 1.72E-17 1.33E-17 1.36E-17 1.18E-17 9.65E-18 7.53E-18 5.82E-18 3.20E-18
  6  5     1.48E-17 1.74E-17 1.55E-17 1.69E-17 1.49E-17 1.24E-17 1.05E-17 9.14E-18 6.23E-18
  7        1.88E-16 1.68E-16 1.37E-16 1.12E-16 9.99E-17 6.77E-17 4.34E-17 3.59E-17 1.76E-17
  7  0     1.89E-18 1.22E-18 1.93E-18 8.43E-19 6.60E-19 4.26E-19 2.67E-19 2.22E-19 1.00E-19
  7  1     6.74E-18 4.53E-18 3.86E-18 2.53E-18 2.91E-18 1.42E-18 8.51E-19 7.30E-19 4.55E-19
  7  2     1.51E-17 1.46E-17 8.21E-18 6.59E-18 5.28E-18 3.00E-18 1.84E-18 1.53E-18 8.00E-19
  7  3     2.91E-17 2.30E-17 1.86E-17 1.21E-17 1.07E-17 5.32E-18 3.39E-18 2.94E-18 1.52E-18
  7  4     3.69E-17 3.88E-17 2.67E-17 2.12E-17 1.58E-17 1.07E-17 5.82E-18 5.07E-18 2.36E-18
  7  5     4.58E-17 4.23E-17 3.51E-17 3.17E-17 2.82E-17 1.93E-17 1.15E-17 9.10E-18 4.27E-18
  7  6     5.28E-17 4.39E-17 4.29E-17 3.73E-17 3.63E-17 2.75E-17 1.97E-17 1.63E-17 8.09E-18
  8        4.68E-16 3.39E-16 2.46E-16 1.98E-16 1.62E-16 9.80E-17 6.01E-17 5.00E-17 2.10E-17
  8  0     1.89E-18 2.61E-18 7.25E-19 8.43E-19 4.40E-19 5.20E-19 2.16E-19 2.01E-19 8.62E-20
  8  1     7.27E-18 3.83E-18 3.38E-18 2.99E-18 2.03E-18 1.56E-18 8.51E-19 1.04E-18 3.24E-19
  8  2     2.13E-17 1.27E-17 8.94E-18 5.67E-18 3.63E-18 2.89E-18 1.88E-18 1.68E-18 7.59E-19
  8  3     3.96E-17 2.44E-17 1.57E-17 1.13E-17 9.07E-18 5.37E-18 3.47E-18 2.69E-18 1.32E-18
  8  4     5.95E-17 3.34E-17 2.78E-17 2.04E-17 1.45E-17 8.92E-18 5.02E-18 5.00E-18 2.22E-18
  8  5     9.24E-17 6.13E-17 3.80E-17 2.99E-17 2.41E-17 1.32E-17 8.09E-18 7.16E-18 3.63E-18
  8  6     1.20E-16 9.44E-17 6.53E-17 5.20E-17 4.24E-17 2.34E-17 1.33E-17 1.14E-17 4.94E-18
  8  7     1.26E-16 1.06E-16 8.58E-17 7.49E-17 6.55E-17 4.21E-17 2.73E-17 2.08E-17 7.70E-18
  9        8.00E-16 5.18E-16 3.78E-16 2.82E-16 2.19E-16 1.22E-16 7.25E-17 5.66E-17 2.18E-17
  9  0     1.89E-18 2.09E-18 6.04E-19 5.36E-19 5.50E-19 4.02E-19 2.54E-19 1.16E-19 1.10E-19
  9  1     8.35E-18 4.88E-18 3.86E-18 3.37E-18 1.76E-18 1.11E-18 9.53E-19 6.46E-19 3.14E-19
  9  2     1.94E-17 1.20E-17 8.33E-18 8.12E-18 5.72E-18 2.48E-18 1.68E-18 1.53E-18 6.41E-19
  9  3     3.26E-17 2.19E-17 1.53E-17 1.15E-17 9.18E-18 4.66E-18 2.87E-18 2.82E-18 1.10E-18
  9  4     5.33E-17 3.10E-17 2.79E-17 1.83E-17 1.33E-17 7.12E-18 4.75E-18 4.07E-18 1.75E-18
  9  5     9.24E-17 4.63E-17 3.21E-17 2.65E-17 2.04E-17 1.19E-17 7.09E-18 6.55E-18 2.73E-18
  9  6     1.34E-16 8.01E-17 5.63E-17 3.87E-17 2.95E-17 1.68E-17 1.13E-17 9.00E-18 4.03E-18
  9  7     1.95E-16 1.33E-16 9.06E-17 6.67E-17 4.87E-17 2.70E-17 1.68E-17 1.27E-17 5.10E-18
  9  8     2.63E-16 1.87E-16 1.43E-16 1.08E-16 9.02E-17 5.04E-17 2.68E-17 1.92E-17 6.04E-18
 10        1.07E-15 6.97E-16 4.71E-16 3.51E-16 2.58E-16 1.39E-16 7.68E-17 6.18E-17 2.16E-17
 10  0     3.77E-18 1.74E-18 1.33E-18 3.83E-19 7.70E-19 3.78E-19 1.91E-19 1.91E-19 9.31E-20
 10  1     6.74E-18 5.05E-18 3.86E-18 2.38E-18 2.42E-18 1.04E-18 7.11E-19 7.41E-19 2.72E-19
 10  2     2.10E-17 1.13E-17 8.94E-18 4.98E-18 4.73E-18 2.74E-18 1.55E-18 1.31E-18 5.62E-19
 10  3     3.21E-17 2.09E-17 1.29E-17 1.10E-17 7.92E-18 3.90E-18 2.60E-18 2.24E-18 9.72E-19
 10  4     5.01E-17 2.68E-17 2.25E-17 1.56E-17 1.08E-17 6.43E-18 4.18E-18 3.92E-18 1.57E-18
 10  5     7.14E-17 4.58E-17 3.08E-17 2.43E-17 1.63E-17 9.84E-18 5.45E-18 4.85E-18 2.35E-18
 10  6     9.51E-17 5.63E-17 4.38E-17 3.17E-17 2.38E-17 1.41E-17 9.17E-18 7.39E-18 3.24E-18
 10  7     1.42E-16 9.08E-17 6.33E-17 5.19E-17 3.54E-17 2.16E-17 1.34E-17 1.13E-17 4.11E-18
 10  8     2.55E-16 1.54E-16 1.00E-16 7.20E-17 5.64E-17 3.08E-17 1.77E-17 1.39E-17 5.07E-18
 10  9     3.97E-16 2.84E-16 1.84E-16 1.37E-16 9.95E-17 4.78E-17 2.18E-17 1.60E-17 3.38E-18
 11        1.33E-15 8.40E-16 5.58E-16 3.91E-16 2.73E-16 1.43E-16 7.77E-17 6.21E-17 2.05E-17
 11  0     2.69E-18 1.05E-18 4.83E-19 8.43E-19 4.95E-19 4.97E-19 1.78E-19 1.59E-19 6.21E-20
 11  1     7.00E-18 4.88E-18 2.90E-18 2.61E-18 1.98E-18 1.06E-18 6.48E-19 5.40E-19 2.76E-19
 11  2     1.59E-17 1.18E-17 9.90E-18 5.75E-18 3.85E-18 2.18E-18 1.36E-18 1.10E-18 4.28E-19
 11  3     3.02E-17 1.62E-17 1.36E-17 9.89E-18 7.31E-18 3.71E-18 2.45E-18 1.98E-18 7.79E-19
 11  4     4.36E-17 2.60E-17 2.02E-17 1.43E-17 1.06E-17 5.77E-18 2.79E-18 3.26E-18 1.30E-18
 11  5     6.65E-17 4.37E-17 3.26E-17 2.28E-17 1.39E-17 8.61E-18 5.35E-18 5.07E-18 2.18E-18
 11  6     8.73E-17 5.70E-17 4.13E-17 3.12E-17 1.89E-17 1.21E-17 7.55E-18 6.69E-18 2.70E-18
 11  7     1.27E-16 7.89E-17 4.99E-17 4.05E-17 2.98E-17 1.79E-17 1.17E-17 8.52E-18 3.48E-18
 11  8     1.68E-16 1.14E-16 7.95E-17 5.59E-17 4.10E-17 2.39E-17 1.44E-17 1.09E-17 3.95E-18
 11  9     2.61E-16 1.76E-16 1.13E-16 8.35E-17 5.78E-17 3.15E-17 1.69E-17 1.33E-17 4.07E-18
 11 10     5.20E-16 3.10E-16 1.95E-16 1.24E-16 8.73E-17 3.59E-17 1.44E-17 1.06E-17 1.29E-18
 12        1.49E-15 8.85E-16 5.97E-16 3.98E-16 2.83E-16 1.43E-16 7.66E-17 5.86E-17 1.87E-17
 12  0     1.62E-18 2.44E-18 1.21E-18 4.60E-19 2.75E-19 2.60E-19 1.27E-19 1.48E-19 7.59E-20
 12  1     8.35E-18 3.31E-18 3.14E-18 2.61E-18 1.81E-18 9.94E-19 5.46E-19 3.81E-19 2.28E-19
 12  2     1.45E-17 1.05E-17 8.09E-18 4.90E-18 3.52E-18 2.27E-18 1.28E-18 1.15E-18 3.24E-19
 12  3     3.10E-17 1.43E-17 1.39E-17 9.04E-18 5.17E-18 3.12E-18 2.27E-18 1.64E-18 6.48E-19
 12  4     4.07E-17 2.53E-17 1.61E-17 1.31E-17 8.69E-18 5.09E-18 2.95E-18 2.78E-18 1.16E-18
 12  5     5.52E-17 3.61E-17 2.38E-17 1.79E-17 1.40E-17 7.33E-18 4.38E-18 3.96E-18 1.69E-18
 12  6     8.03E-17 4.96E-17 3.55E-17 2.51E-17 1.85E-17 9.94E-18 6.82E-18 5.19E-18 2.28E-18
 12  7     1.09E-16 6.78E-17 4.96E-17 3.50E-17 2.68E-17 1.53E-17 9.51E-18 7.67E-18 2.82E-18
 12  8     1.37E-16 9.01E-17 6.03E-17 4.64E-17 3.34E-17 1.99E-17 1.17E-17 9.63E-18 3.29E-18
 12  9     2.07E-16 1.29E-16 9.11E-17 6.35E-17 4.83E-17 2.51E-17 1.41E-17 1.10E-17 3.55E-18
 12 10     2.82E-16 1.79E-16 1.28E-16 8.05E-17 5.87E-17 3.13E-17 1.52E-17 1.08E-17 2.44E-18
 12 11     5.23E-16 2.78E-16 1.66E-16 9.95E-17 6.41E-17 2.23E-17 7.72E-18 4.23E-18 1.76E-19
 13        1.56E-15 9.23E-16 5.95E-16 3.99E-16 2.77E-16 1.38E-16 7.25E-17 5.39E-17 1.66E-17
 13  0     2.16E-18 8.71E-19 7.25E-19 7.66E-19 3.85E-19 3.31E-19 1.14E-19 9.53E-20 5.17E-20
 13  1     7.27E-18 4.88E-18 3.62E-18 2.30E-18 1.76E-18 9.23E-19 4.57E-19 4.02E-19 1.97E-19
 13  2     1.37E-17 8.01E-18 5.31E-18 4.75E-18 3.30E-18 1.61E-18 1.09E-18 9.32E-19 4.14E-19
 13  3     3.21E-17 1.65E-17 1.09E-17 7.59E-18 5.00E-18 2.53E-18 1.98E-18 1.46E-18 5.62E-19
 13  4     4.15E-17 1.97E-17 1.41E-17 1.20E-17 7.09E-18 4.00E-18 3.00E-18 2.27E-18 8.72E-19
 13  5     5.52E-17 3.40E-17 2.54E-17 1.53E-17 1.14E-17 6.69E-18 4.17E-18 3.23E-18 1.38E-18
 13  6     7.25E-17 4.22E-17 3.19E-17 2.31E-17 1.57E-17 9.56E-18 5.78E-18 4.77E-18 1.87E-18
 13  7     9.00E-17 5.87E-17 4.08E-17 2.94E-17 2.29E-17 1.30E-17 8.02E-18 6.54E-18 2.31E-18
 13  8     1.28E-16 7.23E-17 5.57E-17 4.02E-17 2.94E-17 1.75E-17 1.02E-17 7.72E-18 2.87E-18
 13  9     1.50E-16 1.11E-16 7.81E-17 5.04E-17 3.93E-17 2.12E-17 1.21E-17 8.42E-18 2.88E-18
 13 10     2.11E-16 1.49E-16 9.58E-17 6.73E-17 4.71E-17 2.55E-17 1.25E-17 9.60E-18 2.56E-18
 13 11     3.12E-16 1.84E-16 1.19E-16 7.97E-17 5.69E-17 2.53E-17 1.09E-17 7.51E-18 6.83E-19
 13 12     4.46E-16 2.22E-16 1.14E-16 6.58E-17 3.66E-17 9.82E-18 2.17E-18 9.21E-19 0.00E+00
 14        1.48E-15 9.25E-16 5.85E-16 3.97E-16 2.70E-16 1.28E-16 6.67E-17 5.11E-17 1.50E-17
 14  0     1.89E-18 1.57E-18 1.09E-18 7.66E-19 2.75E-19 1.89E-19 1.14E-19 1.38E-19 4.48E-20
 14  1     4.58E-18 3.14E-18 3.38E-18 1.69E-18 1.26E-18 6.15E-19 2.54E-19 3.60E-19 1.31E-19
 14  2     1.27E-17 8.01E-18 6.76E-18 4.37E-18 2.20E-18 1.77E-18 1.12E-18 7.20E-19 2.76E-19
 14  3     2.42E-17 1.18E-17 1.11E-17 6.97E-18 4.89E-18 2.27E-18 1.74E-18 1.36E-18 4.72E-19
 14  4     3.48E-17 2.25E-17 1.45E-17 1.07E-17 7.75E-18 3.62E-18 2.36E-18 1.92E-18 7.66E-19
 14  5     5.23E-17 2.79E-17 2.08E-17 1.37E-17 1.14E-17 5.42E-18 3.84E-18 2.83E-18 1.09E-18
 14  6     4.96E-17 3.75E-17 2.33E-17 2.03E-17 1.40E-17 7.69E-18 4.85E-18 4.43E-18 1.85E-18
 14  7     7.54E-17 4.82E-17 3.67E-17 2.63E-17 1.74E-17 1.12E-17 6.81E-18 5.66E-18 1.94E-18
 14  8     1.01E-16 6.39E-17 4.87E-17 3.49E-17 2.67E-17 1.45E-17 8.16E-18 7.00E-18 2.17E-18
 14  9     1.26E-16 9.01E-17 6.63E-17 4.40E-17 3.27E-17 1.94E-17 1.01E-17 7.79E-18 2.71E-18
 14 10     1.78E-16 1.20E-16 7.71E-17 5.41E-17 4.03E-17 2.11E-17 1.16E-17 8.41E-18 2.26E-18
 14 11     2.23E-16 1.57E-16 1.00E-16 6.81E-17 4.77E-17 2.18E-17 1.02E-17 7.10E-18 1.26E-18
 14 12     2.99E-16 1.86E-16 1.06E-16 7.56E-17 4.78E-17 1.67E-17 5.49E-18 3.38E-18 2.41E-20
 14 13     2.96E-16 1.47E-16 6.94E-17 3.52E-17 1.54E-17 2.01E-18 3.81E-20 0.00E+00 0.00E+00
 15        1.48E-15 8.69E-16 5.53E-16 3.77E-16 2.50E-16 1.17E-16 5.95E-17 4.64E-17 1.30E-17
 15  0     2.16E-18 3.48E-19 9.66E-19 3.83E-19 2.20E-19 9.46E-20 1.27E-19 1.06E-19 4.48E-20
 15  1     6.74E-18 4.18E-18 2.54E-18 1.76E-18 1.92E-18 7.33E-19 3.68E-19 3.81E-19 1.28E-19
 15  2     1.40E-17 7.14E-18 5.31E-18 3.99E-18 2.09E-18 1.47E-18 6.99E-19 6.67E-19 2.17E-19
 15  3     2.10E-17 1.01E-17 8.70E-18 7.05E-18 4.18E-18 2.39E-18 1.31E-18 1.16E-18 4.28E-19
 15  4     3.04E-17 1.90E-17 1.52E-17 9.35E-18 6.27E-18 2.93E-18 2.11E-18 1.57E-18 6.07E-19
 15  5     4.42E-17 2.53E-17 1.86E-17 1.34E-17 9.18E-18 4.64E-18 2.96E-18 2.45E-18 9.83E-19
 15  6     5.01E-17 3.80E-17 2.29E-17 1.73E-17 1.22E-17 7.14E-18 4.37E-18 3.59E-18 1.37E-18
 15  7     7.22E-17 4.62E-17 3.54E-17 2.26E-17 1.61E-17 8.75E-18 5.60E-18 4.83E-18 1.65E-18
 15  8     8.43E-17 5.57E-17 4.55E-17 3.07E-17 2.26E-17 1.18E-17 7.10E-18 5.67E-18 1.86E-18
 15  9     1.17E-16 7.61E-17 5.45E-17 3.95E-17 2.82E-17 1.63E-17 8.59E-18 6.75E-18 2.13E-18
 15 10     1.56E-16 1.01E-16 6.58E-17 5.10E-17 3.39E-17 1.89E-17 9.13E-18 7.38E-18 2.03E-18
 15 11     1.87E-16 1.26E-16 7.66E-17 5.73E-17 4.09E-17 1.88E-17 9.27E-18 7.25E-18 1.42E-18
 15 12     2.48E-16 1.36E-16 9.19E-17 6.17E-17 4.21E-17 1.64E-17 6.68E-18 4.19E-18 1.79E-19
 15 13     2.81E-16 1.54E-16 8.44E-17 5.32E-17 2.84E-17 6.77E-18 1.14E-18 4.45E-19 0.00E+00
 15 14     1.61E-16 6.95E-17 2.48E-17 7.89E-18 1.48E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
C-----------------------------------------------------------------------------------------------------
C  Source:  The data consists of results of CTMC calculations made at the University of Missouri over 
C              the period 1995-97.
C     
C  Comments:  At this time, no direct comparison with other results is available for checking the 
C             quality of the nl selective cross-sections except for Li+3 for which results are given
C             in a recent hidden curve crossing calculation by Janev et al. (1996).  Large differences
C             are observed in both the magnitude and energy dependence.  From inspection of the total
C             cross-sections, we have the strong impression that the CTMC data should be preferred.
C             In a plot of the scaled total one-electron capture cross-sections (sigma_tot(16q)^-1)
C             versus scaled energy (4Eq^-1/2), the total cross-sections should be approximately the
C             same for all systems (Janev, 1991) at least for q>3.  In these scaled units, a 
C             recommendation by Janev and Smith (1995) has been presented.  The CTMC data are all close 
C             to this curve except at lower energies.  The hidden curve crossing data for Li+3 deviate
C             from this curve.  Molecular orbital calculations by Errea et al. (1996) for B+5 are in
C             good agreement with the corresponding CTMC data.  For He+2, the recommendation of Janev
C             and Smith is based on the calculations of Harel and Jouin (1990) and it is completely
C             different from the CTMC results for He+2, especially at the lower energies.  A reason
C             for this huge difference is hard to see.  It may be the extremely strong resonant 
C             nature of the electron capture at low collision energies.  Resonant transfer from H(n=2)
C             in collsions with He+2 would necessarily mean that the electron ends up exactly between
C             the n=3 and n=4 levels of He+1.  Therefore electron capture may be blocked. To what extent
C             this is well described by the CTMC method is still a point of discussion.  For higher
C             charged receiver ions, levels are resonantly present.  Except for He+2 at low energies, 
C             we recommend use of the present CTMC data. 
C
C             The data was assembled as ADAS data files of type adf01 at JET Joint Undertaking in the
C             period 22-23 Dec. 1997.    
C
C  Authors:   J. W. Turkstra, G. Lubinski, R. Hoekstra*, R. E. Olson#
C                  * KVI, Groningen, Netherlands
C                  # University of Missouri, Rolla, USA. 
C
C  Date:  23 December 1997.
C
C  Updates: 
C
C-----------------------------------------------------------------------------------------------------
 
 
C---------------------------------------------------------------------------------
C ADAS ADF01 DATA - SCCS info: @(#)$Header: /home/adascvs/adas/adf01/qcx#h0/qcx#h0_en2_kvi#ne10.dat,v 2.1 2004/07/06 21:14:41 whitefor Exp $ Date $Date: 2004/07/06 21:14:41 $
C---------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 04-Jan-2012.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
