
Ne+10     H + 0 (2) / receiver, donor (donor state n=2)       /        /
    9               / number of energies
    6               / nmin
   15               / nmax
               0.01     0.02     0.05     0.10     0.20     0.50     1.00     2.00     4.20 / energies
              29.12    29.19    29.12    28.56    27.03    22.75    18.92    15.53    10.95 / alphas
           7.66E-14 7.72E-14 7.78E-14 7.91E-14 7.99E-14 8.16E-14 8.20E-14 8.22E-14 8.04E-14 / tot. xsect.(cm2)
  n  l  m                                                                                   / partial xsects.
 10  8     9.10E-17 1.51E-16 2.99E-16 6.05E-16 1.21E-15 2.23E-15 2.33E-15 2.45E-15 2.32E-15
 10  9     0.00E+00 1.78E-17 1.39E-16 6.05E-16 1.55E-15 2.60E-15 2.61E-15 2.44E-15 1.79E-15
 11        3.00E-14 3.22E-14 3.64E-14 3.76E-14 3.94E-14 3.96E-14 3.69E-14 3.23E-14 2.83E-14
 11  0     3.67E-16 3.64E-16 4.31E-16 3.94E-16 3.09E-16 1.30E-16 6.47E-17 4.77E-17 1.79E-17
 11  1     1.73E-15 1.93E-15 2.00E-15 1.55E-15 1.21E-15 4.30E-16 2.67E-16 1.42E-16 6.13E-17
 11  2     3.12E-15 3.61E-15 3.35E-15 2.57E-15 1.99E-15 8.47E-16 5.08E-16 2.66E-16 1.99E-16
 11  3     4.47E-15 4.59E-15 4.26E-15 3.22E-15 2.61E-15 1.23E-15 7.53E-16 5.28E-16 5.07E-16
 11  4     5.44E-15 5.30E-15 4.90E-15 4.00E-15 3.12E-15 1.76E-15 1.19E-15 1.14E-15 1.14E-15 
 11  5     5.46E-15 5.22E-15 5.17E-15 4.45E-15 3.71E-15 2.36E-15 2.01E-15 2.05E-15 2.24E-15
 11  6     4.66E-15 4.59E-15 5.10E-15 4.74E-15 4.32E-15 3.28E-15 3.28E-15 3.27E-15 3.51E-15
 11  7     3.29E-15 3.67E-15 4.51E-15 4.89E-15 4.71E-15 4.12E-15 4.64E-15 4.82E-15 4.74E-15
 11  8     1.34E-15 2.35E-15 3.80E-15 4.72E-15 5.09E-15 5.64E-15 6.22E-15 6.02E-15 5.52E-15
 11  9     1.12E-16 6.16E-16 2.35E-15 4.27E-15 5.68E-15 8.11E-15 7.98E-15 6.84E-15 5.53E-15
 11 10     0.00E+00 4.45E-18 5.25E-16 2.81E-15 6.62E-15 1.17E-14 1.00E-14 7.13E-15 4.81E-15
 12        4.36E-14 4.00E-14 3.45E-14 3.10E-14 2.70E-14 2.41E-14 2.47E-14 2.62E-14 2.47E-14
 12  0     1.42E-15 1.10E-15 7.60E-16 3.87E-16 2.69E-16 1.23E-16 8.00E-17 2.38E-17 7.66E-18
 12  1     4.92E-15 3.46E-15 2.06E-15 1.09E-15 6.05E-16 3.93E-16 2.03E-16 8.35E-17 3.32E-17
 12  2     7.26E-15 4.88E-15 3.12E-15 1.74E-15 1.14E-15 6.62E-16 4.05E-16 1.56E-16 5.36E-17
 12  3     8.20E-15 5.90E-15 3.90E-15 2.31E-15 1.69E-15 9.99E-16 5.72E-16 2.06E-16 1.39E-16
 12  4     7.76E-15 6.32E-15 4.64E-15 2.86E-15 2.31E-15 1.19E-15 7.85E-16 3.69E-16 3.39E-16
 12  5     6.54E-15 6.42E-15 4.60E-15 3.54E-15 2.93E-15 1.55E-15 1.04E-15 6.40E-16 6.89E-16
 12  6     4.32E-15 5.40E-15 4.70E-15 4.08E-15 3.56E-15 2.05E-15 1.49E-15 1.00E-15 1.23E-15
 12  7     2.38E-15 3.87E-15 4.17E-15 4.24E-15 3.91E-15 2.69E-15 2.09E-15 1.67E-15 2.01E-15
 12  8     7.43E-16 2.01E-15 3.33E-15 4.15E-15 3.53E-15 3.11E-15 2.88E-15 2.83E-15 3.30E-15
 12  9     5.95E-17 5.55E-16 2.03E-15 3.47E-15 3.18E-15 3.78E-15 3.96E-15 4.46E-15 4.63E-15
 12 10     0.00E+00 4.99E-17 8.49E-16 2.28E-15 2.39E-15 4.02E-15 5.09E-15 6.30E-15 5.93E-15
 12 11     0.00E+00 8.91E-19 3.28E-16 8.10E-16 1.45E-15 3.57E-15 6.11E-15 8.51E-15 6.35E-15
 13        1.36E-15 2.54E-15 3.06E-15 4.48E-15 4.71E-15 4.99E-15 4.42E-15 5.62E-15 6.34E-15
 13  0     2.95E-16 1.91E-16 1.35E-16 9.62E-17 8.43E-17 3.49E-17 4.51E-17 1.70E-17 5.96E-18
 13  1     2.32E-16 1.85E-16 1.23E-16 1.86E-16 1.18E-16 7.58E-17 9.37E-17 5.19E-17 1.96E-17
 13  2     1.86E-16 1.67E-16 1.62E-16 2.64E-16 2.05E-16 1.10E-16 1.25E-16 9.11E-17 2.73E-17
 13  3     1.80E-16 2.04E-16 1.88E-16 2.99E-16 2.91E-16 1.51E-16 1.52E-16 1.15E-16 4.60E-17
 13  4     1.48E-16 2.46E-16 2.24E-16 3.13E-16 3.83E-16 1.89E-16 1.64E-16 1.35E-16 9.28E-17
