N + 7     H + 0 (1)  / receiver, donor (donor state index)
    9                / number of energies
    1                / nmin
    9                / nmax
              40.      50.      60.      70.      80.      90.     100.     125.     150.   / energies         (keV/amu)
               1.23     1.28     1.33     1.40     1.46     1.55     1.56     1.71     1.80 / alpha
           1.18D-13 5.09D-14 2.61D-14 1.35D-14 7.95D-15 4.61D-15 3.10D-15 1.20D-15 5.53D-16 / total xsects.    (cm2)
  n  l  m                                                                                   / partial xsects.  (cm2)
  5  3  3  0.00D+00 0.00D+00 0.00D+00 0.00D+00 8.07D-19 5.82D-19 4.30D-19 2.14D-19 1.14D-19
  5  4     0.00D+00 0.00D+00 0.00D+00 0.00D+00 2.48D-16 1.64D-16 1.11D-16 4.49D-17 1.98D-17
  5  4  0  0.00D+00 0.00D+00 0.00D+00 0.00D+00 8.79D-17 5.91D-17 4.04D-17 1.66D-17 7.37D-18
  5  4  1  0.00D+00 0.00D+00 0.00D+00 0.00D+00 5.27D-17 3.52D-17 2.39D-17 9.77D-18 4.34D-18
  5  4  2  0.00D+00 0.00D+00 0.00D+00 0.00D+00 2.14D-17 1.37D-17 9.04D-18 3.50D-18 1.52D-18
  5  4  3  0.00D+00 0.00D+00 0.00D+00 0.00D+00 5.34D-18 3.33D-18 2.15D-18 8.07D-19 3.47D-19
  5  4  4  0.00D+00 0.00D+00 0.00D+00 0.00D+00 5.33D-19 3.21D-19 2.02D-19 7.35D-20 3.17D-20
  6        0.00D+00 0.00D+00 1.12D-15 7.00D-16 4.59D-16 3.12D-16 2.18D-16 9.87D-17 4.96D-17
  6  0     0.00D+00 0.00D+00 1.05D-17 6.84D-18 5.23D-18 4.29D-18 3.60D-18 2.26D-18 1.36D-18
  6  1     0.00D+00 0.00D+00 6.03D-17 4.14D-17 2.81D-17 1.89D-17 1.27D-17 4.94D-18 2.15D-18
  6  1  0  0.00D+00 0.00D+00 5.42D-17 3.69D-17 2.46D-17 1.63D-17 1.08D-17 4.00D-18 1.70D-18
  6  1  1  0.00D+00 0.00D+00 3.05D-18 2.25D-18 1.70D-18 1.29D-18 9.72D-19 4.69D-19 2.25D-19
  6  2     0.00D+00 0.00D+00 8.49D-17 4.81D-17 2.94D-17 1.96D-17 1.43D-17 8.39D-18 5.77D-18
  6  2  0  0.00D+00 0.00D+00 4.84D-17 2.69D-17 1.69D-17 1.20D-17 9.39D-18 6.29D-18 4.52D-18
  6  2  1  0.00D+00 0.00D+00 1.63D-17 9.38D-18 5.50D-18 3.32D-18 2.10D-18 8.74D-19 5.26D-19
  6  2  2  0.00D+00 0.00D+00 2.01D-18 1.20D-18 7.61D-19 5.10D-19 3.58D-19 1.75D-19 1.00D-19
  6  3     0.00D+00 0.00D+00 1.21D-16 9.11D-17 7.20D-17 5.78D-17 4.66D-17 2.72D-17 1.59D-17
  6  3  0  0.00D+00 0.00D+00 6.47D-17 5.23D-17 4.26D-17 3.44D-17 2.76D-17 1.57D-17 8.95D-18
  6  3  1  0.00D+00 0.00D+00 1.84D-17 1.29D-17 1.02D-17 8.40D-18 7.01D-18 4.44D-18 2.77D-18
  6  3  2  0.00D+00 0.00D+00 8.85D-18 5.83D-18 4.09D-18 2.98D-18 2.23D-18 1.16D-18 6.42D-19
  6  3  3  0.00D+00 0.00D+00 9.83D-19 6.42D-19 4.46D-19 3.23D-19 2.40D-19 1.24D-19 6.83D-20
  6  4     0.00D+00 0.00D+00 3.75D-16 2.57D-16 1.77D-16 1.23D-16 8.64D-17 3.76D-17 1.74D-17
  6  4  0  0.00D+00 0.00D+00 1.59D-16 1.09D-16 7.46D-17 5.17D-17 3.61D-17 1.55D-17 7.11D-18
  6  4  1  0.00D+00 0.00D+00 7.00D-17 4.95D-17 3.50D-17 2.48D-17 1.77D-17 7.90D-18 3.72D-18
  6  4  2  0.00D+00 0.00D+00 2.98D-17 1.92D-17 1.27D-17 8.55D-18 5.88D-18 2.48D-18 1.14D-18
  6  4  3  0.00D+00 0.00D+00 7.65D-18 4.79D-18 3.10D-18 2.06D-18 1.41D-18 5.87D-19 2.72D-19
  6  4  4  0.00D+00 0.00D+00 8.10D-19 4.97D-19 3.19D-19 2.11D-19 1.44D-19 6.15D-20 2.96D-20
  6  5     0.00D+00 0.00D+00 4.64D-16 2.56D-16 1.48D-16 8.84D-17 5.46D-17 1.84D-17 7.02D-18
  6  5  0  0.00D+00 0.00D+00 1.45D-16 8.05D-17 4.67D-17 2.80D-17 1.73D-17 5.78D-18 2.18D-18
  6  5  1  0.00D+00 0.00D+00 9.56D-17 5.32D-17 3.09D-17 1.86D-17 1.15D-17 3.87D-18 1.48D-18
  6  5  2  0.00D+00 0.00D+00 4.49D-17 2.43D-17 1.38D-17 8.18D-18 5.01D-18 1.65D-18 6.26D-19
  6  5  3  0.00D+00 0.00D+00 1.57D-17 8.44D-18 4.79D-18 2.85D-18 1.76D-18 6.08D-19 2.45D-19
  6  5  4  0.00D+00 0.00D+00 3.05D-18 1.65D-18 9.53D-19 5.83D-19 3.73D-19 1.43D-19 6.49D-20
  6  5  5  0.00D+00 0.00D+00 2.66D-19 1.45D-19 8.51D-20 5.33D-20 3.51D-20 1.47D-20 7.26D-21
  7        3.58D-15 1.89D-15 1.09D-15 6.68D-16 4.29D-16 2.86D-16 1.97D-16 8.57D-17 4.19D-17
  7  0     3.74D-17 1.62D-17 8.62D-18 5.72D-18 4.39D-18 3.58D-18 2.97D-18 1.82D-18 1.06D-18
  7  1     1.20D-16 8.03D-17 5.39D-17 3.59D-17 2.38D-17 1.57D-17 1.04D-17 3.93D-18 1.67D-18
  7  1  0  1.07D-16 7.33D-17 4.92D-17 3.25D-17 2.12D-17 1.38D-17 8.98D-18 3.23D-18 1.33D-18
  7  1  1  6.36D-18 3.53D-18 2.36D-18 1.71D-18 1.28D-18 9.66D-19 7.25D-19 3.50D-19 1.69D-19
  7  2     2.59D-16 1.30D-16 6.85D-17 3.86D-17 2.35D-17 1.57D-17 1.13D-17 6.46D-18 4.33D-18
  7  2  0  1.78D-16 8.33D-17 4.15D-17 2.27D-17 1.40D-17 9.80D-18 7.54D-18 4.88D-18 3.43D-18
  7  2  1  3.60D-17 2.08D-17 1.20D-17 7.05D-18 4.19D-18 2.56D-18 1.63D-18 6.62D-19 3.79D-19
  7  2  2  4.85D-18 2.52D-18 1.42D-18 8.61D-19 5.52D-19 3.73D-19 2.63D-19 1.28D-19 7.21D-20
  7  3     2.68D-16 1.48D-16 9.83D-17 7.24D-17 5.59D-17 4.41D-17 3.51D-17 2.01D-17 1.17D-17
  7  3  0  1.24D-16 7.71D-17 5.66D-17 4.41D-17 3.49D-17 2.77D-17 2.19D-17 1.22D-17 6.84D-18
  7  3  1  5.08D-17 2.42D-17 1.40D-17 9.57D-18 7.33D-18 5.92D-18 4.89D-18 3.08D-18 1.93D-18
  7  3  2  1.90D-17 1.02D-17 6.20D-18 4.09D-18 2.85D-18 2.07D-18 1.54D-18 7.95D-19 4.40D-19
  7  3  3  2.27D-18 1.18D-18 6.97D-19 4.48D-19 3.07D-19 2.19D-19 1.62D-19 8.28D-20 4.60D-20
  7  4     6.26D-16 4.10D-16 2.77D-16 1.90D-16 1.32D-16 9.25D-17 6.56D-17 2.91D-17 1.38D-17
  7  4  0  2.87D-16 1.92D-16 1.29D-16 8.80D-17 6.05D-17 4.20D-17 2.94D-17 1.27D-17 5.87D-18
  7  4  1  9.87D-17 6.83D-17 4.85D-17 3.46D-17 2.48D-17 1.78D-17 1.29D-17 5.94D-18 2.87D-18
  7  4  2  5.54D-17 3.21D-17 1.99D-17 1.29D-17 8.61D-18 5.90D-18 4.12D-18 1.80D-18 8.50D-19
  7  4  3  1.35D-17 7.69D-18 4.71D-18 3.02D-18 2.01D-18 1.37D-18 9.56D-19 4.20D-19 2.02D-19
  7  4  4  1.67D-18 9.13D-19 5.41D-19 3.39D-19 2.22D-19 1.50D-19 1.05D-19 4.66D-20 2.31D-20
  7  5     1.30D-15 6.90D-16 3.86D-16 2.25D-16 1.35D-16 8.39D-17 5.33D-17 1.89D-17 7.48D-18
  7  5  0  4.62D-16 2.44D-16 1.36D-16 7.84D-17 4.69D-17 2.89D-17 1.82D-17 6.34D-18 2.46D-18
  7  5  1  2.56D-16 1.40D-16 7.95D-17 4.69D-17 2.85D-17 1.78D-17 1.14D-17 4.05D-18 1.61D-18
  7  5  2  1.12D-16 5.78D-17 3.18D-17 1.84D-17 1.10D-17 6.81D-18 4.33D-18 1.54D-18 6.09D-19
  7  5  3  4.09D-17 2.03D-17 1.09D-17 6.18D-18 3.66D-18 2.25D-18 1.43D-18 5.16D-19 2.13D-19
  7  5  4  9.59D-18 4.75D-18 2.57D-18 1.48D-18 9.00D-19 5.70D-19 3.74D-19 1.49D-19 6.83D-20
  7  5  5  1.03D-18 5.27D-19 2.93D-19 1.75D-19 1.10D-19 7.18D-20 4.88D-20 2.10D-20 1.04D-20
  7  6     9.68D-16 4.19D-16 1.99D-16 1.01D-16 5.43D-17 3.05D-17 1.79D-17 5.37D-18 1.90D-18
  7  6  0  2.67D-16 1.15D-16 5.43D-17 2.73D-17 1.45D-17 8.05D-18 4.64D-18 1.34D-18 4.51D-19
  7  6  1  1.92D-16 8.36D-17 3.98D-17 2.03D-17 1.09D-17 6.10D-18 3.55D-18 1.05D-18 3.61D-19
  7  6  2  9.74D-17 4.18D-17 1.97D-17 9.96D-18 5.32D-18 2.98D-18 1.73D-18 5.17D-19 1.82D-19
  7  6  3  4.33D-17 1.85D-17 8.69D-18 4.41D-18 2.37D-18 1.34D-18 7.92D-19 2.45D-19 8.96D-20
  7  6  4  1.45D-17 6.51D-18 3.25D-18 1.77D-18 1.02D-18 6.23D-19 3.96D-19 1.48D-19 6.48D-20
  7  6  5  3.10D-18 1.48D-18 7.87D-19 4.56D-19 2.81D-19 1.82D-19 1.23D-19 5.23D-20 2.54D-20
  7  6  6  2.79D-19 1.40D-19 7.83D-20 4.76D-20 3.07D-20 2.07D-20 1.45D-20 6.63D-21 3.42D-21
  8        3.26D-15 1.71D-15 9.71D-16 5.87D-16 3.73D-16 2.46D-16 1.67D-16 7.12D-17 3.41D-17
  8  0     2.94D-17 1.29D-17 7.06D-18 4.74D-18 3.62D-18 2.92D-18 2.39D-18 1.43D-18 8.25D-19
  8  1     1.10D-16 7.05D-17 4.59D-17 2.98D-17 1.94D-17 1.27D-17 8.34D-18 3.08D-18 1.29D-18
  8  1  0  9.94D-17 6.47D-17 4.20D-17 2.71D-17 1.74D-17 1.12D-17 7.23D-18 2.55D-18 1.03D-18
  8  1  1  5.18D-18 2.92D-18 1.92D-18 1.36D-18 1.00D-18 7.44D-19 5.55D-19 2.66D-19 1.29D-19
