   5000    /W + 44 EMISSIVITY COEFFTS./
   5.276 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   11
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 4.08E-16 3.71E-13 3.37E-12 9.37E-12 1.60E-11 1.84E-11 1.91E-11
 4.08E-16 3.71E-13 3.37E-12 9.37E-12 1.60E-11 1.84E-11 1.91E-11
 4.07E-16 3.69E-13 3.36E-12 9.33E-12 1.59E-11 1.84E-11 1.90E-11
   4.499 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   12
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 1.17E-16 2.95E-13 3.38E-12 1.00E-11 1.70E-11 1.89E-11 1.88E-11
 1.17E-16 2.95E-13 3.38E-12 1.00E-11 1.70E-11 1.89E-11 1.88E-11
 1.17E-16 2.94E-13 3.37E-12 9.99E-12 1.69E-11 1.88E-11 1.88E-11
  16.574 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   13
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 7.05E-13 8.06E-12 1.54E-11 1.88E-11 1.74E-11 1.45E-11 1.14E-11
 7.05E-13 8.06E-12 1.54E-11 1.88E-11 1.74E-11 1.45E-11 1.13E-11
 7.04E-13 8.03E-12 1.54E-11 1.87E-11 1.73E-11 1.45E-11 1.13E-11
  47.767 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   14
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 2.37E-14 8.69E-13 4.96E-12 1.19E-11 1.74E-11 1.74E-11 1.55E-11
 2.45E-14 8.71E-13 4.96E-12 1.19E-11 1.74E-11 1.74E-11 1.55E-11
 1.04E-13 1.02E-12 5.09E-12 1.20E-11 1.74E-11 1.75E-11 1.55E-11
  42.295 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   15
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 4.85E-15 1.19E-12 6.26E-12 1.23E-11 1.49E-11 1.35E-11 1.11E-11
 4.85E-15 1.19E-12 6.26E-12 1.23E-11 1.49E-11 1.35E-11 1.11E-11
 4.84E-15 1.19E-12 6.24E-12 1.23E-11 1.48E-11 1.35E-11 1.11E-11
  66.682 A   3   7 /FILMEM = 44_adf04/TYPE = EXCIT    /INDM = T/ISEL =   16
 1.00E+12 1.00E+13 1.00E+15
 2.00E+02 5.00E+02 1.00E+03 2.00E+03 5.00E+03 1.00E+04 2.00E+04
 6.24E-12 1.23E-11 1.29E-11 1.14E-11 8.34E-12 6.30E-12 4.67E-12
