SEQ='AL'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 724641922.8   NPRNTI= 2   NPRNTF=19
   --------------------
   INDP         CODE                 S L   WI        WNP
    77     2    3S1 3P1 4D1         (2)2( 4.5)  6636106.5 
    78     2    3S1 3P1 4D1         (4)3(13.5)  6648665.2 
    79     2    3S1 3P1 4D1         (4)1( 5.5)  6669047.0 
    80     2    3S1 3P1 4D1         (2)3( 6.5)  6677266.2 
    81     2    3S1 3P1 4D1         (2)1( 2.5)  6694670.2 
    82     4    3P2 4S1             (2)2( 4.5)  6712218.4 
    83     5    3P2 4S1             (2)1( 2.5)  6741931.0 
    84     2    3S1 3P1 4F1         (4)3(13.5)  6837875.7 
    85     3    3S1 3P1 4D1         (2)2( 4.5)  6837913.3 
    86     2    3S1 3P1 4F1         (4)4(17.5)  6840381.6 
    87     2    3S1 3P1 4F1         (2)3( 6.5)  6847602.8 
    88     3    3S1 3P1 4D1         (2)3( 6.5)  6855841.4 
    89     3    3S1 3P1 4D1         (2)1( 2.5)  6871399.4 
    90     2    3S1 3P1 4F1         (4)2( 9.5)  6874563.3 
    91     6    3P2 4S1             (2)0( 0.5)  6885052.6 
    92     4    3P2 4P1             (2)2( 4.5)  6909933.7 
    93     2    3S1 3P1 4F1         (2)4( 8.5)  6922110.4 
    94     2    3S1 3P1 4F1         (2)2( 4.5)  6934152.9 
    95     4    3P2 4P1             (2)3( 6.5)  6935788.8 
    96     4    3P2 4P1             (2)1( 2.5)  6943533.2 
    97     7    3S1 3D1 4S1         (2)2( 4.5)  6987964.1 
    98     5    3P2 4P1             (2)2( 4.5)  6999396.9 
    99     5    3P2 4P1             (2)1( 2.5)  7030313.8 
   100     3    3S1 3P1 4F1         (2)3( 6.5)  7050169.7 
   101     3    3S1 3P1 4F1         (2)4( 8.5)  7067481.2 
   102     3    3S1 3P1 4F1         (2)2( 4.5)  7087712.6 
   103     8    3S1 3D1 4S1         (2)2( 4.5)  7104831.3 
   104     6    3P2 4P1             (2)1( 2.5)  7118961.0 
   105     7    3S1 3D1 4P1         (2)2( 4.5)  7184248.1 
   106     7    3S1 3D1 4P1         (2)3( 6.5)  7221953.8 
   107     4    3P2 4D1             (2)3( 6.5)  7235105.9 
   108     7    3S1 3D1 4P1         (2)1( 2.5)  7235783.6 
   109     4    3P2 4D1             (2)1( 2.5)  7243862.4 
