SEQ='NE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 676174037.2   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)   827428.5 

   IC RESOLVED LEVEL INDEXING           BWNR= 710508777.7   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   120       1.34E-12  9.51E-13  6.01E-13  4.24E-13  3.00E-13  1.89E-13  1.32E-13  9.17E-14  5.49E-14  3.58E-14
             2.21E-14  1.05E-14  5.42E-15  2.58E-15  8.65E-16  3.52E-16  1.37E-16  3.72E-17  1.36E-17
   121       5.76E-13  4.07E-13  2.57E-13  1.82E-13  1.28E-13  8.08E-14  5.66E-14  3.93E-14  2.35E-14  1.53E-14
             9.46E-15  4.49E-15  2.32E-15  1.11E-15  3.71E-16  1.51E-16  5.85E-17  1.59E-17  5.81E-18
   122       9.57E-13  6.76E-13  4.28E-13  3.02E-13  2.13E-13  1.34E-13  9.41E-14  6.53E-14  3.91E-14  2.55E-14
             1.57E-14  7.47E-15  3.87E-15  1.84E-15  6.18E-16  2.51E-16  9.75E-17  2.66E-17  9.68E-18
   123       1.89E-13  1.33E-13  8.42E-14  5.95E-14  4.20E-14  2.65E-14  1.86E-14  1.29E-14  7.75E-15  5.06E-15
             3.13E-15  1.49E-15  7.71E-16  3.68E-16  1.23E-16  5.01E-17  1.95E-17  5.30E-18  1.93E-18
   124       2.08E-13  1.47E-13  9.28E-14  6.53E-14  4.59E-14  2.84E-14  1.94E-14  1.29E-14  6.95E-15  4.01E-15
             2.13E-15  8.01E-16  3.47E-16  1.41E-16  3.97E-17  1.46E-17  5.30E-18  1.36E-18  4.85E-19
   125       6.23E-13  4.40E-13  2.78E-13  1.96E-13  1.37E-13  8.49E-14  5.80E-14  3.85E-14  2.08E-14  1.20E-14
             6.38E-15  2.40E-15  1.04E-15  4.22E-16  1.19E-16  4.39E-17  1.59E-17  4.09E-18  1.45E-18
   126       1.45E-12  1.02E-12  6.46E-13  4.55E-13  3.19E-13  1.98E-13  1.35E-13  8.97E-14  4.85E-14  2.80E-14
             1.49E-14  5.59E-15  2.43E-15  9.85E-16  2.77E-16  1.02E-16  3.71E-17  9.53E-18  3.39E-18
   127       1.03E-12  7.30E-13  4.61E-13  3.25E-13  2.28E-13  1.41E-13  9.64E-14  6.40E-14  3.46E-14  2.00E-14
             1.06E-14  3.99E-15  1.73E-15  7.03E-16  1.98E-16  7.31E-17  2.65E-17  6.81E-18  2.42E-18
   128       1.86E-12  1.31E-12  8.27E-13  5.83E-13  4.09E-13  2.53E-13  1.73E-13  1.15E-13  6.21E-14  3.59E-14
             1.91E-14  7.18E-15  3.12E-15  1.26E-15  3.56E-16  1.31E-16  4.76E-17  1.22E-17  4.35E-18
   129       1.03E-12  7.27E-13  4.59E-13  3.23E-13  2.27E-13  1.40E-13  9.60E-14  6.38E-14  3.45E-14  1.99E-14
             1.06E-14  3.99E-15  1.73E-15  7.02E-16  1.98E-16  7.30E-17  2.64E-17  6.80E-18  2.42E-18
   130       1.44E-12  1.01E-12  6.40E-13  4.51E-13  3.17E-13  1.96E-13  1.34E-13  8.91E-14  4.82E-14  2.79E-14
             1.48E-14  5.57E-15  2.42E-15  9.82E-16  2.76E-16  1.02E-16  3.70E-17  9.51E-18  3.38E-18
   131       6.09E-13  4.30E-13  2.71E-13  1.91E-13  1.34E-13  8.32E-14  5.70E-14  3.79E-14  2.05E-14  1.19E-14
             6.31E-15  2.38E-15  1.03E-15  4.20E-16  1.18E-16  4.36E-17  1.58E-17  4.06E-18  1.44E-18
   132       5.15E-13  3.63E-13  2.28E-13  1.60E-13  1.11E-13  6.72E-14  4.42E-14  2.75E-14  1.31E-14  6.71E-15
             3.11E-15  9.93E-16  3.89E-16  1.46E-16  3.85E-17  1.38E-17  4.92E-18  1.25E-18  4.42E-19
   133       1.54E-12  1.09E-12  6.84E-13  4.80E-13  3.34E-13  2.01E-13  1.32E-13  8.25E-14  3.93E-14  2.01E-14
             9.33E-15  2.98E-15  1.17E-15  4.38E-16  1.15E-16  4.14E-17  1.47E-17  3.74E-18  1.33E-18
   134       8.56E-13  6.04E-13  3.80E-13  2.66E-13  1.85E-13  1.12E-13  7.35E-14  4.58E-14  2.18E-14  1.12E-14
             5.18E-15  1.65E-15  6.47E-16  2.43E-16  6.40E-17  2.30E-17  8.18E-18  2.08E-18  7.37E-19
   135       1.20E-12  8.44E-13  5.31E-13  3.72E-13  2.59E-13  1.56E-13  1.03E-13  6.41E-14  3.05E-14  1.56E-14
             7.25E-15  2.31E-15  9.05E-16  3.40E-16  8.96E-17  3.21E-17  1.14E-17  2.91E-18  1.03E-18
   136       1.88E-12  1.33E-12  8.34E-13  5.85E-13  4.07E-13  2.45E-13  1.61E-13  1.01E-13  4.79E-14  2.45E-14
             1.14E-14  3.63E-15  1.42E-15  5.34E-16  1.41E-16  5.05E-17  1.80E-17  4.57E-18  1.62E-18
   137       1.19E-12  8.42E-13  5.30E-13  3.72E-13  2.58E-13  1.56E-13  1.03E-13  6.40E-14  3.05E-14  1.56E-14
             7.24E-15  2.31E-15  9.05E-16  3.40E-16  8.95E-17  3.21E-17  1.14E-17  2.91E-18  1.03E-18
   138       8.52E-13  6.01E-13  3.78E-13  2.65E-13  1.85E-13  1.11E-13  7.32E-14  4.57E-14  2.18E-14  1.11E-14
             5.17E-15  1.65E-15  6.46E-16  2.43E-16  6.39E-17  2.29E-17  8.17E-18  2.08E-18  7.35E-19
   139       1.53E-12  1.08E-12  6.80E-13  4.77E-13  3.32E-13  2.00E-13  1.32E-13  8.22E-14  3.91E-14  2.00E-14
             9.30E-15  2.97E-15  1.16E-15  4.36E-16  1.15E-16  4.13E-17  1.47E-17  3.74E-18  1.32E-18
   140       5.42E-13  3.82E-13  2.39E-13  1.67E-13  1.14E-13  6.65E-14  4.16E-14  2.42E-14  1.02E-14  4.71E-15
             1.99E-15  5.77E-16  2.15E-16  7.84E-17  2.02E-17  7.18E-18  2.55E-18  6.46E-19  2.28E-19
   141       7.59E-13  5.35E-13  3.35E-13  2.33E-13  1.60E-13  9.31E-14  5.83E-14  3.39E-14  1.43E-14  6.59E-15
             2.79E-15  8.08E-16  3.01E-16  1.10E-16  2.83E-17  1.01E-17  3.57E-18  9.04E-19  3.20E-19
   142       9.76E-13  6.88E-13  4.31E-13  3.00E-13  2.06E-13  1.20E-13  7.50E-14  4.35E-14  1.83E-14  8.48E-15
             3.59E-15  1.04E-15  3.88E-16  1.41E-16  3.63E-17  1.29E-17  4.58E-18  1.16E-18  4.11E-19
   143       1.19E-12  8.41E-13  5.27E-13  3.67E-13  2.51E-13  1.46E-13  9.16E-14  5.32E-14  2.24E-14  1.04E-14
             4.38E-15  1.27E-15  4.74E-16  1.72E-16  4.44E-17  1.58E-17  5.60E-18  1.42E-18  5.02E-19
   144       7.59E-13  5.35E-13  3.35E-13  2.33E-13  1.60E-13  9.31E-14  5.83E-14  3.39E-14  1.43E-14  6.59E-15
             2.79E-15  8.08E-16  3.01E-16  1.10E-16  2.83E-17  1.01E-17  3.57E-18  9.04E-19  3.20E-19
   145       9.76E-13  6.88E-13  4.31E-13  3.00E-13  2.06E-13  1.20E-13  7.50E-14  4.35E-14  1.83E-14  8.48E-15
             3.59E-15  1.04E-15  3.88E-16  1.41E-16  3.63E-17  1.29E-17  4.58E-18  1.16E-18  4.11E-19
   146       1.19E-12  8.41E-13  5.27E-13  3.67E-13  2.51E-13  1.46E-13  9.16E-14  5.32E-14  2.24E-14  1.04E-14
             4.38E-15  1.27E-15  4.74E-16  1.72E-16  4.44E-17  1.58E-17  5.60E-18  1.42E-18  5.02E-19
   147       1.41E-12  9.94E-13  6.22E-13  4.33E-13  2.97E-13  1.73E-13  1.08E-13  6.29E-14  2.65E-14  1.22E-14
             5.18E-15  1.50E-15  5.60E-16  2.04E-16  5.25E-17  1.87E-17  6.62E-18  1.68E-18  5.94E-19
   148       2.69E-13  1.89E-13  1.18E-13  8.10E-14  5.46E-14  3.03E-14  1.79E-14  9.68E-15  3.65E-15  1.56E-15
             6.23E-16  1.71E-16  6.25E-17  2.24E-17  5.73E-18  2.03E-18  7.20E-19  1.82E-19  6.45E-20
   149       3.45E-13  2.43E-13  1.51E-13  1.04E-13  7.01E-14  3.90E-14  2.31E-14  1.24E-14  4.70E-15  2.01E-15
             8.01E-16  2.20E-16  8.03E-17  2.88E-17  7.37E-18  2.61E-18  9.26E-19  2.34E-19  8.29E-20
   150       4.22E-13  2.97E-13  1.85E-13  1.27E-13  8.57E-14  4.76E-14  2.82E-14  1.52E-14  5.74E-15  2.46E-15
             9.79E-16  2.69E-16  9.82E-17  3.53E-17  9.01E-18  3.20E-18  1.13E-18  2.87E-19  1.01E-19
   151       4.99E-13  3.51E-13  2.18E-13  1.50E-13  1.01E-13  5.63E-14  3.33E-14  1.80E-14  6.78E-15  2.91E-15
             1.16E-15  3.18E-16  1.16E-16  4.17E-17  1.06E-17  3.78E-18  1.34E-18  3.39E-19  1.20E-19
   152       3.45E-13  2.43E-13  1.51E-13  1.04E-13  7.01E-14  3.90E-14  2.31E-14  1.24E-14  4.70E-15  2.01E-15
             8.01E-16  2.20E-16  8.03E-17  2.88E-17  7.37E-18  2.61E-18  9.26E-19  2.34E-19  8.29E-20
   153       4.22E-13  2.97E-13  1.85E-13  1.27E-13  8.57E-14  4.76E-14  2.82E-14  1.52E-14  5.74E-15  2.46E-15
             9.79E-16  2.69E-16  9.82E-17  3.53E-17  9.01E-18  3.20E-18  1.13E-18  2.87E-19  1.01E-19
   154       4.99E-13  3.51E-13  2.18E-13  1.50E-13  1.01E-13  5.63E-14  3.33E-14  1.80E-14  6.78E-15  2.91E-15
             1.16E-15  3.18E-16  1.16E-16  4.17E-17  1.06E-17  3.78E-18  1.34E-18  3.39E-19  1.20E-19
   155       5.76E-13  4.05E-13  2.52E-13  1.74E-13  1.17E-13  6.49E-14  3.84E-14  2.07E-14  7.83E-15  3.35E-15
             1.34E-15  3.67E-16  1.34E-16  4.81E-17  1.23E-17  4.36E-18  1.54E-18  3.91E-19  1.38E-19
   157       1.33E-18  9.38E-19  5.97E-19  4.25E-19  3.06E-19  2.02E-19  1.51E-19  1.15E-19  8.15E-20  6.21E-20
             4.59E-20  2.87E-20  1.88E-20  1.15E-20  5.34E-21  2.74E-21  1.31E-21  4.53E-22  1.90E-22
   158       2.28E-18  1.61E-18  1.03E-18  7.31E-19  5.25E-19  3.45E-19  2.57E-19  1.94E-19  1.32E-19  9.50E-20
             6.37E-20  3.27E-20  1.76E-20  8.63E-21  2.95E-21  1.21E-21  4.74E-22  1.30E-22  4.73E-23
   159       1.98E-17  1.41E-17  8.93E-18  6.37E-18  4.58E-18  3.01E-18  2.24E-18  1.70E-18  1.16E-18  8.35E-19
             5.61E-19  2.88E-19  1.55E-19  7.61E-20  2.61E-20  1.07E-20  4.18E-21  1.14E-21  4.18E-22
   160       9.03E-18  6.39E-18  4.07E-18  2.90E-18  2.08E-18  1.37E-18  1.02E-18  7.75E-19  5.32E-19  3.83E-19
             2.58E-19  1.33E-19  7.15E-20  3.51E-20  1.20E-20  4.93E-21  1.93E-21  5.27E-22  1.93E-22
   161       2.35E-18  1.66E-18  1.06E-18  7.53E-19  5.41E-19  3.57E-19  2.66E-19  2.01E-19  1.38E-19  9.97E-20
             6.70E-20  3.45E-20  1.86E-20  9.12E-21  3.12E-21  1.28E-21  5.01E-22  1.37E-22  5.01E-23
   162       5.54E-13  3.92E-13  2.48E-13  1.75E-13  1.23E-13  7.77E-14  5.45E-14  3.80E-14  2.33E-14  1.58E-14
             1.06E-14  6.00E-15  3.73E-15  2.20E-15  9.97E-16  5.06E-16  2.40E-16  8.23E-17  3.45E-17
   163       3.32E-13  2.35E-13  1.48E-13  1.05E-13  7.40E-14  4.65E-14  3.27E-14  2.28E-14  1.40E-14  9.50E-15
             6.36E-15  3.60E-15  2.24E-15  1.32E-15  5.98E-16  3.03E-16  1.44E-16  4.94E-17  2.07E-17
   164       4.65E-18  3.29E-18  2.09E-18  1.49E-18  1.06E-18  6.90E-19  5.01E-19  3.61E-19  2.20E-19  1.39E-19
             7.90E-20  3.18E-20  1.43E-20  5.91E-21  1.69E-21  6.28E-22  2.28E-22  5.89E-23  2.09E-23
   165       1.40E-17  9.89E-18  6.28E-18  4.47E-18  3.20E-18  2.08E-18  1.51E-18  1.09E-18  6.64E-19  4.19E-19
             2.39E-19  9.62E-20  4.31E-20  1.79E-20  5.12E-21  1.90E-21  6.91E-22  1.78E-22  6.34E-23
   166       6.50E-18  4.60E-18  2.92E-18  2.08E-18  1.49E-18  9.66E-19  7.02E-19  5.06E-19  3.10E-19  1.95E-19
             1.11E-19  4.48E-20  2.01E-20  8.34E-21  2.39E-21  8.87E-22  3.22E-22  8.31E-23  2.96E-23
   167       4.60E-17  3.25E-17  2.07E-17  1.47E-17  1.05E-17  6.83E-18  4.96E-18  3.58E-18  2.19E-18  1.38E-18
             7.87E-19  3.17E-19  1.42E-19  5.89E-20  1.69E-20  6.27E-21  2.28E-21  5.87E-22  2.09E-22
   168       3.85E-13  2.72E-13  1.72E-13  1.22E-13  8.57E-14  5.38E-14  3.76E-14  2.59E-14  1.54E-14  9.94E-15
             6.10E-15  2.87E-15  1.48E-15  7.04E-16  2.35E-16  9.56E-17  3.71E-17  1.01E-17  3.68E-18
   169       6.42E-13  4.53E-13  2.87E-13  2.02E-13  1.43E-13  8.96E-14  6.25E-14  4.32E-14  2.56E-14  1.66E-14
             1.02E-14  4.79E-15  2.47E-15  1.17E-15  3.92E-16  1.59E-16  6.18E-17  1.68E-17  6.13E-18
   170       8.83E-13  6.24E-13  3.95E-13  2.79E-13  1.97E-13  1.24E-13  8.63E-14  5.97E-14  3.55E-14  2.30E-14
             1.41E-14  6.68E-15  3.45E-15  1.64E-15  5.48E-16  2.23E-16  8.64E-17  2.35E-17  8.57E-18
   171       3.78E-13  2.67E-13  1.69E-13  1.19E-13  8.42E-14  5.29E-14  3.70E-14  2.56E-14  1.52E-14  9.87E-15
             6.06E-15  2.86E-15  1.48E-15  7.03E-16  2.35E-16  9.54E-17  3.70E-17  1.01E-17  3.67E-18
   172       6.29E-13  4.45E-13  2.81E-13  1.98E-13  1.40E-13  8.80E-14  6.15E-14  4.26E-14  2.53E-14  1.64E-14
             1.01E-14  4.77E-15  2.46E-15  1.17E-15  3.91E-16  1.59E-16  6.17E-17  1.68E-17  6.12E-18
   173       1.24E-13  8.78E-14  5.55E-14  3.92E-14  2.77E-14  1.74E-14  1.22E-14  8.44E-15  5.03E-15  3.27E-15
             2.01E-15  9.51E-16  4.91E-16  2.34E-16  7.81E-17  3.18E-17  1.23E-17  3.35E-18  1.22E-18
   174       2.66E-18  1.88E-18  1.19E-18  8.44E-19  5.98E-19  3.78E-19  2.63E-19  1.76E-19  9.31E-20  5.10E-20
             2.50E-20  8.35E-21  3.34E-21  1.27E-21  3.38E-22  1.22E-22  4.34E-23  1.10E-23  3.91E-24
   175       2.64E-18  1.87E-18  1.18E-18  8.38E-19  5.94E-19  3.75E-19  2.61E-19  1.75E-19  9.25E-20  5.07E-20
             2.48E-20  8.30E-21  3.32E-21  1.26E-21  3.36E-22  1.21E-22  4.31E-23  1.10E-23  3.89E-24
   176       6.08E-18  4.30E-18  2.72E-18  1.93E-18  1.37E-18  8.63E-19  6.01E-19  4.03E-19  2.13E-19  1.17E-19
             5.71E-20  1.91E-20  7.64E-21  2.91E-21  7.72E-22  2.78E-22  9.92E-23  2.52E-23  8.94E-24
   177       2.79E-18  1.98E-18  1.25E-18  8.86E-19  6.28E-19  3.97E-19  2.76E-19  1.85E-19  9.79E-20  5.36E-20
             2.63E-20  8.78E-21  3.51E-21  1.34E-21  3.55E-22  1.28E-22  4.56E-23  1.16E-23  4.11E-24
   186       1.40E-13  9.90E-14  6.24E-14  4.40E-14  3.09E-14  1.91E-14  1.30E-14  8.61E-15  4.63E-15  2.67E-15
             1.41E-15  5.29E-16  2.29E-16  9.30E-17  2.61E-17  9.65E-18  3.50E-18  8.98E-19  3.19E-19
   187       4.19E-13  2.96E-13  1.87E-13  1.32E-13  9.24E-14  5.71E-14  3.90E-14  2.58E-14  1.39E-14  7.99E-15
             4.23E-15  1.59E-15  6.88E-16  2.79E-16  7.84E-17  2.89E-17  1.05E-17  2.69E-18  9.58E-19
   188       9.77E-13  6.90E-13  4.35E-13  3.07E-13  2.15E-13  1.33E-13  9.07E-14  6.01E-14  3.23E-14  1.86E-14
             9.86E-15  3.70E-15  1.60E-15  6.50E-16  1.83E-16  6.75E-17  2.44E-17  6.28E-18  2.23E-18
   189       6.97E-13  4.92E-13  3.11E-13  2.19E-13  1.53E-13  9.49E-14  6.48E-14  4.29E-14  2.31E-14  1.33E-14
             7.04E-15  2.64E-15  1.15E-15  4.64E-16  1.31E-16  4.82E-17  1.75E-17  4.49E-18  1.59E-18
   190       1.25E-12  8.84E-13  5.58E-13  3.93E-13  2.76E-13  1.70E-13  1.16E-13  7.71E-14  4.15E-14  2.39E-14
             1.27E-14  4.75E-15  2.06E-15  8.35E-16  2.35E-16  8.67E-17  3.14E-17  8.07E-18  2.87E-18
   191       6.94E-13  4.90E-13  3.09E-13  2.18E-13  1.53E-13  9.46E-14  6.45E-14  4.28E-14  2.30E-14  1.33E-14
             7.03E-15  2.64E-15  1.14E-15  4.64E-16  1.30E-16  4.81E-17  1.74E-17  4.48E-18  1.59E-18
   192       9.69E-13  6.84E-13  4.32E-13  3.04E-13  2.14E-13  1.32E-13  9.02E-14  5.97E-14  3.22E-14  1.86E-14
             9.83E-15  3.69E-15  1.60E-15  6.49E-16  1.82E-16  6.74E-17  2.44E-17  6.27E-18  2.23E-18
   193       4.12E-13  2.91E-13  1.84E-13  1.29E-13  9.07E-14  5.62E-14  3.84E-14  2.54E-14  1.37E-14  7.92E-15
             4.20E-15  1.58E-15  6.84E-16  2.77E-16  7.80E-17  2.88E-17  1.04E-17  2.68E-18  9.54E-19
   194       3.76E-13  2.66E-13  1.67E-13  1.17E-13  8.14E-14  4.91E-14  3.22E-14  2.01E-14  9.53E-15  4.86E-15
             2.26E-15  7.19E-16  2.81E-16  1.06E-16  2.78E-17  9.97E-18  3.55E-18  9.03E-19  3.20E-19
   195       1.13E-12  7.95E-13  5.00E-13  3.51E-13  2.44E-13  1.47E-13  9.66E-14  6.01E-14  2.86E-14  1.46E-14
             6.76E-15  2.15E-15  8.43E-16  3.16E-16  8.34E-17  2.99E-17  1.07E-17  2.71E-18  9.59E-19
   196       6.26E-13  4.42E-13  2.78E-13  1.95E-13  1.35E-13  8.16E-14  5.36E-14  3.34E-14  1.59E-14  8.10E-15
             3.76E-15  1.20E-15  4.68E-16  1.76E-16  4.63E-17  1.66E-17  5.92E-18  1.50E-18  5.33E-19
   197       8.75E-13  6.17E-13  3.88E-13  2.72E-13  1.89E-13  1.14E-13  7.50E-14  4.67E-14  2.22E-14  1.13E-14
             5.25E-15  1.67E-15  6.55E-16  2.46E-16  6.48E-17  2.32E-17  8.28E-18  2.10E-18  7.45E-19
   198       1.37E-12  9.70E-13  6.10E-13  4.28E-13  2.98E-13  1.79E-13  1.18E-13  7.34E-14  3.49E-14  1.78E-14
             8.26E-15  2.63E-15  1.03E-15  3.86E-16  1.02E-16  3.65E-17  1.30E-17  3.31E-18  1.17E-18
   199       8.73E-13  6.16E-13  3.88E-13  2.72E-13  1.89E-13  1.14E-13  7.49E-14  4.67E-14  2.22E-14  1.13E-14
             5.25E-15  1.67E-15  6.55E-16  2.46E-16  6.47E-17  2.32E-17  8.27E-18  2.10E-18  7.45E-19
   200       6.24E-13  4.40E-13  2.77E-13  1.94E-13  1.35E-13  8.14E-14  5.35E-14  3.33E-14  1.58E-14  8.08E-15
             3.75E-15  1.20E-15  4.68E-16  1.76E-16  4.62E-17  1.66E-17  5.91E-18  1.50E-18  5.32E-19
   201       1.12E-12  7.92E-13  4.98E-13  3.49E-13  2.43E-13  1.46E-13  9.62E-14  5.99E-14  2.85E-14  1.45E-14
             6.75E-15  2.15E-15  8.42E-16  3.16E-16  8.32E-17  2.99E-17  1.06E-17  2.70E-18  9.57E-19
   202       4.77E-13  3.36E-13  2.11E-13  1.47E-13  1.01E-13  5.85E-14  3.66E-14  2.13E-14  8.94E-15  4.13E-15
             1.75E-15  5.06E-16  1.89E-16  6.86E-17  1.77E-17  6.29E-18  2.23E-18  5.65E-19  2.00E-19
   203       6.68E-13  4.71E-13  2.95E-13  2.05E-13  1.41E-13  8.19E-14  5.13E-14  2.98E-14  1.25E-14  5.78E-15
             2.44E-15  7.08E-16  2.64E-16  9.61E-17  2.47E-17  8.80E-18  3.12E-18  7.91E-19  2.80E-19
   204       8.59E-13  6.05E-13  3.79E-13  2.64E-13  1.81E-13  1.05E-13  6.59E-14  3.83E-14  1.61E-14  7.43E-15
             3.14E-15  9.10E-16  3.39E-16  1.23E-16  3.18E-17  1.13E-17  4.01E-18  1.02E-18  3.60E-19
   205       1.05E-12  7.39E-13  4.63E-13  3.22E-13  2.21E-13  1.29E-13  8.06E-14  4.68E-14  1.97E-14  9.08E-15
             3.84E-15  1.11E-15  4.15E-16  1.51E-16  3.89E-17  1.38E-17  4.91E-18  1.24E-18  4.40E-19
   206       6.68E-13  4.71E-13  2.95E-13  2.05E-13  1.41E-13  8.19E-14  5.13E-14  2.98E-14  1.25E-14  5.78E-15
             2.44E-15  7.08E-16  2.64E-16  9.61E-17  2.47E-17  8.80E-18  3.12E-18  7.91E-19  2.80E-19
   207       8.59E-13  6.05E-13  3.79E-13  2.64E-13  1.81E-13  1.05E-13  6.59E-14  3.83E-14  1.61E-14  7.43E-15
             3.14E-15  9.10E-16  3.39E-16  1.23E-16  3.18E-17  1.13E-17  4.01E-18  1.02E-18  3.60E-19
   208       1.05E-12  7.39E-13  4.63E-13  3.22E-13  2.21E-13  1.29E-13  8.06E-14  4.68E-14  1.97E-14  9.08E-15
             3.84E-15  1.11E-15  4.15E-16  1.51E-16  3.89E-17  1.38E-17  4.91E-18  1.24E-18  4.40E-19
   209       1.24E-12  8.74E-13  5.47E-13  3.81E-13  2.61E-13  1.52E-13  9.52E-14  5.53E-14  2.32E-14  1.07E-14
             4.54E-15  1.31E-15  4.90E-16  1.78E-16  4.60E-17  1.63E-17  5.80E-18  1.47E-18  5.20E-19
   210       3.77E-13  2.65E-13  1.65E-13  1.14E-13  7.65E-14  4.25E-14  2.52E-14  1.36E-14  5.12E-15  2.19E-15
             8.73E-16  2.40E-16  8.75E-17  3.14E-17  8.03E-18  2.85E-18  1.01E-18  2.55E-19  9.03E-20
   211       4.84E-13  3.40E-13  2.12E-13  1.46E-13  9.84E-14  5.46E-14  3.23E-14  1.74E-14  6.58E-15  2.82E-15
             1.12E-15  3.08E-16  1.12E-16  4.04E-17  1.03E-17  3.66E-18  1.30E-18  3.28E-19  1.16E-19
   212       5.92E-13  4.16E-13  2.59E-13  1.79E-13  1.20E-13  6.68E-14  3.95E-14  2.13E-14  8.04E-15  3.44E-15
             1.37E-15  3.77E-16  1.37E-16  4.94E-17  1.26E-17  4.47E-18  1.58E-18  4.01E-19  1.42E-19
   213       6.99E-13  4.92E-13  3.06E-13  2.11E-13  1.42E-13  7.89E-14  4.67E-14  2.52E-14  9.50E-15  4.07E-15
             1.62E-15  4.46E-16  1.62E-16  5.83E-17  1.49E-17  5.29E-18  1.87E-18  4.74E-19  1.68E-19
   214       4.84E-13  3.40E-13  2.12E-13  1.46E-13  9.84E-14  5.46E-14  3.23E-14  1.74E-14  6.58E-15  2.82E-15
             1.12E-15  3.08E-16  1.12E-16  4.04E-17  1.03E-17  3.66E-18  1.30E-18  3.28E-19  1.16E-19
   215       5.92E-13  4.16E-13  2.59E-13  1.79E-13  1.20E-13  6.68E-14  3.95E-14  2.13E-14  8.04E-15  3.44E-15
             1.37E-15  3.77E-16  1.37E-16  4.94E-17  1.26E-17  4.47E-18  1.58E-18  4.01E-19  1.42E-19
   216       6.99E-13  4.92E-13  3.06E-13  2.11E-13  1.42E-13  7.89E-14  4.67E-14  2.52E-14  9.50E-15  4.07E-15
             1.62E-15  4.46E-16  1.62E-16  5.83E-17  1.49E-17  5.29E-18  1.87E-18  4.74E-19  1.68E-19
   217       8.07E-13  5.67E-13  3.53E-13  2.43E-13  1.64E-13  9.11E-14  5.39E-14  2.91E-14  1.10E-14  4.70E-15
             1.87E-15  5.14E-16  1.87E-16  6.73E-17  1.72E-17  6.10E-18  2.16E-18  5.47E-19  1.94E-19
   218       1.46E-13  1.02E-13  6.32E-14  4.30E-14  2.83E-14  1.49E-14  8.30E-15  4.17E-15  1.44E-15  5.82E-16
             2.23E-16  5.95E-17  2.14E-17  7.65E-18  1.95E-18  6.89E-19  2.44E-19  6.18E-20  2.18E-20
   219       1.78E-13  1.25E-13  7.72E-14  5.25E-14  3.46E-14  1.82E-14  1.01E-14  5.10E-15  1.76E-15  7.12E-16
             2.73E-16  7.27E-17  2.62E-17  9.35E-18  2.38E-18  8.43E-19  2.98E-19  7.55E-20  2.67E-20
   220       2.11E-13  1.48E-13  9.13E-14  6.21E-14  4.08E-14  2.15E-14  1.20E-14  6.02E-15  2.08E-15  8.41E-16
             3.22E-16  8.59E-17  3.09E-17  1.10E-17  2.81E-18  9.96E-19  3.52E-19  8.92E-20  3.15E-20
   221       2.43E-13  1.71E-13  1.05E-13  7.16E-14  4.71E-14  2.48E-14  1.38E-14  6.95E-15  2.39E-15  9.71E-16
             3.72E-16  9.91E-17  3.57E-17  1.27E-17  3.24E-18  1.15E-18  4.07E-19  1.03E-19  3.64E-20
   222       1.78E-13  1.25E-13  7.72E-14  5.25E-14  3.46E-14  1.82E-14  1.01E-14  5.10E-15  1.76E-15  7.12E-16
             2.73E-16  7.27E-17  2.62E-17  9.35E-18  2.38E-18  8.43E-19  2.98E-19  7.55E-20  2.67E-20
   223       2.11E-13  1.48E-13  9.13E-14  6.21E-14  4.08E-14  2.15E-14  1.20E-14  6.02E-15  2.08E-15  8.41E-16
             3.22E-16  8.59E-17  3.09E-17  1.10E-17  2.81E-18  9.96E-19  3.52E-19  8.92E-20  3.15E-20
   224       2.43E-13  1.71E-13  1.05E-13  7.16E-14  4.71E-14  2.48E-14  1.38E-14  6.95E-15  2.39E-15  9.71E-16
             3.72E-16  9.91E-17  3.57E-17  1.27E-17  3.24E-18  1.15E-18  4.07E-19  1.03E-19  3.64E-20
   225       2.76E-13  1.93E-13  1.19E-13  8.12E-14  5.34E-14  2.81E-14  1.57E-14  7.88E-15  2.71E-15  1.10E-15
             4.21E-16  1.12E-16  4.05E-17  1.44E-17  3.68E-18  1.30E-18  4.61E-19  1.17E-19  4.13E-20
   226       3.88E-13  2.74E-13  1.73E-13  1.22E-13  8.63E-14  5.42E-14  3.79E-14  2.63E-14  1.60E-14  1.08E-14
             7.17E-15  4.03E-15  2.50E-15  1.47E-15  6.65E-16  3.37E-16  1.60E-16  5.48E-17  2.30E-17
   227       2.32E-13  1.64E-13  1.04E-13  7.33E-14  5.17E-14  3.24E-14  2.27E-14  1.57E-14  9.57E-15  6.47E-15
             4.30E-15  2.42E-15  1.50E-15  8.83E-16  3.99E-16  2.02E-16  9.60E-17  3.29E-17  1.38E-17
   228       2.68E-13  1.90E-13  1.20E-13  8.46E-14  5.96E-14  3.73E-14  2.60E-14  1.79E-14  1.05E-14  6.77E-15
             4.14E-15  1.94E-15  9.99E-16  4.74E-16  1.58E-16  6.43E-17  2.49E-17  6.78E-18  2.47E-18
