SEQ='NE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 676174037.2   NPRNTI= 2   NPRNTF= 2
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 1.5)        0.0 
     2          2S2 2P5             (2)1( 0.5)   827428.5 

   IC RESOLVED LEVEL INDEXING           BWNR= 710508777.7   NLVL= 337
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    84     1    2S2 2P5 5F1         (3)2( 2.0) 29532807.5 
    85     1    2S2 2P5 5F1         (3)3( 3.0) 29536648.1 
    86     1    2S2 2P5 5F1         (3)4( 5.0) 29537029.4 
    87     1    2S2 2P5 5F1         (1)2( 2.0) 29540345.0 
    88     1    2S2 2P5 5F1         (1)3( 3.0) 29540398.5 
    89     1    2S2 2P5 5F1         (3)3( 4.0) 29542901.9 
    90     1    2S2 2P5 5G1         (1)*( 2.0) 29548294.9 
    91     1    2S2 2P5 5G1         (1)*( 3.0) 29548294.9 
    92     1    2S2 2P5 5G1         (1)*( 4.0) 29548294.9 
    93     1    2S2 2P5 5G1         (1)*( 5.0) 29548294.9 
    94     1    2S2 2P5 5G1         (1)*( 3.0) 29548294.9 
    95     1    2S2 2P5 5G1         (1)*( 4.0) 29548294.9 
    96     1    2S2 2P5 5G1         (1)*( 5.0) 29548294.9 
    97     1    2S2 2P5 5G1         (1)*( 6.0) 29548294.9 
    98     2    2S2 2P5 5S1         (3)1( 0.0) 29999519.1 
    99     2    2S2 2P5 5S1         (3)1( 1.0) 30002106.2 
   100     2    2S2 2P5 5P1         (3)2( 1.0) 30108166.5 
   101     2    2S2 2P5 5P1         (3)1( 0.0) 30131397.3 
   102     2    2S2 2P5 5P1         (3)1( 1.0) 30151429.1 
   103     2    2S2 2P5 5P1         (1)2( 2.0) 30153581.3 
   104     2    2S2 2P5 5D1         (3)3( 2.0) 30276837.8 
   105     2    2S2 2P5 5D1         (3)1( 2.0) 30289443.6 
   106     2    2S2 2P5 5D1         (1)3( 3.0) 30292315.4 
   107     2    2S2 2P5 5D1         (3)2( 1.0) 30294596.4 
   108     2    2S2 2P5 5F1         (3)4( 3.0) 30360677.9 
   109     2    2S2 2P5 5F1         (3)3( 2.0) 30362894.5 
   110     2    2S2 2P5 5F1         (3)2( 3.0) 30366384.9 
   111     2    2S2 2P5 5F1         (1)4( 4.0) 30366961.3 
   112     2    2S2 2P5 5G1         (1)*( 3.0) 30375723.5 
   113     2    2S2 2P5 5G1         (1)*( 4.0) 30375723.5 
   114     2    2S2 2P5 5G1         (1)*( 4.0) 30375723.5 
   115     2    2S2 2P5 5G1         (1)*( 5.0) 30375723.5 
   116     1    2S2 2P5 6S1         (3)1( 2.0) 30796051.8 
   117     1    2S2 2P5 6S1         (1)1( 1.0) 30798869.5 
