SEQ='C '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 523528949.8   NPRNTI= 5   NPRNTF=15
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    76     6    2S1 2P2 3P1         (3)3( 2.0) 25378881.4 
    77     6    2S1 2P2 3P1         (3)1( 0.0) 25411612.4 
    78     5    2S1 2P2 3P1         (1)3( 3.0) 25425467.3 
    79     6    2S1 2P2 3P1         (1)1( 1.0) 25437557.1 
    80     4    2S1 2P2 3D1         (5)2( 0.0) 25459374.5 
    81     4    2S1 2P2 3D1         (5)2( 1.0) 25464350.8 
    82     4    2S1 2P2 3D1         (5)3( 2.0) 25467330.2 
    83     4    2S1 2P2 3D1         (5)3( 3.0) 25500110.7 
    84     4    2S1 2P2 3D1         (5)3( 4.0) 25516722.6 
    85     6    2S1 2P2 3P1         (3)2( 1.0) 25552548.6 
    86     8    2S1 2P2 3S1         (3)2( 3.0) 25582151.9 
    87     4    2S1 2P2 3D1         (3)1( 2.0) 25626121.7 
    88     6    2S1 2P2 3P1         (3)3( 3.0) 25654021.3 
    89     4    2S1 2P2 3D1         (3)3( 3.0) 25658596.7 
    90     5    2S1 2P2 3D1         (5)2( 4.0) 25659838.6 
    91     6    2S1 2P2 3P1         (1)2( 2.0) 25666861.0 
    92     8    2S1 2P2 3S1         (1)2( 2.0) 25682460.5 
    93     4    2S1 2P2 3D1         (3)1( 1.0) 25702968.6 
    94     7    2S1 2P2 3P1         (3)1( 0.0) 25711402.2 
    95     5    2S1 2P2 3D1         (5)3( 5.0) 25712644.0 
    96     7    2S1 2P2 3P1         (3)1( 1.0) 25724971.1 
    97     7    2S1 2P2 3P1         (3)2( 2.0) 25727178.3 
    98     5    2S1 2P2 3D1         (5)2( 3.0) 25735804.0 
    99     5    2S1 2P2 3D1         (5)1( 2.0) 25736233.0 
   100     5    2S1 2P2 3D1         (5)1( 1.0) 25754270.9 
   101     7    2S1 2P2 3P1         (3)1( 1.0) 25756683.5 
   102     5    2S1 2P2 3D1         (3)2( 2.0) 25840363.0 
   103     5    2S1 2P2 3D1         (3)2( 3.0) 25855942.6 
   104     5    2S1 2P2 3D1         (1)4( 4.0) 25890681.4 
   105     5    2S1 2P2 3D1         (3)2( 1.0) 25898349.8 
   106     5    2S1 2P2 3D1         (3)1( 0.0) 25910313.8 
   107     6    2S1 2P2 3D1         (3)4( 3.0) 25976978.5 
   108     8    2S1 2P2 3P1         (3)1( 2.0) 25998809.1 
   109     9    2S1 2P2 3S1         (3)0( 1.0) 26015038.3 
   110     6    2S1 2P2 3D1         (3)3( 2.0) 26018178.1 
   111     8    2S1 2P2 3P1         (3)2( 3.0) 26030308.8 
   112     6    2S1 2P2 3D1         (3)2( 1.0) 26040008.3 
   113    10    2S1 2P2 3S1         (3)1( 2.0) 26070021.6 
   114    11    2P3 3S1             (3)2( 2.0) 26076591.6 
   115     6    2S1 2P2 3D1         (3)4( 4.0) 26092974.8 
   116     6    2S1 2P2 3D1         (3)2( 1.0) 26098039.2 
   117     6    2S1 2P2 3D1         (3)2( 3.0) 26099011.1 
   118     6    2S1 2P2 3D1         (3)3( 2.0) 26117338.4 
   119    11    2P3 3S1             (3)2( 1.0) 26125459.6 
   120     9    2S1 2P2 3S1         (1)0( 0.0) 26131585.0 
   121     6    2S1 2P2 3D1         (3)1( 0.0) 26134540.5 
   122     7    2S1 2P2 3D1         (3)1( 2.0) 26149027.3 
   123     7    2S1 2P2 3D1         (3)1( 1.0) 26160511.9 
   124     7    2S1 2P2 3D1         (3)3( 3.0) 26161431.3 
   125     8    2S1 2P2 3P1         (3)2( 3.0) 26174882.5 
   126     8    2S1 2P2 3P1         (3)3( 4.0) 26175560.0 
   127     7    2S1 2P2 3D1         (3)1( 2.0) 26188016.1 
   128     8    2S1 2P2 3P1         (3)1( 1.0) 26234956.9 
   129     8    2S1 2P2 3P1         (3)1( 2.0) 26343969.8 
   130    11    2P3 3P1             (5)1( 2.0) 26404352.4 
   131     9    2S1 2P2 3P1         (3)1( 0.0) 26410867.8 
   132     9    2S1 2P2 3P1         (3)1( 1.0) 26434769.5 
   133     9    2S1 2P2 3P1         (3)0( 1.0) 26444713.9 
   134     9    2S1 2P2 3P1         (3)2( 2.0) 26457368.3 
   135     8    2S1 2P2 3D1         (3)3( 4.0) 26574105.4 
   136     8    2S1 2P2 3D1         (3)2( 3.0) 26579382.9 
   137     8    2S1 2P2 3D1         (3)2( 2.0) 26581905.4 
   138     8    2S1 2P2 3D1         (3)4( 5.0) 26586657.3 
   139    10    2S1 2P2 3P1         (1)0( 0.0) 26600638.7 
   140     8    2S1 2P2 3D1         (1)1( 1.0) 26603457.3 
   141    10    2S1 2P2 3P1         (3)2( 3.0) 26620213.3 
   142    10    2S1 2P2 3P1         (3)1( 2.0) 26622416.3 
   143    11    2P3 3P1             (1)3( 3.0) 26641628.6 
   144    11    2P3 3P1             (3)1( 1.0) 26648518.3 
   145     8    2S1 2P2 3D1         (3)3( 4.0) 26650337.6 
   146    10    2S1 2P2 3P1         (1)1( 1.0) 26651621.8 
   147    10    2S1 2P2 3P1         (3)1( 2.0) 26693790.4 
   148     8    2S1 2P2 3D1         (1)0( 0.0) 26699792.5 
