SEQ='N '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 564544527.3   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
    72     7    2S1 2P3 3P1         (4)2( 0.5) 23983349.2 
    73     6    2S2 2P2 3P1         (2)1( 1.5) 24009381.5 
    74     8    2S1 2P3 3S1         (2)2( 1.5) 24033253.2 
    75     4    2S2 2P2 3D1         (2)2( 1.5) 24215018.8 
    76     7    2S1 2P3 3P1         (4)3( 2.5) 24215760.8 
    77     4    2S2 2P2 3D1         (2)3( 3.5) 24216848.6 
    78     5    2S1 2P3 3D1         (6)2( 2.5) 24222561.1 
    79     4    2S2 2P2 3D1         (2)1( 0.5) 24224013.8 
    80     4    2S2 2P2 3D1         (2)2( 2.5) 24224382.0 
    81     5    2S1 2P3 3D1         (6)2( 0.5) 24224729.1 
    82     5    2S1 2P3 3D1         (6)2( 1.5) 24226363.3 
    83     4    2S2 2P2 3D1         (4)3( 4.5) 24233707.2 
    84     5    2S1 2P3 3D1         (6)2( 3.5) 24235946.4 
    85     9    2S1 2P3 3S1         (2)2( 2.5) 24240712.8 
    86     4    2S2 2P2 3D1         (2)3( 3.5) 24261406.2 
    87     7    2S1 2P3 3P1         (4)2( 1.5) 24268394.8 
    88     5    2S1 2P3 3D1         (6)2( 4.5) 24282680.0 
    89     7    2S1 2P3 3P1         (4)1( 0.5) 24287276.8 
    90     4    2S2 2P2 3D1         (2)0( 0.5) 24318849.7 
    91     8    2S1 2P3 3P1         (4)1( 1.5) 24325640.4 
    92     4    2S2 2P2 3D1         (2)1( 1.5) 24367515.7 
    93     8    2S1 2P3 3P1         (2)3( 2.5) 24389929.9 
    94     4    2S2 2P2 3D1         (2)2( 2.5) 24397327.1 
    95     5    2S1 2P3 3D1         (4)2( 2.5) 24403312.9 
    96     5    2S1 2P3 3D1         (4)2( 1.5) 24422719.6 
    97    11    2S1 2P3 3S1         (4)1( 1.5) 24432834.0 
    98     5    2S1 2P3 3D1         (4)2( 3.5) 24473510.5 
    99     6    2S2 2P2 3D1         (2)2( 1.5) 24495705.6 
   100     5    2S1 2P3 3D1         (4)2( 0.5) 24506055.5 
   101     6    2S2 2P2 3D1         (2)2( 2.5) 24518774.3 
   102    12    2S1 2P3 3S1         (2)2( 1.5) 24529778.8 
   103     8    2S1 2P3 3P1         (4)3( 3.5) 24545585.7 
   104    13    2S1 2P3 3S1         (4)0( 1.5) 24558313.0 
   105     8    2S1 2P3 3P1         (4)2( 2.5) 24572255.3 
   106     9    2S1 2P3 3P1         (2)3( 3.5) 24576026.2 
   107     8    2S1 2P3 3P1         (2)1( 0.5) 24624403.7 
   108     7    2S1 2P3 3D1         (4)4( 2.5) 24647431.6 
   109     7    2S1 2P3 3D1         (4)3( 1.5) 24661056.7 
   110     9    2S1 2P3 3P1         (4)1( 2.5) 24669052.3 
   111     7    2S1 2P3 3D1         (4)2( 0.5) 24692021.8 
   112     8    2S1 2P3 3P1         (4)1( 1.5) 24724259.9 
   113     7    2S1 2P3 3D1         (4)2( 3.5) 24739117.5 
   114    10    2S1 2P3 3P1         (4)2( 0.5) 24740501.5 
   115     9    2S1 2P3 3P1         (4)2( 3.5) 24782817.7 
   116     7    2S1 2P3 3D1         (2)2( 2.5) 24784446.9 
   117     7    2S1 2P3 3D1         (4)2( 1.5) 24804157.3 
   118     9    2S1 2P3 3P1         (4)2( 1.5) 24813141.0 
   119    11    2S1 2P3 3P1         (4)1( 0.5) 24830871.4 
   120    10    2S1 2P3 3P1         (2)1( 1.5) 24837644.4 
   121     9    2S1 2P3 3P1         (2)3( 2.5) 24891458.1 
   122    11    2S1 2P3 3P1         (2)2( 1.5) 24930939.8 
   123    11    2S1 2P3 3P1         (2)2( 2.5) 24934221.8 
   124    11    2S1 2P3 3P1         (4)0( 1.5) 25000731.8 
   125     8    2S1 2P3 3D1         (4)2( 1.5) 25002907.1 
   126     8    2S1 2P3 3D1         (4)3( 2.5) 25014622.0 
   127     8    2S1 2P3 3D1         (4)1( 0.5) 25014688.9 
