SEQ='BE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 426200573.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   630287.2 

   LS RESOLVED TERM INDEXING            BWNR= 469748931.7   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    96     1    2S1 6D1             (1)2( 2.0) 38907441.8 
    97     1    2S1 6F1             (3)3(10.0) 38909013.9 
    98     1    2S1 6G1             (3)4(13.0) 38910993.9 
    99     1    2S1 6G1             (1)4( 4.0) 38910993.9 
   100     1    2S1 6H1             (3)5(16.0) 38911458.4 
   101     1    2S1 6H1             (1)5( 5.0) 38911458.4 
   102     1    2S1 6F1             (1)3( 3.0) 38912264.1 
   103     2    2P1 6S1             (3)1( 4.0) 39485502.0 
   104     2    2P1 6S1             (1)1( 1.0) 39490399.9 
   105     2    2P1 6P1             (1)1( 1.0) 39506687.3 
   106     2    2P1 6P1             (3)2( 7.0) 39509964.8 
   107     2    2P1 6P1             (3)0( 1.0) 39514880.9 
   108     2    2P1 6P1             (3)1( 4.0) 39517004.5 
   109     2    2P1 6P1             (1)2( 2.0) 39524666.5 
   110     2    2P1 6D1             (1)2( 2.0) 39526517.7 
   111     2    2P1 6D1             (3)3(10.0) 39527225.1 
   112     2    2P1 6D1             (3)2( 7.0) 39534021.3 
   113     2    2P1 6D1             (3)1( 4.0) 39535955.5 
   114     2    2P1 6P1             (1)0( 0.0) 39536159.6 
   115     2    2P1 6F1             (1)3( 3.0) 39536560.3 
   116     2    2P1 6F1             (3)3(10.0) 39537557.1 
   117     2    2P1 6F1             (3)4(13.0) 39540535.0 
   118     2    2P1 6G1             (3)3(10.0) 39541281.1 
   119     2    2P1 6G1             (1)3( 3.0) 39541281.1 
   120     2    2P1 6G1             (3)4(13.0) 39541281.1 
   121     2    2P1 6G1             (1)4( 4.0) 39541281.1 
   122     2    2P1 6G1             (3)5(16.0) 39541281.1 
   123     2    2P1 6G1             (1)5( 5.0) 39541281.1 
   124     2    2P1 6H1             (3)4(13.0) 39541745.6 
   125     2    2P1 6H1             (1)4( 4.0) 39541745.6 
   126     2    2P1 6H1             (3)5(16.0) 39541745.6 
   127     2    2P1 6H1             (1)5( 5.0) 39541745.6 
   128     2    2P1 6H1             (3)6(19.0) 39541745.6 
   129     2    2P1 6H1             (1)6( 6.0) 39541745.6 
   130     2    2P1 6F1             (3)2( 7.0) 39543670.6 
   131     2    2P1 6F1             (1)4( 4.0) 39545325.7 
   132     2    2P1 6F1             (1)2( 2.0) 39546300.2 
   133     2    2P1 6D1             (1)1( 1.0) 39547741.8 
   134     2    2P1 6D1             (1)3( 3.0) 39548201.4 
   135     1    2S1 7S1             (3)0( 1.0) 40103232.5 
   136     1    2S1 7S1             (1)0( 0.0) 40109673.5 
   137     1    2S1 7P1             (3)1( 4.0) 40122348.8 
   138     1    2S1 7P1             (1)1( 1.0) 40124973.5 
   139     1    2S1 7D1             (3)2( 7.0) 40133778.8 
   140     1    2S1 7D1             (1)2( 2.0) 40139020.4 
   141     1    2S1 7F1             (3)3(10.0) 40140077.7 
   142     1    2S1 7G1             (3)4(13.0) 40141415.8 
   143     1    2S1 7G1             (1)4( 4.0) 40141415.8 
   144     1    2S1 7H1             (3)5(16.0) 40141708.3 
   145     1    2S1 7H1             (1)5( 5.0) 40141708.3 
   146     1    2S1 7I1             (3)6(19.0) 40141839.0 
   147     1    2S1 7I1             (1)6( 6.0) 40141839.0 
   148     1    2S1 7F1             (1)3( 3.0) 40142181.9 
   149     2    2P1 7S1             (3)1( 4.0) 40736731.1 
   150     2    2P1 7S1             (1)1( 1.0) 40739733.8 
   151     2    2P1 7P1             (1)1( 1.0) 40750163.6 
   152     2    2P1 7P1             (3)2( 7.0) 40752183.3 
   153     2    2P1 7P1             (3)0( 1.0) 40755212.8 
   154     2    2P1 7P1             (3)1( 4.0) 40756415.6 
   155     2    2P1 7P1             (1)2( 2.0) 40761135.2 
   156     2    2P1 7D1             (1)2( 2.0) 40762534.5 
   157     2    2P1 7D1             (3)3(10.0) 40762984.2 
   158     2    2P1 7D1             (3)2( 7.0) 40767102.5 
   159     2    2P1 7P1             (1)0( 0.0) 40768214.5 
   160     2    2P1 7D1             (3)1( 4.0) 40768309.6 
   161     2    2P1 7F1             (1)3( 3.0) 40768730.2 
   162     2    2P1 7F1             (3)3(10.0) 40769379.3 
   163     2    2P1 7F1             (3)4(13.0) 40771123.9 
   164     2    2P1 7G1             (3)3(10.0) 40771703.0 
   165     2    2P1 7G1             (1)3( 3.0) 40771703.0 
   166     2    2P1 7G1             (3)4(13.0) 40771703.0 
   167     2    2P1 7G1             (1)4( 4.0) 40771703.0 
   168     2    2P1 7G1             (3)5(16.0) 40771703.0 
   169     2    2P1 7G1             (1)5( 5.0) 40771703.0 
   170     2    2P1 7H1             (3)4(13.0) 40771995.5 
   171     2    2P1 7H1             (1)4( 4.0) 40771995.5 
   172     2    2P1 7H1             (3)5(16.0) 40771995.5 
   173     2    2P1 7H1             (1)5( 5.0) 40771995.5 
   174     2    2P1 7H1             (3)6(19.0) 40771995.5 
   175     2    2P1 7H1             (1)6( 6.0) 40771995.5 
   176     2    2P1 7I1             (3)5(16.0) 40772126.3 
   177     2    2P1 7I1             (1)5( 5.0) 40772126.3 
   178     2    2P1 7I1             (3)6(19.0) 40772126.3 
   179     2    2P1 7I1             (1)6( 6.0) 40772126.3 
   180     2    2P1 7I1             (3)7(22.0) 40772126.3 
   181     2    2P1 7I1             (1)7( 7.0) 40772126.3 
   182     2    2P1 7F1             (3)2( 7.0) 40773097.6 
   183     2    2P1 7F1             (1)4( 4.0) 40774248.5 
   184     2    2P1 7F1             (1)2( 2.0) 40774816.9 
   185     2    2P1 7D1             (1)1( 1.0) 40775533.8 
   186     2    2P1 7D1             (1)3( 3.0) 40775785.5 
   187     1    2S1 8S1             (3)0( 1.0) 40914500.7 
   188     1    2S1 8S1             (1)0( 0.0) 40918722.2 
   189     1    2S1 8P1             (3)1( 4.0) 40927252.6 
   190     1    2S1 8P1             (1)1( 1.0) 40928984.6 
   191     1    2S1 8D1             (3)2( 7.0) 40934888.0 
   192     1    2S1 8D1             (1)2( 2.0) 40938305.4 
   193     1    2S1 8F1             (3)3(10.0) 40939042.2 
   194     1    2S1 8G1             (3)4(13.0) 40939975.8 
   195     1    2S1 8G1             (1)4( 4.0) 40939975.8 
   196     1    2S1 8H1             (3)5(16.0) 40940171.8 
   197     1    2S1 8H1             (1)5( 5.0) 40940171.8 
   198     1    2S1 8I1             (3)6(19.0) 40940259.4 
   199     1    2S1 8I1             (1)6( 6.0) 40940259.4 
   200     1    2S1 8J1             (3)7(22.0) 40940304.1 
   201     1    2S1 8J1             (1)7( 7.0) 40940304.1 
   202     1    2S1 8F1             (1)3( 3.0) 40940473.0 
   203     2    2P1 8S1             (3)1( 4.0) 41546903.5 
   204     2    2P1 8S1             (1)1( 1.0) 41548880.5 
   205     2    2P1 8P1             (1)1( 1.0) 41555938.2 
   206     2    2P1 8P1             (3)2( 7.0) 41557271.1 
   207     2    2P1 8P1             (3)0( 1.0) 41559270.5 
   208     2    2P1 8P1             (3)1( 4.0) 41560024.9 
   209     2    2P1 8P1             (1)2( 2.0) 41563140.5 
   210     2    2P1 8D1             (1)2( 2.0) 41564175.2 
   211     2    2P1 8D1             (3)3(10.0) 41564477.1 
   212     2    2P1 8D1             (3)2( 7.0) 41567169.9 
   213     2    2P1 8P1             (1)0( 0.0) 41567814.0 
   214     2    2P1 8D1             (3)1( 4.0) 41567972.3 
   215     2    2P1 8F1             (1)3( 3.0) 41568272.1 
   216     2    2P1 8F1             (3)3(10.0) 41568715.1 
   217     2    2P1 8F1             (3)4(13.0) 41569830.5 
   218     2    2P1 8G1             (3)3(10.0) 41570263.0 
   219     2    2P1 8G1             (1)3( 3.0) 41570263.0 
   220     2    2P1 8G1             (3)4(13.0) 41570263.0 
   221     2    2P1 8G1             (1)4( 4.0) 41570263.0 
   222     2    2P1 8G1             (3)5(16.0) 41570263.0 
   223     2    2P1 8G1             (1)5( 5.0) 41570263.0 
   224     2    2P1 8H1             (3)4(13.0) 41570459.0 
   225     2    2P1 8H1             (1)4( 4.0) 41570459.0 
   226     2    2P1 8H1             (3)5(16.0) 41570459.0 
   227     2    2P1 8H1             (1)5( 5.0) 41570459.0 
   228     2    2P1 8H1             (3)6(19.0) 41570459.0 
   229     2    2P1 8H1             (1)6( 6.0) 41570459.0 
   230     2    2P1 8I1             (3)5(16.0) 41570546.6 
   231     2    2P1 8I1             (1)5( 5.0) 41570546.6 
   232     2    2P1 8I1             (3)6(19.0) 41570546.6 
   233     2    2P1 8I1             (1)6( 6.0) 41570546.6 
   234     2    2P1 8I1             (3)7(22.0) 41570546.6 
   235     2    2P1 8I1             (1)7( 7.0) 41570546.6 
   236     2    2P1 8J1             (3)6(19.0) 41570591.3 
   237     2    2P1 8J1             (1)6( 6.0) 41570591.3 
   238     2    2P1 8J1             (3)7(22.0) 41570591.3 
   239     2    2P1 8J1             (1)7( 7.0) 41570591.3 
   240     2    2P1 8J1             (3)8(25.0) 41570591.3 
   241     2    2P1 8J1             (1)8( 8.0) 41570591.3 
   242     2    2P1 8F1             (3)2( 7.0) 41571151.2 
   243     2    2P1 8F1             (1)4( 4.0) 41571965.4 
   244     2    2P1 8F1             (1)2( 2.0) 41572327.7 
   245     2    2P1 8D1             (1)1( 1.0) 41572728.9 
   246     2    2P1 8D1             (1)3( 3.0) 41572882.6 

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (2S)  SPNPRT= 2

   INDX TE=  1.52E+04  3.04E+04  7.61E+04  1.52E+05  3.04E+05  7.61E+05  1.52E+06  3.04E+06  7.61E+06  1.52E+07
   ---- ---  3.04E+07  7.61E+07  1.52E+08  3.04E+08  7.60E+08  1.52E+09  3.04E+09  7.61E+09  1.52E+10
     1       1.50E-11  1.06E-11  6.69E-12  4.73E-12  3.34E-12  2.11E-12  1.49E-12  1.05E-12  6.63E-13  4.63E-13
             3.18E-13  1.85E-13  1.16E-13  6.82E-14  3.03E-14  1.51E-14  7.03E-15  2.35E-15  9.72E-16
     2       6.82E-11  4.82E-11  3.05E-11  2.15E-11  1.52E-11  9.53E-12  6.65E-12  4.59E-12  2.72E-12  1.76E-12
             1.07E-12  4.94E-13  2.50E-13  1.17E-13  3.81E-14  1.52E-14  5.85E-15  1.58E-15  5.72E-16
