SEQ='B '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 469748931.9   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   571855.3 
     3          2S1 2P1             (1)1( 1.0)  1096879.4*
     4          2P2                 (3)1( 4.0)  1470156.1*
     5          2P2                 (1)2( 2.0)  1653649.1*
     6          2P2                 (1)0( 0.0)  2036068.3*

   LS RESOLVED TERM INDEXING            BWNR= 511255702.8   NTRM= 289
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    85     2    2S1 2P1 5S1         (2)1( 2.5) 35610284.9 
    86     2    2S1 2P1 5P1         (4)2( 9.5) 35647319.9 
    87     2    2S1 2P1 5P1         (2)1( 2.5) 35651687.1 
    88     2    2S1 2P1 5P1         (4)0( 1.5) 35655821.9 
    89     2    2S1 2P1 5P1         (4)1( 5.5) 35660363.0 
    90     2    2S1 2P1 5P1         (2)2( 4.5) 35672579.3 
    91     2    2S1 2P1 5P1         (2)0( 0.5) 35689506.1 
    92     2    2S1 2P1 5D1         (4)3(13.5) 35693294.0 
    93     2    2S1 2P1 5D1         (4)2( 9.5) 35705565.8 
    94     2    2S1 2P1 5D1         (2)2( 4.5) 35707083.1 
    95     2    2S1 2P1 5D1         (4)1( 5.5) 35708774.5 
    96     2    2S1 2P1 5F1         (4)3(13.5) 35728170.9 
    97     2    2S1 2P1 5F1         (2)3( 6.5) 35730708.5 
    98     2    2S1 2P1 5D1         (2)3( 6.5) 35732882.2 
    99     2    2S1 2P1 5F1         (4)4(17.5) 35733795.8 
   100     2    2S1 2P1 5D1         (2)1( 2.5) 35736155.4 
   101     2    2S1 2P1 5G1         (4)3(13.5) 35737811.7 
   102     2    2S1 2P1 5G1         (2)3( 6.5) 35737811.7 
   103     2    2S1 2P1 5G1         (4)4(17.5) 35737811.7 
   104     2    2S1 2P1 5G1         (2)4( 8.5) 35737811.7 
   105     2    2S1 2P1 5G1         (4)5(21.5) 35737811.7 
   106     2    2S1 2P1 5G1         (2)5(10.5) 35737811.7 
   107     2    2S1 2P1 5F1         (4)2( 9.5) 35738909.3 
   108     2    2S1 2P1 5F1         (2)4( 8.5) 35742849.7 
   109     2    2S1 2P1 5F1         (2)2( 4.5) 35745523.8 
   110     3    2S1 2P1 5S1         (2)1( 2.5) 36121564.5 
   111     3    2S1 2P1 5P1         (2)2( 4.5) 36180940.0 
   112     3    2S1 2P1 5P1         (2)1( 2.5) 36182817.9 
   113     3    2S1 2P1 5P1         (2)0( 0.5) 36192535.0 
   114     3    2S1 2P1 5D1         (2)2( 4.5) 36231502.1 
   115     3    2S1 2P1 5D1         (2)3( 6.5) 36231743.7 
   116     3    2S1 2P1 5D1         (2)1( 2.5) 36242937.5 
   117     3    2S1 2P1 5F1         (2)3( 6.5) 36254060.5 
   118     3    2S1 2P1 5F1         (2)4( 8.5) 36261840.4 
   119     4    2P2 5P1             (2)1( 2.5) 36582391.4 
   120     4    2P2 5D1             (2)2( 4.5) 36642122.4 
   121     5    2P2 5D1             (2)2( 4.5) 36797757.0 
   122     5    2P2 5F1             (2)3( 6.5) 36813765.0 
   123     1    2S2 6S1             (2)0( 0.5) 37019350.9 
   124     1    2S2 6P1             (2)1( 2.5) 37055478.9 
   125     6    2P2 5S1             (2)0( 0.5) 37066642.7 
   126     1    2S2 6D1             (2)2( 4.5) 37084842.5 
   127     1    2S2 6F1             (2)3( 6.5) 37101254.0 
   128     1    2S2 6G1             (2)4( 8.5) 37103703.3 
   129     1    2S2 6H1             (2)5(10.5) 37104370.8 
   130     6    2P2 5P1             (2)1( 2.5) 37126126.7 
   131     6    2P2 5D1             (2)2( 4.5) 37176856.2 
   132     2    2S1 2P1 6S1         (4)1( 5.5) 37590724.7 
   133     2    2S1 2P1 6S1         (2)1( 2.5) 37602068.8 
   134     2    2S1 2P1 6P1         (4)2( 9.5) 37624057.2 
   135     2    2S1 2P1 6P1         (2)1( 2.5) 37626458.4 
   136     2    2S1 2P1 6P1         (4)0( 1.5) 37628815.1 
   137     2    2S1 2P1 6P1         (4)1( 5.5) 37631023.8 
   138     2    2S1 2P1 6P1         (2)2( 4.5) 37637940.1 
   139     2    2S1 2P1 6P1         (2)0( 0.5) 37647443.9 
   140     2    2S1 2P1 6D1         (4)3(13.5) 37650363.3 
   141     2    2S1 2P1 6D1         (4)2( 9.5) 37657024.8 
   142     2    2S1 2P1 6D1         (2)2( 4.5) 37657843.2 
   143     2    2S1 2P1 6D1         (4)1( 5.5) 37658861.3 
   144     2    2S1 2P1 6F1         (4)3(13.5) 37669785.4 
   145     2    2S1 2P1 6F1         (2)3( 6.5) 37671350.8 
   146     2    2S1 2P1 6D1         (2)3( 6.5) 37672036.0 
   147     2    2S1 2P1 6F1         (4)4(17.5) 37672679.0 
   148     2    2S1 2P1 6D1         (2)1( 2.5) 37673849.4 
   149     2    2S1 2P1 6G1         (4)3(13.5) 37675558.6 
   150     2    2S1 2P1 6G1         (2)3( 6.5) 37675558.6 
   151     2    2S1 2P1 6G1         (4)4(17.5) 37675558.6 
   152     2    2S1 2P1 6G1         (2)4( 8.5) 37675558.6 
   153     2    2S1 2P1 6G1         (4)5(21.5) 37675558.6 
   154     2    2S1 2P1 6G1         (2)5(10.5) 37675558.6 
   155     2    2S1 2P1 6F1         (4)2( 9.5) 37675651.8 
   156     2    2S1 2P1 6H1         (4)4(17.5) 37676226.1 
   157     2    2S1 2P1 6H1         (2)4( 8.5) 37676226.1 
   158     2    2S1 2P1 6H1         (4)5(21.5) 37676226.1 
   159     2    2S1 2P1 6H1         (2)5(10.5) 37676226.1 
   160     2    2S1 2P1 6H1         (4)6(25.5) 37676226.1 
   161     2    2S1 2P1 6H1         (2)6(12.5) 37676226.1 
   162     2    2S1 2P1 6F1         (2)4( 8.5) 37678311.8 
   163     2    2S1 2P1 6F1         (2)2( 4.5) 37679767.1 
   164     3    2S1 2P1 6S1         (2)1( 2.5) 38119545.1 
   165     3    2S1 2P1 6P1         (2)2( 4.5) 38153760.0 
   166     3    2S1 2P1 6P1         (2)1( 2.5) 38154622.8 
   167     3    2S1 2P1 6P1         (2)0( 0.5) 38160184.5 
   168     3    2S1 2P1 6D1         (2)2( 4.5) 38182441.4 
   169     3    2S1 2P1 6D1         (2)3( 6.5) 38182681.1 
   170     3    2S1 2P1 6D1         (2)1( 2.5) 38188885.7 
   171     3    2S1 2P1 6F1         (2)3( 6.5) 38195338.8 
   172     3    2S1 2P1 6F1         (2)4( 8.5) 38199581.8 
   173     1    2S2 7S1             (2)0( 0.5) 38219216.8 
   174     1    2S2 7P1             (2)1( 2.5) 38241840.7 
   175     1    2S2 7D1             (2)2( 4.5) 38260161.5 
   176     1    2S2 7F1             (2)3( 6.5) 38270325.0 
   177     1    2S2 7G1             (2)4( 8.5) 38272008.8 
   178     1    2S2 7H1             (2)5(10.5) 38272429.1 
   179     1    2S2 7I1             (2)6(12.5) 38272616.9 
   180     4    2P2 6P1             (2)1( 2.5) 38543174.1 
   181     4    2P2 6D1             (2)2( 4.5) 38576619.9 
   182     2    2S1 2P1 7S1         (4)1( 5.5) 38790799.7 
   183     2    2S1 2P1 7S1         (2)1( 2.5) 38797716.9 
   184     2    2S1 2P1 7P1         (4)2( 9.5) 38811747.0 
   185     2    2S1 2P1 7P1         (2)1( 2.5) 38813215.2 
   186     2    2S1 2P1 7P1         (4)0( 1.5) 38814676.7 
   187     2    2S1 2P1 7P1         (4)1( 5.5) 38815936.0 
   188     2    2S1 2P1 7P1         (2)2( 4.5) 38820225.5 
   189     2    2S1 2P1 7P1         (2)0( 0.5) 38826091.5 
   190     2    2S1 2P1 7D1         (4)3(13.5) 38828198.1 
   191     2    2S1 2P1 7D1         (4)2( 9.5) 38832240.3 
   192     2    2S1 2P1 7D1         (2)2( 4.5) 38832729.2 
   193     2    2S1 2P1 7D1         (4)1( 5.5) 38833384.0 
   194     2    2S1 2P1 7F1         (4)3(13.5) 38840162.4 
   195     2    2S1 2P1 7F1         (2)3( 6.5) 38841177.1 
   196     2    2S1 2P1 7D1         (2)3( 6.5) 38841404.3 
   197     2    2S1 2P1 7F1         (4)4(17.5) 38841860.4 
   198     2    2S1 2P1 7D1         (2)1( 2.5) 38842518.7 
   199     2    2S1 2P1 7F1         (4)2( 9.5) 38843733.1 
   200     2    2S1 2P1 7G1         (4)3(13.5) 38843864.1 
   201     2    2S1 2P1 7G1         (2)3( 6.5) 38843864.1 
   202     2    2S1 2P1 7G1         (4)4(17.5) 38843864.1 
   203     2    2S1 2P1 7G1         (2)4( 8.5) 38843864.1 
   204     2    2S1 2P1 7G1         (4)5(21.5) 38843864.1 
   205     2    2S1 2P1 7G1         (2)5(10.5) 38843864.1 
   206     2    2S1 2P1 7H1         (4)4(17.5) 38844284.4 
   207     2    2S1 2P1 7H1         (2)4( 8.5) 38844284.4 
   208     2    2S1 2P1 7H1         (4)5(21.5) 38844284.4 
   209     2    2S1 2P1 7H1         (2)5(10.5) 38844284.4 
   210     2    2S1 2P1 7H1         (4)6(25.5) 38844284.4 
   211     2    2S1 2P1 7H1         (2)6(12.5) 38844284.4 
