SEQ='HE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 198122701.0   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 390207216.3   NLVL= 127
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    99     1    1S1 8P1             (3)1( 0.0)189169386.1 
   100     1    1S1 8S1             (1)0( 0.0)189169473.2 
   101     1    1S1 8P1             (3)1( 1.0)189170508.5 
   102     1    1S1 8P1             (3)1( 2.0)189186064.6 
   103     1    1S1 8D1             (3)2( 1.0)189188779.9 
   104     1    1S1 8P1             (1)1( 1.0)189188877.3 
   105     1    1S1 8D1             (3)2( 2.0)189188904.2 
   106     1    1S1 8D1             (3)2( 3.0)189194290.7 
   107     1    1S1 8F1             (3)3( 2.0)189194423.2 
   108     1    1S1 8F1             (3)3( 3.0)189194427.1 
   109     1    1S1 8D1             (1)2( 2.0)189194488.3 
   110     1    1S1 8F1             (3)3( 4.0)189197176.5 
   111     1    1S1 8F1             (1)3( 3.0)189197181.7 
   112     1    1S1 8G1             (1)*( 3.0)189202088.5 
   113     1    1S1 8G1             (1)*( 4.0)189202088.5 
   114     1    1S1 8G1             (1)*( 4.0)189202088.5 
   115     1    1S1 8G1             (1)*( 5.0)189202088.5 
   116     1    1S1 8H1             (1)*( 4.0)189202139.5 
   117     1    1S1 8H1             (1)*( 5.0)189202139.5 
   118     1    1S1 8H1             (1)*( 5.0)189202139.5 
   119     1    1S1 8H1             (1)*( 6.0)189202139.5 
   120     1    1S1 8I1             (1)*( 5.0)189202162.3 
   121     1    1S1 8I1             (1)*( 6.0)189202162.3 
   122     1    1S1 8I1             (1)*( 6.0)189202162.3 
   123     1    1S1 8I1             (1)*( 7.0)189202162.3 
   124     1    1S1 8J1             (1)*( 6.0)189202174.0 
   125     1    1S1 8J1             (1)*( 7.0)189202174.0 
   126     1    1S1 8J1             (1)*( 7.0)189202174.0 
   127     1    1S1 8J1             (1)*( 8.0)189202174.0 

   NL-SHELL INDEXING                     NLREP= 55
   -----------------
   ILREP   N   L
   -----   -   -
     1     1   0
     2     2   0
     3     2   1
     4     3   0
     5     3   1
     6     3   2
     7     4   0
     8     4   1
     9     4   2
    10     4   3
    11     5   0
    12     5   1
    13     5   2
    14     5   3
    15     5   4
    16     6   0
    17     6   1
    18     6   2
    19     6   3
    20     6   4
    21     6   5
    22     7   0
    23     7   1
    24     7   2
    25     7   3
    26     7   4
    27     7   5
    28     7   6
    29     8   0
    30     8   1
    31     8   2
    32     8   3
    33     8   4
    34     8   5
    35     8   6
    36     8   7
    37     9   0
    38     9   1
    39     9   2
    40     9   3
    41     9   4
    42     9   5
    43     9   6
    44     9   7
    45     9   8
    46    10   0
    47    10   1
    48    10   2
    49    10   3
    50    10   4
    51    10   5
    52    10   6
    53    10   7
    54    10   8
    55    10   9

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   INREP   N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------
 PRTI= 1  LVLPRT= (2S  0.5)

   INDX TE=  1.68E+04  3.36E+04  8.41E+04  1.68E+05  3.36E+05  8.41E+05  1.68E+06  3.36E+06  8.41E+06  1.68E+07
   ---- ---  3.36E+07  8.41E+07  1.68E+08  3.36E+08  8.41E+08  1.68E+09  3.36E+09  8.41E+09  1.68E+10
     1       1.18E-10  8.36E-11  5.29E-11  3.74E-11  2.64E-11  1.67E-11  1.18E-11  8.29E-12  5.18E-12  3.59E-12
             2.45E-12  1.41E-12  8.80E-13  5.17E-13  2.30E-13  1.15E-13  5.35E-14  1.79E-14  7.41E-15
     2       2.60E-11  1.84E-11  1.16E-11  8.22E-12  5.81E-12  3.67E-12  2.59E-12  1.82E-12  1.14E-12  7.89E-13
             5.36E-13  3.05E-13  1.88E-13  1.08E-13  4.70E-14  2.31E-14  1.06E-14  3.52E-15  1.44E-15
     3       7.94E-12  5.61E-12  3.54E-12  2.50E-12  1.76E-12  1.11E-12  7.72E-13  5.32E-13  3.14E-13  2.01E-13
             1.21E-13  5.54E-14  2.77E-14  1.28E-14  4.13E-15  1.65E-15  6.28E-16  1.69E-16  6.11E-17
     4       8.45E-12  5.98E-12  3.78E-12  2.67E-12  1.89E-12  1.19E-12  8.42E-13  5.94E-13  3.71E-13  2.58E-13
             1.75E-13  1.00E-13  6.18E-14  3.58E-14  1.56E-14  7.65E-15  3.53E-15  1.17E-15  4.80E-16
     5       2.37E-11  1.67E-11  1.06E-11  7.47E-12  5.27E-12  3.30E-12  2.31E-12  1.59E-12  9.37E-13  6.00E-13
             3.62E-13  1.65E-13  8.30E-14  3.83E-14  1.24E-14  4.92E-15  1.88E-15  5.05E-16  1.83E-16
     6       3.71E-11  2.62E-11  1.66E-11  1.17E-11  8.25E-12  5.17E-12  3.61E-12  2.49E-12  1.48E-12  9.48E-13
             5.75E-13  2.64E-13  1.33E-13  6.18E-14  2.00E-14  7.98E-15  3.05E-15  8.21E-16  2.98E-16
     7       2.19E-11  1.55E-11  9.80E-12  6.92E-12  4.88E-12  3.06E-12  2.14E-12  1.48E-12  8.74E-13  5.62E-13
             3.41E-13  1.57E-13  7.92E-14  3.68E-14  1.19E-14  4.76E-15  1.82E-15  4.90E-16  1.78E-16
     8       8.50E-12  6.01E-12  3.80E-12  2.69E-12  1.90E-12  1.20E-12  8.45E-13  5.95E-13  3.70E-13  2.55E-13
             1.72E-13  9.62E-14  5.85E-14  3.34E-14  1.43E-14  6.99E-15  3.21E-15  1.06E-15  4.33E-16
     9       2.95E-12  2.08E-12  1.32E-12  9.29E-13  6.55E-13  4.11E-13  2.87E-13  1.98E-13  1.16E-13  7.44E-14
             4.48E-14  2.03E-14  1.02E-14  4.67E-15  1.50E-15  5.97E-16  2.28E-16  6.10E-17  2.21E-17
