SEQ='MG'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 710995688.1   NPRNTI= 2   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S1                 (2)0( 0.5)        0.0 
     2          3P1                 (2)1( 2.5)   534947.7 
     3          3D1                 (2)2( 4.5)  1276560.9*

   LS RESOLVED TERM INDEXING            BWNR= 724641922.7   NTRM= 267
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
    95     3    3D1 5D1             (1)2( 2.0) 10608769.6 
    96     1    3S1 6D1             (3)2( 7.0) 10648699.3 
    97     1    3S1 6D1             (1)2( 2.0) 10652345.0 
    98     3    3D1 5F1             (3)3(10.0) 10667430.3 
    99     3    3D1 5F1             (1)3( 3.0) 10695152.4 
   100     1    3S1 6F1             (3)3(10.0) 10697973.3 
   101     1    3S1 6F1             (1)3( 3.0) 10703132.3 
   102     1    3S1 6G1             (3)4(13.0) 10712388.7 
   103     1    3S1 6G1             (1)4( 4.0) 10712388.7 
   104     1    3S1 6H1             (3)5(16.0) 10714552.5 
   105     1    3S1 6H1             (1)5( 5.0) 10714552.5 
   106     2    3P1 6S1             (3)1( 4.0) 11038437.0 
   107     2    3P1 6S1             (1)1( 1.0) 11042958.2 
   108     2    3P1 6P1             (1)1( 1.0) 11095720.6 
   109     2    3P1 6P1             (3)2( 7.0) 11100964.4 
   110     2    3P1 6P1             (3)1( 4.0) 11103948.6 
   111     2    3P1 6P1             (3)0( 1.0) 11108830.1 
   112     2    3P1 6P1             (1)2( 2.0) 11112823.7 
   113     2    3P1 6P1             (1)0( 0.0) 11126136.4 
   114     2    3P1 6D1             (1)2( 2.0) 11179429.4 
   115     2    3P1 6D1             (3)2( 7.0) 11181141.3 
   116     2    3P1 6D1             (3)3(10.0) 11185134.4 
   117     2    3P1 6D1             (3)1( 4.0) 11190205.9 
   118     2    3P1 6D1             (1)3( 3.0) 11191378.4 
   119     2    3P1 6D1             (1)1( 1.0) 11195163.6 
   120     2    3P1 6F1             (1)3( 3.0) 11227536.9 
   121     2    3P1 6F1             (3)3(10.0) 11229743.0 
   122     2    3P1 6F1             (3)4(13.0) 11233314.0 
   123     2    3P1 6F1             (3)2( 7.0) 11239196.7 
   124     2    3P1 6F1             (1)4( 4.0) 11244892.3 
   125     2    3P1 6F1             (1)2( 2.0) 11246333.8 
   126     2    3P1 6G1             (3)3(10.0) 11247336.4 
   127     2    3P1 6G1             (1)3( 3.0) 11247336.4 
   128     2    3P1 6G1             (3)4(13.0) 11247336.4 
