SEQ='F '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 627005032.4   NPRNTI= 3   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)   174974.5 
     3          2S2 2P4             (1)0( 0.0)   369237.5 
     4          2S1 2P5             (3)1( 4.0)  1422111.5*
     5          2S1 2P5             (1)1( 1.0)  1935406.6*
     6          2P6                 (1)0( 0.0)  3334907.6*

   LS RESOLVED TERM INDEXING            BWNR= 662593533.5   NTRM= 342
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    82     1    2S2 2P4 5D1         (2)3( 6.5) 30446249.3 
    83     6    2P6 4S1             (2)0( 0.5) 30456193.9 
    84     1    2S2 2P4 5D1         (2)1( 2.5) 30461141.9 
    85     1    2S2 2P4 5D1         (2)2( 4.5) 30466352.1 
    86     1    2S2 2P4 5F1         (4)3(13.5) 30497384.6 
    87     2    2S2 2P4 5P1         (2)3( 6.5) 30500743.3 
    88     1    2S2 2P4 5F1         (2)3( 6.5) 30503949.4 
    89     1    2S2 2P4 5F1         (4)4(17.5) 30505432.0 
    90     1    2S2 2P4 5F1         (2)4( 8.5) 30507261.5 
    91     1    2S2 2P4 5F1         (4)2( 9.5) 30508248.6 
    92     1    2S2 2P4 5G1         (4)3(13.5) 30508726.9 
    93     1    2S2 2P4 5G1         (2)3( 6.5) 30508726.9 
    94     1    2S2 2P4 5G1         (4)4(17.5) 30508726.9 
    95     1    2S2 2P4 5G1         (2)4( 8.5) 30508726.9 
    96     1    2S2 2P4 5G1         (4)5(21.5) 30508726.9 
    97     1    2S2 2P4 5G1         (2)5(10.5) 30508726.9 
    98     2    2S2 2P4 5P1         (2)2( 4.5) 30510786.9 
    99     1    2S2 2P4 5F1         (2)2( 4.5) 30511820.3 
   100     2    2S2 2P4 5P1         (2)1( 2.5) 30513692.3 
   101     3    2S2 2P4 5S1         (2)0( 0.5) 30602136.9 
   102     2    2S2 2P4 5D1         (2)4( 8.5) 30609168.0 
   103     2    2S2 2P4 5D1         (2)0( 0.5) 30618888.6 
   104     2    2S2 2P4 5D1         (2)3( 6.5) 30621348.1 
   105     2    2S2 2P4 5D1         (2)1( 2.5) 30623543.2 
   106     2    2S2 2P4 5D1         (2)2( 4.5) 30624931.2 
   107     2    2S2 2P4 5F1         (2)1( 2.5) 30672361.9 
   108     2    2S2 2P4 5F1         (2)5(10.5) 30675348.7 
   109     2    2S2 2P4 5F1         (2)2( 4.5) 30678449.1 
   110     2    2S2 2P4 5F1         (2)3( 6.5) 30683663.0 
   111     2    2S2 2P4 5G1         (2)2( 4.5) 30683701.4 
   112     2    2S2 2P4 5G1         (2)3( 6.5) 30683701.4 
   113     2    2S2 2P4 5G1         (2)4( 8.5) 30683701.4 
   114     2    2S2 2P4 5G1         (2)5(10.5) 30683701.4 
   115     2    2S2 2P4 5G1         (2)6(12.5) 30683701.4 
   116     2    2S2 2P4 5F1         (2)4( 8.5) 30684800.7 
   117     3    2S2 2P4 5P1         (2)1( 2.5) 30700552.1 
   118     3    2S2 2P4 5D1         (2)2( 4.5) 30811998.2 
   119     3    2S2 2P4 5F1         (2)3( 6.5) 30874277.9 
   120     3    2S2 2P4 5G1         (2)4( 8.5) 30877964.4 
   121     1    2S2 2P4 6S1         (4)1( 5.5) 31901676.5 
   122     1    2S2 2P4 6S1         (2)1( 2.5) 31908197.8 
   123     1    2S2 2P4 6P1         (4)1( 5.5) 31953115.4 
   124     1    2S2 2P4 6P1         (4)2( 9.5) 31957783.0 
   125     1    2S2 2P4 6P1         (2)2( 4.5) 31962079.1 
   126     1    2S2 2P4 6P1         (2)0( 0.5) 31964784.4 
   127     1    2S2 2P4 6P1         (4)0( 1.5) 31964784.4 
   128     1    2S2 2P4 6P1         (2)1( 2.5) 31973179.2 
   129     1    2S2 2P4 6D1         (4)2( 9.5) 32014040.2 
   130     1    2S2 2P4 6D1         (4)3(13.5) 32020341.0 
   131     1    2S2 2P4 6D1         (4)1( 5.5) 32023841.4 
   132     1    2S2 2P4 6D1         (2)3( 6.5) 32025404.0 
   133     1    2S2 2P4 6D1         (2)1( 2.5) 32034236.8 
   134     1    2S2 2P4 6D1         (2)2( 4.5) 32037024.8 
   135     1    2S2 2P4 6F1         (4)3(13.5) 32054246.7 
   136     1    2S2 2P4 6F1         (2)3( 6.5) 32058411.8 
   137     1    2S2 2P4 6F1         (4)4(17.5) 32058793.5 
   138     1    2S2 2P4 6F1         (2)4( 8.5) 32059957.1 
   139     1    2S2 2P4 6F1         (4)2( 9.5) 32060384.9 
   140     1    2S2 2P4 6G1         (4)3(13.5) 32061519.0 
   141     1    2S2 2P4 6G1         (2)3( 6.5) 32061519.0 
   142     1    2S2 2P4 6G1         (4)4(17.5) 32061519.0 
   143     1    2S2 2P4 6G1         (2)4( 8.5) 32061519.0 
   144     1    2S2 2P4 6G1         (4)5(21.5) 32061519.0 
   145     1    2S2 2P4 6G1         (2)5(10.5) 32061519.0 
   146     1    2S2 2P4 6F1         (2)2( 4.5) 32062658.2 
   147     1    2S2 2P4 6H1         (4)4(17.5) 32063065.0 
   148     1    2S2 2P4 6H1         (2)4( 8.5) 32063065.0 
   149     1    2S2 2P4 6H1         (4)5(21.5) 32063065.0 
   150     1    2S2 2P4 6H1         (2)5(10.5) 32063065.0 
   151     1    2S2 2P4 6H1         (4)6(25.5) 32063065.0 
   152     1    2S2 2P4 6H1         (2)6(12.5) 32063065.0 
   153     2    2S2 2P4 6S1         (2)2( 4.5) 32078824.8 
   154     2    2S2 2P4 6P1         (2)3( 6.5) 32132338.3 
   155     2    2S2 2P4 6P1         (2)2( 4.5) 32137915.4 
   156     2    2S2 2P4 6P1         (2)1( 2.5) 32138213.4 
   157     2    2S2 2P4 6D1         (2)4( 8.5) 32193658.8 
   158     2    2S2 2P4 6D1         (2)0( 0.5) 32198972.6 
   159     2    2S2 2P4 6D1         (2)3( 6.5) 32200388.6 
   160     2    2S2 2P4 6D1         (2)1( 2.5) 32200907.0 
   161     2    2S2 2P4 6D1         (2)2( 4.5) 32201890.3 
   162     2    2S2 2P4 6F1         (2)1( 2.5) 32229469.1 
   163     2    2S2 2P4 6F1         (2)5(10.5) 32230979.3 
   164     2    2S2 2P4 6F1         (2)2( 4.5) 32232817.2 
   165     2    2S2 2P4 6F1         (2)3( 6.5) 32235759.4 
   166     2    2S2 2P4 6F1         (2)4( 8.5) 32236276.0 
   167     2    2S2 2P4 6G1         (2)2( 4.5) 32236493.5 
   168     2    2S2 2P4 6G1         (2)3( 6.5) 32236493.5 
   169     2    2S2 2P4 6G1         (2)4( 8.5) 32236493.5 
   170     2    2S2 2P4 6G1         (2)5(10.5) 32236493.5 
   171     2    2S2 2P4 6G1         (2)6(12.5) 32236493.5 
   172     2    2S2 2P4 6H1         (2)3( 6.5) 32238039.5 
   173     2    2S2 2P4 6H1         (2)4( 8.5) 32238039.5 
   174     2    2S2 2P4 6H1         (2)5(10.5) 32238039.5 
   175     2    2S2 2P4 6H1         (2)6(12.5) 32238039.5 
   176     2    2S2 2P4 6H1         (2)7(14.5) 32238039.5 
   177     3    2S2 2P4 6S1         (2)0( 0.5) 32273235.1 
   178     3    2S2 2P4 6P1         (2)1( 2.5) 32329580.9 
   179     3    2S2 2P4 6D1         (2)2( 4.5) 32392551.4 
   180     3    2S2 2P4 6F1         (2)3( 6.5) 32427821.4 
   181     3    2S2 2P4 6G1         (2)4( 8.5) 32430756.5 
   182     3    2S2 2P4 6H1         (2)5(10.5) 32432302.5 
   183     1    2S2 2P4 7S1         (4)1( 5.5) 32897812.2 
   184     1    2S2 2P4 7S1         (2)1( 2.5) 32901791.7 
   185     1    2S2 2P4 7P1         (4)1( 5.5) 32930041.2 
   186     1    2S2 2P4 7P1         (4)2( 9.5) 32932906.1 
   187     1    2S2 2P4 7P1         (2)2( 4.5) 32935546.9 
   188     1    2S2 2P4 7P1         (2)0( 0.5) 32937203.4 
   189     1    2S2 2P4 7P1         (4)0( 1.5) 32937203.4 
   190     1    2S2 2P4 7P1         (2)1( 2.5) 32942543.6 
   191     1    2S2 2P4 7D1         (4)2( 9.5) 32967870.0 
   192     1    2S2 2P4 7D1         (4)3(13.5) 32971737.0 
   193     1    2S2 2P4 7D1         (4)1( 5.5) 32973885.4 
   194     1    2S2 2P4 7D1         (2)3( 6.5) 32974860.3 
   195     1    2S2 2P4 7D1         (2)1( 2.5) 32980434.5 
   196     1    2S2 2P4 7D1         (2)2( 4.5) 32982114.4 
   197     1    2S2 2P4 7F1         (4)3(13.5) 32992754.6 
   198     1    2S2 2P4 7F1         (2)3( 6.5) 32995499.0 
   199     1    2S2 2P4 7F1         (4)4(17.5) 32995575.9 
   200     1    2S2 2P4 7F1         (2)4( 8.5) 32996343.7 
   201     1    2S2 2P4 7F1         (4)2( 9.5) 32996563.4 
   202     1    2S2 2P4 7G1         (4)3(13.5) 32997584.2 
   203     1    2S2 2P4 7G1         (2)3( 6.5) 32997584.2 
   204     1    2S2 2P4 7G1         (4)4(17.5) 32997584.2 
   205     1    2S2 2P4 7G1         (2)4( 8.5) 32997584.2 
   206     1    2S2 2P4 7G1         (4)5(21.5) 32997584.2 
   207     1    2S2 2P4 7G1         (2)5(10.5) 32997584.2 
   208     1    2S2 2P4 7F1         (2)2( 4.5) 32998063.9 
   209     1    2S2 2P4 7H1         (4)4(17.5) 32998557.6 
   210     1    2S2 2P4 7H1         (2)4( 8.5) 32998557.6 
   211     1    2S2 2P4 7H1         (4)5(21.5) 32998557.6 
   212     1    2S2 2P4 7H1         (2)5(10.5) 32998557.6 
   213     1    2S2 2P4 7H1         (4)6(25.5) 32998557.6 
   214     1    2S2 2P4 7H1         (2)6(12.5) 32998557.6 
   215     1    2S2 2P4 7I1         (4)5(21.5) 32998992.4 
   216     1    2S2 2P4 7I1         (2)5(10.5) 32998992.4 
   217     1    2S2 2P4 7I1         (4)6(25.5) 32998992.4 
   218     1    2S2 2P4 7I1         (2)6(12.5) 32998992.4 
   219     1    2S2 2P4 7I1         (4)7(29.5) 32998992.4 
   220     1    2S2 2P4 7I1         (2)7(14.5) 32998992.4 
   221     2    2S2 2P4 7S1         (2)2( 4.5) 33074113.2 
   222     2    2S2 2P4 7P1         (2)3( 6.5) 33107623.8 
   223     2    2S2 2P4 7P1         (2)1( 2.5) 33110871.7 
   224     2    2S2 2P4 7P1         (2)2( 4.5) 33111043.8 
