SEQ='NE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 662593533.5   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR= 696858141.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    86     1    2S2 2P5 6F1         (3)3(10.0) 30941439.5 
    87     1    2S2 2P5 6F1         (1)3( 3.0) 30941439.5 
    88     1    2S2 2P5 6H1         (3)4(13.0) 30943176.6 
    89     1    2S2 2P5 6H1         (1)4( 4.0) 30943176.6 
    90     1    2S2 2P5 6H1         (3)5(16.0) 30943176.6 
    91     1    2S2 2P5 6H1         (1)5( 5.0) 30943176.6 
    92     1    2S2 2P5 6H1         (3)6(19.0) 30943176.6 
    93     1    2S2 2P5 6H1         (1)6( 6.0) 30943176.6 
    94     1    2S2 2P5 7S1         (3)1( 4.0) 31715692.9 
    95     1    2S2 2P5 7S1         (1)1( 1.0) 31718273.8 
    96     1    2S2 2P5 7P1         (3)0( 1.0) 31748394.8 
    97     1    2S2 2P5 7P1         (3)2( 7.0) 31752540.9 
    98     1    2S2 2P5 7P1         (1)2( 2.0) 31754821.2 
    99     1    2S2 2P5 7P1         (3)1( 4.0) 31755305.0 
   100     1    2S2 2P5 7P1         (1)1( 1.0) 31755305.0 
   101     1    2S2 2P5 7P1         (1)0( 0.0) 31770799.1 
   102     1    2S2 2P5 7D1         (3)1( 4.0) 31793188.8 
   103     1    2S2 2P5 7D1         (3)3(10.0) 31795258.9 
   104     1    2S2 2P5 7D1         (1)3( 3.0) 31798280.2 
   105     1    2S2 2P5 7D1         (3)2( 7.0) 31798985.1 
   106     1    2S2 2P5 7D1         (1)2( 2.0) 31798985.1 
   107     1    2S2 2P5 7D1         (1)1( 1.0) 31810805.2 
   108     1    2S2 2P5 7F1         (3)2( 7.0) 31819566.9 
   109     1    2S2 2P5 7F1         (3)4(13.0) 31820499.3 
   110     1    2S2 2P5 7F1         (1)4( 4.0) 31821252.8 
   111     1    2S2 2P5 7F1         (1)2( 2.0) 31822344.6 
   112     1    2S2 2P5 7F1         (3)3(10.0) 31823163.3 
   113     1    2S2 2P5 7F1         (1)3( 3.0) 31823163.3 
   114     1    2S2 2P5 7G1         (3)3(10.0) 31823460.8 
   115     1    2S2 2P5 7G1         (1)3( 3.0) 31823460.8 
   116     1    2S2 2P5 7G1         (3)4(13.0) 31823460.8 
   117     1    2S2 2P5 7G1         (1)4( 4.0) 31823460.8 
   118     1    2S2 2P5 7G1         (3)5(16.0) 31823460.8 
   119     1    2S2 2P5 7G1         (1)5( 5.0) 31823460.8 
   120     1    2S2 2P5 7H1         (3)4(13.0) 31824569.6 
   121     1    2S2 2P5 7H1         (1)4( 4.0) 31824569.6 
   122     1    2S2 2P5 7H1         (3)5(16.0) 31824569.6 
   123     1    2S2 2P5 7H1         (1)5( 5.0) 31824569.6 
   124     1    2S2 2P5 7H1         (3)6(19.0) 31824569.6 
   125     1    2S2 2P5 7H1         (1)6( 6.0) 31824569.6 
   126     1    2S2 2P5 7I1         (3)5(16.0) 31825064.9 
   127     1    2S2 2P5 7I1         (1)5( 5.0) 31825064.9 
   128     1    2S2 2P5 7I1         (3)6(19.0) 31825064.9 
   129     1    2S2 2P5 7I1         (1)6( 6.0) 31825064.9 
   130     1    2S2 2P5 7I1         (3)7(22.0) 31825064.9 
   131     1    2S2 2P5 7I1         (1)7( 7.0) 31825064.9 
   132     1    2S2 2P5 8S1         (3)1( 4.0) 32324099.8 
   133     1    2S2 2P5 8S1         (1)1( 1.0) 32325791.7 
   134     1    2S2 2P5 8P1         (3)0( 1.0) 32345916.4 
