SEQ='BE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 436244610.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   704485.6 
     3          2P1                 (2)1( 1.5)  1647115.9 

   IC RESOLVED LEVEL INDEXING           BWNR= 480950912.4   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
    95     3    2P1 4F1             (1)3( 3.0) 35901699.6 
    96     3    2P1 4F1             (1)4( 4.0) 35902818.5 
    97     3    2P1 4F1             (3)4( 5.0) 35906202.3 
    98     3    2P1 4F1             (1)2( 2.0) 35919281.3 
    99     1    2S1 5S1             (3)0( 1.0) 37819675.6 
   100     1    2S1 5S1             (1)0( 0.0) 37839055.6 
   101     1    2S1 5P1             (3)1( 0.0) 37877077.4 
   102     1    2S1 5P1             (3)1( 1.0) 37879419.5 
   103     1    2S1 5P1             (3)1( 2.0) 37934952.9 
   104     1    2S1 5P1             (1)1( 1.0) 37940284.6 
   105     1    2S1 5D1             (3)2( 1.0) 37967950.1 
   106     1    2S1 5D1             (3)2( 2.0) 37971853.2 
   107     1    2S1 5D1             (3)2( 3.0) 37986674.0 
   108     1    2S1 5D1             (1)2( 2.0) 37998900.2 
   109     1    2S1 5F1             (3)3( 2.0) 38005244.0 
   110     1    2S1 5F1             (3)3( 3.0) 38006866.8 
   111     1    2S1 5F1             (3)3( 4.0) 38014510.5 
   112     1    2S1 5F1             (1)3( 3.0) 38018169.4 
   113     1    2S1 5G1             (1)*( 3.0) 38028220.1 
   114     1    2S1 5G1             (1)*( 4.0) 38028220.1 
   115     1    2S1 5G1             (1)*( 4.0) 38028220.1 
   116     1    2S1 5G1             (1)*( 5.0) 38028220.1 
   117     2    2P1 5S1             (3)1( 0.0) 38533622.8 
   118     2    2P1 5S1             (3)1( 1.0) 38536556.0 
   119     2    2P1 5P1             (3)2( 1.0) 38578673.5 
   120     2    2P1 5P1             (3)1( 0.0) 38604018.1 
   121     2    2P1 5P1             (3)0( 1.0) 38646031.1 
   122     2    2P1 5P1             (3)2( 2.0) 38648537.0 
   123     2    2P1 5D1             (3)3( 2.0) 38669467.9 
   124     2    2P1 5D1             (3)2( 1.0) 38690189.3 
   125     2    2P1 5D1             (1)2( 2.0) 38699610.0 
   126     2    2P1 5D1             (3)2( 3.0) 38702936.0 
   127     2    2P1 5F1             (3)4( 3.0) 38710223.1 
   128     2    2P1 5F1             (3)2( 2.0) 38713721.9 
   129     2    2P1 5F1             (3)2( 3.0) 38721336.0 
   130     2    2P1 5F1             (3)3( 4.0) 38722301.8 
   131     2    2P1 5G1             (1)*( 3.0) 38732705.7 
   132     2    2P1 5G1             (1)*( 4.0) 38732705.7 
   133     2    2P1 5G1             (1)*( 4.0) 38732705.7 
   134     2    2P1 5G1             (1)*( 5.0) 38732705.7 
   135     3    2P1 5S1             (3)1( 2.0) 39476253.1 
   136     3    2P1 5S1             (1)1( 1.0) 39482174.9 
   137     3    2P1 5P1             (3)1( 1.0) 39530476.9 
   138     3    2P1 5P1             (1)2( 2.0) 39533263.6 
   139     3    2P1 5P1             (3)2( 3.0) 39580163.8 
   140     3    2P1 5P1             (1)1( 1.0) 39580572.2 
   141     3    2P1 5P1             (3)1( 2.0) 39598275.5 
