SEQ='B '     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 480950912.6   NPRNTI= 4   NPRNTF=10
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    82    10    2P2 3P1             (2)1( 1.5) 28255932.1 
    83    10    2P2 3D1             (2)2( 1.5) 28569640.2 
    84     1    2S2 4S1             (2)0( 0.5) 32193005.2 
    85     1    2S2 4P1             (2)1( 0.5) 32326631.3 
    86     1    2S2 4P1             (2)1( 1.5) 32435336.7 
    87     1    2S2 4D1             (2)2( 1.5) 32541704.9 
    88     1    2S2 4D1             (2)2( 2.5) 32576451.9 
    89     1    2S2 4F1             (2)3( 2.5) 32637075.4 
    90     1    2S2 4F1             (2)3( 3.5) 32653879.0 
    91     2    2S1 2P1 4S1         (4)1( 0.5) 32811982.2 
    92     3    2S1 2P1 4S1         (4)1( 1.5) 32927586.5 
    93     2    2S1 2P1 4P1         (4)2( 0.5) 32932891.9 
    94     3    2S1 2P1 4S1         (2)1( 0.5) 32958942.8 
    95     2    2S1 2P1 4P1         (4)2( 1.5) 33042954.7 
    96     3    2S1 2P1 4P1         (4)0( 1.5) 33059683.4 
    97     3    2S1 2P1 4P1         (4)1( 0.5) 33086477.5 
    98     2    2S1 2P1 4D1         (4)3( 1.5) 33144473.3 
    99     3    2S1 2P1 4P1         (4)2( 2.5) 33173308.4 
   100     3    2S1 2P1 4P1         (2)1( 0.5) 33178590.3 
   101     3    2S1 2P1 4P1         (2)2( 1.5) 33183814.3 
   102     2    2S1 2P1 4D1         (4)1( 2.5) 33193103.0 
   103     2    2S1 2P1 4F1         (4)4( 2.5) 33246639.6 
   104     3    2S1 2P1 4D1         (4)3( 2.5) 33261416.9 
   105     2    2S1 2P1 4F1         (4)2( 3.5) 33264815.3 
   106     3    2S1 2P1 4D1         (4)2( 1.5) 33281860.2 
   107     3    2S1 2P1 4D1         (4)2( 0.5) 33288093.8 
   108     3    2S1 2P1 4D1         (4)2( 3.5) 33309674.1 
   109     3    2S1 2P1 4D1         (2)2( 1.5) 33329810.6 
   110     3    2S1 2P1 4D1         (2)3( 2.5) 33332723.2 
   111     3    2S1 2P1 4F1         (4)3( 1.5) 33366504.8 
   112     3    2S1 2P1 4F1         (4)4( 3.5) 33366954.2 
   113     3    2S1 2P1 4F1         (4)2( 2.5) 33371131.3 
   114     3    2S1 2P1 4F1         (4)3( 4.5) 33383900.1 
   115     3    2S1 2P1 4F1         (2)2( 2.5) 33386863.6 
   116     3    2S1 2P1 4F1         (2)4( 3.5) 33391283.4 
   117     4    2S1 2P1 4S1         (4)1( 2.5) 33722275.7 
   118     4    2S1 2P1 4S1         (2)1( 1.5) 33759396.1 
   119     4    2S1 2P1 4P1         (4)1( 1.5) 33864862.7 
   120     4    2S1 2P1 4P1         (4)1( 2.5) 33872470.5 
   121     4    2S1 2P1 4P1         (4)2( 3.5) 33952195.7 
   122     5    2P2 4S1             (4)1( 0.5) 33958529.6 
   123     4    2S1 2P1 4P1         (2)1( 1.5) 33968911.2 
   124     4    2S1 2P1 4P1         (2)2( 2.5) 33992453.6 
   125     4    2S1 2P1 4P1         (2)0( 0.5) 34007589.2 
   126     4    2S1 2P1 4D1         (4)2( 2.5) 34072849.5 
   127     4    2S1 2P1 4D1         (4)3( 3.5) 34077425.0 
   128     4    2S1 2P1 4D1         (4)1( 1.5) 34078885.0 
   129     4    2S1 2P1 4D1         (4)1( 0.5) 34080459.8 
   130     4    2S1 2P1 4D1         (4)3( 4.5) 34081370.2 
   131     4    2S1 2P1 4D1         (2)2( 2.5) 34118632.7 
   132     4    2S1 2P1 4D1         (2)1( 1.5) 34134045.6 
   133     6    2S1 2P1 4S1         (2)1( 0.5) 34136994.6 
   134     4    2S1 2P1 4D1         (2)3( 3.5) 34142692.3 
   135     6    2S1 2P1 4S1         (2)1( 1.5) 34142932.3 
   136     4    2S1 2P1 4F1         (4)3( 3.5) 34162612.2 
   137     4    2S1 2P1 4D1         (2)1( 0.5) 34163322.0 
   138     4    2S1 2P1 4F1         (4)3( 2.5) 34165396.7 
   139     4    2S1 2P1 4F1         (4)4( 4.5) 34170837.6 
   140     4    2S1 2P1 4F1         (4)2( 1.5) 34172528.9 
   141     4    2S1 2P1 4F1         (4)2( 0.5) 34178398.3 
   142     4    2S1 2P1 4F1         (2)3( 3.5) 34182808.4 
   143     4    2S1 2P1 4F1         (4)4( 5.5) 34185424.9 
   144     4    2S1 2P1 4F1         (2)4( 4.5) 34186681.8 
   145     4    2S1 2P1 4F1         (2)3( 2.5) 34190770.9 
   146     5    2P2 4P1             (4)0( 1.5) 34196768.5 
   147     4    2S1 2P1 4F1         (2)2( 1.5) 34202018.9 
   148     6    2S1 2P1 4P1         (2)1( 0.5) 34271634.1 
   149     6    2S1 2P1 4P1         (2)2( 1.5) 34273592.5 
   150     5    2P2 4D1             (4)1( 2.5) 34338208.6 
   151     6    2S1 2P1 4P1         (2)2( 2.5) 34368498.8 
   152     6    2S1 2P1 4P1         (2)1( 1.5) 34385201.3 
   153     6    2S1 2P1 4P1         (2)0( 0.5) 34391321.8 
   154     6    2S1 2P1 4D1         (2)2( 1.5) 34481475.5 
   155     6    2S1 2P1 4D1         (2)3( 2.5) 34486922.7 
   156     6    2S1 2P1 4D1         (2)1( 0.5) 34500283.8 
   157     6    2S1 2P1 4D1         (2)3( 3.5) 34507160.4 
   158     6    2S1 2P1 4D1         (2)2( 2.5) 34521644.9 
   159     6    2S1 2P1 4D1         (2)1( 1.5) 34532939.0 
   160     6    2S1 2P1 4F1         (2)3( 2.5) 34563023.6 
   161     6    2S1 2P1 4F1         (2)4( 3.5) 34574867.2 
   162     6    2S1 2P1 4F1         (2)3( 3.5) 34581572.3 
   163     6    2S1 2P1 4F1         (2)2( 1.5) 34582808.4 
   164     6    2S1 2P1 4F1         (2)4( 4.5) 34591893.9 
   165     6    2S1 2P1 4F1         (2)2( 2.5) 34598661.4 
   166     7    2P2 4P1             (4)2( 1.5) 34846568.1 
   167     7    2P2 4D1             (4)3( 2.5) 35058330.4 
   168     8    2P2 4P1             (2)1( 1.5) 35065656.5 
   169     8    2P2 4D1             (2)2( 2.5) 35215319.5 
   170     1    2S2 5S1             (2)0( 0.5) 35992858.2 
   171     1    2S2 5P1             (2)1( 0.5) 36060011.6 
   172     1    2S2 5P1             (2)1( 1.5) 36115414.9 
   173     1    2S2 5D1             (2)2( 1.5) 36168350.9 
