SEQ='N '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 551357853.5   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   291       1.23E-13  8.67E-14  5.48E-14  3.87E-14  2.73E-14  1.71E-14  1.19E-14  8.18E-15  4.80E-15  3.06E-15
             1.85E-15  8.49E-16  4.29E-16  2.00E-16  6.54E-17  2.63E-17  1.01E-17  2.73E-18  9.91E-19
   292       1.22E-12  8.64E-13  5.46E-13  3.86E-13  2.72E-13  1.70E-13  1.19E-13  8.16E-14  4.79E-14  3.06E-14
             1.85E-14  8.49E-15  4.29E-15  2.00E-15  6.54E-16  2.63E-16  1.01E-16  2.73E-17  9.91E-18
   294       7.33E-13  5.18E-13  3.27E-13  2.31E-13  1.63E-13  1.02E-13  7.11E-14  4.89E-14  2.87E-14  1.84E-14
             1.11E-14  5.09E-15  2.57E-15  1.20E-15  3.92E-16  1.58E-16  6.06E-17  1.64E-17  5.95E-18
   295       2.43E-13  1.72E-13  1.09E-13  7.67E-14  5.41E-14  3.39E-14  2.36E-14  1.62E-14  9.55E-15  6.11E-15
             3.69E-15  1.69E-15  8.57E-16  4.00E-16  1.31E-16  5.25E-17  2.02E-17  5.45E-18  1.98E-18
   296       6.07E-13  4.29E-13  2.71E-13  1.91E-13  1.35E-13  8.46E-14  5.90E-14  4.06E-14  2.38E-14  1.52E-14
             9.21E-15  4.23E-15  2.14E-15  9.98E-16  3.26E-16  1.31E-16  5.04E-17  1.36E-17  4.95E-18
   297       3.63E-13  2.56E-13  1.62E-13  1.14E-13  8.06E-14  5.06E-14  3.53E-14  2.43E-14  1.43E-14  9.13E-15
             5.52E-15  2.54E-15  1.28E-15  5.98E-16  1.96E-16  7.86E-17  3.02E-17  8.17E-18  2.97E-18
   299       1.83E-12  1.29E-12  8.15E-13  5.74E-13  4.02E-13  2.49E-13  1.69E-13  1.12E-13  5.98E-14  3.43E-14
             1.80E-14  6.67E-15  2.86E-15  1.15E-15  3.22E-16  1.18E-16  4.28E-17  1.10E-17  3.90E-18
   300       1.30E-12  9.20E-13  5.80E-13  4.09E-13  2.87E-13  1.77E-13  1.21E-13  7.98E-14  4.27E-14  2.44E-14
             1.28E-14  4.76E-15  2.04E-15  8.22E-16  2.30E-16  8.45E-17  3.05E-17  7.83E-18  2.78E-18
   301       3.90E-13  2.76E-13  1.74E-13  1.22E-13  8.59E-14  5.31E-14  3.62E-14  2.39E-14  1.28E-14  7.33E-15
             3.84E-15  1.43E-15  6.13E-16  2.46E-16  6.88E-17  2.53E-17  9.15E-18  2.35E-18  8.35E-19
   302       7.79E-13  5.50E-13  3.47E-13  2.44E-13  1.72E-13  1.06E-13  7.22E-14  4.78E-14  2.56E-14  1.46E-14
             7.69E-15  2.85E-15  1.23E-15  4.93E-16  1.38E-16  5.06E-17  1.83E-17  4.70E-18  1.67E-18
   303       9.04E-13  6.39E-13  4.03E-13  2.84E-13  1.99E-13  1.23E-13  8.39E-14  5.55E-14  2.97E-14  1.70E-14
             8.94E-15  3.32E-15  1.43E-15  5.74E-16  1.60E-16  5.89E-17  2.13E-17  5.47E-18  1.94E-18
   304       6.43E-13  4.54E-13  2.87E-13  2.02E-13  1.42E-13  8.76E-14  5.98E-14  3.95E-14  2.12E-14  1.21E-14
             6.38E-15  2.37E-15  1.02E-15  4.10E-16  1.14E-16  4.21E-17  1.52E-17  3.91E-18  1.39E-18
   305       2.16E-12  1.52E-12  9.58E-13  6.72E-13  4.67E-13  2.82E-13  1.85E-13  1.15E-13  5.46E-14  2.79E-14
             1.29E-14  4.10E-15  1.60E-15  6.01E-16  1.58E-16  5.67E-17  2.02E-17  5.13E-18  1.82E-18
   306       1.20E-12  8.46E-13  5.32E-13  3.73E-13  2.59E-13  1.56E-13  1.03E-13  6.40E-14  3.04E-14  1.55E-14
             7.17E-15  2.28E-15  8.91E-16  3.34E-16  8.78E-17  3.15E-17  1.12E-17  2.85E-18  1.01E-18
   307       5.99E-13  4.23E-13  2.66E-13  1.87E-13  1.30E-13  7.82E-14  5.14E-14  3.20E-14  1.52E-14  7.74E-15
             3.58E-15  1.14E-15  4.45E-16  1.67E-16  4.39E-17  1.57E-17  5.61E-18  1.43E-18  5.05E-19
   308       1.08E-12  7.60E-13  4.78E-13  3.35E-13  2.33E-13  1.40E-13  9.23E-14  5.75E-14  2.73E-14  1.39E-14
             6.45E-15  2.05E-15  8.01E-16  3.00E-16  7.90E-17  2.83E-17  1.01E-17  2.56E-18  9.08E-19
   309       1.67E-12  1.18E-12  7.43E-13  5.21E-13  3.62E-13  2.18E-13  1.44E-13  8.94E-14  4.24E-14  2.16E-14
             1.00E-14  3.19E-15  1.25E-15  4.67E-16  1.23E-16  4.41E-17  1.57E-17  3.99E-18  1.41E-18
   310       1.30E-12  9.13E-13  5.72E-13  3.98E-13  2.73E-13  1.59E-13  9.94E-14  5.77E-14  2.43E-14  1.12E-14
             4.74E-15  1.37E-15  5.12E-16  1.86E-16  4.80E-17  1.71E-17  6.06E-18  1.53E-18  5.43E-19
   311       6.48E-13  4.56E-13  2.86E-13  1.99E-13  1.37E-13  7.94E-14  4.97E-14  2.89E-14  1.21E-14  5.61E-15
             2.37E-15  6.87E-16  2.56E-16  9.31E-17  2.40E-17  8.54E-18  3.03E-18  7.67E-19  2.71E-19
   312       1.67E-12  1.17E-12  7.35E-13  5.12E-13  3.51E-13  2.04E-13  1.28E-13  7.42E-14  3.12E-14  1.44E-14
             6.09E-15  1.77E-15  6.58E-16  2.40E-16  6.17E-17  2.20E-17  7.79E-18  1.97E-18  6.98E-19
   313       8.33E-13  5.87E-13  3.68E-13  2.56E-13  1.76E-13  1.02E-13  6.39E-14  3.71E-14  1.56E-14  7.21E-15
             3.05E-15  8.83E-16  3.29E-16  1.20E-16  3.09E-17  1.10E-17  3.89E-18  9.87E-19  3.49E-19
   314       2.04E-12  1.43E-12  8.98E-13  6.25E-13  4.29E-13  2.50E-13  1.56E-13  9.07E-14  3.81E-14  1.76E-14
             7.45E-15  2.16E-15  8.05E-16  2.93E-16  7.54E-17  2.68E-17  9.52E-18  2.41E-18  8.53E-19
   315       1.02E-12  7.17E-13  4.49E-13  3.13E-13  2.15E-13  1.25E-13  7.81E-14  4.53E-14  1.91E-14  8.81E-15
             3.72E-15  1.08E-15  4.02E-16  1.46E-16  3.77E-17  1.34E-17  4.76E-18  1.21E-18  4.27E-19
   316       9.39E-13  6.60E-13  4.11E-13  2.83E-13  1.91E-13  1.06E-13  6.27E-14  3.38E-14  1.28E-14  5.47E-15
             2.18E-15  5.98E-16  2.18E-16  7.83E-17  2.00E-17  7.10E-18  2.51E-18  6.37E-19  2.25E-19
   317       4.69E-13  3.30E-13  2.05E-13  1.42E-13  9.54E-14  5.30E-14  3.14E-14  1.69E-14  6.38E-15  2.73E-15
             1.09E-15  2.99E-16  1.09E-16  3.92E-17  1.00E-17  3.55E-18  1.26E-18  3.18E-19  1.13E-19
   318       1.15E-12  8.07E-13  5.02E-13  3.46E-13  2.33E-13  1.30E-13  7.67E-14  4.13E-14  1.56E-14  6.68E-15
             2.66E-15  7.31E-16  2.67E-16  9.57E-17  2.45E-17  8.68E-18  3.07E-18  7.78E-19  2.75E-19
   319       5.74E-13  4.03E-13  2.51E-13  1.73E-13  1.17E-13  6.48E-14  3.83E-14  2.07E-14  7.80E-15  3.34E-15
             1.33E-15  3.66E-16  1.33E-16  4.79E-17  1.22E-17  4.34E-18  1.54E-18  3.89E-19  1.38E-19
   320       1.36E-12  9.54E-13  5.94E-13  4.09E-13  2.76E-13  1.53E-13  9.06E-14  4.89E-14  1.84E-14  7.89E-15
             3.14E-15  8.64E-16  3.15E-16  1.13E-16  2.89E-17  1.03E-17  3.63E-18  9.20E-19  3.25E-19
   321       6.78E-13  4.77E-13  2.97E-13  2.05E-13  1.38E-13  7.65E-14  4.53E-14  2.44E-14  9.22E-15  3.95E-15
             1.57E-15  4.32E-16  1.57E-16  5.66E-17  1.45E-17  5.13E-18  1.82E-18  4.60E-19  1.63E-19
   322       3.46E-13  2.43E-13  1.50E-13  1.02E-13  6.70E-14  3.53E-14  1.97E-14  9.89E-15  3.41E-15  1.38E-15
             5.29E-16  1.41E-16  5.08E-17  1.81E-17  4.61E-18  1.63E-18  5.78E-19  1.46E-19  5.18E-20
   323       1.73E-13  1.21E-13  7.49E-14  5.09E-14  3.35E-14  1.76E-14  9.83E-15  4.94E-15  1.70E-15  6.90E-16
             2.64E-16  7.05E-17  2.54E-17  9.06E-18  2.31E-18  8.17E-19  2.89E-19  7.32E-20  2.59E-20
   324       4.09E-13  2.87E-13  1.77E-13  1.20E-13  7.92E-14  4.17E-14  2.32E-14  1.17E-14  4.02E-15  1.63E-15
             6.25E-16  1.67E-16  6.00E-17  2.14E-17  5.45E-18  1.93E-18  6.83E-19  1.73E-19  6.12E-20
   325       2.04E-13  1.43E-13  8.85E-14  6.02E-14  3.96E-14  2.08E-14  1.16E-14  5.84E-15  2.01E-15  8.16E-16
             3.12E-16  8.33E-17  3.00E-17  1.07E-17  2.73E-18  9.66E-19  3.42E-19  8.65E-20  3.06E-20
   326       4.72E-13  3.31E-13  2.04E-13  1.39E-13  9.14E-14  4.81E-14  2.68E-14  1.35E-14  4.64E-15  1.88E-15
             7.21E-16  1.92E-16  6.93E-17  2.47E-17  6.29E-18  2.23E-18  7.89E-19  2.00E-19  7.06E-20
   327       2.36E-13  1.65E-13  1.02E-13  6.95E-14  4.57E-14  2.40E-14  1.34E-14  6.74E-15  2.32E-15  9.41E-16
             3.60E-16  9.61E-17  3.46E-17  1.24E-17  3.15E-18  1.11E-18  3.94E-19  9.98E-20  3.53E-20
   328       8.35E-13  5.89E-13  3.71E-13  2.60E-13  1.81E-13  1.09E-13  7.16E-14  4.46E-14  2.12E-14  1.08E-14
             5.01E-15  1.59E-15  6.22E-16  2.33E-16  6.14E-17  2.20E-17  7.84E-18  1.99E-18  7.05E-19
   332       4.66E-16  3.30E-16  2.09E-16  1.48E-16  1.05E-16  6.64E-17  4.70E-17  3.30E-17  2.00E-17  1.30E-17
             8.02E-18  3.75E-18  1.91E-18  8.98E-19  2.95E-19  1.19E-19  4.57E-20  1.24E-20  4.49E-21
   334       2.93E-16  2.08E-16  1.31E-16  9.30E-17  6.59E-17  4.18E-17  2.96E-17  2.08E-17  1.26E-17  8.23E-18
             5.06E-18  2.37E-18  1.21E-18  5.67E-19  1.86E-19  7.50E-20  2.89E-20  7.81E-21  2.84E-21
   337       1.06E-15  7.49E-16  4.74E-16  3.34E-16  2.36E-16  1.47E-16  1.02E-16  6.86E-17  3.77E-17  2.20E-17
             1.17E-17  4.42E-18  1.91E-18  7.72E-19  2.16E-19  7.96E-20  2.88E-20  7.40E-21  2.63E-21
   338       3.51E-17  2.48E-17  1.57E-17  1.11E-17  7.80E-18  4.88E-18  3.38E-18  2.27E-18  1.25E-18  7.30E-19
             3.89E-19  1.46E-19  6.33E-20  2.56E-20  7.17E-21  2.64E-21  9.55E-22  2.45E-22  8.72E-23
   339       1.59E-16  1.13E-16  7.12E-17  5.03E-17  3.54E-17  2.22E-17  1.53E-17  1.03E-17  5.69E-18  3.32E-18
             1.77E-18  6.67E-19  2.88E-19  1.17E-19  3.26E-20  1.20E-20  4.35E-21  1.12E-21  3.97E-22
   341       4.69E-17  3.31E-17  2.09E-17  1.47E-17  1.02E-17  6.25E-18  4.16E-18  2.63E-18  1.28E-18  6.62E-19
             3.10E-19  9.95E-20  3.91E-20  1.47E-20  3.87E-21  1.39E-21  4.95E-22  1.26E-22  4.45E-23
   344       9.49E-18  6.70E-18  4.22E-18  2.97E-18  2.07E-18  1.26E-18  8.42E-19  5.33E-19  2.59E-19  1.34E-19
             6.28E-20  2.02E-20  7.92E-21  2.98E-21  7.85E-22  2.82E-22  1.00E-22  2.55E-23  9.03E-24
   362       1.61E-17  1.14E-17  7.22E-18  5.13E-18  3.66E-18  2.35E-18  1.70E-18  1.22E-18  7.65E-19  5.12E-19
             3.21E-19  1.53E-19  7.87E-20  3.72E-20  1.23E-20  4.95E-21  1.91E-21  5.17E-22  1.88E-22
   363       4.52E-17  3.20E-17  2.02E-17  1.43E-17  1.02E-17  6.45E-18  4.54E-18  3.13E-18  1.77E-18  1.06E-18
             5.74E-19  2.19E-19  9.55E-20  3.88E-20  1.09E-20  4.02E-21  1.45E-21  3.74E-22  1.33E-22
   364       1.77E-18  1.25E-18  7.91E-19  5.58E-19  3.92E-19  2.42E-19  1.64E-19  1.06E-19  5.28E-20  2.78E-20
             1.32E-20  4.29E-21  1.69E-21  6.37E-22  1.68E-22  6.04E-23  2.15E-23  5.47E-24  1.94E-24
   384       4.58E-13  3.24E-13  2.05E-13  1.45E-13  1.02E-13  6.40E-14  4.47E-14  3.10E-14  1.88E-14  1.26E-14
             8.30E-15  4.58E-15  2.79E-15  1.61E-15  7.06E-16  3.51E-16  1.64E-16  5.50E-17  2.28E-17
   385       2.28E-13  1.61E-13  1.02E-13  7.20E-14  5.08E-14  3.19E-14  2.23E-14  1.55E-14  9.36E-15  6.29E-15
             4.15E-15  2.29E-15  1.39E-15  8.04E-16  3.53E-16  1.75E-16  8.19E-17  2.75E-17  1.14E-17
   386       8.62E-14  6.09E-14  3.85E-14  2.72E-14  1.91E-14  1.20E-14  8.30E-15  5.68E-15  3.31E-15  2.10E-15
             1.26E-15  5.76E-16  2.91E-16  1.35E-16  4.42E-17  1.77E-17  6.82E-18  1.84E-18  6.68E-19
   387       8.60E-13  6.08E-13  3.84E-13  2.71E-13  1.91E-13  1.19E-13  8.29E-14  5.67E-14  3.31E-14  2.10E-14
             1.26E-14  5.76E-15  2.90E-15  1.35E-15  4.42E-16  1.77E-16  6.81E-17  1.84E-17  6.68E-18
   388       5.15E-13  3.64E-13  2.30E-13  1.62E-13  1.14E-13  7.15E-14  4.97E-14  3.40E-14  1.98E-14  1.26E-14
             7.56E-15  3.46E-15  1.74E-15  8.11E-16  2.65E-16  1.06E-16  4.09E-17  1.10E-17  4.01E-18
   389       1.71E-13  1.21E-13  7.64E-14  5.39E-14  3.80E-14  2.38E-14  1.65E-14  1.13E-14  6.59E-15  4.19E-15
             2.52E-15  1.15E-15  5.80E-16  2.70E-16  8.83E-17  3.54E-17  1.36E-17  3.68E-18  1.34E-18
   390       4.27E-13  3.02E-13  1.91E-13  1.35E-13  9.48E-14  5.93E-14  4.12E-14  2.82E-14  1.65E-14  1.05E-14
             6.29E-15  2.88E-15  1.45E-15  6.75E-16  2.21E-16  8.85E-17  3.40E-17  9.19E-18  3.34E-18
   391       2.56E-13  1.81E-13  1.14E-13  8.05E-14  5.67E-14  3.55E-14  2.47E-14  1.69E-14  9.87E-15  6.27E-15
             3.77E-15  1.72E-15  8.70E-16  4.05E-16  1.32E-16  5.31E-17  2.04E-17  5.51E-18  2.00E-18
   392       1.30E-12  9.18E-13  5.79E-13  4.08E-13  2.86E-13  1.76E-13  1.20E-13  7.88E-14  4.19E-14  2.39E-14
             1.25E-14  4.63E-15  1.99E-15  7.98E-16  2.23E-16  8.19E-17  2.96E-17  7.60E-18  2.70E-18
   393       9.26E-13  6.54E-13  4.13E-13  2.90E-13  2.04E-13  1.26E-13  8.54E-14  5.62E-14  2.99E-14  1.71E-14
             8.94E-15  3.31E-15  1.42E-15  5.70E-16  1.59E-16  5.85E-17  2.11E-17  5.42E-18  1.93E-18
   394       2.78E-13  1.96E-13  1.24E-13  8.71E-14  6.10E-14  3.76E-14  2.56E-14  1.69E-14  8.97E-15  5.12E-15
             2.68E-15  9.91E-16  4.25E-16  1.71E-16  4.77E-17  1.75E-17  6.34E-18  1.63E-18  5.78E-19
   395       5.54E-13  3.91E-13  2.47E-13  1.74E-13  1.22E-13  7.52E-14  5.11E-14  3.37E-14  1.79E-14  1.02E-14
             5.36E-15  1.98E-15  8.50E-16  3.42E-16  9.53E-17  3.51E-17  1.27E-17  3.25E-18  1.16E-18
   396       6.44E-13  4.55E-13  2.87E-13  2.02E-13  1.42E-13  8.74E-14  5.94E-14  3.92E-14  2.09E-14  1.19E-14
             6.24E-15  2.31E-15  9.90E-16  3.98E-16  1.11E-16  4.09E-17  1.48E-17  3.79E-18  1.35E-18
   397       4.58E-13  3.24E-13  2.04E-13  1.44E-13  1.01E-13  6.22E-14  4.23E-14  2.79E-14  1.49E-14  8.50E-15
             4.45E-15  1.65E-15  7.07E-16  2.84E-16  7.93E-17  2.92E-17  1.05E-17  2.71E-18  9.61E-19
   398       1.60E-12  1.13E-12  7.11E-13  4.99E-13  3.46E-13  2.09E-13  1.37E-13  8.50E-14  4.02E-14  2.05E-14
             9.47E-15  3.01E-15  1.17E-15  4.40E-16  1.16E-16  4.15E-17  1.48E-17  3.75E-18  1.33E-18
   399       8.90E-13  6.28E-13  3.95E-13  2.77E-13  1.92E-13  1.16E-13  7.60E-14  4.72E-14  2.24E-14  1.14E-14
             5.26E-15  1.67E-15  6.52E-16  2.44E-16  6.43E-17  2.30E-17  8.21E-18  2.09E-18  7.38E-19
   400       4.45E-13  3.14E-13  1.98E-13  1.38E-13  9.62E-14  5.79E-14  3.80E-14  2.36E-14  1.12E-14  5.69E-15
             2.63E-15  8.35E-16  3.26E-16  1.22E-16  3.21E-17  1.15E-17  4.10E-18  1.04E-18  3.69E-19
   401       8.00E-13  5.64E-13  3.55E-13  2.49E-13  1.73E-13  1.04E-13  6.83E-14  4.24E-14  2.01E-14  1.02E-14
             4.73E-15  1.50E-15  5.87E-16  2.20E-16  5.78E-17  2.07E-17  7.38E-18  1.88E-18  6.64E-19
   402       1.24E-12  8.77E-13  5.52E-13  3.87E-13  2.69E-13  1.62E-13  1.06E-13  6.60E-14  3.13E-14  1.59E-14
             7.36E-15  2.34E-15  9.12E-16  3.42E-16  8.99E-17  3.22E-17  1.15E-17  2.92E-18  1.03E-18
   403       1.06E-12  7.48E-13  4.69E-13  3.26E-13  2.24E-13  1.30E-13  8.14E-14  4.72E-14  1.98E-14  9.15E-15
             3.87E-15  1.12E-15  4.17E-16  1.52E-16  3.91E-17  1.39E-17  4.93E-18  1.25E-18  4.42E-19
   404       5.31E-13  3.74E-13  2.34E-13  1.63E-13  1.12E-13  6.50E-14  4.07E-14  2.36E-14  9.91E-15  4.58E-15
             1.93E-15  5.60E-16  2.09E-16  7.59E-17  1.96E-17  6.96E-18  2.47E-18  6.25E-19  2.21E-19
   405       1.37E-12  9.62E-13  6.03E-13  4.20E-13  2.88E-13  1.67E-13  1.05E-13  6.07E-14  2.55E-14  1.18E-14
             4.97E-15  1.44E-15  5.37E-16  1.95E-16  5.03E-17  1.79E-17  6.34E-18  1.61E-18  5.69E-19
   406       6.83E-13  4.81E-13  3.01E-13  2.10E-13  1.44E-13  8.36E-14  5.23E-14  3.03E-14  1.27E-14  5.88E-15
             2.49E-15  7.20E-16  2.68E-16  9.76E-17  2.51E-17  8.94E-18  3.17E-18  8.04E-19  2.84E-19
   407       1.67E-12  1.18E-12  7.37E-13  5.13E-13  3.52E-13  2.04E-13  1.28E-13  7.41E-14  3.11E-14  1.44E-14
             6.08E-15  1.76E-15  6.56E-16  2.39E-16  6.15E-17  2.19E-17  7.75E-18  1.97E-18  6.95E-19
   408       8.34E-13  5.88E-13  3.68E-13  2.56E-13  1.76E-13  1.02E-13  6.39E-14  3.71E-14  1.56E-14  7.19E-15
             3.04E-15  8.80E-16  3.28E-16  1.19E-16  3.07E-17  1.09E-17  3.88E-18  9.83E-19  3.48E-19
   409       9.52E-13  6.70E-13  4.17E-13  2.87E-13  1.93E-13  1.07E-13  6.36E-14  3.43E-14  1.29E-14  5.53E-15
             2.20E-15  6.05E-16  2.21E-16  7.93E-17  2.03E-17  7.18E-18  2.54E-18  6.44E-19  2.28E-19
   410       4.76E-13  3.35E-13  2.08E-13  1.44E-13  9.67E-14  5.37E-14  3.18E-14  1.71E-14  6.46E-15  2.77E-15
             1.10E-15  3.03E-16  1.10E-16  3.96E-17  1.01E-17  3.59E-18  1.27E-18  3.22E-19  1.14E-19
   411       1.16E-12  8.18E-13  5.09E-13  3.51E-13  2.36E-13  1.31E-13  7.77E-14  4.19E-14  1.58E-14  6.76E-15
             2.69E-15  7.40E-16  2.70E-16  9.69E-17  2.48E-17  8.78E-18  3.11E-18  7.87E-19  2.78E-19
   412       5.82E-13  4.09E-13  2.55E-13  1.76E-13  1.18E-13  6.56E-14  3.88E-14  2.09E-14  7.90E-15  3.38E-15
             1.35E-15  3.70E-16  1.35E-16  4.84E-17  1.24E-17  4.39E-18  1.55E-18  3.94E-19  1.39E-19
   413       1.38E-12  9.67E-13  6.02E-13  4.15E-13  2.79E-13  1.55E-13  9.18E-14  4.95E-14  1.87E-14  7.99E-15
             3.18E-15  8.75E-16  3.19E-16  1.15E-16  2.93E-17  1.04E-17  3.67E-18  9.31E-19  3.29E-19
   414       6.88E-13  4.84E-13  3.01E-13  2.07E-13  1.40E-13  7.76E-14  4.59E-14  2.47E-14  9.33E-15  4.00E-15
             1.59E-15  4.37E-16  1.59E-16  5.73E-17  1.46E-17  5.19E-18  1.84E-18  4.65E-19  1.65E-19
   415       5.77E-13  4.04E-13  2.50E-13  1.70E-13  1.12E-13  5.87E-14  3.27E-14  1.65E-14  5.67E-15  2.30E-15
             8.80E-16  2.35E-16  8.46E-17  3.02E-17  7.68E-18  2.72E-18  9.63E-19  2.44E-19  8.62E-20
   416       2.88E-13  2.02E-13  1.25E-13  8.49E-14  5.58E-14  2.94E-14  1.64E-14  8.23E-15  2.84E-15  1.15E-15
             4.40E-16  1.17E-16  4.23E-17  1.51E-17  3.84E-18  1.36E-18  4.82E-19  1.22E-19  4.31E-20
   417       6.81E-13  4.78E-13  2.95E-13  2.01E-13  1.32E-13  6.94E-14  3.87E-14  1.95E-14  6.70E-15  2.72E-15
             1.04E-15  2.77E-16  9.99E-17  3.57E-17  9.08E-18  3.22E-18  1.14E-18  2.88E-19  1.02E-19
   418       3.41E-13  2.39E-13  1.47E-13  1.00E-13  6.60E-14  3.47E-14  1.94E-14  9.73E-15  3.35E-15  1.36E-15
             5.20E-16  1.39E-16  5.00E-17  1.78E-17  4.54E-18  1.61E-18  5.69E-19  1.44E-19  5.09E-20
   419       7.86E-13  5.51E-13  3.40E-13  2.31E-13  1.52E-13  8.01E-14  4.47E-14  2.24E-14  7.73E-15  3.13E-15
             1.20E-15  3.20E-16  1.15E-16  4.12E-17  1.05E-17  3.71E-18  1.31E-18  3.32E-19  1.18E-19
   420       3.93E-13  2.76E-13  1.70E-13  1.16E-13  7.61E-14  4.01E-14  2.23E-14  1.12E-14  3.87E-15  1.57E-15
             6.00E-16  1.60E-16  5.77E-17  2.06E-17  5.24E-18  1.86E-18  6.57E-19  1.66E-19  5.88E-20
   421       1.79E-13  1.25E-13  7.63E-14  5.10E-14  3.26E-14  1.62E-14  8.50E-15  4.01E-15  1.29E-15  5.02E-16
             1.88E-16  4.91E-17  1.76E-17  6.26E-18  1.59E-18  5.62E-19  1.99E-19  5.03E-20  1.78E-20
   422       8.94E-14  6.24E-14  3.81E-14  2.55E-14  1.63E-14  8.09E-15  4.25E-15  2.01E-15  6.44E-16  2.51E-16
             9.38E-17  2.46E-17  8.79E-18  3.13E-18  7.94E-19  2.81E-19  9.95E-20  2.52E-20  8.90E-21
   423       2.06E-13  1.44E-13  8.80E-14  5.89E-14  3.77E-14  1.87E-14  9.81E-15  4.63E-15  1.49E-15  5.79E-16
             2.16E-16  5.67E-17  2.03E-17  7.22E-18  1.83E-18  6.49E-19  2.30E-19  5.81E-20  2.05E-20
   424       1.03E-13  7.20E-14  4.40E-14  2.94E-14  1.88E-14  9.34E-15  4.91E-15  2.32E-15  7.43E-16  2.90E-16
             1.08E-16  2.83E-17  1.01E-17  3.61E-18  9.16E-19  3.24E-19  1.15E-19  2.90E-20  1.03E-20
   425       2.34E-13  1.63E-13  9.97E-14  6.67E-14  4.27E-14  2.12E-14  1.11E-14  5.25E-15  1.68E-15  6.57E-16
             2.45E-16  6.43E-17  2.30E-17  8.18E-18  2.08E-18  7.35E-19  2.60E-19  6.58E-20  2.33E-20
   426       1.17E-13  8.16E-14  4.99E-14  3.34E-14  2.13E-14  1.06E-14  5.56E-15  2.63E-15  8.42E-16  3.28E-16
             1.23E-16  3.21E-17  1.15E-17  4.09E-18  1.04E-18  3.68E-19  1.30E-19  3.29E-20  1.16E-20
   427       6.20E-13  4.38E-13  2.75E-13  1.93E-13  1.34E-13  8.08E-14  5.30E-14  3.29E-14  1.56E-14  7.95E-15
             3.68E-15  1.17E-15  4.56E-16  1.71E-16  4.49E-17  1.61E-17  5.74E-18  1.46E-18  5.16E-19
   430       1.30E-16  9.22E-17  5.84E-17  4.14E-17  2.94E-17  1.87E-17  1.33E-17  9.39E-18  5.71E-18  3.73E-18
             2.29E-18  1.07E-18  5.44E-19  2.55E-19  8.38E-20  3.37E-20  1.30E-20  3.51E-21  1.28E-21
   431       8.21E-17  5.81E-17  3.68E-17  2.61E-17  1.85E-17  1.18E-17  8.41E-18  5.93E-18  3.60E-18  2.36E-18
             1.45E-18  6.76E-19  3.44E-19  1.61E-19  5.30E-20  2.13E-20  8.21E-21  2.22E-21  8.07E-22
   433       3.00E-16  2.12E-16  1.34E-16  9.47E-17  6.70E-17  4.21E-17  2.93E-17  1.98E-17  1.09E-17  6.40E-18
             3.41E-18  1.28E-18  5.55E-19  2.24E-19  6.28E-20  2.31E-20  8.37E-21  2.15E-21  7.64E-22
   434       9.67E-18  6.84E-18  4.33E-18  3.06E-18  2.16E-18  1.36E-18  9.46E-19  6.40E-19  3.54E-19  2.07E-19
             1.10E-19  4.16E-20  1.80E-20  7.26E-21  2.03E-21  7.49E-22  2.71E-22  6.95E-23  2.47E-23
   435       4.72E-17  3.33E-17  2.11E-17  1.49E-17  1.05E-17  6.63E-18  4.61E-18  3.12E-18  1.73E-18  1.01E-18
             5.39E-19  2.03E-19  8.78E-20  3.55E-20  9.93E-21  3.66E-21  1.32E-21  3.40E-22  1.21E-22
   437       1.52E-17  1.08E-17  6.79E-18  4.78E-18  3.35E-18  2.05E-18  1.38E-18  8.76E-19  4.28E-19  2.22E-19
             1.04E-19  3.35E-20  1.31E-20  4.94E-21  1.30E-21  4.67E-22  1.67E-22  4.23E-23  1.50E-23
   440       3.15E-18  2.22E-18  1.40E-18  9.88E-19  6.92E-19  4.25E-19  2.84E-19  1.81E-19  8.85E-20  4.60E-20
             2.16E-20  6.93E-21  2.72E-21  1.02E-21  2.70E-22  9.67E-23  3.45E-23  8.76E-24  3.10E-24
   465       4.21E-18  2.98E-18  1.89E-18  1.35E-18  9.69E-19  6.33E-19  4.63E-19  3.38E-19  2.16E-19  1.45E-19
             9.15E-20  4.37E-20  2.25E-20  1.06E-20  3.50E-21  1.41E-21  5.45E-22  1.47E-22  5.36E-23
   467       1.19E-17  8.44E-18  5.36E-18  3.81E-18  2.72E-18  1.75E-18  1.25E-18  8.77E-19  5.06E-19  3.04E-19
             1.66E-19  6.35E-20  2.77E-20  1.12E-20  3.16E-21  1.17E-21  4.23E-22  1.09E-22  3.86E-23
   468       5.37E-19  3.80E-19  2.40E-19  1.70E-19  1.20E-19  7.56E-20  5.20E-20  3.41E-20  1.73E-20  9.18E-21
             4.38E-21  1.43E-21  5.63E-22  2.13E-22  5.62E-23  2.02E-23  7.19E-24  1.83E-24  6.47E-25


 -----------------------------------------
 PRTF= 1  TRMPRT= (3P)  SPNPRT= 3  NSYS= 2
                                                                                              -----------------
                                                                                              SYS= 1  SPNSYS= 2
   IREP
   ----
     2       4.42E-11  3.12E-11  1.97E-11  1.39E-11  9.84E-12  6.18E-12  4.32E-12  2.99E-12  1.79E-12  1.16E-12
