SEQ='N '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 551357853.5   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
    80     1    2S2 2P2 4D1         (2)1( 2.5) 29705618.6 
    81     2    2S2 2P2 4P1         (2)3( 6.5) 29717961.4 
    82     1    2S2 2P2 4D1         (4)1( 5.5) 29723345.1 
    83     2    2S2 2P2 4P1         (2)2( 4.5) 29733808.8 
    84     1    2S2 2P2 4D1         (2)3( 6.5) 29736295.2 
    85     3    2S2 2P2 4S1         (2)0( 0.5) 29751738.7 
    86     2    2S2 2P2 4P1         (2)1( 2.5) 29754780.8 
    87     1    2S2 2P2 4D1         (2)2( 4.5) 29776452.1 
    88     1    2S2 2P2 4F1         (4)2( 9.5) 29805451.5 
    89     1    2S2 2P2 4F1         (2)2( 4.5) 29806057.7 
    90     1    2S2 2P2 4F1         (4)4(17.5) 29806975.7 
    91     1    2S2 2P2 4F1         (2)4( 8.5) 29814602.7 
    92     1    2S2 2P2 4F1         (4)3(13.5) 29823201.5 
    93     1    2S2 2P2 4F1         (2)3( 6.5) 29833669.1 
    94     4    2S1 2P3 4S1         (6)0( 2.5) 29874497.8 
    95     2    2S2 2P2 4D1         (2)4( 8.5) 29886121.3 
    96     2    2S2 2P2 4D1         (2)3( 6.5) 29897794.9 
    97     2    2S2 2P2 4D1         (2)2( 4.5) 29902128.8 
    98     3    2S2 2P2 4P1         (2)1( 2.5) 29915515.0 
    99     2    2S2 2P2 4D1         (2)1( 2.5) 29923372.8 
   100     2    2S2 2P2 4D1         (2)0( 0.5) 29931510.9 
   101     4    2S1 2P3 4S1         (4)0( 1.5) 29932628.1 
   102     2    2S2 2P2 4F1         (2)4( 8.5) 29981336.7 
   103     2    2S2 2P2 4F1         (2)3( 6.5) 29983781.9 
   104     2    2S2 2P2 4F1         (2)2( 4.5) 29999939.1 
