SEQ='O '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 590072887.4   NPRNTI= 3   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)   265620.5 
     3          2S2 2P3             (2)1( 2.5)   392182.5 
     4          2S1 2P4             (4)1( 5.5)  1173486.9*
     5          2S1 2P4             (2)2( 4.5)  1608714.1*
     6          2S1 2P4             (2)0( 0.5)  1874334.6*
     7          2S1 2P4             (2)1( 2.5)  1947927.4*
     8          2P5                 (2)1( 2.5)  3080945.1*

   LS RESOLVED TERM INDEXING            BWNR= 627005032.3   NTRM= 526
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    82     2    2S2 2P3 4D1         (3)4(13.0) 28654179.8 
    83     2    2S2 2P3 4D1         (1)4( 4.0) 28660807.2 
    84     2    2S2 2P3 4D1         (1)1( 1.0) 28670926.3 
    85     2    2S2 2P3 4D1         (3)2( 7.0) 28671021.7 
    86     2    2S2 2P3 4D1         (3)1( 4.0) 28688264.0 
    87     3    2S2 2P3 4P1         (1)0( 0.0) 28694349.5 
    88     2    2S2 2P3 4D1         (3)0( 1.0) 28703741.9 
    89     2    2S2 2P3 4D1         (1)2( 2.0) 28704491.2 
    90     2    2S2 2P3 4D1         (1)3( 3.0) 28729904.5 
    91     2    2S2 2P3 4F1         (3)4(13.0) 28778450.9 
    92     3    2S2 2P3 4D1         (3)3(10.0) 28780360.4 
    93     2    2S2 2P3 4F1         (3)2( 7.0) 28780966.0 
    94     2    2S2 2P3 4F1         (3)3(10.0) 28781227.1 
    95     2    2S2 2P3 4F1         (3)5(16.0) 28781427.6 
    96     2    2S2 2P3 4F1         (1)1( 1.0) 28781823.5 
    97     2    2S2 2P3 4F1         (1)5( 5.0) 28782236.9 
    98     2    2S2 2P3 4F1         (1)2( 2.0) 28782522.5 
    99     2    2S2 2P3 4F1         (3)1( 4.0) 28785852.6 
   100     3    2S2 2P3 4D1         (3)1( 4.0) 28786199.3 
   101     2    2S2 2P3 4F1         (1)3( 3.0) 28788620.2 
   102     2    2S2 2P3 4F1         (1)4( 4.0) 28788634.1 
   103     3    2S2 2P3 4D1         (1)2( 2.0) 28803730.5 
   104     3    2S2 2P3 4D1         (3)2( 7.0) 28804501.7 
   105     3    2S2 2P3 4D1         (1)3( 3.0) 28827202.5 
   106     3    2S2 2P3 4D1         (1)1( 1.0) 28870427.2 
   107     3    2S2 2P3 4F1         (3)4(13.0) 28909327.6 
   108     3    2S2 2P3 4F1         (1)3( 3.0) 28910511.3 
   109     3    2S2 2P3 4F1         (3)3(10.0) 28910813.6 
   110     3    2S2 2P3 4F1         (3)2( 7.0) 28911103.1 
   111     3    2S2 2P3 4F1         (1)4( 4.0) 28914536.0 
   112     3    2S2 2P3 4F1         (1)2( 2.0) 28920219.5 
   113     8    2P5 4S1             (3)1( 4.0) 31126739.4 
   114     8    2P5 4S1             (1)1( 1.0) 31144125.8 
   115     8    2P5 4P1             (3)2( 7.0) 31291323.2 
   116     1    2S2 2P3 5S1         (5)0( 2.0) 31295800.1 
   117     8    2P5 4P1             (1)2( 2.0) 31306662.5 
   118     8    2P5 4P1             (1)1( 1.0) 31309146.8 
   119     8    2P5 4P1             (3)1( 4.0) 31309508.1 
   120     1    2S2 2P3 5S1         (3)0( 1.0) 31312007.0 
   121     1    2S2 2P3 5P1         (5)1( 7.0) 31383658.7 
   122     1    2S2 2P3 5P1         (3)1( 4.0) 31405719.0 
   123     8    2P5 4P1             (1)0( 0.0) 31419302.3 
   124     1    2S2 2P3 5D1         (5)2(12.0) 31478640.9 
   125     1    2S2 2P3 5D1         (3)2( 7.0) 31508237.7 
   126     8    2P5 4D1             (1)2( 2.0) 31508348.7 
   127     8    2P5 4D1             (3)2( 7.0) 31508588.7 
   128     1    2S2 2P3 5F1         (5)3(17.0) 31543893.4 
   129     1    2S2 2P3 5F1         (3)3(10.0) 31549441.3 
   130     1    2S2 2P3 5G1         (5)4(22.0) 31550282.5 
   131     1    2S2 2P3 5G1         (3)4(13.0) 31550282.5 
   132     2    2S2 2P3 5S1         (3)2( 7.0) 31565472.3 
   133     2    2S2 2P3 5S1         (1)2( 2.0) 31573575.7 
   134     8    2P5 4D1             (1)1( 1.0) 31588601.9 
   135     2    2S2 2P3 5P1         (3)2( 7.0) 31649893.8 
   136     2    2S2 2P3 5P1         (1)1( 1.0) 31650591.0 
   137     2    2S2 2P3 5P1         (3)3(10.0) 31652826.9 
   138     2    2S2 2P3 5P1         (1)3( 3.0) 31656374.7 
   139     2    2S2 2P3 5P1         (3)1( 4.0) 31670352.8 
   140     2    2S2 2P3 5P1         (1)2( 2.0) 31690100.3 
   141     3    2S2 2P3 5S1         (3)1( 4.0) 31692258.9 
   142     3    2S2 2P3 5S1         (1)1( 1.0) 31700362.3 
   143     2    2S2 2P3 5D1         (1)0( 0.0) 31744261.4 
   144     2    2S2 2P3 5D1         (3)3(10.0) 31745239.1 
   145     2    2S2 2P3 5D1         (3)4(13.0) 31748993.5 
   146     2    2S2 2P3 5D1         (1)4( 4.0) 31752148.2 
   147     2    2S2 2P3 5D1         (3)2( 7.0) 31755399.9 
   148     2    2S2 2P3 5D1         (1)1( 1.0) 31757683.1 
   149     2    2S2 2P3 5D1         (3)1( 4.0) 31764991.3 
   150     2    2S2 2P3 5D1         (3)0( 1.0) 31772070.9 
   151     3    2S2 2P3 5P1         (3)0( 1.0) 31775828.6 
   152     2    2S2 2P3 5D1         (1)2( 2.0) 31776574.1 
   153     3    2S2 2P3 5P1         (3)2( 7.0) 31778955.3 
   154     3    2S2 2P3 5P1         (1)1( 1.0) 31781933.4 
   155     2    2S2 2P3 5D1         (1)3( 3.0) 31785509.4 
   156     3    2S2 2P3 5P1         (3)1( 4.0) 31789561.9 
   157     3    2S2 2P3 5P1         (1)2( 2.0) 31795293.3 
   158     2    2S2 2P3 5F1         (3)4(13.0) 31809451.8 
   159     2    2S2 2P3 5F1         (3)5(16.0) 31810578.1 
   160     2    2S2 2P3 5F1         (3)3(10.0) 31810653.6 
   161     2    2S2 2P3 5F1         (1)1( 1.0) 31810827.9 
   162     2    2S2 2P3 5F1         (1)5( 5.0) 31811110.3 
   163     2    2S2 2P3 5F1         (3)2( 7.0) 31811512.2 
   164     2    2S2 2P3 5F1         (1)2( 2.0) 31812718.0 
   165     2    2S2 2P3 5F1         (3)1( 4.0) 31813455.9 
   166     2    2S2 2P3 5F1         (1)3( 3.0) 31815716.1 
   167     2    2S2 2P3 5F1         (1)4( 4.0) 31815857.0 
   168     2    2S2 2P3 5G1         (3)2( 7.0) 31815903.0 
   169     2    2S2 2P3 5G1         (1)2( 2.0) 31815903.0 
   170     2    2S2 2P3 5G1         (3)3(10.0) 31815903.0 
   171     2    2S2 2P3 5G1         (1)3( 3.0) 31815903.0 
   172     2    2S2 2P3 5G1         (3)4(13.0) 31815903.0 
   173     2    2S2 2P3 5G1         (1)4( 4.0) 31815903.0 
   174     2    2S2 2P3 5G1         (3)5(16.0) 31815903.0 
   175     2    2S2 2P3 5G1         (1)5( 5.0) 31815903.0 
   176     2    2S2 2P3 5G1         (3)6(19.0) 31815903.0 
   177     2    2S2 2P3 5G1         (1)6( 6.0) 31815903.0 
   178     3    2S2 2P3 5P1         (1)0( 0.0) 31829322.3 
   179     3    2S2 2P3 5D1         (3)3(10.0) 31874741.5 
   180     3    2S2 2P3 5D1         (3)1( 4.0) 31877873.3 
   181     3    2S2 2P3 5D1         (1)2( 2.0) 31882257.7 
   182     3    2S2 2P3 5D1         (3)2( 7.0) 31886107.5 
   183     3    2S2 2P3 5D1         (1)3( 3.0) 31896286.1 
   184     3    2S2 2P3 5D1         (1)1( 1.0) 31916604.9 
   185     3    2S2 2P3 5F1         (3)4(13.0) 31937204.6 
   186     3    2S2 2P3 5F1         (3)2( 7.0) 31937953.6 
