SEQ='C '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 511255702.8   NPRNTI= 2   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)   532842.4 
     3          2S1 2P2             (2)2( 4.5)   975263.0*
     4          2S1 2P2             (2)0( 0.5)  1247274.2*
     5          2S1 2P2             (2)1( 2.5)  1316081.8*
     6          2P3                 (4)0( 1.5)  1694161.8*
     7          2P3                 (2)2( 4.5)  1966173.0*
     8          2P3                 (2)1( 2.5)  2210994.3*

   LS RESOLVED TERM INDEXING            BWNR= 551357853.5   NTRM= 520
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    84     1    2S2 2P1 4P1         (1)0( 0.0) 30564032.6 
    85     1    2S2 2P1 4D1         (1)2( 2.0) 30596303.6 
    86     1    2S2 2P1 4D1         (3)3(10.0) 30597759.1 
    87     1    2S2 2P1 4D1         (3)2( 7.0) 30624142.6 
    88     1    2S2 2P1 4D1         (3)1( 4.0) 30629479.6 
    89     1    2S2 2P1 4D1         (1)1( 1.0) 30673334.3 
    90     1    2S2 2P1 4D1         (1)3( 3.0) 30674793.0 
    91     1    2S2 2P1 4F1         (1)3( 3.0) 30688199.7 
    92     1    2S2 2P1 4F1         (3)3(10.0) 30690345.4 
    93     1    2S2 2P1 4F1         (3)4(13.0) 30703045.8 
    94     1    2S2 2P1 4F1         (3)2( 7.0) 30711990.7 
    95     1    2S2 2P1 4F1         (1)4( 4.0) 30713318.5 
    96     1    2S2 2P1 4F1         (1)2( 2.0) 30717731.3 
    97     2    2S1 2P2 4S1         (5)1( 7.0) 30866444.7 
    98     2    2S1 2P2 4S1         (3)1( 4.0) 30917627.3 
    99     2    2S1 2P2 4P1         (3)0( 1.0) 30998984.0 
   100     2    2S1 2P2 4P1         (5)2(12.0) 30999728.0 
   101     2    2S1 2P2 4P1         (5)1( 7.0) 31011019.0 
   102     2    2S1 2P2 4P1         (5)0( 2.0) 31043991.8 
