SEQ='AL'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 738873802.0   NPRNTI= 4   NPRNTF=35
   ---------------------
   INDP         CODE                 S L   WI        WNP
    62  9999    3P2 3D1             (4)1( 2.5)  2589033.8 
    63  9999    3S1 3D2             (4)3( 1.5)  2635001.7 
    64  9999    3S1 3D2             (4)3( 2.5)  2649554.7 
    65  9999    3S1 3D2             (4)3( 3.5)  2668460.7 
    66  9999    3P2 3D1             (2)0( 0.5)  2673898.1 
    67  9999    3P2 3D1             (2)3( 3.5)  2676189.8 
    68  9999    3P2 3D1             (2)1( 1.5)  2677139.5 
    69  9999    3S1 3D2             (4)3( 4.5)  2693128.7 
    70  9999    3P2 3D1             (2)2( 2.5)  2713247.2 
    71  9999    3S1 3D2             (4)1( 0.5)  2719556.8 
    72  9999    3S1 3D2             (4)1( 1.5)  2729000.3 
    73  9999    3S1 3D2             (4)1( 2.5)  2742480.5 
    74  9999    3P2 3D1             (2)3( 2.5)  2781656.7 
    75  9999    3P2 3D1             (2)2( 1.5)  2790068.9 
    76  9999    3S1 3D2             (2)2( 2.5)  2828968.1 
    77  9999    3S1 3D2             (2)4( 3.5)  2830398.5 
    78  9999    3S1 3D2             (2)2( 1.5)  2832217.0 
    79  9999    3S1 3D2             (2)4( 4.5)  2834578.3 
    80  9999    3S1 3D2             (2)3( 2.5)  2908910.2 
    81  9999    3S1 3D2             (2)3( 3.5)  2916285.7 
    82  9999    3S1 3D2             (2)1( 0.5)  2942208.7 
    83  9999    3S1 3D2             (2)1( 1.5)  2984576.8 
    84  9999    3S1 3D2             (2)0( 0.5)  2991293.6 
    85  9999    3P1 3D2             (4)4( 2.5)  3145499.0 
    86  9999    3P1 3D2             (4)4( 3.5)  3201258.7 
    87  9999    3P1 3D2             (2)2( 2.5)  3236732.3 
    88  9999    3P1 3D2             (2)2( 1.5)  3252426.5 
    89  9999    3P1 3D2             (4)4( 4.5)  3257610.3 
    90  9999    3P1 3D2             (4)2( 0.5)  3273582.5 
    91  9999    3P1 3D2             (2)0( 0.5)  3275612.2 
    92  9999    3P1 3D2             (4)3( 1.5)  3294770.9 
    93  9999    3P1 3D2             (2)3( 3.5)  3315807.3 
    94  9999    3P1 3D2             (4)3( 2.5)  3328769.8 
    95  9999    3P1 3D2             (2)5( 4.5)  3338411.3 
    96  9999    3P1 3D2             (2)3( 2.5)  3340430.9 
    97  9999    3P1 3D2             (4)2( 1.5)  3354956.4 
    98  9999    3P1 3D2             (2)4( 3.5)  3360067.5 
    99  9999    3P1 3D2             (4)1( 1.5)  3369742.3 
   100  9999    3P1 3D2             (4)4( 5.5)  3382762.2 
   101  9999    3P1 3D2             (4)3( 3.5)  3424468.1 
   102  9999    3P1 3D2             (4)3( 4.5)  3425141.8 
   103  9999    3P1 3D2             (2)1( 1.5)  3435736.6 
   104  9999    3P1 3D2             (4)2( 2.5)  3443820.8 
   105  9999    3P1 3D2             (4)2( 0.5)  3452789.4 
   106  9999    3P1 3D2             (4)2( 2.5)  3455046.9 
   107  9999    3P1 3D2             (4)2( 3.5)  3455596.1 
   108  9999    3P1 3D2             (4)1( 0.5)  3467818.6 
   109  9999    3P1 3D2             (4)2( 3.5)  3480797.4 
   110  9999    3P1 3D2             (4)2( 1.5)  3484694.2 
   111  9999    3P1 3D2             (4)1( 2.5)  3491246.5 
   112  9999    3P1 3D2             (2)1( 0.5)  3495028.2 
   113  9999    3P1 3D2             (2)4( 4.5)  3506655.1 
   114  9999    3P1 3D2             (2)3( 2.5)  3528829.4 
   115  9999    3P1 3D2             (2)5( 5.5)  3530226.4 
   116  9999    3P1 3D2             (4)0( 1.5)  3532754.5 
   117  9999    3P1 3D2             (2)3( 3.5)  3565921.8 
   118  9999    3P1 3D2             (2)1( 0.5)  3582699.5 
   119  9999    3P1 3D2             (2)2( 1.5)  3583170.6 
   120  9999    3P1 3D2             (2)3( 3.5)  3599522.5 
   121  9999    3P1 3D2             (2)2( 2.5)  3619855.7 
   122  9999    3P1 3D2             (2)4( 4.5)  3649802.5 
   123  9999    3P1 3D2             (2)3( 2.5)  3664721.5 
   124  9999    3P1 3D2             (2)1( 1.5)  3672766.8 
   125  9999    3P1 3D2             (2)4( 3.5)  3694366.8 
   126  9999    3P1 3D2             (2)2( 1.5)  3708398.7 
   127  9999    3P1 3D2             (2)2( 2.5)  3724553.7 
   128  9999    3P1 3D2             (2)1( 0.5)  3755141.4 
   129  9999    3P1 3D2             (2)1( 1.5)  3791284.1 
   130  9999    3D3                 (4)3( 1.5)  4298950.7 
   131  9999    3D3                 (4)3( 2.5)  4318530.7 
   132  9999    3D3                 (4)3( 3.5)  4337838.8 
   133  9999    3D3                 (4)3( 4.5)  4353987.4 
   134  9999    3D3                 (4)1( 1.5)  4379498.0 
   135  9999    3D3                 (4)1( 0.5)  4385667.2 
   136  9999    3D3                 (2)4( 3.5)  4398244.4 
   137  9999    3D3                 (2)5( 4.5)  4398312.4 
   138  9999    3D3                 (4)1( 2.5)  4411041.0 
   139  9999    3D3                 (2)2( 1.5)  4430079.0 
   140  9999    3D3                 (2)1( 0.5)  4443691.1 
   141  9999    3D3                 (2)4( 4.5)  4448861.6 
   142  9999    3D3                 (2)2( 2.5)  4459592.6 
   143  9999    3D3                 (2)1( 1.5)  4486222.0 
   144  9999    3D3                 (2)3( 3.5)  4495771.8 
   145  9999    3D3                 (2)3( 2.5)  4496189.5 
   146  9999    3D3                 (2)2( 2.5)  4602579.7 
   147  9999    3D3                 (2)2( 1.5)  4602582.5 
   148     1    3S2 4S1             (2)0( 0.5)  5748512.0 
   149     1    3S2 4P1             (2)1( 0.5)  6005901.0 
   150     1    3S2 4P1             (2)1( 1.5)  6080208.5 
   151     2    3S1 3P1 4S1         (4)1( 0.5)  6230425.2 
   152     3    3S1 3P1 4S1         (4)1( 1.5)  6264855.4 
   153     3    3S1 3P1 4S1         (2)1( 0.5)  6315711.1 
   154     1    3S2 4D1             (2)2( 1.5)  6400323.3 
   155     4    3S1 3P1 4S1         (4)1( 2.5)  6415334.5 
   156     1    3S2 4D1             (2)2( 2.5)  6417607.6 
   157     4    3S1 3P1 4S1         (2)1( 1.5)  6464844.7 
   158     2    3S1 3P1 4P1         (4)2( 0.5)  6469955.5 
   159     2    3S1 3P1 4P1         (4)2( 1.5)  6503410.6 
   160     3    3S1 3P1 4P1         (4)1( 0.5)  6549733.4 
   161     3    3S1 3P1 4P1         (4)0( 1.5)  6565272.6 
   162     3    3S1 3P1 4P1         (4)2( 2.5)  6591023.9 
   163     5    3S1 3P1 4S1         (2)1( 0.5)  6597640.1 
   164     3    3S1 3P1 4P1         (2)1( 0.5)  6599546.5 
   165     5    3S1 3P1 4S1         (2)1( 1.5)  6607130.2 
   166     3    3S1 3P1 4P1         (2)2( 1.5)  6616027.9 
   167     1    3S2 4F1             (2)3( 2.5)  6633047.3 
   168     1    3S2 4F1             (2)3( 3.5)  6639994.0 
   169     4    3S1 3P1 4P1         (4)1( 1.5)  6681560.1 
   170     4    3S1 3P1 4P1         (4)1( 2.5)  6693947.7 
   171     4    3S1 3P1 4P1         (4)2( 3.5)  6731699.0 
   172     4    3S1 3P1 4P1         (2)1( 1.5)  6750275.8 
   173     4    3S1 3P1 4P1         (2)2( 2.5)  6778297.6 
   174     4    3S1 3P1 4P1         (2)0( 0.5)  6799339.0 
   175     5    3S1 3P1 4P1         (2)2( 1.5)  6855064.3 
   176     5    3S1 3P1 4P1         (2)1( 0.5)  6855405.0 
   177     2    3S1 3P1 4D1         (4)3( 1.5)  6882431.4 
   178     2    3S1 3P1 4D1         (4)2( 2.5)  6901748.2 
   179     3    3S1 3P1 4D1         (4)2( 0.5)  6915405.5 
   180     5    3S1 3P1 4P1         (2)2( 2.5)  6915891.9 
   181     3    3S1 3P1 4D1         (2)2( 2.5)  6918345.2 
   182     3    3S1 3P1 4D1         (4)2( 1.5)  6922733.6 
   183     6    3P2 4S1             (4)1( 0.5)  6928258.9 
   184     5    3S1 3P1 4P1         (2)1( 1.5)  6932508.5 
   185     3    3S1 3P1 4D1         (4)2( 3.5)  6935409.8 
   186     3    3S1 3P1 4D1         (2)2( 1.5)  6942674.8 
   187     5    3S1 3P1 4P1         (2)0( 0.5)  6950239.5 
   188     3    3S1 3P1 4D1         (2)3( 2.5)  6951618.4 
   189     7    3P2 4S1             (4)1( 1.5)  7069179.3 
   190     4    3S1 3P1 4D1         (4)3( 2.5)  7069516.6 
   191     7    3P2 4S1             (2)2( 2.5)  7073488.4 
   192     4    3S1 3P1 4D1         (4)3( 3.5)  7075487.2 
   193     4    3S1 3P1 4D1         (4)1( 1.5)  7080632.2 
   194     8    3P2 4S1             (2)2( 1.5)  7085827.0 
   195     4    3S1 3P1 4D1         (4)1( 0.5)  7091636.6 
   196     4    3S1 3P1 4D1         (4)3( 4.5)  7092302.3 
   197     8    3P2 4S1             (2)1( 0.5)  7092751.7 
   198     4    3S1 3P1 4D1         (4)1( 2.5)  7095013.2 
   199     2    3S1 3P1 4F1         (4)4( 2.5)  7100583.7 
   200     4    3S1 3P1 4D1         (2)3( 3.5)  7106333.9 
   201     4    3S1 3P1 4D1         (2)1( 1.5)  7111819.1 
   202     2    3S1 3P1 4F1         (4)4( 3.5)  7116271.0 
   203     4    3S1 3P1 4D1         (2)1( 0.5)  7131146.9 
   204     3    3S1 3P1 4F1         (4)2( 3.5)  7139411.6 
   205     3    3S1 3P1 4F1         (4)3( 2.5)  7146039.0 
   206     3    3S1 3P1 4F1         (4)3( 1.5)  7146749.8 
   207     6    3P2 4P1             (4)2( 0.5)  7148229.5 
   208     3    3S1 3P1 4F1         (4)4( 4.5)  7149005.0 
   209     3    3S1 3P1 4F1         (2)3( 2.5)  7181229.1 
   210     3    3S1 3P1 4F1         (2)4( 3.5)  7187714.4 
   211     5    3S1 3P1 4D1         (2)2( 1.5)  7234777.8 
   212     6    3P2 4P1             (4)2( 1.5)  7238718.2 
   213     9    3P2 4S1             (4)1( 2.5)  7243312.2 
   214     5    3S1 3P1 4D1         (2)2( 2.5)  7246718.6 
   215     5    3S1 3P1 4D1         (2)3( 2.5)  7256599.2 
   216     5    3S1 3P1 4D1         (2)1( 0.5)  7263308.4 
   217     5    3S1 3P1 4D1         (2)3( 3.5)  7265389.5 
   218     9    3P2 4S1             (2)1( 1.5)  7265807.5 
   219     5    3S1 3P1 4D1         (2)1( 1.5)  7280493.7 
   220     4    3S1 3P1 4F1         (4)3( 4.5)  7289743.0 
   221     7    3P2 4P1             (2)0( 0.5)  7290485.4 
   222     4    3S1 3P1 4F1         (4)4( 5.5)  7293259.4 
   223     4    3S1 3P1 4F1         (4)3( 3.5)  7293663.4 
   224     7    3P2 4P1             (2)2( 1.5)  7295035.2 
   225     7    3P2 4P1             (2)3( 2.5)  7299021.9 
   226    10    3S1 3D1 4S1         (4)2( 1.5)  7300049.5 
   227     4    3S1 3P1 4F1         (4)2( 2.5)  7303827.3 
   228    11    3S1 3D1 4S1         (4)2( 2.5)  7312979.1 
   229     4    3S1 3P1 4F1         (4)2( 1.5)  7314269.5 
   230     4    3S1 3P1 4F1         (2)3( 3.5)  7319913.6 
   231     4    3S1 3P1 4F1         (4)2( 0.5)  7320453.3 
   232     4    3S1 3P1 4F1         (2)2( 2.5)  7339099.5 
   233    11    3S1 3D1 4S1         (2)2( 1.5)  7354804.4 
   234     7    3P2 4P1             (4)0( 1.5)  7357851.5 
   235     4    3S1 3P1 4F1         (2)4( 4.5)  7364170.5 
   236     7    3P2 4P1             (4)2( 2.5)  7370810.2 
